# Calculated data
# q            I           
  1.00000e-03  9.97723e-01 
  2.25063e-03  9.88532e-01 
  3.50125e-03  9.72517e-01 
  4.75188e-03  9.50082e-01 
  6.00251e-03  9.21784e-01 
  7.25313e-03  8.88311e-01 
  8.50376e-03  8.50454e-01 
  9.75439e-03  8.09074e-01 
  1.10050e-02  7.65073e-01 
  1.22556e-02  7.19359e-01 
  1.35063e-02  6.72812e-01 
  1.47569e-02  6.26261e-01 
  1.60075e-02  5.80454e-01 
  1.72581e-02  5.36039e-01 
  1.85088e-02  4.93553e-01 
  1.97594e-02  4.53412e-01 
  2.10100e-02  4.15911e-01 
  2.22607e-02  3.81226e-01 
  2.35113e-02  3.49422e-01 
  2.47619e-02  3.20469e-01 
  2.60125e-02  2.94257e-01 
  2.72632e-02  2.70611e-01 
  2.85138e-02  2.49313e-01 
  2.97644e-02  2.30120e-01 
  3.10150e-02  2.12776e-01 
  3.22657e-02  1.97035e-01 
  3.35163e-02  1.82664e-01 
  3.47669e-02  1.69458e-01 
  3.60175e-02  1.57244e-01 
  3.72682e-02  1.45882e-01 
  3.85188e-02  1.35266e-01 
  3.97694e-02  1.25322e-01 
  4.10201e-02  1.16001e-01 
  4.22707e-02  1.07278e-01 
  4.35213e-02  9.91383e-02 
  4.47719e-02  9.15800e-02 
  4.60226e-02  8.46019e-02 
  4.72732e-02  7.82013e-02 
  4.85238e-02  7.23699e-02 
  4.97744e-02  6.70915e-02 
  5.10251e-02  6.23413e-02 
  5.22757e-02  5.80857e-02 
  5.35263e-02  5.42842e-02 
  5.47769e-02  5.08909e-02 
  5.60276e-02  4.78575e-02 
  5.72782e-02  4.51360e-02 
  5.85288e-02  4.26810e-02 
  5.97794e-02  4.04523e-02 
  6.10301e-02  3.84163e-02 
  6.22807e-02  3.65470e-02 
  6.35313e-02  3.48262e-02 
  6.47820e-02  3.32431e-02 
  6.60326e-02  3.17934e-02 
  6.72832e-02  3.04775e-02 
  6.85338e-02  2.92987e-02 
  6.97845e-02  2.82615e-02 
  7.10351e-02  2.73696e-02 
  7.22857e-02  2.66241e-02 
  7.35363e-02  2.60228e-02 
  7.47870e-02  2.55586e-02 
  7.60376e-02  2.52200e-02 
  7.72882e-02  2.49908e-02 
  7.85388e-02  2.48509e-02 
  7.97895e-02  2.47772e-02 
  8.10401e-02  2.47449e-02 
  8.22907e-02  2.47289e-02 
  8.35414e-02  2.47050e-02 
  8.47920e-02  2.46512e-02 
  8.60426e-02  2.45490e-02 
  8.72932e-02  2.43838e-02 
  8.85439e-02  2.41453e-02 
  8.97945e-02  2.38282e-02 
  9.10451e-02  2.34313e-02 
  9.22957e-02  2.29573e-02 
  9.35464e-02  2.24124e-02 
  9.47970e-02  2.18050e-02 
  9.60476e-02  2.11451e-02 
  9.72982e-02  2.04434e-02 
  9.85489e-02  1.97106e-02 
  9.97995e-02  1.89564e-02 
  1.01050e-01  1.81896e-02 
  1.02301e-01  1.74173e-02 
  1.03551e-01  1.66453e-02 
  1.04802e-01  1.58776e-02 
  1.06053e-01  1.51170e-02 
  1.07303e-01  1.43653e-02 
  1.08554e-01  1.36236e-02 
  1.09805e-01  1.28926e-02 
  1.11055e-01  1.21730e-02 
  1.12306e-01  1.14658e-02 
  1.13556e-01  1.07724e-02 
  1.14807e-01  1.00947e-02 
  1.16058e-01  9.43484e-03 
  1.17308e-01  8.79566e-03 
  1.18559e-01  8.18006e-03 
  1.19810e-01  7.59096e-03 
  1.21060e-01  7.03108e-03 
  1.22311e-01  6.50274e-03 
  1.23561e-01  6.00768e-03 
  1.24812e-01  5.54692e-03 
  1.26063e-01  5.12071e-03 
  1.27313e-01  4.72850e-03 
  1.28564e-01  4.36901e-03 
  1.29815e-01  4.04036e-03 
  1.31065e-01  3.74017e-03 
  1.32316e-01  3.46576e-03 
  1.33566e-01  3.21432e-03 
  1.34817e-01  2.98308e-03 
  1.36068e-01  2.76945e-03 
  1.37318e-01  2.57114e-03 
  1.38569e-01  2.38624e-03 
  1.39820e-01  2.21323e-03 
  1.41070e-01  2.05098e-03 
  1.42321e-01  1.89874e-03 
  1.43571e-01  1.75602e-03 
  1.44822e-01  1.62256e-03 
  1.46073e-01  1.49821e-03 
  1.47323e-01  1.38285e-03 
  1.48574e-01  1.27633e-03 
  1.49825e-01  1.17841e-03 
  1.51075e-01  1.08874e-03 
  1.52326e-01  1.00682e-03 
  1.53576e-01  9.32055e-04 
  1.54827e-01  8.63734e-04 
  1.56078e-01  8.01110e-04 
  1.57328e-01  7.43425e-04 
  1.58579e-01  6.89960e-04 
  1.59830e-01  6.40072e-04 
  1.61080e-01  5.93228e-04 
  1.62331e-01  5.49019e-04 
  1.63581e-01  5.07165e-04 
  1.64832e-01  4.67512e-04 
  1.66083e-01  4.30007e-04 
  1.67333e-01  3.94674e-04 
  1.68584e-01  3.61584e-04 
  1.69835e-01  3.30823e-04 
  1.71085e-01  3.02460e-04 
  1.72336e-01  2.76532e-04 
  1.73586e-01  2.53020e-04 
  1.74837e-01  2.31850e-04 
  1.76088e-01  2.12891e-04 
  1.77338e-01  1.95967e-04 
  1.78589e-01  1.80874e-04 
  1.79840e-01  1.67396e-04 
  1.81090e-01  1.55327e-04 
  1.82341e-01  1.44490e-04 
  1.83591e-01  1.34751e-04 
  1.84842e-01  1.26025e-04 
  1.86093e-01  1.18287e-04 
  1.87343e-01  1.11560e-04 
  1.88594e-01  1.05911e-04 
  1.89845e-01  1.01438e-04 
  1.91095e-01  9.82490e-05 
  1.92346e-01  9.64506e-05 
  1.93596e-01  9.61266e-05 
  1.94847e-01  9.73256e-05 
  1.96098e-01  1.00050e-04 
  1.97348e-01  1.04253e-04 
  1.98599e-01  1.09832e-04 
  1.99850e-01  1.16640e-04 
  2.01100e-01  1.24489e-04 
  2.02351e-01  1.33164e-04 
  2.03602e-01  1.42437e-04 
  2.04852e-01  1.52081e-04 
  2.06103e-01  1.61883e-04 
  2.07353e-01  1.71657e-04 
  2.08604e-01  1.81251e-04 
  2.09855e-01  1.90555e-04 
  2.11105e-01  1.99502e-04 
  2.12356e-01  2.08065e-04 
  2.13607e-01  2.16255e-04 
  2.14857e-01  2.24112e-04 
  2.16108e-01  2.31699e-04 
  2.17358e-01  2.39091e-04 
  2.18609e-01  2.46368e-04 
  2.19860e-01  2.53606e-04 
  2.21110e-01  2.60873e-04 
  2.22361e-01  2.68221e-04 
  2.23612e-01  2.75689e-04 
  2.24862e-01  2.83299e-04 
  2.26113e-01  2.91056e-04 
  2.27363e-01  2.98955e-04 
  2.28614e-01  3.06980e-04 
  2.29865e-01  3.15109e-04 
  2.31115e-01  3.23320e-04 
  2.32366e-01  3.31589e-04 
  2.33617e-01  3.39895e-04 
  2.34867e-01  3.48220e-04 
  2.36118e-01  3.56550e-04 
  2.37368e-01  3.64876e-04 
  2.38619e-01  3.73187e-04 
  2.39870e-01  3.81474e-04 
  2.41120e-01  3.89723e-04 
  2.42371e-01  3.97916e-04 
  2.43622e-01  4.06027e-04 
  2.44872e-01  4.14020e-04 
  2.46123e-01  4.21850e-04 
  2.47373e-01  4.29460e-04 
  2.48624e-01  4.36782e-04 
  2.49875e-01  4.43739e-04 
  2.51125e-01  4.50245e-04 
  2.52376e-01  4.56207e-04 
  2.53627e-01  4.61530e-04 
  2.54877e-01  4.66117e-04 
  2.56128e-01  4.69872e-04 
  2.57378e-01  4.72706e-04 
  2.58629e-01  4.74538e-04 
  2.59880e-01  4.75299e-04 
  2.61130e-01  4.74933e-04 
  2.62381e-01  4.73402e-04 
  2.63632e-01  4.70686e-04 
  2.64882e-01  4.66783e-04 
  2.66133e-01  4.61715e-04 
  2.67383e-01  4.55521e-04 
  2.68634e-01  4.48260e-04 
  2.69885e-01  4.40009e-04 
  2.71135e-01  4.30859e-04 
  2.72386e-01  4.20914e-04 
  2.73637e-01  4.10288e-04 
  2.74887e-01  3.99097e-04 
  2.76138e-01  3.87460e-04 
  2.77388e-01  3.75495e-04 
  2.78639e-01  3.63309e-04 
  2.79890e-01  3.51005e-04 
  2.81140e-01  3.38671e-04 
  2.82391e-01  3.26383e-04 
  2.83642e-01  3.14202e-04 
  2.84892e-01  3.02175e-04 
  2.86143e-01  2.90337e-04 
  2.87393e-01  2.78708e-04 
  2.88644e-01  2.67303e-04 
  2.89895e-01  2.56125e-04 
  2.91145e-01  2.45176e-04 
  2.92396e-01  2.34454e-04 
  2.93647e-01  2.23960e-04 
  2.94897e-01  2.13696e-04 
  2.96148e-01  2.03670e-04 
  2.97398e-01  1.93896e-04 
  2.98649e-01  1.84392e-04 
  2.99900e-01  1.75183e-04 
  3.01150e-01  1.66299e-04 
  3.02401e-01  1.57773e-04 
  3.03652e-01  1.49638e-04 
  3.04902e-01  1.41927e-04 
  3.06153e-01  1.34669e-04 
  3.07404e-01  1.27890e-04 
  3.08654e-01  1.21604e-04 
  3.09905e-01  1.15818e-04 
  3.11155e-01  1.10531e-04 
  3.12406e-01  1.05727e-04 
  3.13657e-01  1.01381e-04 
  3.14907e-01  9.74587e-05 
  3.16158e-01  9.39149e-05 
  3.17409e-01  9.06984e-05 
  3.18659e-01  8.77532e-05 
  3.19910e-01  8.50206e-05 
  3.21160e-01  8.24427e-05 
  3.22411e-01  7.99648e-05 
  3.23662e-01  7.75377e-05 
  3.24912e-01  7.51206e-05 
  3.26163e-01  7.26828e-05 
  3.27414e-01  7.02045e-05 
  3.28664e-01  6.76780e-05 
  3.29915e-01  6.51078e-05 
  3.31165e-01  6.25094e-05 
  3.32416e-01  5.99082e-05 
  3.33667e-01  5.73377e-05 
  3.34917e-01  5.48371e-05 
  3.36168e-01  5.24486e-05 
  3.37419e-01  5.02147e-05 
  3.38669e-01  4.81755e-05 
  3.39920e-01  4.63662e-05 
  3.41170e-01  4.48153e-05 
  3.42421e-01  4.35425e-05 
  3.43672e-01  4.25584e-05 
  3.44922e-01  4.18639e-05 
  3.46173e-01  4.14507e-05 
  3.47424e-01  4.13025e-05 
  3.48674e-01  4.13961e-05 
  3.49925e-01  4.17042e-05 
  3.51175e-01  4.21964e-05 
  3.52426e-01  4.28424e-05 
  3.53677e-01  4.36137e-05 
  3.54927e-01  4.44849e-05 
  3.56178e-01  4.54357e-05 
  3.57429e-01  4.64514e-05 
  3.58679e-01  4.75228e-05 
  3.59930e-01  4.86464e-05 
  3.61180e-01  4.98231e-05 
  3.62431e-01  5.10572e-05 
  3.63682e-01  5.23549e-05 
  3.64932e-01  5.37224e-05 
  3.66183e-01  5.51649e-05 
  3.67434e-01  5.66848e-05 
  3.68684e-01  5.82808e-05 
  3.69935e-01  5.99478e-05 
  3.71185e-01  6.16765e-05 
  3.72436e-01  6.34538e-05 
  3.73687e-01  6.52643e-05 
  3.74937e-01  6.70910e-05 
  3.76188e-01  6.89172e-05 
  3.77439e-01  7.07280e-05 
  3.78689e-01  7.25116e-05 
  3.79940e-01  7.42609e-05 
  3.81190e-01  7.59739e-05 
  3.82441e-01  7.76546e-05 
  3.83692e-01  7.93122e-05 
  3.84942e-01  8.09607e-05 
  3.86193e-01  8.26173e-05 
  3.87444e-01  8.43009e-05 
  3.88694e-01  8.60300e-05 
  3.89945e-01  8.78200e-05 
  3.91195e-01  8.96819e-05 
  3.92446e-01  9.16197e-05 
  3.93697e-01  9.36288e-05 
  3.94947e-01  9.56955e-05 
  3.96198e-01  9.77962e-05 
  3.97449e-01  9.98978e-05 
  3.98699e-01  1.01959e-04 
  3.99950e-01  1.03931e-04 
  4.01201e-01  1.05762e-04 
  4.02451e-01  1.07398e-04 
  4.03702e-01  1.08784e-04 
  4.04952e-01  1.09872e-04 
  4.06203e-01  1.10619e-04 
  4.07454e-01  1.10993e-04 
  4.08704e-01  1.10972e-04 
  4.09955e-01  1.10550e-04 
  4.11206e-01  1.09730e-04 
  4.12456e-01  1.08534e-04 
  4.13707e-01  1.06993e-04 
  4.14957e-01  1.05150e-04 
  4.16208e-01  1.03061e-04 
  4.17459e-01  1.00784e-04 
  4.18709e-01  9.83841e-05 
  4.19960e-01  9.59268e-05 
  4.21211e-01  9.34756e-05 
  4.22461e-01  9.10894e-05 
  4.23712e-01  8.88199e-05 
  4.24962e-01  8.67101e-05 
  4.26213e-01  8.47928e-05 
  4.27464e-01  8.30895e-05 
  4.28714e-01  8.16108e-05 
  4.29965e-01  8.03567e-05 
  4.31216e-01  7.93173e-05 
  4.32466e-01  7.84749e-05 
  4.33717e-01  7.78052e-05 
  4.34967e-01  7.72795e-05 
  4.36218e-01  7.68668e-05 
  4.37469e-01  7.65352e-05 
  4.38719e-01  7.62542e-05 
  4.39970e-01  7.59960e-05 
  4.41221e-01  7.57361e-05 
  4.42471e-01  7.54544e-05 
  4.43722e-01  7.51356e-05 
  4.44972e-01  7.47685e-05 
  4.46223e-01  7.43461e-05 
  4.47474e-01  7.38647e-05 
  4.48724e-01  7.33232e-05 
  4.49975e-01  7.27220e-05 
  4.51226e-01  7.20627e-05 
  4.52476e-01  7.13468e-05 
  4.53727e-01  7.05755e-05 
  4.54977e-01  6.97495e-05 
  4.56228e-01  6.88687e-05 
  4.57479e-01  6.79326e-05 
  4.58729e-01  6.69409e-05 
  4.59980e-01  6.58937e-05 
  4.61231e-01  6.47923e-05 
  4.62481e-01  6.36401e-05 
  4.63732e-01  6.24428e-05 
  4.64982e-01  6.12090e-05 
  4.66233e-01  5.99505e-05 
  4.67484e-01  5.86821e-05 
  4.68734e-01  5.74211e-05 
  4.69985e-01  5.61871e-05 
  4.71236e-01  5.50008e-05 
  4.72486e-01  5.38828e-05 
  4.73737e-01  5.28530e-05 
  4.74987e-01  5.19288e-05 
  4.76238e-01  5.11239e-05 
  4.77489e-01  5.04479e-05 
  4.78739e-01  4.99048e-05 
  4.79990e-01  4.94928e-05 
  4.81241e-01  4.92038e-05 
  4.82491e-01  4.90239e-05 
  4.83742e-01  4.89335e-05 
  4.84992e-01  4.89082e-05 
  4.86243e-01  4.89199e-05 
  4.87494e-01  4.89378e-05 
  4.88744e-01  4.89301e-05 
  4.89995e-01  4.88650e-05 
  4.91246e-01  4.87125e-05 
  4.92496e-01  4.84457e-05 
  4.93747e-01  4.80415e-05 
  4.94997e-01  4.74823e-05 
  4.96248e-01  4.67561e-05 
  4.97499e-01  4.58575e-05 
  4.98749e-01  4.47877e-05 
  5.00000e-01  4.35546e-05 
