# Theoretical SAS data
# q            I           
  1.00000e-03  1.00059e+00 
  2.25063e-03  1.00298e+00 
  3.50125e-03  1.00721e+00 
  4.75188e-03  1.01329e+00 
  6.00251e-03  1.02121e+00 
  7.25313e-03  1.03098e+00 
  8.50376e-03  1.04260e+00 
  9.75439e-03  1.05607e+00 
  1.10050e-02  1.07140e+00 
  1.22556e-02  1.08858e+00 
  1.35063e-02  1.10761e+00 
  1.47569e-02  1.12849e+00 
  1.60075e-02  1.15123e+00 
  1.72581e-02  1.17580e+00 
  1.85088e-02  1.20221e+00 
  1.97594e-02  1.23044e+00 
  2.10100e-02  1.26048e+00 
  2.22607e-02  1.29230e+00 
  2.35113e-02  1.32587e+00 
  2.47619e-02  1.36117e+00 
  2.60125e-02  1.39816e+00 
  2.72632e-02  1.43680e+00 
  2.85138e-02  1.47704e+00 
  2.97644e-02  1.51881e+00 
  3.10150e-02  1.56207e+00 
  3.22657e-02  1.60673e+00 
  3.35163e-02  1.65271e+00 
  3.47669e-02  1.69994e+00 
  3.60175e-02  1.74831e+00 
  3.72682e-02  1.79772e+00 
  3.85188e-02  1.84806e+00 
  3.97694e-02  1.89922e+00 
  4.10201e-02  1.95105e+00 
  4.22707e-02  2.00343e+00 
  4.35213e-02  2.05621e+00 
  4.47719e-02  2.10925e+00 
  4.60226e-02  2.16239e+00 
  4.72732e-02  2.21546e+00 
  4.85238e-02  2.26829e+00 
  4.97744e-02  2.32071e+00 
  5.10251e-02  2.37254e+00 
  5.22757e-02  2.42360e+00 
  5.35263e-02  2.47371e+00 
  5.47769e-02  2.52266e+00 
  5.60276e-02  2.57028e+00 
  5.72782e-02  2.61638e+00 
  5.85288e-02  2.66076e+00 
  5.97794e-02  2.70324e+00 
  6.10301e-02  2.74362e+00 
  6.22807e-02  2.78174e+00 
  6.35313e-02  2.81740e+00 
  6.47820e-02  2.85045e+00 
  6.60326e-02  2.88070e+00 
  6.72832e-02  2.90800e+00 
  6.85338e-02  2.93220e+00 
  6.97845e-02  2.95315e+00 
  7.10351e-02  2.97073e+00 
  7.22857e-02  2.98482e+00 
  7.35363e-02  2.99529e+00 
  7.47870e-02  3.00207e+00 
  7.60376e-02  3.00505e+00 
  7.72882e-02  3.00418e+00 
  7.85388e-02  2.99940e+00 
  7.97895e-02  2.99066e+00 
  8.10401e-02  2.97794e+00 
  8.22907e-02  2.96123e+00 
  8.35414e-02  2.94053e+00 
  8.47920e-02  2.91587e+00 
  8.60426e-02  2.88728e+00 
  8.72932e-02  2.85482e+00 
  8.85439e-02  2.81855e+00 
  8.97945e-02  2.77856e+00 
  9.10451e-02  2.73495e+00 
  9.22957e-02  2.68782e+00 
  9.35464e-02  2.63732e+00 
  9.47970e-02  2.58359e+00 
  9.60476e-02  2.52677e+00 
  9.72982e-02  2.46704e+00 
  9.85489e-02  2.40458e+00 
  9.97995e-02  2.33957e+00 
  1.01050e-01  2.27223e+00 
  1.02301e-01  2.20275e+00 
  1.03551e-01  2.13136e+00 
  1.04802e-01  2.05827e+00 
  1.06053e-01  1.98373e+00 
  1.07303e-01  1.90796e+00 
  1.08554e-01  1.83120e+00 
  1.09805e-01  1.75369e+00 
  1.11055e-01  1.67568e+00 
  1.12306e-01  1.59740e+00 
  1.13556e-01  1.51909e+00 
  1.14807e-01  1.44099e+00 
  1.16058e-01  1.36333e+00 
  1.17308e-01  1.28635e+00 
  1.18559e-01  1.21025e+00 
  1.19810e-01  1.13527e+00 
  1.21060e-01  1.06160e+00 
  1.22311e-01  9.89449e-01 
  1.23561e-01  9.19000e-01 
  1.24812e-01  8.50435e-01 
  1.26063e-01  7.83918e-01 
  1.27313e-01  7.19606e-01 
  1.28564e-01  6.57641e-01 
  1.29815e-01  5.98152e-01 
  1.31065e-01  5.41254e-01 
  1.32316e-01  4.87050e-01 
  1.33566e-01  4.35626e-01 
  1.34817e-01  3.87055e-01 
  1.36068e-01  3.41396e-01 
  1.37318e-01  2.98693e-01 
  1.38569e-01  2.58974e-01 
  1.39820e-01  2.22256e-01 
  1.41070e-01  1.88538e-01 
  1.42321e-01  1.57809e-01 
  1.43571e-01  1.30040e-01 
  1.44822e-01  1.05193e-01 
  1.46073e-01  8.32162e-02 
  1.47323e-01  6.40453e-02 
  1.48574e-01  4.76053e-02 
  1.49825e-01  3.38106e-02 
  1.51075e-01  2.25655e-02 
  1.52326e-01  1.37655e-02 
  1.53576e-01  7.29765e-03 
  1.54827e-01  3.04180e-03 
  1.56078e-01  8.71114e-04 
  1.57328e-01  6.53177e-04 
  1.58579e-01  2.25083e-03 
  1.59830e-01  5.52310e-03 
  1.61080e-01  1.03261e-02 
  1.62331e-01  1.65138e-02 
  1.63581e-01  2.39393e-02 
  1.64832e-01  3.24554e-02 
  1.66083e-01  4.19152e-02 
  1.67333e-01  5.21736e-02 
  1.68584e-01  6.30876e-02 
  1.69835e-01  7.45172e-02 
  1.71085e-01  8.63260e-02 
  1.72336e-01  9.83823e-02 
  1.73586e-01  1.10559e-01 
  1.74837e-01  1.22735e-01 
  1.76088e-01  1.34795e-01 
  1.77338e-01  1.46631e-01 
  1.78589e-01  1.58141e-01 
  1.79840e-01  1.69230e-01 
  1.81090e-01  1.79813e-01 
  1.82341e-01  1.89810e-01 
  1.83591e-01  1.99151e-01 
  1.84842e-01  2.07774e-01 
  1.86093e-01  2.15624e-01 
  1.87343e-01  2.22657e-01 
  1.88594e-01  2.28834e-01 
  1.89845e-01  2.34125e-01 
  1.91095e-01  2.38510e-01 
  1.92346e-01  2.41975e-01 
  1.93596e-01  2.44514e-01 
  1.94847e-01  2.46128e-01 
  1.96098e-01  2.46824e-01 
  1.97348e-01  2.46619e-01 
  1.98599e-01  2.45533e-01 
  1.99850e-01  2.43592e-01 
  2.01100e-01  2.40829e-01 
  2.02351e-01  2.37281e-01 
  2.03602e-01  2.32989e-01 
  2.04852e-01  2.27999e-01 
  2.06103e-01  2.22359e-01 
  2.07353e-01  2.16120e-01 
  2.08604e-01  2.09339e-01 
  2.09855e-01  2.02069e-01 
  2.11105e-01  1.94369e-01 
  2.12356e-01  1.86298e-01 
  2.13607e-01  1.77914e-01 
  2.14857e-01  1.69276e-01 
  2.16108e-01  1.60443e-01 
  2.17358e-01  1.51473e-01 
  2.18609e-01  1.42422e-01 
  2.19860e-01  1.33345e-01 
  2.21110e-01  1.24296e-01 
  2.22361e-01  1.15324e-01 
  2.23612e-01  1.06479e-01 
  2.24862e-01  9.78056e-02 
  2.26113e-01  8.93467e-02 
  2.27363e-01  8.11415e-02 
  2.28614e-01  7.32260e-02 
  2.29865e-01  6.56328e-02 
  2.31115e-01  5.83908e-02 
  2.32366e-01  5.15254e-02 
  2.33617e-01  4.50581e-02 
  2.34867e-01  3.90070e-02 
  2.36118e-01  3.33865e-02 
  2.37368e-01  2.82072e-02 
  2.38619e-01  2.34764e-02 
  2.39870e-01  1.91980e-02 
  2.41120e-01  1.53724e-02 
  2.42371e-01  1.19969e-02 
  2.43622e-01  9.06592e-03 
  2.44872e-01  6.57090e-03 
  2.46123e-01  4.50072e-03 
  2.47373e-01  2.84179e-03 
  2.48624e-01  1.57828e-03 
  2.49875e-01  6.92379e-04 
  2.51125e-01  1.64451e-04 
  2.52376e-01  -2.66818e-05
  2.53627e-01  9.64675e-05 
  2.54877e-01  5.10283e-04 
  2.56128e-01  1.19027e-03 
  2.57378e-01  2.11130e-03 
  2.58629e-01  3.24780e-03 
  2.59880e-01  4.57397e-03 
  2.61130e-01  6.06402e-03 
  2.62381e-01  7.69233e-03 
  2.63632e-01  9.43364e-03 
  2.64882e-01  1.12632e-02 
  2.66133e-01  1.31571e-02 
  2.67383e-01  1.50921e-02 
  2.68634e-01  1.70459e-02 
  2.69885e-01  1.89976e-02 
  2.71135e-01  2.09273e-02 
  2.72386e-01  2.28163e-02 
  2.73637e-01  2.46475e-02 
  2.74887e-01  2.64050e-02 
  2.76138e-01  2.80747e-02 
  2.77388e-01  2.96436e-02 
  2.78639e-01  3.11007e-02 
  2.79890e-01  3.24361e-02 
  2.81140e-01  3.36417e-02 
  2.82391e-01  3.47110e-02 
  2.83642e-01  3.56386e-02 
  2.84892e-01  3.64210e-02 
  2.86143e-01  3.70558e-02 
  2.87393e-01  3.75421e-02 
  2.88644e-01  3.78801e-02 
  2.89895e-01  3.80714e-02 
  2.91145e-01  3.81187e-02 
  2.92396e-01  3.80256e-02 
  2.93647e-01  3.77968e-02 
  2.94897e-01  3.74378e-02 
  2.96148e-01  3.69549e-02 
  2.97398e-01  3.63550e-02 
  2.98649e-01  3.56457e-02 
  2.99900e-01  3.48350e-02 
  3.01150e-01  3.39314e-02 
  3.02401e-01  3.29437e-02 
  3.03652e-01  3.18807e-02 
  3.04902e-01  3.07517e-02 
  3.06153e-01  2.95657e-02 
  3.07404e-01  2.83319e-02 
  3.08654e-01  2.70595e-02 
  3.09905e-01  2.57571e-02 
