# Calculated data
# q            I           
  1.00000e-03  9.99270e-01 
  2.25063e-03  9.96308e-01 
  3.50125e-03  9.91083e-01 
  4.75188e-03  9.83621e-01 
  6.00251e-03  9.73960e-01 
  7.25313e-03  9.62148e-01 
  8.50376e-03  9.48245e-01 
  9.75439e-03  9.32321e-01 
  1.10050e-02  9.14454e-01 
  1.22556e-02  8.94735e-01 
  1.35063e-02  8.73262e-01 
  1.47569e-02  8.50140e-01 
  1.60075e-02  8.25484e-01 
  1.72581e-02  7.99414e-01 
  1.85088e-02  7.72059e-01 
  1.97594e-02  7.43550e-01 
  2.10100e-02  7.14025e-01 
  2.22607e-02  6.83626e-01 
  2.35113e-02  6.52496e-01 
  2.47619e-02  6.20782e-01 
  2.60125e-02  5.88632e-01 
  2.72632e-02  5.56195e-01 
  2.85138e-02  5.23617e-01 
  2.97644e-02  4.91047e-01 
  3.10150e-02  4.58627e-01 
  3.22657e-02  4.26501e-01 
  3.35163e-02  3.94806e-01 
  3.47669e-02  3.63675e-01 
  3.60175e-02  3.33237e-01 
  3.72682e-02  3.03614e-01 
  3.85188e-02  2.74923e-01 
  3.97694e-02  2.47272e-01 
  4.10201e-02  2.20763e-01 
  4.22707e-02  1.95489e-01 
  4.35213e-02  1.71534e-01 
  4.47719e-02  1.48974e-01 
  4.60226e-02  1.27876e-01 
  4.72732e-02  1.08296e-01 
  4.85238e-02  9.02822e-02 
  4.97744e-02  7.38715e-02 
  5.10251e-02  5.90916e-02 
  5.22757e-02  4.59601e-02 
  5.35263e-02  3.44850e-02 
  5.47769e-02  2.46645e-02 
  5.60276e-02  1.64872e-02 
  5.72782e-02  9.93260e-03 
  5.85288e-02  4.97124e-03 
  5.97794e-02  1.56502e-03 
  6.10301e-02  -3.32357e-04
  6.22807e-02  -7.74925e-04
  6.35313e-02  1.76025e-04 
  6.47820e-02  2.45247e-03 
  6.60326e-02  5.98022e-03 
  6.72832e-02  1.06795e-02 
  6.85338e-02  1.64657e-02 
  6.97845e-02  2.32496e-02 
  7.10351e-02  3.09388e-02 
  7.22857e-02  3.94374e-02 
  7.35363e-02  4.86475e-02 
  7.47870e-02  5.84696e-02 
  7.60376e-02  6.88030e-02 
  7.72882e-02  7.95469e-02 
  7.85388e-02  9.06010e-02 
  7.97895e-02  1.01866e-01 
  8.10401e-02  1.13243e-01 
  8.22907e-02  1.24637e-01 
  8.35414e-02  1.35956e-01 
  8.47920e-02  1.47110e-01 
  8.60426e-02  1.58012e-01 
  8.72932e-02  1.68583e-01 
  8.85439e-02  1.78745e-01 
  8.97945e-02  1.88426e-01 
  9.10451e-02  1.97561e-01 
  9.22957e-02  2.06090e-01 
  9.35464e-02  2.13958e-01 
  9.47970e-02  2.21116e-01 
