# Theoretical SAS data
# q            I           
  1.00000e-03  9.99271e-01 
  2.25063e-03  9.96313e-01 
  3.50125e-03  9.91094e-01 
  4.75188e-03  9.83641e-01 
  6.00251e-03  9.73991e-01 
  7.25313e-03  9.62192e-01 
  8.50376e-03  9.48305e-01 
  9.75439e-03  9.32398e-01 
  1.10050e-02  9.14550e-01 
  1.22556e-02  8.94852e-01 
  1.35063e-02  8.73400e-01 
  1.47569e-02  8.50300e-01 
  1.60075e-02  8.25666e-01 
  1.72581e-02  7.99619e-01 
  1.85088e-02  7.72286e-01 
  1.97594e-02  7.43799e-01 
  2.10100e-02  7.14295e-01 
  2.22607e-02  6.83916e-01 
  2.35113e-02  6.52804e-01 
  2.47619e-02  6.21107e-01 
  2.60125e-02  5.88972e-01 
  2.72632e-02  5.56548e-01 
  2.85138e-02  5.23981e-01 
  2.97644e-02  4.91419e-01 
  3.10150e-02  4.59006e-01 
  3.22657e-02  4.26884e-01 
  3.35163e-02  3.95191e-01 
  3.47669e-02  3.64060e-01 
  3.60175e-02  3.33621e-01 
  3.72682e-02  3.03995e-01 
  3.85188e-02  2.75300e-01 
  3.97694e-02  2.47644e-01 
  4.10201e-02  2.21129e-01 
  4.22707e-02  1.95850e-01 
  4.35213e-02  1.71890e-01 
  4.47719e-02  1.49327e-01 
  4.60226e-02  1.28228e-01 
  4.72732e-02  1.08649e-01 
  4.85238e-02  9.06389e-02 
  4.97744e-02  7.42361e-02 
  5.10251e-02  5.94687e-02 
  5.22757e-02  4.63550e-02 
  5.35263e-02  3.49037e-02 
  5.47769e-02  2.51137e-02 
  5.60276e-02  1.69745e-02 
  5.72782e-02  1.04662e-02 
  5.85288e-02  5.55992e-03 
  5.97794e-02  2.21831e-03 
  6.10301e-02  3.95642e-04 
  6.22807e-02  3.84132e-05 
  6.35313e-02  1.08581e-03 
  6.47820e-02  3.47024e-03 
  6.60326e-02  7.11784e-03 
  6.72832e-02  1.19491e-02 
  6.85338e-02  1.78796e-02 
  6.97845e-02  2.48202e-02 
  7.10351e-02  3.26785e-02 
  7.22857e-02  4.13585e-02 
  7.35363e-02  5.07621e-02 
  7.47870e-02  6.07895e-02 
  7.60376e-02  7.13396e-02 
  7.72882e-02  8.23111e-02 
  7.85388e-02  9.36029e-02 
  7.97895e-02  1.05115e-01 
  8.10401e-02  1.16748e-01 
  8.22907e-02  1.28407e-01 
  8.35414e-02  1.39996e-01 
  8.47920e-02  1.51426e-01 
  8.60426e-02  1.62610e-01 
  8.72932e-02  1.73465e-01 
  8.85439e-02  1.83913e-01 
  8.97945e-02  1.93881e-01 
  9.10451e-02  2.03303e-01 
  9.22957e-02  2.12115e-01 
  9.35464e-02  2.20263e-01 
  9.47970e-02  2.27697e-01 
  9.60476e-02  2.34374e-01 
  9.72982e-02  2.40257e-01 
  9.85489e-02  2.45315e-01 
  9.97995e-02  2.49526e-01 
  1.01050e-01  2.52872e-01 
  1.02301e-01  2.55342e-01 
  1.03551e-01  2.56933e-01 
  1.04802e-01  2.57647e-01 
  1.06053e-01  2.57492e-01 
  1.07303e-01  2.56481e-01 
  1.08554e-01  2.54635e-01 
  1.09805e-01  2.51977e-01 
  1.11055e-01  2.48539e-01 
  1.12306e-01  2.44354e-01 
  1.13556e-01  2.39460e-01 
  1.14807e-01  2.33900e-01 
  1.16058e-01  2.27721e-01 
  1.17308e-01  2.20970e-01 
  1.18559e-01  2.13699e-01 
  1.19810e-01  2.05962e-01 
  1.21060e-01  1.97814e-01 
  1.22311e-01  1.89311e-01 
  1.23561e-01  1.80511e-01 
  1.24812e-01  1.71471e-01 
  1.26063e-01  1.62249e-01 
  1.27313e-01  1.52901e-01 
  1.28564e-01  1.43486e-01 
  1.29815e-01  1.34057e-01 
  1.31065e-01  1.24667e-01 
  1.32316e-01  1.15370e-01 
  1.33566e-01  1.06213e-01 
  1.34817e-01  9.72441e-02 
  1.36068e-01  8.85071e-02 
  1.37318e-01  8.00431e-02 
  1.38569e-01  7.18900e-02 
  1.39820e-01  6.40822e-02 
  1.41070e-01  5.66508e-02 
  1.42321e-01  4.96230e-02 
  1.43571e-01  4.30226e-02 
  1.44822e-01  3.68694e-02 
  1.46073e-01  3.11795e-02 
  1.47323e-01  2.59652e-02 
  1.48574e-01  2.12351e-02 
  1.49825e-01  1.69940e-02 
  1.51075e-01  1.32434e-02 
  1.52326e-01  9.98093e-03 
  1.53576e-01  7.20118e-03 
  1.54827e-01  4.89542e-03 
  1.56078e-01  3.05194e-03 
  1.57328e-01  1.65621e-03 
  1.58579e-01  6.91089e-04 
  1.59830e-01  1.37044e-04 
  1.61080e-01  -2.76145e-05
  1.62331e-01  1.73504e-04 
  1.63581e-01  7.15118e-04 
  1.64832e-01  1.57053e-03 
  1.66083e-01  2.71187e-03 
  1.67333e-01  4.11035e-03 
  1.68584e-01  5.73656e-03 
  1.69835e-01  7.56062e-03 
  1.71085e-01  9.55254e-03 
  1.72336e-01  1.16824e-02 
  1.73586e-01  1.39205e-02 
  1.74837e-01  1.62377e-02 
  1.76088e-01  1.86056e-02 
  1.77338e-01  2.09967e-02 
  1.78589e-01  2.33847e-02 
  1.79840e-01  2.57443e-02 
  1.81090e-01  2.80518e-02 
  1.82341e-01  3.02850e-02 
  1.83591e-01  3.24233e-02 
  1.84842e-01  3.44478e-02 
  1.86093e-01  3.63417e-02 
  1.87343e-01  3.80896e-02 
  1.88594e-01  3.96786e-02 
  1.89845e-01  4.10973e-02 
  1.91095e-01  4.23364e-02 
  1.92346e-01  4.33886e-02 
  1.93596e-01  4.42486e-02 
  1.94847e-01  4.49129e-02 
  1.96098e-01  4.53799e-02 
  1.97348e-01  4.56498e-02 
  1.98599e-01  4.57243e-02 
  1.99850e-01  4.56071e-02 
  2.01100e-01  4.53032e-02 
  2.02351e-01  4.48190e-02 
  2.03602e-01  4.41622e-02 
  2.04852e-01  4.33418e-02 
  2.06103e-01  4.23679e-02 
  2.07353e-01  4.12513e-02 
  2.08604e-01  4.00039e-02 
  2.09855e-01  3.86380e-02 
  2.11105e-01  3.71665e-02 
  2.12356e-01  3.56028e-02 
  2.13607e-01  3.39606e-02 
  2.14857e-01  3.22535e-02 
  2.16108e-01  3.04955e-02 
  2.17358e-01  2.87001e-02 
  2.18609e-01  2.68808e-02 
  2.19860e-01  2.50509e-02 
  2.21110e-01  2.32230e-02 
  2.22361e-01  2.14093e-02 
  2.23612e-01  1.96215e-02 
  2.24862e-01  1.78706e-02 
  2.26113e-01  1.61668e-02 
  2.27363e-01  1.45195e-02 
  2.28614e-01  1.29373e-02 
  2.29865e-01  1.14279e-02 
  2.31115e-01  9.99823e-03 
  2.32366e-01  8.65404e-03 
  2.33617e-01  7.40031e-03 
  2.34867e-01  6.24104e-03 
  2.36118e-01  5.17927e-03 
  2.37368e-01  4.21715e-03 
  2.38619e-01  3.35590e-03 
  2.39870e-01  2.59589e-03 
  2.41120e-01  1.93662e-03 
  2.42371e-01  1.37681e-03 
  2.43622e-01  9.14444e-04 
  2.44872e-01  5.46769e-04 
  2.46123e-01  2.70404e-04 
  2.47373e-01  8.13765e-05 
  2.48624e-01  -2.48161e-05
  2.49875e-01  -5.31418e-05
  2.51125e-01  -8.97017e-06
  2.52376e-01  1.01993e-04 
  2.53627e-01  2.73770e-04 
  2.54877e-01  5.00176e-04 
  2.56128e-01  7.74886e-04 
  2.57378e-01  1.09149e-03 
  2.58629e-01  1.44356e-03 
  2.59880e-01  1.82470e-03 
  2.61130e-01  2.22862e-03 
  2.62381e-01  2.64915e-03 
  2.63632e-01  3.08033e-03 
  2.64882e-01  3.51643e-03 
  2.66133e-01  3.95198e-03 
  2.67383e-01  4.38183e-03 
  2.68634e-01  4.80117e-03 
  2.69885e-01  5.20556e-03 
  2.71135e-01  5.59095e-03 
  2.72386e-01  5.95367e-03 
  2.73637e-01  6.29050e-03 
  2.74887e-01  6.59862e-03 
  2.76138e-01  6.87567e-03 
  2.77388e-01  7.11968e-03 
  2.78639e-01  7.32915e-03 
  2.79890e-01  7.50295e-03 
  2.81140e-01  7.64039e-03 
  2.82391e-01  7.74117e-03 
  2.83642e-01  7.80533e-03 
  2.84892e-01  7.83331e-03 
  2.86143e-01  7.82584e-03 
  2.87393e-01  7.78398e-03 
  2.88644e-01  7.70907e-03 
  2.89895e-01  7.60268e-03 
  2.91145e-01  7.46662e-03 
  2.92396e-01  7.30290e-03 
  2.93647e-01  7.11369e-03 
  2.94897e-01  6.90128e-03 
  2.96148e-01  6.66808e-03 
  2.97398e-01  6.41659e-03 
  2.98649e-01  6.14933e-03 
  2.99900e-01  5.86887e-03 
  3.01150e-01  5.57774e-03 
  3.02401e-01  5.27848e-03 
  3.03652e-01  4.97356e-03 
  3.04902e-01  4.66538e-03 
  3.06153e-01  4.35625e-03 
  3.07404e-01  4.04836e-03 
  3.08654e-01  3.74378e-03 
  3.09905e-01  3.44447e-03 
  3.11155e-01  3.15220e-03 
  3.12406e-01  2.86860e-03 
  3.13657e-01  2.59513e-03 
  3.14907e-01  2.33310e-03 
  3.16158e-01  2.08362e-03 
  3.17409e-01  1.84765e-03 
  3.18659e-01  1.62595e-03 
  3.19910e-01  1.41913e-03 
  3.21160e-01  1.22763e-03 
  3.22411e-01  1.05172e-03 
  3.23662e-01  8.91529e-04 
  3.24912e-01  7.47028e-04 
  3.26163e-01  6.18056e-04 
  3.27414e-01  5.04325e-04 
  3.28664e-01  4.05428e-04 
  3.29915e-01  3.20855e-04 
  3.31165e-01  2.50000e-04 
  3.32416e-01  1.92178e-04 
  3.33667e-01  1.46630e-04 
  3.34917e-01  1.12544e-04 
  3.36168e-01  8.90579e-05 
  3.37419e-01  7.52786e-05 
  3.38669e-01  7.02887e-05 
  3.39920e-01  7.31588e-05 
  3.41170e-01  8.29580e-05 
  3.42421e-01  9.87630e-05 
  3.43672e-01  1.19668e-04 
  3.44922e-01  1.44790e-04 
  3.46173e-01  1.73282e-04 
  3.47424e-01  2.04332e-04 
  3.48674e-01  2.37176e-04 
  3.49925e-01  2.71096e-04 
  3.51175e-01  3.05429e-04 
  3.52426e-01  3.39568e-04 
  3.53677e-01  3.72965e-04 
  3.54927e-01  4.05131e-04 
  3.56178e-01  4.35639e-04 
  3.57429e-01  4.64120e-04 
  3.58679e-01  4.90267e-04 
  3.59930e-01  5.13829e-04 
  3.61180e-01  5.34614e-04 
  3.62431e-01  5.52482e-04 
  3.63682e-01  5.67344e-04 
  3.64932e-01  5.79158e-04 
  3.66183e-01  5.87926e-04 
  3.67434e-01  5.93692e-04 
  3.68684e-01  5.96534e-04 
  3.69935e-01  5.96560e-04 
