# Theoretical SAS data
# q            I           
  1.00000e-03  9.97114e-01 
  2.25063e-03  9.85487e-01 
  3.50125e-03  9.65318e-01 
  4.75188e-03  9.37261e-01 
  6.00251e-03  9.02207e-01 
  7.25313e-03  8.61238e-01 
  8.50376e-03  8.15571e-01 
  9.75439e-03  7.66497e-01 
  1.10050e-02  7.15323e-01 
  1.22556e-02  6.63309e-01 
  1.35063e-02  6.11616e-01 
  1.47569e-02  5.61264e-01 
  1.60075e-02  5.13099e-01 
  1.72581e-02  4.67772e-01 
  1.85088e-02  4.25734e-01 
  1.97594e-02  3.87236e-01 
  2.10100e-02  3.52355e-01 
  2.22607e-02  3.21005e-01 
  2.35113e-02  2.92982e-01 
  2.47619e-02  2.67985e-01 
  2.60125e-02  2.45662e-01 
  2.72632e-02  2.25634e-01 
  2.85138e-02  2.07531e-01 
  2.97644e-02  1.91009e-01 
  3.10150e-02  1.75774e-01 
  3.22657e-02  1.61584e-01 
  3.35163e-02  1.48259e-01 
  3.47669e-02  1.35678e-01 
  3.60175e-02  1.23769e-01 
  3.72682e-02  1.12500e-01 
  3.85188e-02  1.01872e-01 
  3.97694e-02  9.18992e-02 
  4.10201e-02  8.26035e-02 
  4.22707e-02  7.40033e-02 
  4.35213e-02  6.61067e-02 
  4.47719e-02  5.89075e-02 
  4.60226e-02  5.23841e-02 
  4.72732e-02  4.64999e-02 
  4.85238e-02  4.12070e-02 
  4.97744e-02  3.64496e-02 
  5.10251e-02  3.21689e-02 
  5.22757e-02  2.83072e-02 
  5.35263e-02  2.48124e-02 
  5.47769e-02  2.16398e-02 
  5.60276e-02  1.87544e-02 
  5.72782e-02  1.61305e-02 
  5.85288e-02  1.37513e-02 
  5.97794e-02  1.16065e-02 
  6.10301e-02  9.69076e-03 
  6.22807e-02  8.00036e-03 
  6.35313e-02  6.53139e-03 
  6.47820e-02  5.27763e-03 
  6.60326e-02  4.22932e-03 
  6.72832e-02  3.37257e-03 
  6.85338e-02  2.68953e-03 
  6.97845e-02  2.15923e-03 
  7.10351e-02  1.75873e-03 
  7.22857e-02  1.46465e-03 
  7.35363e-02  1.25464e-03 
  7.47870e-02  1.10868e-03 
  7.60376e-02  1.01014e-03 
  7.72882e-02  9.46238e-04 
  7.85388e-02  9.08181e-04 
  7.97895e-02  8.90803e-04 
  8.10401e-02  8.91854e-04 
  8.22907e-02  9.11066e-04 
  8.35414e-02  9.49126e-04 
  8.47920e-02  1.00670e-03 
  8.60426e-02  1.08362e-03 
  8.72932e-02  1.17835e-03 
  8.85439e-02  1.28773e-03 
  8.97945e-02  1.40707e-03 
  9.10451e-02  1.53046e-03 
  9.22957e-02  1.65133e-03 
  9.35464e-02  1.76311e-03 
  9.47970e-02  1.85986e-03 
  9.60476e-02  1.93685e-03 
  9.72982e-02  1.99098e-03 
  9.85489e-02  2.02101e-03 
  9.97995e-02  2.02748e-03 
  1.01050e-01  2.01258e-03 
  1.02301e-01  1.97968e-03 
  1.03551e-01  1.93284e-03 
  1.04802e-01  1.87632e-03 
  1.06053e-01  1.81403e-03 
  1.07303e-01  1.74912e-03 
  1.08554e-01  1.68373e-03 
  1.09805e-01  1.61888e-03 
  1.11055e-01  1.55452e-03 
  1.12306e-01  1.48972e-03 
  1.13556e-01  1.42302e-03 
  1.14807e-01  1.35276e-03 
  1.16058e-01  1.27745e-03 
  1.17308e-01  1.19610e-03 
  1.18559e-01  1.10845e-03 
  1.19810e-01  1.01506e-03 
  1.21060e-01  9.17358e-04 
  1.22311e-01  8.17446e-04 
  1.23561e-01  7.17933e-04 
  1.24812e-01  6.21631e-04 
  1.26063e-01  5.31267e-04 
  1.27313e-01  4.49196e-04 
  1.28564e-01  3.77179e-04 
  1.29815e-01  3.16239e-04 
  1.31065e-01  2.66607e-04 
  1.32316e-01  2.27766e-04 
  1.33566e-01  1.98575e-04 
  1.34817e-01  1.77463e-04 
  1.36068e-01  1.62642e-04 
  1.37318e-01  1.52337e-04 
  1.38569e-01  1.44983e-04 
  1.39820e-01  1.39374e-04 
  1.41070e-01  1.34753e-04 
  1.42321e-01  1.30824e-04 
  1.43571e-01  1.27702e-04 
  1.44822e-01  1.25818e-04 
  1.46073e-01  1.25774e-04 
  1.47323e-01  1.28194e-04 
  1.48574e-01  1.33585e-04 
  1.49825e-01  1.42222e-04 
  1.51075e-01  1.54076e-04 
  1.52326e-01  1.68792e-04 
  1.53576e-01  1.85713e-04 
  1.54827e-01  2.03952e-04 
  1.56078e-01  2.22488e-04 
  1.57328e-01  2.40280e-04 
  1.58579e-01  2.56379e-04 
  1.59830e-01  2.70022e-04 
  1.61080e-01  2.80697e-04 
  1.62331e-01  2.88175e-04 
  1.63581e-01  2.92503e-04 
  1.64832e-01  2.93960e-04 
  1.66083e-01  2.92992e-04 
  1.67333e-01  2.90131e-04 
  1.68584e-01  2.85908e-04 
  1.69835e-01  2.80780e-04 
  1.71085e-01  2.75078e-04 
  1.72336e-01  2.68968e-04 
  1.73586e-01  2.62459e-04 
  1.74837e-01  2.55423e-04 
  1.76088e-01  2.47637e-04 
  1.77338e-01  2.38847e-04 
  1.78589e-01  2.28828e-04 
  1.79840e-01  2.17432e-04 
  1.81090e-01  2.04640e-04 
  1.82341e-01  1.90575e-04 
  1.83591e-01  1.75503e-04 
  1.84842e-01  1.59812e-04 
  1.86093e-01  1.43972e-04 
  1.87343e-01  1.28484e-04 
  1.88594e-01  1.13827e-04 
  1.89845e-01  1.00404e-04 
  1.91095e-01  8.85085e-05 
  1.92346e-01  7.82974e-05 
  1.93596e-01  6.97876e-05 
  1.94847e-01  6.28700e-05 
  1.96098e-01  5.73384e-05 
  1.97348e-01  5.29295e-05 
  1.98599e-01  4.93675e-05 
  1.99850e-01  4.64064e-05 
  2.01100e-01  4.38646e-05 
  2.02351e-01  4.16472e-05 
  2.03602e-01  3.97523e-05 
  2.04852e-01  3.82629e-05 
  2.06103e-01  3.73244e-05 
  2.07353e-01  3.71130e-05 
  2.08604e-01  3.77984e-05 
  2.09855e-01  3.95084e-05 
  2.11105e-01  4.22989e-05 
  2.12356e-01  4.61341e-05 
  2.13607e-01  5.08806e-05 
  2.14857e-01  5.63143e-05 
  2.16108e-01  6.21408e-05 
  2.17358e-01  6.80251e-05 
  2.18609e-01  7.36268e-05 
  2.19860e-01  7.86363e-05 
  2.21110e-01  8.28066e-05 
  2.22361e-01  8.59772e-05 
  2.23612e-01  8.80864e-05 
  2.24862e-01  8.91713e-05 
