# Calculated data
# q            I           
  1.00000e-03  9.99596e-01 
  2.25063e-03  9.97955e-01 
  3.50125e-03  9.95057e-01 
  4.75188e-03  9.90911e-01 
  6.00251e-03  9.85531e-01 
  7.25313e-03  9.78934e-01 
  8.50376e-03  9.71141e-01 
  9.75439e-03  9.62178e-01 
  1.10050e-02  9.52072e-01 
  1.22556e-02  9.40857e-01 
  1.35063e-02  9.28568e-01 
  1.47569e-02  9.15244e-01 
  1.60075e-02  9.00926e-01 
  1.72581e-02  8.85660e-01 
  1.85088e-02  8.69492e-01 
  1.97594e-02  8.52473e-01 
  2.10100e-02  8.34655e-01 
  2.22607e-02  8.16091e-01 
  2.35113e-02  7.96838e-01 
  2.47619e-02  7.76952e-01 
  2.60125e-02  7.56492e-01 
  2.72632e-02  7.35518e-01 
  2.85138e-02  7.14090e-01 
  2.97644e-02  6.92268e-01 
  3.10150e-02  6.70114e-01 
  3.22657e-02  6.47688e-01 
  3.35163e-02  6.25052e-01 
  3.47669e-02  6.02264e-01 
  3.60175e-02  5.79386e-01 
  3.72682e-02  5.56474e-01 
  3.85188e-02  5.33587e-01 
  3.97694e-02  5.10779e-01 
  4.10201e-02  4.88106e-01 
  4.22707e-02  4.65619e-01 
  4.35213e-02  4.43369e-01 
  4.47719e-02  4.21405e-01 
  4.60226e-02  3.99771e-01 
  4.72732e-02  3.78511e-01 
  4.85238e-02  3.57667e-01 
  4.97744e-02  3.37277e-01 
  5.10251e-02  3.17375e-01 
  5.22757e-02  2.97995e-01 
  5.35263e-02  2.79166e-01 
  5.47769e-02  2.60914e-01 
  5.60276e-02  2.43265e-01 
  5.72782e-02  2.26237e-01 
  5.85288e-02  2.09849e-01 
  5.97794e-02  1.94116e-01 
  6.10301e-02  1.79050e-01 
  6.22807e-02  1.64658e-01 
  6.35313e-02  1.50948e-01 
  6.47820e-02  1.37922e-01 
  6.60326e-02  1.25581e-01 
  6.72832e-02  1.13923e-01 
  6.85338e-02  1.02943e-01 
  6.97845e-02  9.26334e-02 
  7.10351e-02  8.29861e-02 
  7.22857e-02  7.39891e-02 
  7.35363e-02  6.56289e-02 
  7.47870e-02  5.78904e-02 
  7.60376e-02  5.07565e-02 
  7.72882e-02  4.42085e-02 
  7.85388e-02  3.82266e-02 
  7.97895e-02  3.27894e-02 
  8.10401e-02  2.78746e-02 
  8.22907e-02  2.34591e-02 
  8.35414e-02  1.95187e-02 
  8.47920e-02  1.60288e-02 
  8.60426e-02  1.29643e-02 
  8.72932e-02  1.02996e-02 
  8.85439e-02  8.00933e-03 
  8.97945e-02  6.06765e-03 
  9.10451e-02  4.44904e-03 
  9.22957e-02  3.12817e-03 
  9.35464e-02  2.08005e-03 
  9.47970e-02  1.28014e-03 
  9.60476e-02  7.04492e-04 
  9.72982e-02  3.29802e-04 
  9.85489e-02  1.33525e-04 
  9.97995e-02  9.39542e-05 
  1.01050e-01  1.90287e-04 
  1.02301e-01  4.02692e-04 
  1.03551e-01  7.12364e-04 
  1.04802e-01  1.10157e-03 
  1.06053e-01  1.55367e-03 
  1.07303e-01  2.05318e-03 
  1.08554e-01  2.58576e-03 
  1.09805e-01  3.13823e-03 
  1.11055e-01  3.69858e-03 
  1.12306e-01  4.25598e-03 
  1.13556e-01  4.80074e-03 
  1.14807e-01  5.32428e-03 
  1.16058e-01  5.81918e-03 
  1.17308e-01  6.27905e-03 
  1.18559e-01  6.69855e-03 
  1.19810e-01  7.07337e-03 
  1.21060e-01  7.40011e-03 
  1.22311e-01  7.67630e-03 
  1.23561e-01  7.90030e-03 
  1.24812e-01  8.07129e-03 
  1.26063e-01  8.18915e-03 
  1.27313e-01  8.25447e-03 
  1.28564e-01  8.26843e-03 
  1.29815e-01  8.23276e-03 
  1.31065e-01  8.14969e-03 
  1.32316e-01  8.02186e-03 
  1.33566e-01  7.85231e-03 
  1.34817e-01  7.64434e-03 
  1.36068e-01  7.40153e-03 
  1.37318e-01  7.12764e-03 
  1.38569e-01  6.82655e-03 
  1.39820e-01  6.50224e-03 
  1.41070e-01  6.15873e-03 
  1.42321e-01  5.80000e-03 
  1.43571e-01  5.43001e-03 
  1.44822e-01  5.05259e-03 
  1.46073e-01  4.67148e-03 
  1.47323e-01  4.29023e-03 
  1.48574e-01  3.91220e-03 
  1.49825e-01  3.54056e-03 
  1.51075e-01  3.17820e-03 
  1.52326e-01  2.82781e-03 
  1.53576e-01  2.49178e-03 
  1.54827e-01  2.17222e-03 
  1.56078e-01  1.87098e-03 
  1.57328e-01  1.58961e-03 
  1.58579e-01  1.32937e-03 
  1.59830e-01  1.09125e-03 
  1.61080e-01  8.75956e-04 
  1.62331e-01  6.83916e-04 
  1.63581e-01  5.15310e-04 
  1.64832e-01  3.70065e-04 
  1.66083e-01  2.47880e-04 
  1.67333e-01  1.48233e-04 
  1.68584e-01  7.04073e-05 
  1.69835e-01  1.35020e-05 
  1.71085e-01  -2.35432e-05
  1.72336e-01  -4.19308e-05
  1.73586e-01  -4.29842e-05
  1.74837e-01  -2.81276e-05
  1.76088e-01  1.13432e-06 
  1.77338e-01  4.32370e-05 
  1.78589e-01  9.65752e-05 
  1.79840e-01  1.59522e-04 
  1.81090e-01  2.30449e-04 
  1.82341e-01  3.07739e-04 
  1.83591e-01  3.89809e-04 
  1.84842e-01  4.75119e-04 
  1.86093e-01  5.62190e-04 
  1.87343e-01  6.49614e-04 
  1.88594e-01  7.36068e-04 
  1.89845e-01  8.20320e-04 
  1.91095e-01  9.01240e-04 
  1.92346e-01  9.77806e-04 
  1.93596e-01  1.04911e-03 
  1.94847e-01  1.11435e-03 
  1.96098e-01  1.17287e-03 
  1.97348e-01  1.22410e-03 
  1.98599e-01  1.26761e-03 
  1.99850e-01  1.30309e-03 
  2.01100e-01  1.33033e-03 
  2.02351e-01  1.34924e-03 
  2.03602e-01  1.35984e-03 
  2.04852e-01  1.36224e-03 
  2.06103e-01  1.35665e-03 
  2.07353e-01  1.34337e-03 
  2.08604e-01  1.32277e-03 
  2.09855e-01  1.29529e-03 
  2.11105e-01  1.26144e-03 
  2.12356e-01  1.22177e-03 
  2.13607e-01  1.17689e-03 
  2.14857e-01  1.12742e-03 
  2.16108e-01  1.07402e-03 
  2.17358e-01  1.01738e-03 
  2.18609e-01  9.58172e-04 
  2.19860e-01  8.97077e-04 
  2.21110e-01  8.34769e-04 
  2.22361e-01  7.71904e-04 
  2.23612e-01  7.09118e-04 
  2.24862e-01  6.47015e-04 
  2.26113e-01  5.86163e-04 
  2.27363e-01  5.27095e-04 
  2.28614e-01  4.70295e-04 
  2.29865e-01  4.16201e-04 
  2.31115e-01  3.65202e-04 
  2.32366e-01  3.17633e-04 
  2.33617e-01  2.73774e-04 
  2.34867e-01  2.33851e-04 
  2.36118e-01  1.98036e-04 
  2.37368e-01  1.66444e-04 
  2.38619e-01  1.39138e-04 
  2.39870e-01  1.16131e-04 
  2.41120e-01  9.73829e-05 
  2.42371e-01  8.28097e-05 
  2.43622e-01  7.22828e-05 
  2.44872e-01  6.56332e-05 
  2.46123e-01  6.26558e-05 
  2.47373e-01  6.31132e-05 
  2.48624e-01  6.67396e-05 
  2.49875e-01  7.32456e-05 
  2.51125e-01  8.23227e-05 
  2.52376e-01  9.36474e-05 
  2.53627e-01  1.06886e-04 
  2.54877e-01  1.21698e-04 
  2.56128e-01  1.37744e-04 
  2.57378e-01  1.54683e-04 
  2.58629e-01  1.72183e-04 
  2.59880e-01  1.89923e-04 
  2.61130e-01  2.07592e-04 
  2.62381e-01  2.24899e-04 
  2.63632e-01  2.41569e-04 
  2.64882e-01  2.57352e-04 
  2.66133e-01  2.72019e-04 
  2.67383e-01  2.85368e-04 
  2.68634e-01  2.97222e-04 
  2.69885e-01  3.07435e-04 
  2.71135e-01  3.15885e-04 
  2.72386e-01  3.22482e-04 
  2.73637e-01  3.27161e-04 
  2.74887e-01  3.29889e-04 
  2.76138e-01  3.30656e-04 
  2.77388e-01  3.29481e-04 
  2.78639e-01  3.26404e-04 
  2.79890e-01  3.21493e-04 
  2.81140e-01  3.14834e-04 
  2.82391e-01  3.06532e-04 
  2.83642e-01  2.96711e-04 
  2.84892e-01  2.85508e-04 
  2.86143e-01  2.73074e-04 
  2.87393e-01  2.59571e-04 
  2.88644e-01  2.45165e-04 
  2.89895e-01  2.30032e-04 
  2.91145e-01  2.14347e-04 
  2.92396e-01  1.98288e-04 
  2.93647e-01  1.82030e-04 
  2.94897e-01  1.65746e-04 
  2.96148e-01  1.49600e-04 
  2.97398e-01  1.33752e-04 
  2.98649e-01  1.18350e-04 
  2.99900e-01  1.03531e-04 
  3.01150e-01  8.94231e-05 
  3.02401e-01  7.61373e-05 
  3.03652e-01  6.37723e-05 
  3.04902e-01  5.24115e-05 
  3.06153e-01  4.21230e-05 
  3.07404e-01  3.29592e-05 
  3.08654e-01  2.49568e-05 
  3.09905e-01  1.81370e-05 
  3.11155e-01  1.25056e-05 
  3.12406e-01  8.05382e-06 
