# Calculated data
# q            I           
  1.00000e-03  9.99595e-01 
  2.25063e-03  9.97952e-01 
  3.50125e-03  9.95050e-01 
  4.75188e-03  9.90898e-01 
  6.00251e-03  9.85510e-01 
  7.25313e-03  9.78904e-01 
  8.50376e-03  9.71100e-01 
  9.75439e-03  9.62125e-01 
  1.10050e-02  9.52006e-01 
  1.22556e-02  9.40777e-01 
  1.35063e-02  9.28473e-01 
  1.47569e-02  9.15133e-01 
  1.60075e-02  9.00799e-01 
  1.72581e-02  8.85516e-01 
  1.85088e-02  8.69333e-01 
  1.97594e-02  8.52298e-01 
  2.10100e-02  8.34464e-01 
  2.22607e-02  8.15886e-01 
  2.35113e-02  7.96619e-01 
  2.47619e-02  7.76721e-01 
  2.60125e-02  7.56251e-01 
  2.72632e-02  7.35267e-01 
  2.85138e-02  7.13832e-01 
  2.97644e-02  6.92005e-01 
  3.10150e-02  6.69848e-01 
  3.22657e-02  6.47421e-01 
  3.35163e-02  6.24787e-01 
  3.47669e-02  6.02004e-01 
  3.60175e-02  5.79132e-01 
  3.72682e-02  5.56230e-01 
  3.85188e-02  5.33355e-01 
  3.97694e-02  5.10562e-01 
  4.10201e-02  4.87907e-01 
  4.22707e-02  4.65440e-01 
  4.35213e-02  4.43213e-01 
  4.47719e-02  4.21273e-01 
  4.60226e-02  3.99667e-01 
  4.72732e-02  3.78437e-01 
  4.85238e-02  3.57625e-01 
  4.97744e-02  3.37267e-01 
  5.10251e-02  3.17400e-01 
  5.22757e-02  2.98056e-01 
  5.35263e-02  2.79264e-01 
  5.47769e-02  2.61050e-01 
  5.60276e-02  2.43438e-01 
  5.72782e-02  2.26448e-01 
  5.85288e-02  2.10098e-01 
  5.97794e-02  1.94403e-01 
  6.10301e-02  1.79372e-01 
  6.22807e-02  1.65016e-01 
  6.35313e-02  1.51339e-01 
  6.47820e-02  1.38345e-01 
  6.60326e-02  1.26033e-01 
  6.72832e-02  1.14402e-01 
  6.85338e-02  1.03445e-01 
  6.97845e-02  9.31575e-02 
  7.10351e-02  8.35279e-02 
  7.22857e-02  7.45451e-02 
  7.35363e-02  6.61955e-02 
  7.47870e-02  5.84635e-02 
  7.60376e-02  5.13320e-02 
  7.72882e-02  4.47823e-02 
  7.85388e-02  3.87943e-02 
  7.97895e-02  3.33466e-02 
  8.10401e-02  2.84170e-02 
  8.22907e-02  2.39821e-02 
  8.35414e-02  2.00179e-02 
  8.47920e-02  1.64999e-02 
  8.60426e-02  1.34030e-02 
  8.72932e-02  1.07018e-02 
  8.85439e-02  8.37098e-03 
  8.97945e-02  6.38496e-03 
  9.10451e-02  4.71842e-03 
  9.22957e-02  3.34626e-03 
  9.35464e-02  2.24375e-03 
  9.47970e-02  1.38667e-03 
  9.60476e-02  7.51348e-04 
  9.72982e-02  3.14829e-04 
  9.85489e-02  5.49151e-05 
  9.97995e-02  -4.97395e-05
  1.01050e-01  -1.95610e-05
  1.02301e-01  1.26004e-04 
  1.03551e-01  3.68540e-04 
  1.04802e-01  6.90707e-04 
  1.06053e-01  1.07627e-03 
  1.07303e-01  1.51012e-03 
  1.08554e-01  1.97832e-03 
  1.09805e-01  2.46807e-03 
  1.11055e-01  2.96772e-03 
  1.12306e-01  3.46679e-03 
  1.13556e-01  3.95593e-03 
  1.14807e-01  4.42690e-03 
  1.16058e-01  4.87255e-03 
  1.17308e-01  5.28679e-03 
  1.18559e-01  5.66452e-03 
  1.19810e-01  6.00165e-03 
  1.21060e-01  6.29499e-03 
  1.22311e-01  6.54222e-03 
  1.23561e-01  6.74185e-03 
  1.24812e-01  6.89315e-03 
  1.26063e-01  6.99609e-03 
  1.27313e-01  7.05128e-03 
  1.28564e-01  7.05991e-03 
  1.29815e-01  7.02371e-03 
  1.31065e-01  6.94482e-03 
  1.32316e-01  6.82583e-03 
  1.33566e-01  6.66963e-03 
  1.34817e-01  6.47939e-03 
