# Theoretical SAS data
# q            I           
  1.00000e-03  9.99679e-01 
  2.25063e-03  9.98376e-01 
  3.50125e-03  9.96073e-01 
  4.75188e-03  9.92777e-01 
  6.00251e-03  9.88497e-01 
  7.25313e-03  9.83242e-01 
  8.50376e-03  9.77027e-01 
  9.75439e-03  9.69868e-01 
  1.10050e-02  9.61782e-01 
  1.22556e-02  9.52791e-01 
  1.35063e-02  9.42916e-01 
  1.47569e-02  9.32184e-01 
  1.60075e-02  9.20622e-01 
  1.72581e-02  9.08257e-01 
  1.85088e-02  8.95121e-01 
  1.97594e-02  8.81246e-01 
  2.10100e-02  8.66667e-01 
  2.22607e-02  8.51419e-01 
  2.35113e-02  8.35539e-01 
  2.47619e-02  8.19066e-01 
  2.60125e-02  8.02039e-01 
  2.72632e-02  7.84497e-01 
  2.85138e-02  7.66483e-01 
  2.97644e-02  7.48039e-01 
  3.10150e-02  7.29205e-01 
  3.22657e-02  7.10026e-01 
  3.35163e-02  6.90545e-01 
  3.47669e-02  6.70804e-01 
  3.60175e-02  6.50846e-01 
  3.72682e-02  6.30715e-01 
  3.85188e-02  6.10454e-01 
  3.97694e-02  5.90103e-01 
  4.10201e-02  5.69706e-01 
  4.22707e-02  5.49302e-01 
  4.35213e-02  5.28933e-01 
  4.47719e-02  5.08636e-01 
  4.60226e-02  4.88451e-01 
  4.72732e-02  4.68415e-01 
  4.85238e-02  4.48562e-01 
  4.97744e-02  4.28927e-01 
  5.10251e-02  4.09543e-01 
  5.22757e-02  3.90442e-01 
  5.35263e-02  3.71653e-01 
  5.47769e-02  3.53205e-01 
  5.60276e-02  3.35123e-01 
  5.72782e-02  3.17433e-01 
  5.85288e-02  3.00157e-01 
  5.97794e-02  2.83317e-01 
  6.10301e-02  2.66930e-01 
  6.22807e-02  2.51016e-01 
  6.35313e-02  2.35588e-01 
  6.47820e-02  2.20661e-01 
  6.60326e-02  2.06246e-01 
  6.72832e-02  1.92352e-01 
  6.85338e-02  1.78988e-01 
  6.97845e-02  1.66160e-01 
  7.10351e-02  1.53871e-01 
  7.22857e-02  1.42125e-01 
  7.35363e-02  1.30921e-01 
  7.47870e-02  1.20260e-01 
  7.60376e-02  1.10137e-01 
  7.72882e-02  1.00550e-01 
  7.85388e-02  9.14932e-02 
  7.97895e-02  8.29588e-02 
  8.10401e-02  7.49388e-02 
  8.22907e-02  6.74238e-02 
