# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.13528e-02  2.63382e-03 
  2.25063e-03  1.30310e-02  1.75715e-03 
  3.50125e-03  1.14785e-02  1.41095e-03 
  4.75188e-03  1.01847e-02  1.21377e-03 
  6.00251e-03  1.31638e-02  1.08300e-03 
  7.25313e-03  1.29582e-02  9.88637e-04 
  8.50376e-03  1.02666e-02  9.16788e-04 
  9.75439e-03  1.26604e-02  8.60032e-04 
  1.10050e-02  1.13794e-02  8.13986e-04 
  1.22556e-02  1.30796e-02  7.75874e-04 
  1.35063e-02  1.23975e-02  7.43840e-04 
  1.47569e-02  1.29681e-02  7.16585e-04 
  1.60075e-02  1.30215e-02  6.93173e-04 
  1.72581e-02  1.23881e-02  6.72905e-04 
  1.85088e-02  1.32600e-02  6.55250e-04 
  1.97594e-02  1.26655e-02  6.39791e-04 
  2.10100e-02  1.38290e-02  6.26199e-04 
  2.22607e-02  1.47229e-02  6.14210e-04 
  2.35113e-02  1.54841e-02  6.03605e-04 
  2.47619e-02  1.52621e-02  5.94203e-04 
  2.60125e-02  1.52940e-02  5.85853e-04 
  2.72632e-02  1.53385e-02  5.78426e-04 
  2.85138e-02  1.68119e-02  5.71812e-04 
  2.97644e-02  1.69396e-02  5.65915e-04 
  3.10150e-02  1.72818e-02  5.60652e-04 
  3.22657e-02  1.82168e-02  5.55949e-04 
  3.35163e-02  1.83147e-02  5.51740e-04 
  3.47669e-02  2.03845e-02  5.47969e-04 
  3.60175e-02  1.92673e-02  5.44582e-04 
  3.72682e-02  2.03267e-02  5.41533e-04 
  3.85188e-02  2.17474e-02  5.38778e-04 
  3.97694e-02  2.16016e-02  5.36278e-04 
  4.10201e-02  2.18228e-02  5.33999e-04 
  4.22707e-02  2.23833e-02  5.31906e-04 
  4.35213e-02  2.25071e-02  5.29970e-04 
  4.47719e-02  2.33783e-02  5.28162e-04 
  4.60226e-02  2.40582e-02  5.26457e-04 
  4.72732e-02  2.57141e-02  5.24830e-04 
  4.85238e-02  2.50681e-02  5.23259e-04 
  4.97744e-02  2.56456e-02  5.21723e-04 
  5.10251e-02  2.79899e-02  5.20203e-04 
  5.22757e-02  2.71404e-02  5.18680e-04 
  5.35263e-02  2.73961e-02  5.17137e-04 
  5.47769e-02  2.85575e-02  5.15559e-04 
  5.60276e-02  2.86304e-02  5.13931e-04 
  5.72782e-02  2.93722e-02  5.12238e-04 
  5.85288e-02  2.97777e-02  5.10470e-04 
  5.97794e-02  2.94019e-02  5.08612e-04 
  6.10301e-02  3.01410e-02  5.06655e-04 
  6.22807e-02  3.10604e-02  5.04589e-04 
  6.35313e-02  3.17219e-02  5.02403e-04 
  6.47820e-02  3.14636e-02  5.00091e-04 
  6.60326e-02  3.23928e-02  4.97643e-04 
  6.72832e-02  3.24074e-02  4.95053e-04 
  6.85338e-02  3.24777e-02  4.92314e-04 
  6.97845e-02  3.39994e-02  4.89422e-04 
  7.10351e-02  3.28931e-02  4.86370e-04 
  7.22857e-02  3.39000e-02  4.83155e-04 
  7.35363e-02  3.42595e-02  4.79773e-04 
  7.47870e-02  3.30167e-02  4.76222e-04 
  7.60376e-02  3.40325e-02  4.72497e-04 
  7.72882e-02  3.32846e-02  4.68599e-04 
  7.85388e-02  3.44814e-02  4.64524e-04 
  7.97895e-02  3.38181e-02  4.60274e-04 
  8.10401e-02  3.35191e-02  4.55847e-04 
  8.22907e-02  3.29244e-02  4.51245e-04 
  8.35414e-02  3.31709e-02  4.46467e-04 
  8.47920e-02  3.32161e-02  4.41516e-04 
  8.60426e-02  3.30541e-02  4.36393e-04 
  8.72932e-02  3.18294e-02  4.31101e-04 
  8.85439e-02  3.27186e-02  4.25643e-04 
  8.97945e-02  3.13470e-02  4.20021e-04 
  9.10451e-02  3.05286e-02  4.14241e-04 
  9.22957e-02  3.04876e-02  4.08305e-04 
  9.35464e-02  2.95918e-02  4.02220e-04 
  9.47970e-02  2.90073e-02  3.95989e-04 
  9.60476e-02  2.86536e-02  3.89619e-04 
  9.72982e-02  2.79851e-02  3.83116e-04 
  9.85489e-02  2.71083e-02  3.76485e-04 
  9.97995e-02  2.70392e-02  3.69733e-04 
  1.01050e-01  2.54160e-02  3.62867e-04 
  1.02301e-01  2.47003e-02  3.55896e-04 
  1.03551e-01  2.39592e-02  3.48826e-04 
  1.04802e-01  2.33399e-02  3.41665e-04 
  1.06053e-01  2.23086e-02  3.34422e-04 
  1.07303e-01  2.12215e-02  3.27106e-04 
  1.08554e-01  2.07920e-02  3.19725e-04 
  1.09805e-01  1.97841e-02  3.12290e-04 
  1.11055e-01  1.86115e-02  3.04809e-04 
  1.12306e-01  1.79327e-02  2.97293e-04 
  1.13556e-01  1.68626e-02  2.89751e-04 
  1.14807e-01  1.60183e-02  2.82196e-04 
  1.16058e-01  1.49850e-02  2.74637e-04 
  1.17308e-01  1.46888e-02  2.67085e-04 
  1.18559e-01  1.37476e-02  2.59553e-04 
  1.19810e-01  1.30458e-02  2.52052e-04 
  1.21060e-01  1.17212e-02  2.44594e-04 
  1.22311e-01  1.11153e-02  2.37192e-04 
  1.23561e-01  1.02610e-02  2.29859e-04 
  1.24812e-01  9.41581e-03  2.22609e-04 
  1.26063e-01  8.84456e-03  2.15454e-04 
  1.27313e-01  7.80504e-03  2.08410e-04 
  1.28564e-01  7.25463e-03  2.01490e-04 
  1.29815e-01  6.91427e-03  1.94710e-04 
  1.31065e-01  5.83208e-03  1.88086e-04 
  1.32316e-01  5.34400e-03  1.81632e-04 
  1.33566e-01  4.82170e-03  1.75366e-04 
  1.34817e-01  4.23550e-03  1.69303e-04 
  1.36068e-01  3.90656e-03  1.63461e-04 
  1.37318e-01  3.17053e-03  1.57857e-04 
  1.38569e-01  2.92133e-03  1.52507e-04 
  1.39820e-01  2.42992e-03  1.47429e-04 
  1.41070e-01  2.08799e-03  1.42638e-04 
  1.42321e-01  1.66684e-03  1.38150e-04 
