# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  5.67168e-02  5.46334e-03 
  2.25063e-03  6.38610e-02  3.63665e-03 
  3.50125e-03  6.24744e-02  2.90850e-03 
  4.75188e-03  6.16968e-02  2.48775e-03 
  6.00251e-03  6.24351e-02  2.20324e-03 
  7.25313e-03  6.09444e-02  1.99288e-03 
  8.50376e-03  5.88127e-02  1.82801e-03 
  9.75439e-03  5.81301e-02  1.69333e-03 
  1.10050e-02  6.16315e-02  1.57986e-03 
  1.22556e-02  5.46393e-02  1.48193e-03 
  1.35063e-02  5.43306e-02  1.39576e-03 
  1.47569e-02  5.15024e-02  1.31873e-03 
  1.60075e-02  5.29507e-02  1.24898e-03 
  1.72581e-02  5.08744e-02  1.18512e-03 
  1.85088e-02  4.69657e-02  1.12611e-03 
  1.97594e-02  4.90883e-02  1.07115e-03 
  2.10100e-02  4.38521e-02  1.01961e-03 
  2.22607e-02  4.28985e-02  9.71014e-04 
  2.35113e-02  4.10121e-02  9.24955e-04 
  2.47619e-02  4.02671e-02  8.81119e-04 
  2.60125e-02  3.77121e-02  8.39250e-04 
  2.72632e-02  3.31452e-02  7.99137e-04 
  2.85138e-02  3.26368e-02  7.60607e-04 
  2.97644e-02  2.99701e-02  7.23521e-04 
  3.10150e-02  2.78020e-02  6.87761e-04 
  3.22657e-02  2.69030e-02  6.53233e-04 
  3.35163e-02  2.59071e-02  6.19860e-04 
  3.47669e-02  2.24917e-02  5.87580e-04 
  3.60175e-02  2.06630e-02  5.56345e-04 
  3.72682e-02  1.97788e-02  5.26120e-04 
  3.85188e-02  1.75159e-02  4.96877e-04 
  3.97694e-02  1.52648e-02  4.68601e-04 
  4.10201e-02  1.46311e-02  4.41286e-04 
  4.22707e-02  1.23589e-02  4.14936e-04 
  4.35213e-02  1.07387e-02  3.89562e-04 
  4.47719e-02  9.23854e-03  3.65187e-04 
  4.60226e-02  7.79739e-03  3.41845e-04 
  4.72732e-02  6.44932e-03  3.19581e-04 
  4.85238e-02  5.88912e-03  2.98451e-04 
  4.97744e-02  4.46526e-03  2.78527e-04 
  5.10251e-02  3.93564e-03  2.59895e-04 
  5.22757e-02  3.09020e-03  2.42656e-04 
  5.35263e-02  2.56427e-03  2.26928e-04 
  5.47769e-02  1.30143e-03  2.12837e-04 
  5.60276e-02  1.31825e-03  2.00518e-04 
  5.72782e-02  1.89357e-04  1.90098e-04 
  5.85288e-02  2.21497e-04  1.81687e-04 
  5.97794e-02  2.64994e-04  1.75355e-04 
  6.10301e-02  1.47930e-04  1.71115e-04 
  6.22807e-02  1.99088e-04  1.68912e-04 
  6.35313e-02  -2.35122e-05 1.68620e-04 
  6.47820e-02  8.29044e-05  1.70052e-04 
  6.60326e-02  6.52791e-04  1.72979e-04 
  6.72832e-02  4.07118e-04  1.77152e-04 
  6.85338e-02  1.11682e-03  1.82322e-04 
  6.97845e-02  1.64176e-03  1.88254e-04 
  7.10351e-02  1.96055e-03  1.94739e-04 
  7.22857e-02  2.73567e-03  2.01595e-04 
  7.35363e-02  3.52158e-03  2.08667e-04 
  7.47870e-02  4.03356e-03  2.15825e-04 
  7.60376e-02  4.70258e-03  2.22962e-04 
  7.72882e-02  5.12143e-03  2.29990e-04 
  7.85388e-02  6.16513e-03  2.36838e-04 
  7.97895e-02  6.47219e-03  2.43446e-04 
  8.10401e-02  7.10386e-03  2.49768e-04 
  8.22907e-02  7.85608e-03  2.55766e-04 
  8.35414e-02  8.78253e-03  2.61408e-04 
  8.47920e-02  9.06555e-03  2.66670e-04 
  8.60426e-02  1.06971e-02  2.71534e-04 
  8.72932e-02  1.08362e-02  2.75985e-04 
  8.85439e-02  1.18609e-02  2.80013e-04 
  8.97945e-02  1.23900e-02  2.83608e-04 
  9.10451e-02  1.35897e-02  2.86768e-04 
  9.22957e-02  1.33041e-02  2.89489e-04 
  9.35464e-02  1.35254e-02  2.91771e-04 
  9.47970e-02  1.42404e-02  2.93616e-04 
  9.60476e-02  1.49375e-02  2.95027e-04 
  9.72982e-02  1.48108e-02  2.96007e-04 
  9.85489e-02  1.52061e-02  2.96564e-04 
  9.97995e-02  1.53539e-02  2.96705e-04 
  1.01050e-01  1.61750e-02  2.96436e-04 
  1.02301e-01  1.61649e-02  2.95768e-04 
  1.03551e-01  1.57482e-02  2.94709e-04 
  1.04802e-01  1.61789e-02  2.93272e-04 
  1.06053e-01  1.60176e-02  2.91467e-04 
  1.07303e-01  1.61685e-02  2.89307e-04 
  1.08554e-01  1.63477e-02  2.86803e-04 
  1.09805e-01  1.60202e-02  2.83971e-04 
