# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  4.27238e-02  4.68661e-03 
  2.25063e-03  4.56174e-02  3.11948e-03 
  3.50125e-03  4.46871e-02  2.49469e-03 
  4.75188e-03  5.02730e-02  2.13358e-03 
  6.00251e-03  4.41249e-02  1.88930e-03 
  7.25313e-03  4.60390e-02  1.70861e-03 
  8.50376e-03  4.22858e-02  1.56692e-03 
  9.75439e-03  4.38628e-02  1.45111e-03 
  1.10050e-02  4.32608e-02  1.35348e-03 
  1.22556e-02  4.13485e-02  1.26916e-03 
  1.35063e-02  4.07918e-02  1.19491e-03 
  1.47569e-02  4.08329e-02  1.12850e-03 
  1.60075e-02  3.93569e-02  1.06832e-03 
  1.72581e-02  3.82578e-02  1.01318e-03 
  1.85088e-02  3.72028e-02  9.62185e-04 
  1.97594e-02  3.50497e-02  9.14656e-04 
  2.10100e-02  3.38368e-02  8.70058e-04 
  2.22607e-02  3.26586e-02  8.27968e-04 
  2.35113e-02  2.92688e-02  7.88050e-04 
  2.47619e-02  2.83847e-02  7.50032e-04 
  2.60125e-02  2.80618e-02  7.13695e-04 
  2.72632e-02  2.57355e-02  6.78858e-04 
  2.85138e-02  2.45312e-02  6.45375e-04 
  2.97644e-02  2.25594e-02  6.13125e-04 
  3.10150e-02  2.09267e-02  5.82008e-04 
  3.22657e-02  1.95478e-02  5.51944e-04 
  3.35163e-02  1.74309e-02  5.22869e-04 
  3.47669e-02  1.64013e-02  4.94729e-04 
  3.60175e-02  1.56688e-02  4.67483e-04 
  3.72682e-02  1.36306e-02  4.41102e-04 
  3.85188e-02  1.26701e-02  4.15565e-04 
  3.97694e-02  1.11131e-02  3.90858e-04 
  4.10201e-02  9.55588e-03  3.66979e-04 
  4.22707e-02  8.34205e-03  3.43932e-04 
  4.35213e-02  8.01825e-03  3.21731e-04 
  4.47719e-02  6.07531e-03  3.00399e-04 
  4.60226e-02  5.35086e-03  2.79969e-04 
  4.72732e-02  4.03278e-03  2.60488e-04 
  4.85238e-02  3.80745e-03  2.42013e-04 
  4.97744e-02  2.97175e-03  2.24619e-04 
  5.10251e-02  2.69302e-03  2.08397e-04 
  5.22757e-02  1.77197e-03  1.93456e-04 
  5.35263e-02  1.34699e-03  1.79922e-04 
  5.47769e-02  9.75429e-04  1.67938e-04 
  5.60276e-02  5.59217e-04  1.57654e-04 
  5.72782e-02  6.02113e-04  1.49211e-04 
  5.85288e-02  2.74201e-04  1.42726e-04 
  5.97794e-02  -1.50581e-04 1.38263e-04 
  6.10301e-02  7.71180e-05  1.35813e-04 
  6.22807e-02  1.99071e-06  1.35284e-04 
  6.35313e-02  2.24964e-05  1.36506e-04 
  6.47820e-02  8.20125e-05  1.39248e-04 
  6.60326e-02  4.18536e-04  1.43253e-04 
  6.72832e-02  7.88679e-04  1.48258e-04 
  6.85338e-02  1.10164e-03  1.54020e-04 
  6.97845e-02  1.44963e-03  1.60321e-04 
  7.10351e-02  1.62720e-03  1.66977e-04 
  7.22857e-02  2.48477e-03  1.73832e-04 
  7.35363e-02  2.52301e-03  1.80760e-04 
  7.47870e-02  3.44657e-03  1.87660e-04 
  7.60376e-02  3.91011e-03  1.94448e-04 
  7.72882e-02  4.34242e-03  2.01057e-04 
  7.85388e-02  5.05377e-03  2.07436e-04 
  7.97895e-02  5.73746e-03  2.13540e-04 
  8.10401e-02  6.22572e-03  2.19338e-04 
  8.22907e-02  6.59026e-03  2.24800e-04 
  8.35414e-02  7.72793e-03  2.29907e-04 
  8.47920e-02  8.05683e-03  2.34643e-04 
  8.60426e-02  8.64552e-03  2.38994e-04 
  8.72932e-02  8.95472e-03  2.42952e-04 
  8.85439e-02  9.62472e-03  2.46511e-04 
  8.97945e-02  1.02082e-02  2.49667e-04 
  9.10451e-02  1.03280e-02  2.52418e-04 
  9.22957e-02  1.07162e-02  2.54764e-04 
  9.35464e-02  1.09663e-02  2.56706e-04 
  9.47970e-02  1.16156e-02  2.58248e-04 
  9.60476e-02  1.15487e-02  2.59394e-04 
  9.72982e-02  1.20599e-02  2.60149e-04 
  9.85489e-02  1.25182e-02  2.60519e-04 
  9.97995e-02  1.25627e-02  2.60511e-04 
  1.01050e-01  1.26964e-02  2.60134e-04 
  1.02301e-01  1.27059e-02  2.59396e-04 
  1.03551e-01  1.30371e-02  2.58306e-04 
  1.04802e-01  1.29822e-02  2.56875e-04 
  1.06053e-01  1.29173e-02  2.55113e-04 
  1.07303e-01  1.27583e-02  2.53031e-04 
  1.08554e-01  1.24696e-02  2.50642e-04 
  1.09805e-01  1.28684e-02  2.47956e-04 
  1.11055e-01  1.23604e-02  2.44988e-04 
  1.12306e-01  1.18178e-02  2.41749e-04 
  1.13556e-01  1.20897e-02  2.38254e-04 
  1.14807e-01  1.19356e-02  2.34516e-04 
  1.16058e-01  1.13656e-02  2.30549e-04 
  1.17308e-01  1.05684e-02  2.26367e-04 
  1.18559e-01  1.05276e-02  2.21987e-04 
  1.19810e-01  9.97841e-03  2.17422e-04 
  1.21060e-01  9.93900e-03  2.12688e-04 
  1.22311e-01  9.19617e-03  2.07801e-04 
  1.23561e-01  8.67157e-03  2.02777e-04 
  1.24812e-01  8.57683e-03  1.97633e-04 
  1.26063e-01  8.09827e-03  1.92385e-04 
  1.27313e-01  7.62433e-03  1.87050e-04 
  1.28564e-01  6.82583e-03  1.81646e-04 
  1.29815e-01  6.47045e-03  1.76190e-04 
  1.31065e-01  6.18024e-03  1.70701e-04 
  1.32316e-01  5.36746e-03  1.65198e-04 
  1.33566e-01  4.98738e-03  1.59700e-04 
  1.34817e-01  4.49604e-03  1.54227e-04 
  1.36068e-01  4.27733e-03  1.48798e-04 
  1.37318e-01  3.59269e-03  1.43435e-04 
  1.38569e-01  3.22433e-03  1.38160e-04 
  1.39820e-01  3.25188e-03  1.32995e-04 
  1.41070e-01  2.58232e-03  1.27962e-04 
  1.42321e-01  2.19103e-03  1.23087e-04 
  1.43571e-01  1.88072e-03  1.18392e-04 
  1.44822e-01  1.81015e-03  1.13904e-04 
  1.46073e-01  1.40532e-03  1.09646e-04 
  1.47323e-01  9.84255e-04  1.05645e-04 
  1.48574e-01  1.04969e-03  1.01924e-04 
  1.49825e-01  8.60737e-04  9.85060e-05 
  1.51075e-01  3.75721e-04  9.54133e-05 
  1.52326e-01  2.41569e-04  9.26641e-05 
  1.53576e-01  1.73645e-04  9.02732e-05 
  1.54827e-01  1.80507e-04  8.82507e-05 
  1.56078e-01  1.31736e-05  8.66011e-05 
  1.57328e-01  -1.34482e-05 8.53229e-05 
  1.58579e-01  -6.28908e-05 8.44080e-05 
  1.59830e-01  -4.56741e-05 8.38423e-05 
  1.61080e-01  3.60368e-05  8.36055e-05 
  1.62331e-01  -4.87350e-05 8.36725e-05 
  1.63581e-01  1.86180e-05  8.40142e-05 
  1.64832e-01  9.70620e-05  8.45991e-05 
  1.66083e-01  1.52003e-04  8.53939e-05 
  1.67333e-01  1.59576e-04  8.63654e-05 
  1.68584e-01  4.78642e-04  8.74805e-05 
  1.69835e-01  4.36324e-04  8.87080e-05 
  1.71085e-01  4.92506e-04  9.00182e-05 
  1.72336e-01  5.49753e-04  9.13836e-05 
  1.73586e-01  1.03948e-03  9.27793e-05 
  1.74837e-01  9.11836e-04  9.41828e-05 
  1.76088e-01  1.02617e-03  9.55739e-05 
  1.77338e-01  1.08891e-03  9.69347e-05 
  1.78589e-01  1.22467e-03  9.82498e-05 
  1.79840e-01  1.36141e-03  9.95055e-05 
  1.81090e-01  1.53484e-03  1.00690e-04 
  1.82341e-01  1.80437e-03  1.01794e-04 
  1.83591e-01  1.83288e-03  1.02808e-04 
  1.84842e-01  1.83953e-03  1.03726e-04 
  1.86093e-01  2.14570e-03  1.04543e-04 
  1.87343e-01  1.94642e-03  1.05253e-04 
  1.88594e-01  1.93279e-03  1.05854e-04 
  1.89845e-01  2.17302e-03  1.06343e-04 
  1.91095e-01  2.22710e-03  1.06718e-04 
  1.92346e-01  2.26251e-03  1.06980e-04 
  1.93596e-01  2.39487e-03  1.07128e-04 
  1.94847e-01  2.53405e-03  1.07163e-04 
  1.96098e-01  2.57350e-03  1.07087e-04 
  1.97348e-01  2.48537e-03  1.06902e-04 
  1.98599e-01  2.39970e-03  1.06610e-04 
  1.99850e-01  2.38161e-03  1.06214e-04 
  2.01100e-01  2.49656e-03  1.05718e-04 
  2.02351e-01  2.36609e-03  1.05126e-04 
  2.03602e-01  2.42060e-03  1.04442e-04 
  2.04852e-01  2.43871e-03  1.03671e-04 
  2.06103e-01  2.26091e-03  1.02817e-04 
  2.07353e-01  2.21786e-03  1.01887e-04 
  2.08604e-01  2.29193e-03  1.00885e-04 
  2.09855e-01  2.17440e-03  9.98177e-05 
  2.11105e-01  2.02108e-03  9.86906e-05 
  2.12356e-01  1.86362e-03  9.75101e-05 
  2.13607e-01  1.88879e-03  9.62826e-05 
  2.14857e-01  1.80269e-03  9.50144e-05 
  2.16108e-01  1.46410e-03  9.37123e-05 
  2.17358e-01  1.53864e-03  9.23830e-05 
  2.18609e-01  1.39995e-03  9.10331e-05 
  2.19860e-01  1.46290e-03  8.96695e-05 
  2.21110e-01  1.24423e-03  8.82989e-05 
  2.22361e-01  1.21455e-03  8.69282e-05 
  2.23612e-01  1.16486e-03  8.55639e-05 
  2.24862e-01  1.09146e-03  8.42127e-05 
  2.26113e-01  9.50048e-04  8.28809e-05 
  2.27363e-01  7.76979e-04  8.15749e-05 
  2.28614e-01  8.52656e-04  8.03004e-05 
  2.29865e-01  7.03279e-04  7.90633e-05 
  2.31115e-01  5.72563e-04  7.78688e-05 
  2.32366e-01  5.63343e-04  7.67220e-05 
  2.33617e-01  4.56734e-04  7.56272e-05 
  2.34867e-01  2.77576e-04  7.45886e-05 
  2.36118e-01  3.00367e-04  7.36095e-05 
  2.37368e-01  2.48147e-04  7.26929e-05 
  2.38619e-01  1.80119e-04  7.18410e-05 
  2.39870e-01  1.93324e-04  7.10554e-05 
  2.41120e-01  1.50603e-04  7.03373e-05 
  2.42371e-01  7.39489e-05  6.96868e-05 
  2.43622e-01  -4.53162e-06 6.91036e-05 
  2.44872e-01  -8.61029e-06 6.85868e-05 
  2.46123e-01  4.95575e-05  6.81347e-05 
  2.47373e-01  -3.86924e-05 6.77453e-05 
  2.48624e-01  -1.32360e-04 6.74158e-05 
  2.49875e-01  -1.74692e-04 6.71431e-05 
  2.51125e-01  5.71441e-05  6.69236e-05 
  2.52376e-01  -1.59753e-05 6.67535e-05 
  2.53627e-01  9.16686e-06  6.66286e-05 
  2.54877e-01  -1.56412e-04 6.65446e-05 
  2.56128e-01  3.77338e-06  6.64971e-05 
  2.57378e-01  -6.97934e-05 6.64815e-05 
  2.58629e-01  -6.36913e-05 6.64933e-05 
  2.59880e-01  1.69120e-05  6.65282e-05 
  2.61130e-01  6.73154e-05  6.65816e-05 
  2.62381e-01  1.86676e-05  6.66496e-05 
  2.63632e-01  -2.48325e-05 6.67280e-05 
  2.64882e-01  -5.52717e-05 6.68131e-05 
  2.66133e-01  1.21677e-04  6.69014e-05 
  2.67383e-01  1.78006e-04  6.69896e-05 
  2.68634e-01  1.69086e-04  6.70746e-05 
  2.69885e-01  1.74539e-04  6.71537e-05 
  2.71135e-01  2.36633e-04  6.72246e-05 
  2.72386e-01  1.78282e-04  6.72850e-05 
  2.73637e-01  9.06667e-05  6.73331e-05 
  2.74887e-01  1.24408e-04  6.73672e-05 
  2.76138e-01  2.87999e-04  6.73860e-05 
  2.77388e-01  2.60388e-04  6.73885e-05 
  2.78639e-01  3.35263e-04  6.73739e-05 
  2.79890e-01  3.15072e-04  6.73414e-05 
  2.81140e-01  2.54501e-04  6.72908e-05 
  2.82391e-01  3.24921e-04  6.72220e-05 
  2.83642e-01  3.52037e-04  6.71349e-05 
  2.84892e-01  3.67471e-04  6.70297e-05 
  2.86143e-01  3.71723e-04  6.69070e-05 
  2.87393e-01  4.61005e-04  6.67672e-05 
  2.88644e-01  2.84015e-04  6.66109e-05 
  2.89895e-01  2.73281e-04  6.64391e-05 
  2.91145e-01  2.95810e-04  6.62526e-05 
  2.92396e-01  2.99962e-04  6.60524e-05 
  2.93647e-01  2.00046e-04  6.58397e-05 
  2.94897e-01  2.12589e-04  6.56155e-05 
  2.96148e-01  3.15521e-04  6.53811e-05 
  2.97398e-01  3.19783e-04  6.51377e-05 
  2.98649e-01  2.31167e-04  6.48865e-05 
  2.99900e-01  3.30109e-04  6.46289e-05 
  3.01150e-01  1.79100e-04  6.43662e-05 
  3.02401e-01  1.85150e-04  6.40995e-05 
  3.03652e-01  2.25629e-04  6.38302e-05 
  3.04902e-01  2.23646e-04  6.35594e-05 
  3.06153e-01  1.47650e-04  6.32882e-05 
  3.07404e-01  2.80324e-04  6.30179e-05 
  3.08654e-01  2.40002e-04  6.27495e-05 
  3.09905e-01  1.22738e-04  6.24839e-05 
  3.11155e-01  1.10503e-05  6.22220e-05 
  3.12406e-01  1.84750e-04  6.19647e-05 
  3.13657e-01  1.88020e-04  6.17128e-05 
  3.14907e-01  6.90126e-05  6.14668e-05 
  3.16158e-01  1.05397e-04  6.12274e-05 
  3.17409e-01  2.19095e-04  6.09950e-05 
  3.18659e-01  1.64181e-05  6.07701e-05 
  3.19910e-01  3.70504e-05  6.05530e-05 
  3.21160e-01  1.90549e-05  6.03438e-05 
