# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  2.37816e+00  3.23165e-02 
  2.25063e-03  2.32965e+00  2.14154e-02 
  3.50125e-03  2.27979e+00  1.69932e-02 
  4.75188e-03  2.21611e+00  1.43730e-02 
  6.00251e-03  2.13335e+00  1.25468e-02 
  7.25313e-03  2.03180e+00  1.11518e-02 
  8.50376e-03  1.93829e+00  1.00224e-02 
  9.75439e-03  1.79164e+00  9.07195e-03 
  1.10050e-02  1.68393e+00  8.25091e-03 
  1.22556e-02  1.56983e+00  7.52902e-03 
  1.35063e-02  1.44573e+00  6.88691e-03 
  1.47569e-02  1.32959e+00  6.31167e-03 
  1.60075e-02  1.20486e+00  5.79433e-03 
  1.72581e-02  1.10241e+00  5.32834e-03 
  1.85088e-02  1.00192e+00  4.90862e-03 
  1.97594e-02  9.11079e-01  4.53091e-03 
  2.10100e-02  8.31252e-01  4.19144e-03 
  2.22607e-02  7.49521e-01  3.88660e-03 
  2.35113e-02  6.90482e-01  3.61288e-03 
  2.47619e-02  6.25152e-01  3.36677e-03 
  2.60125e-02  5.81116e-01  3.14482e-03 
  2.72632e-02  5.29083e-01  2.94366e-03 
  2.85138e-02  4.84141e-01  2.76013e-03 
  2.97644e-02  4.50282e-01  2.59134e-03 
  3.10150e-02  4.13495e-01  2.43475e-03 
  3.22657e-02  3.79982e-01  2.28824e-03 
  3.35163e-02  3.49451e-01  2.15009e-03 
  3.47669e-02  3.20133e-01  2.01902e-03 
  3.60175e-02  2.85442e-01  1.89413e-03 
  3.72682e-02  2.62256e-01  1.77486e-03 
  3.85188e-02  2.38475e-01  1.66090e-03 
  3.97694e-02  2.15171e-01  1.55217e-03 
  4.10201e-02  1.93547e-01  1.44870e-03 
  4.22707e-02  1.72879e-01  1.35056e-03 
  4.35213e-02  1.56038e-01  1.25786e-03 
  4.47719e-02  1.38865e-01  1.17063e-03 
  4.60226e-02  1.22467e-01  1.08881e-03 
  4.72732e-02  1.07153e-01  1.01225e-03 
  4.85238e-02  9.55164e-02  9.40677e-04 
  4.97744e-02  8.52784e-02  8.73711e-04 
  5.10251e-02  7.49681e-02  8.10910e-04 
  5.22757e-02  6.61873e-02  7.51789e-04 
  5.35263e-02  5.76330e-02  6.95866e-04 
  5.47769e-02  4.96527e-02  6.42697e-04 
  5.60276e-02  4.43648e-02  5.91909e-04 
  5.72782e-02  3.76985e-02  5.43226e-04 
  5.85288e-02  3.16075e-02  4.96481e-04 
  5.97794e-02  2.65927e-02  4.51617e-04 
  6.10301e-02  2.24291e-02  4.08685e-04 
  6.22807e-02  1.87182e-02  3.67829e-04 
  6.35313e-02  1.52617e-02  3.29264e-04 
  6.47820e-02  1.19598e-02  2.93261e-04 
  6.60326e-02  9.56722e-03  2.60120e-04 
  6.72832e-02  6.96297e-03  2.30141e-04 
  6.85338e-02  5.53001e-03  2.03595e-04 
  6.97845e-02  4.42059e-03  1.80691e-04 
  7.10351e-02  3.70146e-03  1.61530e-04 
  7.22857e-02  2.84588e-03  1.46073e-04 
  7.35363e-02  2.15763e-03  1.34109e-04 
  7.47870e-02  2.01123e-03  1.25273e-04 
  7.60376e-02  1.74911e-03  1.19101e-04 
  7.72882e-02  1.62039e-03  1.15107e-04 
  7.85388e-02  1.47680e-03  1.12874e-04 
  7.97895e-02  1.52524e-03  1.12086e-04 
  8.10401e-02  1.89127e-03  1.12538e-04 
  8.22907e-02  1.67064e-03  1.14097e-04 
  8.35414e-02  1.86439e-03  1.16659e-04 
  8.47920e-02  1.93390e-03  1.20100e-04 
  8.60426e-02  2.32954e-03  1.24258e-04 
  8.72932e-02  2.44984e-03  1.28924e-04 
  8.85439e-02  3.03109e-03  1.33856e-04 
  8.97945e-02  3.12898e-03  1.38795e-04 
  9.10451e-02  3.16904e-03  1.43492e-04 
  9.22957e-02  3.83166e-03  1.47724e-04 
  9.35464e-02  3.90220e-03  1.51306e-04 
  9.47970e-02  4.15017e-03  1.54102e-04 
  9.60476e-02  4.45029e-03  1.56028e-04 
  9.72982e-02  4.45298e-03  1.57051e-04 
  9.85489e-02  4.69738e-03  1.57188e-04 
  9.97995e-02  4.97775e-03  1.56496e-04 
  1.01050e-01  4.97317e-03  1.55068e-04 
  1.02301e-01  4.68449e-03  1.53018e-04 
  1.03551e-01  4.56330e-03  1.50473e-04 
  1.04802e-01  4.44118e-03  1.47559e-04 
  1.06053e-01  4.34195e-03  1.44393e-04 
  1.07303e-01  4.19984e-03  1.41069e-04 
  1.08554e-01  3.88243e-03  1.37653e-04 
  1.09805e-01  3.81949e-03  1.34183e-04 
  1.11055e-01  3.45851e-03  1.30664e-04 
  1.12306e-01  3.28891e-03  1.27079e-04 
  1.13556e-01  3.28044e-03  1.23394e-04 
  1.14807e-01  2.77744e-03  1.19568e-04 
  1.16058e-01  2.93271e-03  1.15563e-04 
  1.17308e-01  2.48343e-03  1.11355e-04 
  1.18559e-01  2.36056e-03  1.06939e-04 
  1.19810e-01  2.08993e-03  1.02332e-04 
  1.21060e-01  1.90178e-03  9.75806e-05 
  1.22311e-01  1.37196e-03  9.27530e-05 
  1.23561e-01  1.55826e-03  8.79391e-05 
  1.24812e-01  1.11889e-03  8.32427e-05 
  1.26063e-01  1.17546e-03  7.87725e-05 
  1.27313e-01  7.90476e-04  7.46315e-05 
  1.28564e-01  6.94683e-04  7.09044e-05 
  1.29815e-01  6.63854e-04  6.76474e-05 
  1.31065e-01  4.98283e-04  6.48794e-05 
  1.32316e-01  4.99944e-04  6.25809e-05 
  1.33566e-01  4.72876e-04  6.06987e-05 
  1.34817e-01  3.34165e-04  5.91579e-05 
  1.36068e-01  2.99385e-04  5.78769e-05 
  1.37318e-01  3.28478e-04  5.67829e-05 
  1.38569e-01  3.11951e-04  5.58235e-05 
  1.39820e-01  2.92832e-04  5.49739e-05 
  1.41070e-01  3.11010e-04  5.42384e-05 
  1.42321e-01  2.01529e-04  5.36460e-05 
  1.43571e-01  1.52086e-04  5.32422e-05 
  1.44822e-01  1.61365e-04  5.30769e-05 
  1.46073e-01  2.74347e-04  5.31911e-05 
  1.47323e-01  2.37393e-04  5.36049e-05 
  1.48574e-01  3.21173e-04  5.43101e-05 
  1.49825e-01  3.22902e-04  5.52685e-05 
  1.51075e-01  3.22108e-04  5.64158e-05 
  1.52326e-01  4.30408e-04  5.76708e-05 
  1.53576e-01  3.83410e-04  5.89451e-05 
  1.54827e-01  5.57224e-04  6.01534e-05 
  1.56078e-01  7.15161e-04  6.12210e-05 
  1.57328e-01  6.18318e-04  6.20898e-05 
  1.58579e-01  6.30223e-04  6.27211e-05 
  1.59830e-01  7.17741e-04  6.30968e-05 
  1.61080e-01  6.78317e-04  6.32187e-05 
  1.62331e-01  7.93953e-04  6.31064e-05 
  1.63581e-01  8.35456e-04  6.27936e-05 
  1.64832e-01  6.61202e-04  6.23239e-05 
  1.66083e-01  6.99435e-04  6.17454e-05 
  1.67333e-01  7.74131e-04  6.11054e-05 
  1.68584e-01  6.57669e-04  6.04450e-05 
  1.69835e-01  6.19521e-04  5.97947e-05 
  1.71085e-01  6.41949e-04  5.91717e-05 
  1.72336e-01  5.89950e-04  5.85786e-05 
  1.73586e-01  6.07530e-04  5.80047e-05 
  1.74837e-01  5.58592e-04  5.74292e-05 
  1.76088e-01  5.48255e-04  5.68253e-05 
  1.77338e-01  5.09579e-04  5.61650e-05 
  1.78589e-01  5.60801e-04  5.54235e-05 
  1.79840e-01  4.46349e-04  5.45838e-05 
  1.81090e-01  3.87974e-04  5.36385e-05 
  1.82341e-01  3.82396e-04  5.25919e-05 
  1.83591e-01  2.96732e-04  5.14596e-05 
  1.84842e-01  3.12396e-04  5.02677e-05 
  1.86093e-01  3.15832e-04  4.90499e-05 
  1.87343e-01  2.18890e-04  4.78446e-05 
  1.88594e-01  1.55600e-04  4.66905e-05 
  1.89845e-01  1.45572e-04  4.56223e-05 
  1.91095e-01  1.29776e-04  4.46669e-05 
  1.92346e-01  1.32441e-04  4.38404e-05 
  1.93596e-01  1.44327e-04  4.31466e-05 
  1.94847e-01  1.27185e-04  4.25776e-05 
  1.96098e-01  6.69513e-05  4.21161e-05 
  1.97348e-01  1.11825e-04  4.17390e-05 
  1.98599e-01  7.86506e-05  4.14214e-05 
  1.99850e-01  4.78855e-06  4.11413e-05 
  2.01100e-01  -2.58284e-05 4.08817e-05 
  2.02351e-01  7.15428e-05  4.06334e-05 
  2.03602e-01  8.37478e-05  4.03953e-05 
  2.04852e-01  2.73995e-06  4.01737e-05 
  2.06103e-01  4.98255e-05  3.99802e-05 
  2.07353e-01  4.46408e-05  3.98296e-05 
  2.08604e-01  4.19004e-05  3.97362e-05 
  2.09855e-01  1.79729e-05  3.97110e-05 
  2.11105e-01  -4.71751e-05 3.97594e-05 
  2.12356e-01  7.19290e-05  3.98797e-05 
  2.13607e-01  2.68990e-05  4.00628e-05 
  2.14857e-01  4.62796e-05  4.02929e-05 
  2.16108e-01  1.21517e-04  4.05501e-05 
  2.17358e-01  1.18762e-04  4.08121e-05 
  2.18609e-01  1.10297e-04  4.10572e-05 
  2.19860e-01  1.64464e-04  4.12668e-05 
  2.21110e-01  1.37093e-04  4.14265e-05 
  2.22361e-01  2.19463e-04  4.15279e-05 
  2.23612e-01  1.37668e-04  4.15686e-05 
  2.24862e-01  2.29884e-04  4.15517e-05 
  2.26113e-01  1.75673e-04  4.14850e-05 
  2.27363e-01  1.33081e-04  4.13797e-05 
  2.28614e-01  1.24196e-04  4.12482e-05 
  2.29865e-01  1.48556e-04  4.11029e-05 
  2.31115e-01  1.08631e-04  4.09541e-05 
  2.32366e-01  1.70256e-04  4.08086e-05 
  2.33617e-01  2.18955e-04  4.06697e-05 
  2.34867e-01  2.72265e-04  4.05363e-05 
  2.36118e-01  1.21257e-04  4.04037e-05 
  2.37368e-01  1.24134e-04  4.02647e-05 
  2.38619e-01  2.22340e-04  4.01110e-05 
  2.39870e-01  1.62185e-04  3.99343e-05 
  2.41120e-01  1.68221e-04  3.97281e-05 
  2.42371e-01  1.09886e-04  3.94884e-05 
  2.43622e-01  1.81260e-04  3.92144e-05 
  2.44872e-01  1.33143e-04  3.89089e-05 
  2.46123e-01  1.33155e-04  3.85779e-05 
  2.47373e-01  7.88134e-05  3.82298e-05 
  2.48624e-01  7.22718e-05  3.78746e-05 
  2.49875e-01  7.88367e-05  3.75226e-05 
  2.51125e-01  5.81070e-05  3.71833e-05 
  2.52376e-01  6.67774e-05  3.68640e-05 
  2.53627e-01  9.47986e-05  3.65695e-05 
  2.54877e-01  4.26115e-05  3.63018e-05 
  2.56128e-01  2.88065e-05  3.60596e-05 
  2.57378e-01  4.02197e-05  3.58398e-05 
  2.58629e-01  5.19968e-05  3.56377e-05 
  2.59880e-01  -2.36207e-07 3.54482e-05 
  2.61130e-01  -8.67556e-06 3.52670e-05 
  2.62381e-01  5.82121e-07  3.50914e-05 
  2.63632e-01  8.76817e-05  3.49206e-05 
  2.64882e-01  -2.62954e-05 3.47564e-05 
  2.66133e-01  6.13274e-05  3.46024e-05 
  2.67383e-01  2.18409e-05  3.44639e-05 
  2.68634e-01  -8.64242e-06 3.43467e-05 
  2.69885e-01  -2.93603e-05 3.42563e-05 
  2.71135e-01  -2.61550e-05 3.41968e-05 
  2.72386e-01  6.88407e-06  3.41700e-05 
  2.73637e-01  -2.47696e-06 3.41750e-05 
  2.74887e-01  1.20263e-06  3.42082e-05 
  2.76138e-01  -3.36572e-05 3.42633e-05 
  2.77388e-01  3.98505e-05  3.43319e-05 
  2.78639e-01  6.87241e-05  3.44048e-05 
  2.79890e-01  9.82984e-06  3.44727e-05 
  2.81140e-01  5.17950e-05  3.45273e-05 
  2.82391e-01  1.03901e-04  3.45620e-05 
  2.83642e-01  6.87936e-05  3.45729e-05 
  2.84892e-01  4.67696e-05  3.45584e-05 
  2.86143e-01  4.34833e-05  3.45199e-05 
  2.87393e-01  9.37064e-05  3.44610e-05 
  2.88644e-01  5.98209e-05  3.43869e-05 
  2.89895e-01  6.85726e-05  3.43039e-05 
  2.91145e-01  7.13997e-05  3.42183e-05 
