# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  4.01864e-01  1.30271e-02 
  2.25063e-03  3.79339e-01  8.67639e-03 
  3.50125e-03  3.72522e-01  6.94621e-03 
  4.75188e-03  3.84825e-01  5.95006e-03 
  6.00251e-03  3.76070e-01  5.27967e-03 
  7.25313e-03  3.67295e-01  4.78689e-03 
  8.50376e-03  3.70531e-01  4.40329e-03 
  9.75439e-03  3.71298e-01  4.09233e-03 
  1.10050e-02  3.61995e-01  3.83253e-03 
  1.22556e-02  3.58481e-01  3.61029e-03 
  1.35063e-02  3.53620e-01  3.41657e-03 
  1.47569e-02  3.45470e-01  3.24508e-03 
  1.60075e-02  3.49557e-01  3.09130e-03 
  1.72581e-02  3.41350e-01  2.95189e-03 
  1.85088e-02  3.30040e-01  2.82431e-03 
  1.97594e-02  3.23577e-01  2.70661e-03 
  2.10100e-02  3.12812e-01  2.59728e-03 
  2.22607e-02  3.10912e-01  2.49508e-03 
  2.35113e-02  3.03733e-01  2.39904e-03 
  2.47619e-02  2.99002e-01  2.30836e-03 
  2.60125e-02  2.87421e-01  2.22237e-03 
  2.72632e-02  2.80068e-01  2.14053e-03 
  2.85138e-02  2.73744e-01  2.06239e-03 
  2.97644e-02  2.63620e-01  1.98756e-03 
  3.10150e-02  2.53393e-01  1.91572e-03 
  3.22657e-02  2.45734e-01  1.84657e-03 
  3.35163e-02  2.38339e-01  1.77990e-03 
  3.47669e-02  2.31479e-01  1.71550e-03 
  3.60175e-02  2.20305e-01  1.65318e-03 
  3.72682e-02  2.11887e-01  1.59281e-03 
  3.85188e-02  2.04407e-01  1.53424e-03 
  3.97694e-02  1.95212e-01  1.47736e-03 
  4.10201e-02  1.88397e-01  1.42208e-03 
  4.22707e-02  1.79539e-01  1.36830e-03 
  4.35213e-02  1.69272e-01  1.31596e-03 
  4.47719e-02  1.60493e-01  1.26498e-03 
  4.60226e-02  1.54420e-01  1.21530e-03 
  4.72732e-02  1.43914e-01  1.16688e-03 
  4.85238e-02  1.33133e-01  1.11967e-03 
  4.97744e-02  1.27933e-01  1.07363e-03 
  5.10251e-02  1.22276e-01  1.02873e-03 
  5.22757e-02  1.13737e-01  9.84932e-04 
  5.35263e-02  1.06722e-01  9.42213e-04 
  5.47769e-02  9.98169e-02  9.00547e-04 
  5.60276e-02  9.27331e-02  8.59916e-04 
  5.72782e-02  8.49381e-02  8.20299e-04 
  5.85288e-02  8.09034e-02  7.81681e-04 
  5.97794e-02  7.31086e-02  7.44047e-04 
  6.10301e-02  6.84988e-02  7.07384e-04 
  6.22807e-02  6.23898e-02  6.71679e-04 
  6.35313e-02  5.73815e-02  6.36924e-04 
  6.47820e-02  5.25508e-02  6.03107e-04 
  6.60326e-02  4.80730e-02  5.70221e-04 
  6.72832e-02  4.40513e-02  5.38257e-04 
  6.85338e-02  3.89550e-02  5.07209e-04 
  6.97845e-02  3.59637e-02  4.77070e-04 
  7.10351e-02  3.11525e-02  4.47834e-04 
  7.22857e-02  2.77866e-02  4.19495e-04 
