# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  3.61196e-01  1.30283e-02 
  2.25063e-03  3.78423e-01  8.67720e-03 
  3.50125e-03  3.69712e-01  6.94685e-03 
  4.75188e-03  3.83692e-01  5.95059e-03 
  6.00251e-03  3.80280e-01  5.28012e-03 
  7.25313e-03  3.80081e-01  4.78728e-03 
  8.50376e-03  3.75148e-01  4.40362e-03 
  9.75439e-03  3.66784e-01  4.09262e-03 
  1.10050e-02  3.63155e-01  3.83278e-03 
  1.22556e-02  3.56758e-01  3.61050e-03 
  1.35063e-02  3.51385e-01  3.41675e-03 
  1.47569e-02  3.51068e-01  3.24522e-03 
  1.60075e-02  3.45237e-01  3.09141e-03 
  1.72581e-02  3.35661e-01  2.95196e-03 
  1.85088e-02  3.29441e-01  2.82436e-03 
  1.97594e-02  3.25637e-01  2.70664e-03 
  2.10100e-02  3.17701e-01  2.59728e-03 
  2.22607e-02  3.12471e-01  2.49506e-03 
  2.35113e-02  3.02604e-01  2.39900e-03 
  2.47619e-02  2.96069e-01  2.30830e-03 
  2.60125e-02  2.89261e-01  2.22229e-03 
  2.72632e-02  2.75529e-01  2.14045e-03 
  2.85138e-02  2.75180e-01  2.06230e-03 
  2.97644e-02  2.65688e-01  1.98746e-03 
  3.10150e-02  2.55422e-01  1.91561e-03 
  3.22657e-02  2.49562e-01  1.84646e-03 
  3.35163e-02  2.40405e-01  1.77980e-03 
  3.47669e-02  2.26618e-01  1.71540e-03 
  3.60175e-02  2.18578e-01  1.65309e-03 
  3.72682e-02  2.13259e-01  1.59273e-03 
  3.85188e-02  2.02226e-01  1.53418e-03 
  3.97694e-02  1.93089e-01  1.47732e-03 
  4.10201e-02  1.88793e-01  1.42207e-03 
  4.22707e-02  1.77869e-01  1.36832e-03 
  4.35213e-02  1.69264e-01  1.31601e-03 
  4.47719e-02  1.60997e-01  1.26506e-03 
  4.60226e-02  1.50799e-01  1.21543e-03 
  4.72732e-02  1.43630e-01  1.16706e-03 
  4.85238e-02  1.36743e-01  1.11990e-03 
  4.97744e-02  1.28384e-01  1.07392e-03 
  5.10251e-02  1.22280e-01  1.02908e-03 
  5.22757e-02  1.12333e-01  9.85344e-04 
  5.35263e-02  1.05666e-01  9.42695e-04 
  5.47769e-02  1.01316e-01  9.01105e-04 
  5.60276e-02  9.29132e-02  8.60553e-04 
  5.72782e-02  8.58373e-02  8.21021e-04 
  5.85288e-02  7.97804e-02  7.82492e-04 
  5.97794e-02  7.21305e-02  7.44952e-04 
  6.10301e-02  6.80049e-02  7.08387e-04 
  6.22807e-02  6.33963e-02  6.72785e-04 
  6.35313e-02  5.81025e-02  6.38137e-04 
  6.47820e-02  5.34368e-02  6.04432e-04 
  6.60326e-02  4.84543e-02  5.71661e-04 
  6.72832e-02  4.35863e-02  5.39817e-04 
  6.85338e-02  3.93107e-02  5.08893e-04 
  6.97845e-02  3.51739e-02  4.78881e-04 
  7.10351e-02  3.15484e-02  4.49776e-04 
  7.22857e-02  2.84170e-02  4.21571e-04 
  7.35363e-02  2.54687e-02  3.94262e-04 
  7.47870e-02  2.25373e-02  3.67843e-04 
  7.60376e-02  1.97375e-02  3.42310e-04 
  7.72882e-02  1.78374e-02  3.17659e-04 
  7.85388e-02  1.50608e-02  2.93887e-04 
  7.97895e-02  1.27007e-02  2.70991e-04 
  8.10401e-02  1.05211e-02  2.48970e-04 
  8.22907e-02  8.91892e-03  2.27824e-04 
  8.35414e-02  7.58831e-03  2.07555e-04 
  8.47920e-02  6.18072e-03  1.88167e-04 
  8.60426e-02  5.22050e-03  1.69669e-04 
  8.72932e-02  4.00375e-03  1.52076e-04 
  8.85439e-02  3.15275e-03  1.35410e-04 
  8.97945e-02  2.42606e-03  1.19705e-04 
  9.10451e-02  1.86183e-03  1.05015e-04 
  9.22957e-02  1.37613e-03  9.14176e-05 
  9.35464e-02  8.29223e-04  7.90354e-05 
  9.47970e-02  4.54962e-04  6.80497e-05 
  9.60476e-02  3.68396e-04  5.87249e-05 
  9.72982e-02  1.38193e-04  5.14139e-05 
  9.85489e-02  1.07959e-04  4.65030e-05 
  9.97995e-02  -3.20586e-05 4.42445e-05 
  1.01050e-01  4.95379e-06  4.45421e-05 
  1.02301e-01  4.28752e-05  4.69156e-05 
  1.03551e-01  1.94702e-04  5.07122e-05 
  1.04802e-01  2.74752e-04  5.53390e-05 
  1.06053e-01  4.37578e-04  6.03564e-05 
  1.07303e-01  5.21772e-04  6.54689e-05 
  1.08554e-01  8.55071e-04  7.04862e-05 
  1.09805e-01  1.07995e-03  7.52872e-05 
  1.11055e-01  1.14433e-03  7.97959e-05 
  1.12306e-01  1.24113e-03  8.39653e-05 
  1.13556e-01  1.46108e-03  8.77672e-05 
  1.14807e-01  1.72123e-03  9.11862e-05 
  1.16058e-01  2.04750e-03  9.42156e-05 
  1.17308e-01  2.13329e-03  9.68547e-05 
  1.18559e-01  2.04044e-03  9.91072e-05 
  1.19810e-01  2.27465e-03  1.00980e-04 
  1.21060e-01  2.42830e-03  1.02482e-04 
  1.22311e-01  2.53506e-03  1.03624e-04 
  1.23561e-01  2.52201e-03  1.04419e-04 
  1.24812e-01  2.85578e-03  1.04879e-04 
  1.26063e-01  2.64321e-03  1.05019e-04 
  1.27313e-01  2.90179e-03  1.04853e-04 
  1.28564e-01  2.68939e-03  1.04397e-04 
  1.29815e-01  2.71682e-03  1.03665e-04 
  1.31065e-01  2.61076e-03  1.02673e-04 
  1.32316e-01  2.68306e-03  1.01438e-04 
  1.33566e-01  2.63638e-03  9.99744e-05 
  1.34817e-01  2.38400e-03  9.82998e-05 
  1.36068e-01  2.29221e-03  9.64298e-05 
  1.37318e-01  2.38675e-03  9.43809e-05 
  1.38569e-01  2.19151e-03  9.21694e-05 
  1.39820e-01  2.12677e-03  8.98117e-05 
  1.41070e-01  1.88572e-03  8.73242e-05 
  1.42321e-01  1.85525e-03  8.47234e-05 
  1.43571e-01  1.68942e-03  8.20259e-05 
  1.44822e-01  1.61835e-03  7.92483e-05 
  1.46073e-01  1.52122e-03  7.64072e-05 
  1.47323e-01  1.38128e-03  7.35197e-05 
  1.48574e-01  1.13691e-03  7.06028e-05 
  1.49825e-01  1.18119e-03  6.76738e-05 
  1.51075e-01  1.07588e-03  6.47507e-05 
  1.52326e-01  8.22426e-04  6.18514e-05 
  1.53576e-01  6.66683e-04  5.89947e-05 
  1.54827e-01  6.35775e-04  5.61999e-05 
  1.56078e-01  5.75980e-04  5.34867e-05 
  1.57328e-01  4.10162e-04  5.08758e-05 
  1.58579e-01  2.90715e-04  4.83884e-05 
  1.59830e-01  2.85854e-04  4.60459e-05 
  1.61080e-01  2.06100e-04  4.38701e-05 
  1.62331e-01  1.73045e-04  4.18825e-05 
  1.63581e-01  1.58614e-04  4.01030e-05 
  1.64832e-01  5.68515e-05  3.85498e-05 
  1.66083e-01  6.46495e-05  3.72373e-05 
  1.67333e-01  2.35696e-05  3.61754e-05 
  1.68584e-01  -5.60137e-06 3.53677e-05 
  1.69835e-01  -4.44283e-05 3.48112e-05 
  1.71085e-01  -2.56653e-05 3.44958e-05 
  1.72336e-01  5.02515e-05  3.44046e-05 
  1.73586e-01  -2.74005e-05 3.45156e-05 
  1.74837e-01  5.18679e-05  3.48026e-05 
  1.76088e-01  -3.98383e-05 3.52373e-05 
  1.77338e-01  3.92574e-05  3.57911e-05 
  1.78589e-01  7.29146e-05  3.64359e-05 
  1.79840e-01  8.47248e-05  3.71455e-05 
  1.81090e-01  1.43906e-04  3.78960e-05 
  1.82341e-01  1.41484e-04  3.86660e-05 
  1.83591e-01  2.57835e-04  3.94369e-05 
  1.84842e-01  1.97170e-04  4.01926e-05 
  1.86093e-01  2.33581e-04  4.09197e-05 
  1.87343e-01  2.45346e-04  4.16065e-05 
  1.88594e-01  2.68817e-04  4.22437e-05 
  1.89845e-01  2.50516e-04  4.28237e-05 
  1.91095e-01  3.69530e-04  4.33402e-05 
  1.92346e-01  3.45521e-04  4.37887e-05 
  1.93596e-01  4.01354e-04  4.41656e-05 
  1.94847e-01  3.92190e-04  4.44684e-05 
  1.96098e-01  4.89926e-04  4.46957e-05 
  1.97348e-01  4.50463e-04  4.48469e-05 
  1.98599e-01  3.95798e-04  4.49221e-05 
  1.99850e-01  4.17923e-04  4.49221e-05 
  2.01100e-01  4.50296e-04  4.48484e-05 
  2.02351e-01  5.11119e-04  4.47030e-05 
  2.03602e-01  4.05270e-04  4.44883e-05 
  2.04852e-01  3.95881e-04  4.42074e-05 
  2.06103e-01  5.38596e-04  4.38635e-05 
  2.07353e-01  4.45730e-04  4.34606e-05 
  2.08604e-01  4.16924e-04  4.30027e-05 
  2.09855e-01  3.61595e-04  4.24942e-05 
  2.11105e-01  4.08529e-04  4.19400e-05 
  2.12356e-01  3.09706e-04  4.13450e-05 
  2.13607e-01  3.37104e-04  4.07146e-05 
  2.14857e-01  3.14193e-04  4.00542e-05 
  2.16108e-01  3.20034e-04  3.93696e-05 
  2.17358e-01  2.46502e-04  3.86667e-05 
  2.18609e-01  3.00732e-04  3.79515e-05 
  2.19860e-01  1.88583e-04  3.72302e-05 
  2.21110e-01  2.47088e-04  3.65089e-05 
  2.22361e-01  1.61581e-04  3.57940e-05 
  2.23612e-01  2.04014e-04  3.50915e-05 
  2.24862e-01  1.46015e-04  3.44077e-05 
  2.26113e-01  5.25405e-05  3.37484e-05 
  2.27363e-01  1.26962e-04  3.31193e-05 
  2.28614e-01  6.45220e-05  3.25258e-05 
  2.29865e-01  7.76092e-05  3.19727e-05 
  2.31115e-01  -1.39734e-05 3.14645e-05 
  2.32366e-01  -1.73184e-05 3.10048e-05 
  2.33617e-01  5.14553e-05  3.05966e-05 
  2.34867e-01  1.54532e-05  3.02422e-05 
  2.36118e-01  -5.96568e-05 2.99428e-05 
  2.37368e-01  -2.55537e-06 2.96990e-05 
  2.38619e-01  7.29418e-06  2.95102e-05 
  2.39870e-01  6.46266e-05  2.93751e-05 
  2.41120e-01  4.38042e-05  2.92915e-05 
  2.42371e-01  2.21839e-05  2.92564e-05 
  2.43622e-01  -9.99606e-06 2.92663e-05 
  2.44872e-01  -2.20633e-05 2.93170e-05 
  2.46123e-01  3.34512e-05  2.94040e-05 
  2.47373e-01  4.82888e-05  2.95224e-05 
  2.48624e-01  7.58977e-05  2.96672e-05 
  2.49875e-01  8.22984e-05  2.98334e-05 
  2.51125e-01  6.26240e-05  3.00160e-05 
  2.52376e-01  4.52932e-05  3.02099e-05 
  2.53627e-01  5.93159e-05  3.04107e-05 
  2.54877e-01  1.27133e-04  3.06137e-05 
  2.56128e-01  1.06872e-04  3.08149e-05 
  2.57378e-01  9.89325e-05  3.10105e-05 
  2.58629e-01  1.19106e-04  3.11970e-05 
  2.59880e-01  1.31445e-04  3.13712e-05 
  2.61130e-01  1.09209e-04  3.15304e-05 
  2.62381e-01  9.18257e-05  3.16723e-05 
  2.63632e-01  1.54370e-04  3.17947e-05 
  2.64882e-01  2.26094e-04  3.18961e-05 
  2.66133e-01  1.58043e-04  3.19749e-05 
  2.67383e-01  1.92931e-04  3.20303e-05 
  2.68634e-01  1.58184e-04  3.20614e-05 
  2.69885e-01  1.45558e-04  3.20678e-05 
  2.71135e-01  2.30818e-04  3.20494e-05 
  2.72386e-01  1.15246e-04  3.20064e-05 
  2.73637e-01  1.64018e-04  3.19389e-05 
  2.74887e-01  1.34134e-04  3.18478e-05 
  2.76138e-01  1.41285e-04  3.17336e-05 
  2.77388e-01  1.96907e-04  3.15976e-05 
  2.78639e-01  1.85351e-04  3.14409e-05 
  2.79890e-01  1.73877e-04  3.12649e-05 
  2.81140e-01  1.46064e-04  3.10711e-05 
  2.82391e-01  1.63721e-04  3.08611e-05 
  2.83642e-01  1.40450e-04  3.06369e-05 
  2.84892e-01  1.64272e-04  3.04003e-05 
  2.86143e-01  1.14091e-04  3.01533e-05 
  2.87393e-01  1.82393e-04  2.98980e-05 
  2.88644e-01  1.01289e-04  2.96364e-05 
  2.89895e-01  7.30184e-05  2.93709e-05 
  2.91145e-01  1.11418e-04  2.91034e-05 
  2.92396e-01  1.08038e-04  2.88361e-05 
  2.93647e-01  1.66065e-04  2.85712e-05 
  2.94897e-01  9.75913e-05  2.83106e-05 
  2.96148e-01  5.48044e-05  2.80564e-05 
  2.97398e-01  6.41832e-05  2.78104e-05 
  2.98649e-01  6.27816e-05  2.75742e-05 
  2.99900e-01  1.05991e-05  2.73495e-05 
  3.01150e-01  5.34371e-05  2.71377e-05 
  3.02401e-01  5.64471e-05  2.69399e-05 
  3.03652e-01  4.65395e-05  2.67572e-05 
  3.04902e-01  6.72297e-06  2.65903e-05 
  3.06153e-01  4.20385e-05  2.64397e-05 
  3.07404e-01  6.75248e-06  2.63059e-05 
  3.08654e-01  1.61283e-05  2.61887e-05 
  3.09905e-01  6.69681e-06  2.60882e-05 
  3.11155e-01  6.19668e-06  2.60039e-05 
  3.12406e-01  -3.25664e-05 2.59353e-05 
  3.13657e-01  1.78443e-05  2.58815e-05 
  3.14907e-01  -2.73616e-05 2.58417e-05 
  3.16158e-01  3.75259e-05  2.58147e-05 
  3.17409e-01  6.05145e-05  2.57993e-05 
  3.18659e-01  6.74744e-05  2.57943e-05 
  3.19910e-01  4.54410e-05  2.57981e-05 
  3.21160e-01  -3.71883e-06 2.58093e-05 
  3.22411e-01  4.21264e-05  2.58265e-05 
  3.23662e-01  1.63781e-05  2.58481e-05 
  3.24912e-01  6.03637e-05  2.58727e-05 
  3.26163e-01  5.08418e-05  2.58987e-05 
  3.27414e-01  4.07041e-05  2.59250e-05 
  3.28664e-01  9.21576e-05  2.59500e-05 
  3.29915e-01  8.45172e-05  2.59725e-05 
  3.31165e-01  1.01887e-04  2.59915e-05 
  3.32416e-01  4.37661e-05  2.60058e-05 
  3.33667e-01  4.45617e-05  2.60145e-05 
  3.34917e-01  4.47368e-05  2.60168e-05 
  3.36168e-01  2.42632e-05  2.60120e-05 
  3.37419e-01  6.56908e-05  2.59995e-05 
  3.38669e-01  7.61321e-05  2.59788e-05 
  3.39920e-01  3.25137e-05  2.59496e-05 
  3.41170e-01  2.35529e-05  2.59117e-05 
  3.42421e-01  6.15986e-05  2.58649e-05 
  3.43672e-01  3.10669e-05  2.58093e-05 
  3.44922e-01  7.39143e-05  2.57449e-05 
  3.46173e-01  8.48189e-05  2.56721e-05 
  3.47424e-01  4.25293e-05  2.55911e-05 
  3.48674e-01  9.80324e-05  2.55024e-05 
  3.49925e-01  3.44054e-05  2.54064e-05 
  3.51175e-01  4.63034e-05  2.53038e-05 
  3.52426e-01  4.45925e-05  2.51953e-05 
  3.53677e-01  -9.40921e-06 2.50815e-05 
  3.54927e-01  7.38056e-05  2.49632e-05 
