# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  2.83196e-01  1.09384e-02 
  2.25063e-03  2.57925e-01  7.28652e-03 
  3.50125e-03  2.57259e-01  5.83527e-03 
  4.75188e-03  2.58114e-01  5.00062e-03 
  6.00251e-03  2.65904e-01  4.43973e-03 
  7.25313e-03  2.64963e-01  4.02817e-03 
  8.50376e-03  2.59405e-01  3.70847e-03 
  9.75439e-03  2.59385e-01  3.44993e-03 
  1.10050e-02  2.60986e-01  3.23449e-03 
  1.22556e-02  2.54170e-01  3.05073e-03 
  1.35063e-02  2.57554e-01  2.89103e-03 
  1.47569e-02  2.49986e-01  2.75011e-03 
  1.60075e-02  2.43678e-01  2.62415e-03 
  1.72581e-02  2.46926e-01  2.51034e-03 
  1.85088e-02  2.34643e-01  2.40654e-03 
  1.97594e-02  2.36010e-01  2.31111e-03 
  2.10100e-02  2.33411e-01  2.22275e-03 
  2.22607e-02  2.32170e-01  2.14043e-03 
  2.35113e-02  2.23307e-01  2.06332e-03 
  2.47619e-02  2.23507e-01  1.99073e-03 
  2.60125e-02  2.14660e-01  1.92211e-03 
  2.72632e-02  2.12916e-01  1.85698e-03 
  2.85138e-02  2.05647e-01  1.79495e-03 
  2.97644e-02  2.01018e-01  1.73570e-03 
  3.10150e-02  1.94734e-01  1.67894e-03 
  3.22657e-02  1.88603e-01  1.62443e-03 
  3.35163e-02  1.83881e-01  1.57196e-03 
  3.47669e-02  1.81620e-01  1.52135e-03 
  3.60175e-02  1.74151e-01  1.47246e-03 
  3.72682e-02  1.70352e-01  1.42514e-03 
  3.85188e-02  1.65151e-01  1.37928e-03 
  3.97694e-02  1.58966e-01  1.33478e-03 
  4.10201e-02  1.52611e-01  1.29154e-03 
  4.22707e-02  1.47567e-01  1.24949e-03 
  4.35213e-02  1.40837e-01  1.20855e-03 
  4.47719e-02  1.37030e-01  1.16867e-03 
  4.60226e-02  1.30023e-01  1.12979e-03 
  4.72732e-02  1.23159e-01  1.09186e-03 
  4.85238e-02  1.19154e-01  1.05485e-03 
  4.97744e-02  1.14673e-01  1.01870e-03 
  5.10251e-02  1.09285e-01  9.83389e-04 
  5.22757e-02  1.05429e-01  9.48888e-04 
  5.35263e-02  9.98925e-02  9.15169e-04 
  5.47769e-02  9.43501e-02  8.82207e-04 
  5.60276e-02  8.82852e-02  8.49981e-04 
  5.72782e-02  8.50189e-02  8.18474e-04 
  5.85288e-02  8.06421e-02  7.87668e-04 
  5.97794e-02  7.75111e-02  7.57549e-04 
  6.10301e-02  7.14657e-02  7.28103e-04 
  6.22807e-02  6.86938e-02  6.99319e-04 
  6.35313e-02  6.32273e-02  6.71185e-04 
  6.47820e-02  5.96712e-02  6.43694e-04 
  6.60326e-02  5.56800e-02  6.16837e-04 
  6.72832e-02  5.09273e-02  5.90606e-04 
  6.85338e-02  4.92290e-02  5.64995e-04 
  6.97845e-02  4.47359e-02  5.39999e-04 
  7.10351e-02  4.09968e-02  5.15612e-04 
  7.22857e-02  3.89468e-02  4.91830e-04 
  7.35363e-02  3.43233e-02  4.68650e-04 
  7.47870e-02  3.26765e-02  4.46067e-04 
  7.60376e-02  2.95934e-02  4.24080e-04 
  7.72882e-02  2.65746e-02  4.02687e-04 
  7.85388e-02  2.39541e-02  3.81885e-04 
  7.97895e-02  2.16349e-02  3.61673e-04 
  8.10401e-02  1.99344e-02  3.42051e-04 
  8.22907e-02  1.81377e-02  3.23019e-04 
  8.35414e-02  1.62820e-02  3.04577e-04 
  8.47920e-02  1.46963e-02  2.86727e-04 
  8.60426e-02  1.27673e-02  2.69471e-04 
  8.72932e-02  1.14650e-02  2.52812e-04 
  8.85439e-02  9.84931e-03  2.36755e-04 
  8.97945e-02  8.44451e-03  2.21304e-04 
  9.10451e-02  7.80755e-03  2.06469e-04 
  9.22957e-02  6.61920e-03  1.92258e-04 
  9.35464e-02  5.42755e-03  1.78683e-04 
  9.47970e-02  4.73274e-03  1.65760e-04 
  9.60476e-02  3.80486e-03  1.53508e-04 
  9.72982e-02  3.27301e-03  1.41949e-04 
  9.85489e-02  2.77035e-03  1.31111e-04 
  9.97995e-02  1.90397e-03  1.21030e-04 
  1.01050e-01  1.61351e-03  1.11743e-04 
  1.02301e-01  1.23990e-03  1.03298e-04 
