# Theoretical SAS data
# q            I           
  1.00000e-03  9.99501e-01 
  2.25063e-03  9.97472e-01 
  3.50125e-03  9.93892e-01 
  4.75188e-03  9.88775e-01 
  6.00251e-03  9.82140e-01 
  7.25313e-03  9.74015e-01 
  8.50376e-03  9.64431e-01 
  9.75439e-03  9.53427e-01 
  1.10050e-02  9.41047e-01 
  1.22556e-02  9.27338e-01 
  1.35063e-02  9.12355e-01 
  1.47569e-02  8.96156e-01 
  1.60075e-02  8.78803e-01 
  1.72581e-02  8.60362e-01 
  1.85088e-02  8.40905e-01 
  1.97594e-02  8.20504e-01 
  2.10100e-02  7.99234e-01 
  2.22607e-02  7.77176e-01 
  2.35113e-02  7.54408e-01 
  2.47619e-02  7.31012e-01 
  2.60125e-02  7.07073e-01 
  2.72632e-02  6.82673e-01 
  2.85138e-02  6.57895e-01 
  2.97644e-02  6.32825e-01 
  3.10150e-02  6.07544e-01 
  3.22657e-02  5.82134e-01 
  3.35163e-02  5.56677e-01 
  3.47669e-02  5.31250e-01 
  3.60175e-02  5.05930e-01 
  3.72682e-02  4.80791e-01 
  3.85188e-02  4.55905e-01 
  3.97694e-02  4.31339e-01 
  4.10201e-02  4.07157e-01 
  4.22707e-02  3.83421e-01 
  4.35213e-02  3.60188e-01 
  4.47719e-02  3.37511e-01 
  4.60226e-02  3.15438e-01 
  4.72732e-02  2.94013e-01 
  4.85238e-02  2.73278e-01 
  4.97744e-02  2.53266e-01 
  5.10251e-02  2.34009e-01 
  5.22757e-02  2.15533e-01 
  5.35263e-02  1.97859e-01 
  5.47769e-02  1.81005e-01 
  5.60276e-02  1.64982e-01 
  5.72782e-02  1.49801e-01 
  5.85288e-02  1.35463e-01 
  5.97794e-02  1.21970e-01 
  6.10301e-02  1.09317e-01 
  6.22807e-02  9.74959e-02 
  6.35313e-02  8.64958e-02 
  6.47820e-02  7.63018e-02 
  6.60326e-02  6.68960e-02 
  6.72832e-02  5.82578e-02 
  6.85338e-02  5.03638e-02 
  6.97845e-02  4.31881e-02 
  7.10351e-02  3.67032e-02 
  7.22857e-02  3.08792e-02 
  7.35363e-02  2.56851e-02 
  7.47870e-02  2.10882e-02 
  7.60376e-02  1.70552e-02 
  7.72882e-02  1.35517e-02 
  7.85388e-02  1.05428e-02 
  7.97895e-02  7.99367e-03 
  8.10401e-02  5.86903e-03 
  8.22907e-02  4.13402e-03 
  8.35414e-02  2.75415e-03 
  8.47920e-02  1.69554e-03 
  8.60426e-02  9.25087e-04 
  8.72932e-02  4.10675e-04 
  8.85439e-02  1.21303e-04 
  8.97945e-02  2.72346e-05 
  9.10451e-02  1.00116e-04 
  9.22957e-02  3.13084e-04 
  9.35464e-02  6.40858e-04 
  9.47970e-02  1.05980e-03 
  9.60476e-02  1.54800e-03 
  9.72982e-02  2.08526e-03 
  9.85489e-02  2.65318e-03 
  9.97995e-02  3.23513e-03 
  1.01050e-01  3.81624e-03 
  1.02301e-01  4.38339e-03 
  1.03551e-01  4.92520e-03 
  1.04802e-01  5.43192e-03 
  1.06053e-01  5.89544e-03 
  1.07303e-01  6.30920e-03 
  1.08554e-01  6.66810e-03 
  1.09805e-01  6.96843e-03 
  1.11055e-01  7.20778e-03 
  1.12306e-01  7.38494e-03 
  1.13556e-01  7.49981e-03 
  1.14807e-01  7.55330e-03 
  1.16058e-01  7.54720e-03 
  1.17308e-01  7.48409e-03 
  1.18559e-01  7.36725e-03 
  1.19810e-01  7.20054e-03 
  1.21060e-01  6.98829e-03 
  1.22311e-01  6.73521e-03 
  1.23561e-01  6.44629e-03 
  1.24812e-01  6.12673e-03 
  1.26063e-01  5.78182e-03 
  1.27313e-01  5.41686e-03 
  1.28564e-01  5.03713e-03 
  1.29815e-01  4.64777e-03 
  1.31065e-01  4.25373e-03 
  1.32316e-01  3.85974e-03 
  1.33566e-01  3.47023e-03 
  1.34817e-01  3.08931e-03 
  1.36068e-01  2.72073e-03 
  1.37318e-01  2.36785e-03 
  1.38569e-01  2.03361e-03 
  1.39820e-01  1.72056e-03 
  1.41070e-01  1.43077e-03 
  1.42321e-01  1.16594e-03 
  1.43571e-01  9.27302e-04 
  1.44822e-01  7.15688e-04 
  1.46073e-01  5.31529e-04 
  1.47323e-01  3.74873e-04 
  1.48574e-01  2.45411e-04 
  1.49825e-01  1.42499e-04 
  1.51075e-01  6.51895e-05 
  1.52326e-01  1.22628e-05 
  1.53576e-01  -1.77422e-05
  1.54827e-01  -2.64927e-05
  1.56078e-01  -1.58281e-05
  1.57328e-01  1.22753e-05 
  1.58579e-01  5.57387e-05 
  1.59830e-01  1.12415e-04 
  1.61080e-01  1.80120e-04 
  1.62331e-01  2.56667e-04 
  1.63581e-01  3.39894e-04 
  1.64832e-01  4.27691e-04 
  1.66083e-01  5.18029e-04 
  1.67333e-01  6.08977e-04 
  1.68584e-01  6.98729e-04 
  1.69835e-01  7.85616e-04 
  1.71085e-01  8.68123e-04 
  1.72336e-01  9.44901e-04 
  1.73586e-01  1.01478e-03 
  1.74837e-01  1.07676e-03 
  1.76088e-01  1.13003e-03 
  1.77338e-01  1.17398e-03 
  1.78589e-01  1.20815e-03 
  1.79840e-01  1.23229e-03 
  1.81090e-01  1.24630e-03 
  1.82341e-01  1.25026e-03 
  1.83591e-01  1.24439e-03 
  1.84842e-01  1.22907e-03 
  1.86093e-01  1.20478e-03 
  1.87343e-01  1.17213e-03 
  1.88594e-01  1.13184e-03 
  1.89845e-01  1.08470e-03 
  1.91095e-01  1.03156e-03 
  1.92346e-01  9.73351e-04 
  1.93596e-01  9.11005e-04 
  1.94847e-01  8.45492e-04 
  1.96098e-01  7.77783e-04 
  1.97348e-01  7.08840e-04 
  1.98599e-01  6.39598e-04 
  1.99850e-01  5.70960e-04 
  2.01100e-01  5.03778e-04 
  2.02351e-01  4.38847e-04 
  2.03602e-01  3.76894e-04 
  2.04852e-01  3.18574e-04 
