# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  4.94623e-01  1.52616e-02 
  2.25063e-03  5.33649e-01  1.01627e-02 
  3.50125e-03  5.09834e-01  8.13333e-03 
  4.75188e-03  5.12234e-01  6.96351e-03 
  6.00251e-03  5.12597e-01  6.17497e-03 
  7.25313e-03  5.08847e-01  5.59419e-03 
  8.50376e-03  5.04378e-01  5.14104e-03 
  9.75439e-03  4.98735e-01  4.77275e-03 
  1.10050e-02  4.93043e-01  4.46416e-03 
  1.22556e-02  4.82946e-01  4.19938e-03 
  1.35063e-02  4.84117e-01  3.96784e-03 
  1.47569e-02  4.65776e-01  3.76219e-03 
  1.60075e-02  4.56478e-01  3.57715e-03 
  1.72581e-02  4.51790e-01  3.40883e-03 
  1.85088e-02  4.43504e-01  3.25428e-03 
  1.97594e-02  4.31668e-01  3.11124e-03 
  2.10100e-02  4.16241e-01  2.97793e-03 
  2.22607e-02  4.05572e-01  2.85294e-03 
  2.35113e-02  3.96601e-01  2.73514e-03 
  2.47619e-02  3.85626e-01  2.62361e-03 
  2.60125e-02  3.73115e-01  2.51759e-03 
  2.72632e-02  3.57033e-01  2.41646e-03 
  2.85138e-02  3.43579e-01  2.31969e-03 
  2.97644e-02  3.31946e-01  2.22685e-03 
  3.10150e-02  3.19292e-01  2.13758e-03 
  3.22657e-02  3.04945e-01  2.05156e-03 
  3.35163e-02  2.92014e-01  1.96853e-03 
  3.47669e-02  2.81798e-01  1.88827e-03 
  3.60175e-02  2.68534e-01  1.81057e-03 
  3.72682e-02  2.49358e-01  1.73529e-03 
  3.85188e-02  2.39668e-01  1.66226e-03 
  3.97694e-02  2.25396e-01  1.59138e-03 
  4.10201e-02  2.13084e-01  1.52254e-03 
  4.22707e-02  1.99534e-01  1.45564e-03 
  4.35213e-02  1.87841e-01  1.39060e-03 
  4.47719e-02  1.77576e-01  1.32737e-03 
  4.60226e-02  1.65278e-01  1.26587e-03 
  4.72732e-02  1.53773e-01  1.20606e-03 
  4.85238e-02  1.43243e-01  1.14790e-03 
  4.97744e-02  1.32769e-01  1.09133e-03 
  5.10251e-02  1.23144e-01  1.03634e-03 
  5.22757e-02  1.14096e-01  9.82888e-04 
  5.35263e-02  1.05301e-01  9.30950e-04 
  5.47769e-02  9.52898e-02  8.80504e-04 
