# x y z sld
-40.521192 9.867275 -18.991584 1.000000
40.438930 -18.797523 4.241594 1.000000
-29.884478 6.845476 35.536682 1.000000
12.353477 41.998130 -2.811397 1.000000
2.428562 -27.071457 38.162202 1.000000
-6.082232 6.755228 8.103321 1.000000
34.703965 -8.354775 8.647692 1.000000
6.295904 -24.666128 -1.163501 1.000000
22.927671 1.931480 -18.006596 1.000000
9.752215 -13.880889 -36.220821 1.000000
-1.970504 18.327642 -40.815468 1.000000
8.193617 -42.716553 -12.486219 1.000000
-3.737995 37.350637 -1.029177 1.000000
-29.037075 34.392809 -15.760275 1.000000
22.046097 44.266470 1.626449 1.000000
-0.603509 30.153923 13.698701 1.000000
19.521308 -33.791827 -8.364793 1.000000
30.554957 19.163782 -14.455737 1.000000
-33.255900 -11.621902 -0.893199 1.000000
8.588515 2.056253 47.453848 1.000000
18.322186 -25.539525 0.258442 1.000000
21.963899 24.724060 -29.212054 1.000000
-36.499421 4.916768 31.642984 1.000000
27.044878 -25.686730 -2.993213 1.000000
23.055888 19.744041 -10.383165 1.000000
1.465178 44.820519 5.040860 1.000000
-30.463889 10.215950 37.384560 1.000000
6.890658 -10.842625 -22.373694 1.000000
41.546179 -6.586469 -22.744320 1.000000
47.125055 14.759411 -0.064616 1.000000
-4.743982 -13.282686 14.106388 1.000000
-14.611648 -18.005883 33.764904 1.000000
-3.473895 5.016407 18.613379 1.000000
23.488407 13.744613 -21.563486 1.000000
-19.444777 36.069611 14.424605 1.000000
-4.510161 -2.316491 44.258582 1.000000
21.163223 33.864219 7.842793 1.000000
16.461637 -24.827363 13.712261 1.000000
-25.853860 13.642231 -26.487455 1.000000
4.560155 22.285611 16.403117 1.000000
-23.104339 2.807278 37.109053 1.000000
9.228993 -2.452928 -33.102250 1.000000
-4.721365 26.421487 16.333775 1.000000
23.221094 10.623026 9.999850 1.000000
9.468228 -31.787976 -8.718687 1.000000
-22.880545 -0.966535 -3.542438 1.000000
-21.502520 25.635825 -4.608131 1.000000
-40.980405 8.307495 -7.273797 1.000000
-21.190272 -6.245991 -27.133345 1.000000
-16.894916 11.131024 15.983581 1.000000
4.607632 -48.924303 -6.891348 1.000000
-0.410477 35.483905 9.938206 1.000000
-17.951448 -28.040755 31.666214 1.000000
10.475112 -43.114352 13.460834 1.000000
30.731260 0.272793 38.590346 1.000000
-31.082363 -10.607121 14.610538 1.000000
-25.444638 8.215293 -33.278125 1.000000
-6.869714 -30.017643 -3.201297 1.000000
7.430122 -34.801660 15.490585 1.000000
47.884726 5.322878 3.248923 1.000000
2.576480 -32.103783 4.612367 1.000000
3.341246 -19.312242 -8.571800 1.000000
-16.035389 3.860019 8.715103 1.000000
2.691488 0.135892 4.207869 1.000000
21.378729 16.303280 0.781895 1.000000
-26.611402 6.608045 23.602263 1.000000
-16.848143 9.719658 -16.502264 1.000000
-3.296429 -6.734324 1.390114 1.000000
-19.240145 3.940342 37.961679 1.000000
-37.972177 15.900129 -25.851185 1.000000
20.610228 25.019415 -13.699515 1.000000
-42.924896 -5.693831 12.380920 1.000000
17.330422 -4.564903 27.104367 1.000000
-13.307585 -3.918488 31.697079 1.000000
7.397598 -38.903448 -0.099548 1.000000
10.729754 16.584056 -9.837313 1.000000
31.455107 -5.652794 3.727001 1.000000
7.860450 19.601725 1.751197 1.000000
34.436164 12.318529 -10.797024 1.000000
-3.720327 28.715815 -32.935383 1.000000
-28.743914 13.901129 28.007392 1.000000
-22.385285 -27.156322 -2.106228 1.000000
-18.605519 3.012958 -41.837107 1.000000
-6.821443 -29.355718 -20.934683 1.000000
43.124931 -7.174242 -5.055293 1.000000
-28.610731 -0.769098 -26.584194 1.000000
28.190118 2.394594 -3.501533 1.000000
14.050340 0.811646 -30.873351 1.000000
-14.988275 10.440983 -31.403048 1.000000
17.262638 -25.808952 -35.535865 1.000000
19.004345 7.594415 -0.221348 1.000000
11.591091 -25.453493 3.631998 1.000000
-40.692183 -15.809405 4.882555 1.000000
-17.392239 32.473716 -28.156259 1.000000
-17.930444 -8.542966 -45.245159 1.000000
-45.877893 1.484289 -16.444558 1.000000
-4.587810 20.836773 -10.359759 1.000000
-7.854730 -38.462320 -30.059274 1.000000
-45.046219 -2.192633 -11.470611 1.000000
20.885607 31.252518 -6.526517 1.000000
37.150072 -15.534427 -28.024316 1.000000
19.971736 11.247974 -27.653308 1.000000
-6.378680 31.580992 -20.221271 1.000000
14.232556 -13.753368 17.237064 1.000000
-24.169095 10.867705 41.554910 1.000000
-33.973075 -12.722691 9.900689 1.000000
33.733938 16.985657 32.240590 1.000000
-24.831937 -26.042991 -3.654466 1.000000
-23.998359 34.230649 -24.580806 1.000000
32.156294 31.302249 -17.710014 1.000000
-12.045543 -23.798253 24.827175 1.000000
1.247170 -24.392801 -14.855224 1.000000
-17.464804 -1.507270 -33.210303 1.000000
23.150593 42.857597 7.927465 1.000000
8.297333 21.622466 39.439028 1.000000
-24.549143 -5.221549 -14.486110 1.000000
28.892231 13.172305 -36.271701 1.000000
-19.955499 -31.877690 -4.603392 1.000000
-44.191875 18.619403 8.576742 1.000000
-17.056129 5.141808 -1.933568 1.000000
7.116784 -33.643898 27.091260 1.000000
10.668657 -1.213989 -11.668956 1.000000
31.765852 7.710962 -5.799071 1.000000
22.036198 16.956133 -26.647265 1.000000
-5.385232 -39.139087 -19.170135 1.000000
35.382996 14.195733 22.504723 1.000000
-26.996367 1.630241 -14.676570 1.000000
41.284086 1.508030 11.622544 1.000000
5.764655 20.009034 37.417026 1.000000
11.625165 39.936435 10.726603 1.000000
18.817547 -32.623649 27.636799 1.000000
-12.521025 3.430226 -24.677357 1.000000
-35.339864 -17.996791 22.869051 1.000000
-17.390659 18.385423 -39.468069 1.000000
-18.266630 19.791553 -14.830021 1.000000
-17.311249 27.010438 17.869858 1.000000
9.616197 -16.775490 -30.966213 1.000000
3.429916 46.842742 -9.470845 1.000000
20.516182 -26.141289 -28.695225 1.000000
-4.677591 -21.464435 -0.213671 1.000000
15.283003 -20.462213 -0.572877 1.000000
-26.276534 -3.187330 11.621229 1.000000
-30.866661 10.911271 21.946304 1.000000
-38.097012 23.921739 -12.920402 1.000000
-20.170021 -10.656947 -29.265932 1.000000
7.221085 43.602154 21.356494 1.000000
-5.851439 -26.160158 36.327343 1.000000
-37.797922 -6.288249 6.558969 1.000000
13.254448 0.120711 -36.231984 1.000000
-23.205741 25.340435 31.314018 1.000000
21.884944 -14.914280 -29.383992 1.000000
-16.188117 14.036642 35.166609 1.000000
-21.959503 21.685330 26.122519 1.000000
24.826604 -21.568770 -12.383644 1.000000
5.230135 -42.575415 -9.218248 1.000000
1.394869 -4.895527 -1.025725 1.000000
21.447527 -24.500028 30.387219 1.000000
24.428668 -2.053657 -21.552526 1.000000
-8.159186 -9.059038 42.125009 1.000000
-3.073648 -26.539239 -10.562956 1.000000
-2.428722 -42.678142 -6.560038 1.000000
-1.260990 -25.496373 33.569648 1.000000
-22.170709 -28.964436 14.915855 1.000000
-16.555800 3.971498 -23.571406 1.000000
-10.982687 36.428013 30.920184 1.000000
0.531420 7.126795 -13.166435 1.000000
-21.595310 29.967398 7.505927 1.000000
-24.927810 21.773003 -35.161910 1.000000
-22.479999 -4.562858 4.162214 1.000000
32.984074 -8.235258 25.738804 1.000000
8.481075 3.965206 2.198457 1.000000
18.627090 11.133542 21.630008 1.000000
26.471669 -11.512617 -33.969289 1.000000
10.809304 -8.988360 -24.391114 1.000000
-9.775455 22.606021 41.059584 1.000000
-8.636351 -15.794660 -29.761511 1.000000
35.839522 -11.404272 17.210592 1.000000
28.286626 -5.338155 18.748394 1.000000
9.629672 5.790042 -18.736338 1.000000
-14.012408 43.986322 -9.828527 1.000000
-40.505431 10.939664 3.828036 1.000000
-14.202147 -21.919397 24.152043 1.000000
-44.270453 -3.604923 22.350625 1.000000
13.247113 -14.972536 -18.582725 1.000000
38.737001 28.013267 -1.078913 1.000000
-9.328254 -26.401925 32.858614 1.000000
3.554484 40.540384 0.128167 1.000000
-21.247127 28.296544 11.589318 1.000000
30.613890 1.053785 -31.003071 1.000000
33.559409 29.162866 -9.897352 1.000000
16.238526 37.231132 20.376911 1.000000
-12.143252 31.115189 3.707131 1.000000
-16.488062 -9.304130 -6.174089 1.000000
33.427324 -17.360958 -9.081522 1.000000
6.997572 -6.748885 -36.459440 1.000000
18.620973 8.024958 22.028615 1.000000
9.021851 40.895237 25.631728 1.000000
5.448019 -13.063504 39.673875 1.000000
48.956318 1.339002 -9.211640 1.000000
6.720778 -39.629558 -20.606556 1.000000
-7.640128 -31.915222 12.742208 1.000000
-25.083290 1.093968 33.006102 1.000000
13.983807 14.296141 -20.248709 1.000000
26.812551 -39.792124 3.149662 1.000000
-14.581254 -1.182122 1.395588 1.000000
-32.943004 17.987156 28.669645 1.000000
30.713858 0.661802 -31.969838 1.000000
-34.727028 23.607669 -24.734680 1.000000
-28.498784 -24.076349 9.133987 1.000000
-16.552998 -0.942152 -35.469696 1.000000
-30.774105 -21.210816 22.712039 1.000000
0.429843 -36.619583 -0.649717 1.000000
-2.755567 33.506494 -4.332552 1.000000
-17.175307 -17.789075 -17.868321 1.000000
-40.725201 -16.651026 8.415776 1.000000
-3.469490 -7.601036 -16.319328 1.000000
1.798864 -37.250676 19.887054 1.000000
0.158432 18.939702 -22.882423 1.000000
31.480683 -16.156242 -11.074731 1.000000
-31.538175 -0.071934 22.590097 1.000000
-28.951132 -30.161311 -27.229638 1.000000
-4.217706 -35.188023 -22.365683 1.000000
18.345194 23.360187 26.642263 1.000000
-13.721760 24.806245 -18.140704 1.000000
27.400849 16.372586 -31.371425 1.000000
-27.101489 39.437913 -8.386463 1.000000
9.450203 7.268096 -31.666653 1.000000
-3.476139 0.673037 19.630819 1.000000
-29.488519 26.751383 -27.087615 1.000000
-27.493162 21.883925 -24.939487 1.000000
39.640644 -27.534548 0.502690 1.000000
2.589793 -2.012215 -37.378571 1.000000
-17.266813 -9.419355 12.788162 1.000000
14.041499 -36.019502 7.546930 1.000000
-4.289889 19.935244 41.180712 1.000000
20.840387 -17.494944 -17.279866 1.000000
34.442848 32.200615 -12.252971 1.000000
-12.254064 12.910694 -39.259449 1.000000
18.117790 35.784659 21.371947 1.000000
-4.766364 13.742713 21.663559 1.000000
-13.950233 -14.088836 -10.143269 1.000000
-3.764875 -18.899534 24.433810 1.000000
10.875873 39.439509 -13.363833 1.000000
5.994839 -11.939555 -15.026620 1.000000
39.918710 -2.111814 8.502830 1.000000
0.681886 -45.583682 3.267201 1.000000
13.252593 -14.024459 -10.914495 1.000000
-12.247349 -14.414984 -44.755477 1.000000
-10.204734 36.068311 -6.303512 1.000000
-24.810277 31.657828 -26.189210 1.000000
-2.992984 -13.700677 27.539713 1.000000
-11.450685 26.321977 -15.138512 1.000000
27.242801 -2.818161 23.013264 1.000000
11.400499 5.720278 -3.685091 1.000000
42.946982 -10.174857 13.230436 1.000000
17.313725 14.820304 23.320920 1.000000
17.675997 -12.994166 7.538679 1.000000
-32.098577 -16.734515 29.397178 1.000000
5.130466 31.597928 -7.268010 1.000000
11.583821 17.002111 11.523985 1.000000
25.053896 30.515920 13.262717 1.000000
31.613027 17.283376 -33.648428 1.000000
18.463340 21.548575 37.304877 1.000000
33.014224 14.495804 10.764031 1.000000
-2.949945 -37.178644 -1.283713 1.000000
-25.182389 0.239989 -6.547258 1.000000
-14.828587 21.007958 -12.219739 1.000000
9.079962 0.029797 44.607817 1.000000
-8.420536 -35.508152 31.182326 1.000000
22.941719 -24.218505 -27.415378 1.000000
21.730307 -24.364096 2.208653 1.000000
14.670985 6.217943 28.515473 1.000000
-27.291253 6.361081 6.142630 1.000000
8.607567 20.040025 -3.053946 1.000000
39.930042 6.767239 9.159532 1.000000
-40.158914 -8.527632 -6.410479 1.000000
2.267190 -33.077204 34.349766 1.000000
-14.786963 12.555589 4.897806 1.000000
13.761698 -21.244061 7.718622 1.000000
-33.685575 -27.802433 -10.764502 1.000000
-39.654650 5.165095 -27.660300 1.000000
-6.393704 -7.817854 -18.139375 1.000000
13.179732 -17.761674 1.438255 1.000000
37.637683 -9.231896 20.542122 1.000000
-29.098148 -30.299343 9.741089 1.000000
-2.596927 17.792225 -21.732701 1.000000
-6.534388 -24.323366 13.303446 1.000000
-6.081726 -19.427716 37.513573 1.000000
20.669864 34.623497 25.932594 1.000000
9.317404 24.614039 -12.636279 1.000000
11.600306 4.452723 5.432273 1.000000
10.105327 43.248529 13.630907 1.000000
23.612543 3.633428 16.016371 1.000000
36.659899 -10.072314 15.102145 1.000000
39.432567 -27.132839 -6.799889 1.000000
-1.088768 31.121763 7.958592 1.000000
-16.244545 29.274747 -9.593216 1.000000
7.580637 -27.765318 1.212532 1.000000
20.896653 23.298549 -1.664315 1.000000
1.077151 -27.966809 -35.816948 1.000000
-22.968802 18.847832 -5.301735 1.000000
9.501050 -0.045278 -13.318072 1.000000
0.326450 25.616852 -2.872831 1.000000
-10.571843 -15.781877 -30.952477 1.000000
-16.166854 25.588274 -4.769362 1.000000
8.941863 18.170071 11.165800 1.000000
-14.559009 13.876272 38.190548 1.000000
3.197436 40.140369 12.250974 1.000000
-24.061359 -35.273284 17.022091 1.000000
-30.810207 13.487055 -34.992670 1.000000
-41.403660 -6.055518 23.213953 1.000000
10.403370 32.135123 -29.588060 1.000000
8.317994 -5.142817 27.504129 1.000000
-32.657119 0.146777 1.818807 1.000000
-26.615521 -37.273117 5.744730 1.000000
-10.288769 -18.263507 -4.182930 1.000000
31.487951 23.654020 7.568740 1.000000
30.336121 -21.618347 -3.137459 1.000000
5.676809 -1.290861 12.562622 1.000000
-11.640896 -44.037843 -2.505055 1.000000
0.689836 -5.966575 12.667841 1.000000
24.449348 -5.372281 -21.059828 1.000000
4.205068 -14.318390 -33.899759 1.000000
35.509566 -18.416920 -13.997796 1.000000
4.766554 15.717782 40.987095 1.000000
1.918716 -18.652378 -13.757903 1.000000
30.374334 14.950571 -20.222862 1.000000
13.387682 -46.018923 -6.316729 1.000000
6.693660 24.014019 15.274517 1.000000
0.124989 -19.940762 0.974432 1.000000
-22.069557 2.543914 -9.219072 1.000000
-2.463693 -3.811989 -36.849589 1.000000
49.013266 4.343504 4.054339 1.000000
-2.179909 -19.715885 -14.307214 1.000000
-24.279988 -33.452378 -26.904482 1.000000
35.908391 -28.295242 -11.778468 1.000000
-3.329667 9.930705 -48.519907 1.000000
-27.666851 0.237555 37.464899 1.000000
-28.655632 6.204556 -15.159087 1.000000
-17.038077 -2.988934 12.762997 1.000000
-13.548338 17.353015 -27.647658 1.000000
27.457361 15.873862 11.036979 1.000000
-2.961135 31.382841 -21.309951 1.000000
8.106324 11.311157 -12.643753 1.000000
20.459212 -21.780507 -16.079040 1.000000
33.056348 -16.052075 10.080461 1.000000
25.256937 15.526342 16.633435 1.000000
-9.596934 33.365976 16.298319 1.000000
-25.477551 -13.438969 5.605781 1.000000
-18.444913 4.382414 -6.688896 1.000000
20.229931 11.646097 9.123828 1.000000
23.586656 27.656287 -26.227185 1.000000
-41.047447 -10.455447 -23.827695 1.000000
11.579297 -33.842596 -28.248763 1.000000
21.298750 34.784070 18.653185 1.000000
34.788873 8.402119 -30.023297 1.000000
8.563681 -16.323836 15.933747 1.000000
-12.971393 -34.958588 -25.307431 1.000000
47.699213 4.512281 -4.061882 1.000000
-18.687685 19.448525 9.057315 1.000000
-8.010998 -33.963786 -26.949161 1.000000
-34.825730 11.372984 -26.429174 1.000000
14.504627 8.214189 -18.231608 1.000000
39.317593 -0.022921 0.403523 1.000000
21.607633 44.450461 -6.235636 1.000000
-11.442684 26.946052 3.800155 1.000000
-14.277737 -13.914605 34.772056 1.000000
-0.989565 -20.909017 19.927941 1.000000
26.857150 29.988665 27.054729 1.000000
5.004028 -42.352094 -19.515493 1.000000
16.139456 11.527516 -37.556645 1.000000
-17.172074 -4.099821 33.972084 1.000000
4.328820 -3.169522 10.292832 1.000000
-5.398152 12.243894 -35.334139 1.000000
8.588706 31.582224 -23.997783 1.000000
-43.841612 6.740357 17.403024 1.000000
-24.923610 40.841173 5.338433 1.000000
-16.370601 1.652720 -9.944453 1.000000
-1.479031 8.848019 14.445214 1.000000
-16.313218 -7.150513 -33.374661 1.000000
40.777769 -13.625102 -19.617222 1.000000
25.254014 28.301854 21.421653 1.000000
32.059844 17.463202 -23.038362 1.000000
-43.164096 -21.026645 8.772671 1.000000
-10.060202 9.845068 29.375957 1.000000
-9.131728 16.538981 28.696631 1.000000
-10.602630 -36.824333 29.362987 1.000000
0.188440 -2.081260 -30.317258 1.000000
2.215357 29.074888 -20.110270 1.000000
32.464451 24.162081 -25.813409 1.000000
-22.086739 21.689883 -15.207856 1.000000
-13.206323 -34.728864 -20.133555 1.000000
44.378609 21.573147 5.294763 1.000000
-9.559393 21.492533 23.765467 1.000000
35.635195 -21.412197 25.004546 1.000000
-34.102077 15.652000 -1.160112 1.000000
31.843055 -15.409156 8.345969 1.000000
