# r                 p(r)             
  5.24204e-01       4.49438e-06      
  1.57261e+00       3.05243e-05      
  2.62102e+00       8.22409e-05      
  3.66943e+00       1.63124e-04      
  4.71784e+00       2.62609e-04      
  5.76624e+00       3.82475e-04      
  6.81465e+00       5.22347e-04      
  7.86306e+00       6.93523e-04      
  8.91147e+00       8.64497e-04      
  9.95988e+00       1.06000e-03      
  1.10083e+01       1.27370e-03      
  1.20567e+01       1.50846e-03      
  1.31051e+01       1.73736e-03      
  1.41535e+01       1.99816e-03      
  1.52019e+01       2.25864e-03      
  1.62503e+01       2.51347e-03      
  1.72987e+01       2.80699e-03      
  1.83471e+01       3.08836e-03      
  1.93955e+01       3.36958e-03      
  2.04440e+01       3.67080e-03      
  2.14924e+01       3.96838e-03      
  2.25408e+01       4.25950e-03      
  2.35892e+01       4.58207e-03      
  2.46376e+01       4.89104e-03      
  2.56860e+01       5.18299e-03      
  2.67344e+01       5.47041e-03      
  2.77828e+01       5.76801e-03      
  2.88312e+01       6.08216e-03      
  2.98796e+01       6.34875e-03      
  3.09280e+01       6.62874e-03      
  3.19764e+01       6.89917e-03      
  3.30249e+01       7.17987e-03      
  3.40733e+01       7.44163e-03      
  3.51217e+01       7.67905e-03      
  3.61701e+01       7.90179e-03      
  3.72185e+01       8.14603e-03      
  3.82669e+01       8.37075e-03      
  3.93153e+01       8.58158e-03      
  4.03637e+01       8.74680e-03      
  4.14121e+01       8.92724e-03      
  4.24605e+01       9.10978e-03      
  4.35089e+01       9.25655e-03      
  4.45573e+01       9.36223e-03      
  4.56057e+01       9.50493e-03      
  4.66542e+01       9.62167e-03      
  4.77026e+01       9.67908e-03      
  4.87510e+01       9.79483e-03      
  4.97994e+01       9.82223e-03      
  5.08478e+01       9.85805e-03      
  5.18962e+01       9.86298e-03      
  5.29446e+01       9.84140e-03      
  5.39930e+01       9.85084e-03      
  5.50414e+01       9.81818e-03      
  5.60898e+01       9.78839e-03      
  5.71382e+01       9.70518e-03      
  5.81866e+01       9.63389e-03      
  5.92351e+01       9.52230e-03      
  6.02835e+01       9.39297e-03      
  6.13319e+01       9.26774e-03      
  6.23803e+01       9.10295e-03      
  6.34287e+01       8.92186e-03      
  6.44771e+01       8.75320e-03      
  6.55255e+01       8.54173e-03      
  6.65739e+01       8.33502e-03      
  6.76223e+01       8.07937e-03      
  6.86707e+01       7.83689e-03      
  6.97191e+01       7.57414e-03      
  7.07675e+01       7.27359e-03      
  7.18159e+01       7.00331e-03      
  7.28643e+01       6.69717e-03      
  7.39128e+01       6.39827e-03      
  7.49612e+01       6.06507e-03      
  7.60096e+01       5.76345e-03      
  7.70580e+01       5.44847e-03      
  7.81064e+01       5.11540e-03      
  7.91548e+01       4.77734e-03      
  8.02032e+01       4.44118e-03      
  8.12516e+01       4.10740e-03      
  8.23000e+01       3.76784e-03      
  8.33484e+01       3.42121e-03      
  8.43969e+01       3.08875e-03      
  8.54453e+01       2.78249e-03      
  8.64937e+01       2.44749e-03      
  8.75421e+01       2.13853e-03      
  8.85905e+01       1.84630e-03      
  8.96389e+01       1.54423e-03      
  9.06873e+01       1.28488e-03      
  9.17357e+01       1.03029e-03      
  9.27841e+01       7.93305e-04      
  9.38325e+01       5.97331e-04      
  9.48809e+01       4.15387e-04      
  9.59293e+01       2.71286e-04      
  9.69777e+01       1.53620e-04      
  9.80262e+01       6.43726e-05      
  9.90746e+01       1.37953e-05      
  1.00123e+02       1.24844e-07      
  1.01171e+02       0.00000e+00      
  1.02220e+02       0.00000e+00      
  1.03268e+02       0.00000e+00      
  1.04317e+02       0.00000e+00      
