# Theoretical SAS data
# q            I           
  1.00000e-03  9.99275e-01 
  2.25063e-03  9.96329e-01 
  3.50125e-03  9.91133e-01 
  4.75188e-03  9.83712e-01 
  6.00251e-03  9.74105e-01 
  7.25313e-03  9.62357e-01 
  8.50376e-03  9.48530e-01 
  9.75439e-03  9.32691e-01 
  1.10050e-02  9.14919e-01 
  1.22556e-02  8.95303e-01 
  1.35063e-02  8.73939e-01 
  1.47569e-02  8.50933e-01 
  1.60075e-02  8.26398e-01 
  1.72581e-02  8.00453e-01 
  1.85088e-02  7.73225e-01 
  1.97594e-02  7.44844e-01 
  2.10100e-02  7.15448e-01 
  2.22607e-02  6.85175e-01 
  2.35113e-02  6.54169e-01 
  2.47619e-02  6.22574e-01 
  2.60125e-02  5.90539e-01 
  2.72632e-02  5.58209e-01 
  2.85138e-02  5.25731e-01 
  2.97644e-02  4.93251e-01 
  3.10150e-02  4.60913e-01 
  3.22657e-02  4.28856e-01 
  3.35163e-02  3.97218e-01 
  3.47669e-02  3.66132e-01 
  3.60175e-02  3.35725e-01 
  3.72682e-02  3.06120e-01 
  3.85188e-02  2.77431e-01 
  3.97694e-02  2.49768e-01 
  4.10201e-02  2.23232e-01 
  4.22707e-02  1.97915e-01 
  4.35213e-02  1.73903e-01 
  4.47719e-02  1.51271e-01 
  4.60226e-02  1.30086e-01 
  4.72732e-02  1.10405e-01 
  4.85238e-02  9.22765e-02 
  4.97744e-02  7.57382e-02 
  5.10251e-02  6.08186e-02 
  5.22757e-02  4.75362e-02 
  5.35263e-02  3.59001e-02 
  5.47769e-02  2.59095e-02 
  5.60276e-02  1.75544e-02 
  5.72782e-02  1.08156e-02 
  5.85288e-02  5.66493e-03 
  5.97794e-02  2.06572e-03 
  6.10301e-02  -2.67940e-05
  6.22807e-02  -6.65136e-04
  6.35313e-02  9.09529e-05 
  6.47820e-02  2.17501e-03 
  6.60326e-02  5.51443e-03 
  6.72832e-02  1.00310e-02 
  6.85338e-02  1.56415e-02 
  6.97845e-02  2.22585e-02 
  7.10351e-02  2.97906e-02 
  7.22857e-02  3.81437e-02 
  7.35363e-02  4.72211e-02 
  7.47870e-02  5.69244e-02 
  7.60376e-02  6.71542e-02 
  7.72882e-02  7.78107e-02 
  7.85388e-02  8.87942e-02 
  7.97895e-02  1.00006e-01 
  8.10401e-02  1.11350e-01 
  8.22907e-02  1.22729e-01 
  8.35414e-02  1.34053e-01 
  8.47920e-02  1.45231e-01 
  8.60426e-02  1.56178e-01 
  8.72932e-02  1.66813e-01 
  8.85439e-02  1.77059e-01 
  8.97945e-02  1.86844e-01 
  9.10451e-02  1.96102e-01 
  9.22957e-02  2.04771e-01 
  9.35464e-02  2.12798e-01 
  9.47970e-02  2.20132e-01 
  9.60476e-02  2.26732e-01 
  9.72982e-02  2.32560e-01 
  9.85489e-02  2.37588e-01 
  9.97995e-02  2.41791e-01 
  1.01050e-01  2.45153e-01 
  1.02301e-01  2.47663e-01 
  1.03551e-01  2.49316e-01 
  1.04802e-01  2.50114e-01 
  1.06053e-01  2.50066e-01 
  1.07303e-01  2.49184e-01 
  1.08554e-01  2.47487e-01 
  1.09805e-01  2.44998e-01 
  1.11055e-01  2.41748e-01 
  1.12306e-01  2.37768e-01 
  1.13556e-01  2.33097e-01 
  1.14807e-01  2.27775e-01 
  1.16058e-01  2.21846e-01 
  1.17308e-01  2.15359e-01 
  1.18559e-01  2.08364e-01 
  1.19810e-01  2.00911e-01 
  1.21060e-01  1.93054e-01 
  1.22311e-01  1.84849e-01 
  1.23561e-01  1.76351e-01 
  1.24812e-01  1.67615e-01 
  1.26063e-01  1.58698e-01 
  1.27313e-01  1.49656e-01 
  1.28564e-01  1.40542e-01 
  1.29815e-01  1.31410e-01 
  1.31065e-01  1.22312e-01 
  1.32316e-01  1.13298e-01 
  1.33566e-01  1.04415e-01 
  1.34817e-01  9.57100e-02 
  1.36068e-01  8.72246e-02 
  1.37318e-01  7.89987e-02 
  1.38569e-01  7.10690e-02 
  1.39820e-01  6.34688e-02 
  1.41070e-01  5.62281e-02 
  1.42321e-01  4.93734e-02 
  1.43571e-01  4.29274e-02 
  1.44822e-01  3.69094e-02 
  1.46073e-01  3.13349e-02 
  1.47323e-01  2.62158e-02 
  1.48574e-01  2.15605e-02 
  1.49825e-01  1.73736e-02 
  1.51075e-01  1.36566e-02 
  1.52326e-01  1.04072e-02 
  1.53576e-01  7.62035e-03 
  1.54827e-01  5.28764e-03 
  1.56078e-01  3.39789e-03 
  1.57328e-01  1.93721e-03 
  1.58579e-01  8.89200e-04 
  1.59830e-01  2.35195e-04 
  1.61080e-01  -4.55310e-05
  1.62331e-01  2.44718e-05 
  1.63581e-01  4.21072e-04 
  1.64832e-01  1.11880e-03 
  1.66083e-01  2.09108e-03 
  1.67333e-01  3.31050e-03 
