# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  6.86012e-02  5.42032e-03 
  2.25063e-03  6.45676e-02  3.60795e-03 
  3.50125e-03  6.20728e-02  2.88546e-03 
  4.75188e-03  6.20375e-02  2.46794e-03 
  6.00251e-03  6.26726e-02  2.18557e-03 
  7.25313e-03  5.91673e-02  1.97675e-03 
  8.50376e-03  5.81943e-02  1.81306e-03 
  9.75439e-03  5.63865e-02  1.67931e-03 
  1.10050e-02  5.78349e-02  1.56660e-03 
  1.22556e-02  5.65875e-02  1.46929e-03 
  1.35063e-02  5.43726e-02  1.38365e-03 
  1.47569e-02  4.79665e-02  1.30708e-03 
  1.60075e-02  5.33022e-02  1.23771e-03 
  1.72581e-02  5.19720e-02  1.17419e-03 
  1.85088e-02  4.69051e-02  1.11547e-03 
  1.97594e-02  4.60098e-02  1.06076e-03 
  2.10100e-02  4.52576e-02  1.00945e-03 
  2.22607e-02  4.00328e-02  9.61051e-04 
  2.35113e-02  3.98887e-02  9.15166e-04 
  2.47619e-02  4.10340e-02  8.71485e-04 
  2.60125e-02  3.53272e-02  8.29751e-04 
  2.72632e-02  3.43814e-02  7.89757e-04 
  2.85138e-02  3.39697e-02  7.51333e-04 
  2.97644e-02  3.12514e-02  7.14338e-04 
  3.10150e-02  2.66909e-02  6.78657e-04 
  3.22657e-02  2.51949e-02  6.44198e-04 
  3.35163e-02  2.46785e-02  6.10884e-04 
  3.47669e-02  2.18013e-02  5.78654e-04 
  3.60175e-02  1.88128e-02  5.47461e-04 
  3.72682e-02  1.83461e-02  5.17269e-04 
  3.85188e-02  1.66394e-02  4.88053e-04 
  3.97694e-02  1.54715e-02  4.59800e-04 
  4.10201e-02  1.31676e-02  4.32502e-04 
  4.22707e-02  1.14875e-02  4.06165e-04 
  4.35213e-02  1.08385e-02  3.80803e-04 
  4.47719e-02  8.97133e-03  3.56440e-04 
  4.60226e-02  8.46078e-03  3.33112e-04 
  4.72732e-02  6.52922e-03  3.10866e-04 
  4.85238e-02  5.71216e-03  2.89765e-04 
  4.97744e-02  4.68180e-03  2.69886e-04 
  5.10251e-02  3.29384e-03  2.51321e-04 
  5.22757e-02  2.70467e-03  2.34182e-04 
  5.35263e-02  2.42693e-03  2.18595e-04 
  5.47769e-02  1.39997e-03  2.04702e-04 
  5.60276e-02  6.07680e-04  1.92649e-04 
  5.72782e-02  4.83392e-04  1.82578e-04 
  5.85288e-02  2.49296e-04  1.74603e-04 
  5.97794e-02  1.46237e-04  1.68797e-04 
  6.10301e-02  2.33657e-04  1.65163e-04 
  6.22807e-02  -8.07003e-05 1.63627e-04 
  6.35313e-02  8.86108e-05  1.64037e-04 
  6.47820e-02  3.99193e-04  1.66178e-04 
  6.60326e-02  7.37945e-04  1.69796e-04 
  6.72832e-02  5.19366e-04  1.74620e-04 
  6.85338e-02  1.09035e-03  1.80389e-04 
  6.97845e-02  1.54744e-03  1.86864e-04 
  7.10351e-02  2.11202e-03  1.93833e-04 
  7.22857e-02  2.83677e-03  2.01116e-04 
  7.35363e-02  3.38269e-03  2.08563e-04 
  7.47870e-02  3.96468e-03  2.16048e-04 
  7.60376e-02  4.77465e-03  2.23469e-04 
  7.72882e-02  5.76870e-03  2.30744e-04 
  7.85388e-02  6.46808e-03  2.37805e-04 
  7.97895e-02  7.44322e-03  2.44598e-04 
  8.10401e-02  7.52464e-03  2.51079e-04 
  8.22907e-02  8.38281e-03  2.57212e-04 
  8.35414e-02  9.72770e-03  2.62970e-04 
  8.47920e-02  9.93437e-03  2.68331e-04 
  8.60426e-02  1.10924e-02  2.73279e-04 
  8.72932e-02  1.12439e-02  2.77799e-04 
  8.85439e-02  1.22206e-02  2.81884e-04 
  8.97945e-02  1.30087e-02  2.85527e-04 
  9.10451e-02  1.33819e-02  2.88723e-04 
  9.22957e-02  1.40900e-02  2.91473e-04 
  9.35464e-02  1.41106e-02  2.93775e-04 
  9.47970e-02  1.50241e-02  2.95633e-04 
  9.60476e-02  1.50321e-02  2.97051e-04 
  9.72982e-02  1.54165e-02  2.98033e-04 
  9.85489e-02  1.59166e-02  2.98586e-04 
  9.97995e-02  1.58804e-02  2.98717e-04 
  1.01050e-01  1.62542e-02  2.98435e-04 
  1.02301e-01  1.78033e-02  2.97749e-04 
  1.03551e-01  1.63232e-02  2.96670e-04 
  1.04802e-01  1.70558e-02  2.95208e-04 
  1.06053e-01  1.70514e-02  2.93375e-04 
  1.07303e-01  1.70104e-02  2.91184e-04 
  1.08554e-01  1.62749e-02  2.88647e-04 
  1.09805e-01  1.64582e-02  2.85778e-04 
  1.11055e-01  1.59988e-02  2.82591e-04 
  1.12306e-01  1.59788e-02  2.79100e-04 
  1.13556e-01  1.50960e-02  2.75321e-04 
  1.14807e-01  1.46789e-02  2.71269e-04 
  1.16058e-01  1.49473e-02  2.66960e-04 
  1.17308e-01  1.41001e-02  2.62410e-04 
