# x y z sld
-15.729099 7.843604 7.750387 -1.000000
-5.980230 -14.577320 -0.731338 -1.000000
6.521602 -8.274069 16.429258 -1.000000
16.666882 4.903173 -11.558073 -1.000000
-5.709480 17.340545 5.747011 -1.000000
12.265579 -7.723893 -13.618585 -1.000000
17.393935 15.540013 -3.839705 -1.000000
-20.197798 5.630757 -10.225145 -1.000000
-18.531440 -4.220291 14.671863 -1.000000
-0.541501 16.089572 24.120481 -1.000000
-10.429723 -18.093916 -1.438244 -1.000000
13.140389 4.089341 -18.923776 -1.000000
13.323433 1.634774 -6.159163 -1.000000
-1.593467 17.875842 10.485235 -1.000000
-0.679018 -19.774490 -22.406719 -1.000000
-6.558367 -23.662575 13.068211 -1.000000
18.690678 5.584272 -21.974757 -1.000000
5.028509 6.006890 23.064104 -1.000000
0.385950 -8.960838 -14.155997 -1.000000
4.030965 15.039990 -21.302493 -1.000000
4.454867 19.110636 21.629851 -1.000000
3.354494 23.662628 8.467989 -1.000000
5.083931 6.509812 -1.301772 -1.000000
11.008444 7.275626 25.628345 -1.000000
9.618178 -17.893432 -2.007087 -1.000000
2.653131 24.029878 -14.743716 -1.000000
11.102347 1.065912 15.418823 -1.000000
24.241642 0.191463 -13.833599 -1.000000
1.044174 -8.703807 14.008864 -1.000000
12.365479 -18.841513 -9.946347 -1.000000
9.381634 16.136805 20.333533 -1.000000
21.224613 -12.147989 -16.371097 -1.000000
14.841694 5.939835 21.189952 -1.000000
-10.676158 -21.270649 -17.075944 -1.000000
18.956116 -15.381450 -9.361523 -1.000000
10.002341 17.364007 -1.137688 -1.000000
-11.242632 -12.661823 -17.135844 -1.000000
12.207624 8.433867 24.709745 -1.000000
-14.671864 14.486085 -17.915877 -1.000000
13.923461 22.019896 12.140287 -1.000000
-20.110353 12.001108 8.752311 -1.000000
7.188957 -4.667649 -16.569948 -1.000000
17.273382 9.005929 -9.453309 -1.000000
1.525519 3.392847 -28.990238 -1.000000
-10.791705 0.637715 21.212297 -1.000000
4.370862 -5.616225 -25.165453 -1.000000
4.285966 19.655231 -6.740396 -1.000000
0.948963 -4.644042 10.702076 -1.000000
-6.044939 19.018217 -14.159529 -1.000000
-17.399381 -3.665800 -5.924453 -1.000000
0.439363 10.580990 -2.245029 -1.000000
5.778895 -16.595286 8.802033 -1.000000
-3.560635 -15.297058 -22.240908 -1.000000
-3.044224 -17.599574 13.653583 -1.000000
-2.014966 -11.424097 -25.334934 -1.000000
-4.356860 -25.124986 12.969360 -1.000000
-8.559920 -5.526013 -0.298581 -1.000000
-8.578705 21.597411 18.740358 -1.000000
-3.242267 3.167793 23.762735 -1.000000
-14.610257 -9.201303 -2.502667 -1.000000
15.442868 14.274146 -11.931693 -1.000000
-25.824427 -7.175500 13.394122 -1.000000
-5.152121 -4.063601 20.595915 -1.000000
4.424419 -10.852960 -13.296602 -1.000000
-4.008333 -2.967331 10.766484 -1.000000
-9.420750 5.175514 5.856198 -1.000000
-11.206290 -3.667948 4.745207 -1.000000
-3.294151 12.130884 1.634006 -1.000000
-0.066036 -0.286956 -17.135263 -1.000000
5.236431 24.419315 7.627173 -1.000000
13.229279 4.948581 -9.088580 -1.000000
-16.939509 21.851416 -10.998494 -1.000000
-0.260760 26.812409 -4.814227 -1.000000
0.619855 -16.670051 -5.422611 -1.000000
-4.669210 -10.732188 -7.638430 -1.000000
1.515800 1.692656 -18.988764 -1.000000
16.023864 6.095657 -12.939642 -1.000000
-22.567664 14.234545 9.822656 -1.000000
8.930099 17.671447 11.023746 -1.000000
-20.537255 -4.656806 -2.470630 -1.000000
13.749370 -3.181777 -11.610800 -1.000000
-16.145190 -14.370292 -17.464478 -1.000000
13.340432 -9.906624 10.714845 -1.000000
10.946277 -23.951565 8.426684 -1.000000
-0.141034 -10.548016 -2.600583 -1.000000
9.458594 -10.568035 3.860146 -1.000000
2.875337 24.266316 7.422595 -1.000000
6.038501 26.992291 -2.597309 -1.000000
-13.259852 7.059750 10.713251 -1.000000
7.015048 -0.992781 -5.077940 -1.000000
-0.786136 -6.842232 22.065654 -1.000000
11.478848 -0.255933 8.003401 -1.000000
8.512814 -15.352416 -21.336515 -1.000000
12.043086 -16.441550 -7.547117 -1.000000
12.486171 -13.939099 0.315804 -1.000000
2.855347 -1.908875 -25.791830 -1.000000
20.615922 -18.701607 4.862802 -1.000000
14.266439 16.055797 13.336986 -1.000000
14.349517 -16.679262 -10.520369 -1.000000
-10.588692 -10.451316 9.593235 -1.000000
-7.438981 24.719789 -5.777842 -1.000000
3.601706 -5.886020 29.161415 -1.000000
3.798108 -5.360547 21.697715 -1.000000
-6.089107 -3.626869 2.643346 -1.000000
