# x y z sld
-2.162031 -5.032934 15.348362 -1.000000
16.599540 -18.751670 -16.043873 -1.000000
-15.935185 -19.998946 2.737151 -1.000000
25.821514 13.740812 -2.086480 -1.000000
-8.362673 -2.652269 15.037470 -1.000000
2.994332 26.578481 9.170266 -1.000000
-11.115892 -23.662029 -6.954475 -1.000000
-18.239628 8.643710 -5.221559 -1.000000
12.794901 -20.737093 4.724613 -1.000000
-9.358448 -13.514259 9.181667 -1.000000
-18.363489 12.756138 -0.213113 -1.000000
2.544945 -7.646737 8.325007 -1.000000
-11.864786 -5.386736 -0.322436 -1.000000
-25.002678 -1.661195 -0.878247 -1.000000
2.015930 2.023012 -19.569261 -1.000000
7.282198 11.092020 -24.882055 -1.000000
-5.836588 21.328330 10.642925 -1.000000
-8.983144 -19.886083 -11.192125 -1.000000
7.705361 20.333486 -16.853759 -1.000000
22.952454 -1.334061 12.727073 -1.000000
2.634907 -25.758917 -8.409326 -1.000000
0.485447 -15.378374 -15.768176 -1.000000
23.432114 7.556113 6.198406 -1.000000
-12.955224 18.111280 12.511223 -1.000000
-18.583531 -8.175539 7.867626 -1.000000
11.967720 0.287393 13.423232 -1.000000
-1.938664 0.519936 12.763948 -1.000000
-2.826678 -15.354966 15.816071 -1.000000
-16.780580 4.755482 -22.837570 -1.000000
-7.312400 -15.013183 -10.561055 -1.000000
-15.951877 11.176217 7.655245 -1.000000
1.460869 19.536904 21.531517 -1.000000
19.080053 -17.434897 10.782000 -1.000000
-10.300283 19.148707 15.454343 -1.000000
-10.304382 -0.108167 -16.235942 -1.000000
11.678851 26.252415 8.311746 -1.000000
-26.501377 7.174224 2.761002 -1.000000
-19.719794 5.587498 6.484218 -1.000000
-17.588166 -8.215954 7.373284 -1.000000
-12.306772 -5.135243 -5.209550 -1.000000
-7.289703 17.695405 3.136367 -1.000000
7.860512 26.598959 -4.104934 -1.000000
-12.419578 -10.651347 -20.475295 -1.000000
2.899288 -10.766029 -18.229149 -1.000000
5.994006 -0.103418 -0.169858 -1.000000
20.136661 18.299980 9.721281 -1.000000
25.625749 -3.554044 -7.446481 -1.000000
3.372831 -6.131944 19.847280 -1.000000
-12.155498 -11.486140 13.191531 -1.000000
-6.706955 21.390621 -4.976917 -1.000000
-19.456633 21.715432 -3.605724 -1.000000
10.013758 -24.572272 -12.420106 -1.000000
-6.035932 12.808593 -18.237543 -1.000000
-0.079976 -6.762059 8.006298 -1.000000
0.660504 1.742906 -26.138704 -1.000000
-17.135219 -9.324186 -7.881042 -1.000000
-18.169851 -22.059508 -8.869806 -1.000000
-14.584238 -21.437452 -12.423727 -1.000000
20.288350 -2.549156 -4.939860 -1.000000
20.796798 -0.109785 8.327727 -1.000000
6.045733 -4.975295 -23.156202 -1.000000
-6.501288 13.356984 -22.200875 -1.000000
-6.252206 -12.430753 4.381657 -1.000000
-23.784062 5.711028 -0.274311 -1.000000
-25.268521 -13.438332 -6.214514 -1.000000
-7.828319 -9.665634 -5.205293 -1.000000
-5.818459 14.987086 12.999458 -1.000000
7.552952 -24.601816 -1.670438 -1.000000
-7.627366 10.680416 -2.925751 -1.000000
4.130169 -17.334128 -3.250599 -1.000000
5.912874 25.719475 1.722439 -1.000000
13.463669 15.155607 1.390088 -1.000000
-24.309693 3.452749 3.669391 -1.000000
-14.783869 9.693435 6.519585 -1.000000
25.515772 -2.475140 3.521601 -1.000000
7.964003 -9.389922 0.731098 -1.000000
1.754280 19.855327 -19.215504 -1.000000
21.968102 -0.695743 10.012064 -1.000000
15.313917 5.309659 -9.605107 -1.000000
-20.247472 13.140208 8.191279 -1.000000
-19.016530 7.876405 15.207586 -1.000000
3.603982 5.420356 -15.197902 -1.000000
10.827575 -7.120608 21.416568 -1.000000
11.313692 2.671452 -24.200707 -1.000000
-6.954165 19.726144 14.144529 -1.000000
-13.154694 13.005844 14.156279 -1.000000
-13.071574 -16.632257 21.027780 -1.000000
14.758292 10.955559 -23.664661 -1.000000
-15.121297 12.563720 -8.134729 -1.000000
-20.383412 -5.552945 4.957293 -1.000000
21.059368 11.088699 0.047669 -1.000000
-2.829057 11.216118 -23.871083 -1.000000
-3.977776 -22.034223 -3.502276 -1.000000
-10.958257 -0.650194 7.756224 -1.000000
3.023746 12.256496 -3.880051 -1.000000
17.370567 2.186106 10.940434 -1.000000
4.706304 9.945983 -14.138400 -1.000000
1.778224 5.915139 20.312290 -1.000000
-2.508678 1.286463 28.265672 -1.000000
-6.269276 11.370245 -25.049936 -1.000000
-7.299695 6.631217 23.249939 -1.000000
-4.072242 -19.496230 -12.183775 -1.000000
7.732236 21.004316 -8.991385 -1.000000
-1.526548 16.365265 10.637633 -1.000000
-6.142928 18.396700 -4.158913 -1.000000
10.593763 16.363898 -6.094667 -1.000000
6.734927 1.330509 -22.831474 -1.000000
23.659032 -4.766895 -2.935074 -1.000000
1.632117 7.923678 11.837921 -1.000000
16.670247 -0.913666 -22.556940 -1.000000
4.832459 3.127642 24.521927 -1.000000
-12.335243 -23.409467 8.938585 -1.000000
-1.429210 2.920109 7.336728 -1.000000
11.336063 -3.021298 -27.280557 -1.000000
-10.547020 2.868242 23.081851 -1.000000
12.178876 2.938235 -15.521625 -1.000000
-12.678017 21.893818 -5.164899 -1.000000
19.219964 -2.999241 7.925790 -1.000000
17.713728 10.017079 10.239105 -1.000000
-12.693028 -6.951596 -10.288694 -1.000000
11.136077 -6.452973 -24.507980 -1.000000
-13.231166 -17.724592 -3.224522 -1.000000
16.213969 15.808742 -16.360293 -1.000000
16.140222 -22.642167 -4.038013 -1.000000
-13.140881 26.139131 1.521868 -1.000000
0.033648 -5.467767 16.859230 -1.000000
8.540815 16.555981 7.050145 -1.000000
14.997051 -6.541041 -14.887949 -1.000000
2.611605 -27.209238 3.382086 -1.000000
4.435237 -1.947206 -10.744187 -1.000000
-3.403516 -4.207447 -1.064596 -1.000000
-7.249299 -5.149189 17.776280 -1.000000
-2.176427 -9.291415 22.963320 -1.000000
-4.472870 0.873814 18.115858 -1.000000
-26.141966 7.762243 -12.045841 -1.000000
-19.441624 19.478648 -9.688367 -1.000000
16.363085 3.271712 22.066861 -1.000000
-18.818060 5.041403 -2.245779 -1.000000
-9.024178 -10.891283 24.087955 -1.000000
0.815211 6.928909 -26.797199 -1.000000
12.029535 -6.436929 6.389738 -1.000000
-19.019419 -18.134560 -13.731593 -1.000000
-7.744995 25.273812 -2.924832 -1.000000
-14.355422 -10.962361 -22.919005 -1.000000
-26.565857 9.776336 0.650723 -1.000000
-8.861181 4.350674 -27.223373 -1.000000
-1.987399 -19.313905 5.724072 -1.000000
-19.829213 7.635890 5.428454 -1.000000
3.101146 12.826235 -12.397104 -1.000000
19.906907 10.037422 -1.864302 -1.000000
-15.471338 11.821965 -13.182156 -1.000000
13.460764 -7.038350 25.514771 -1.000000
-3.586402 29.212426 5.043105 -1.000000
8.418412 -18.880653 -15.205150 -1.000000
-7.590827 5.821068 -0.747657 -1.000000
15.353706 -7.912453 -5.125501 -1.000000
10.839146 3.703815 -15.762309 -1.000000
-26.775161 -1.785532 -10.447070 -1.000000
8.464504 17.030333 9.250282 -1.000000
-19.574179 0.570582 17.231824 -1.000000
-17.490424 -4.210995 -9.257845 -1.000000
15.844397 8.543572 2.004921 -1.000000
-11.460487 -20.415912 -6.683994 -1.000000
16.232689 -5.407515 21.807272 -1.000000
19.259545 -13.176665 16.373192 -1.000000
-7.827112 24.443855 -0.007621 -1.000000
5.215146 -1.752240 1.680261 -1.000000
3.638097 -23.568857 -16.960546 -1.000000
21.928618 -10.040876 7.297538 -1.000000
-1.632688 3.637288 -10.901592 -1.000000
7.765185 4.242670 27.389658 -1.000000
-7.828447 -0.870497 14.920862 -1.000000
20.224274 -1.502724 20.803353 -1.000000
-0.164342 -22.219672 16.469447 -1.000000
4.892527 -7.344419 21.301209 -1.000000
-15.756582 16.198568 -1.524140 -1.000000
9.644082 -7.273390 -16.107575 -1.000000
-1.885641 1.771350 -23.352362 -1.000000
15.475133 21.329524 -10.607882 -1.000000
13.497598 -6.766435 5.437805 -1.000000
-8.136723 -16.566610 -14.593654 -1.000000
6.613250 -1.499341 2.848808 -1.000000
-2.231427 27.040125 -6.651781 -1.000000
-21.419177 10.624822 -17.330302 -1.000000
7.721404 -19.392741 -5.164851 -1.000000
3.586579 -15.154567 -17.862424 -1.000000
19.338368 -2.939810 -6.078330 -1.000000
-6.768890 -5.111804 -9.998966 -1.000000
-2.995932 17.644667 20.232280 -1.000000
9.854310 -16.928036 16.409947 -1.000000
5.634009 24.394952 -2.324950 -1.000000
22.715203 -3.170463 17.840859 -1.000000
1.435874 5.173928 3.071295 -1.000000
-7.103129 12.299195 -19.043814 -1.000000
1.215658 26.899802 -0.518628 -1.000000
-14.881080 -17.734274 -1.690689 -1.000000
-14.189717 23.684647 9.890823 -1.000000
-11.116818 4.837520 -25.837893 -1.000000
-4.194172 17.361510 -6.821461 -1.000000
1.879246 6.789244 0.269431 -1.000000
5.252532 -18.689625 -18.972985 -1.000000
-16.521474 15.232269 -8.676538 -1.000000
0.860548 -4.708946 0.058112 -1.000000
-0.006076 -16.228839 -24.080584 -1.000000
-3.387824 -6.488007 -2.544007 -1.000000
10.575871 25.980047 5.018053 -1.000000
3.556657 25.228442 2.636348 -1.000000
-17.167348 -5.597387 -8.001270 -1.000000
-0.982040 -24.531061 14.344130 -1.000000
-12.931497 26.538287 -5.326641 -1.000000
-20.418602 15.424930 -2.272927 -1.000000
-5.635019 -25.022237 5.704099 -1.000000
2.971116 12.600059 -12.189583 -1.000000
-0.155675 -5.684172 0.503686 -1.000000
20.373663 9.954121 1.190101 -1.000000
18.691455 -15.876548 11.767315 -1.000000
11.139711 -19.429493 8.040269 -1.000000
22.336187 8.885887 -8.853916 -1.000000
6.329057 -12.540061 24.461928 -1.000000
-20.334969 11.132729 11.386632 -1.000000
7.357748 -20.769101 18.894864 -1.000000
23.029829 14.378482 -9.331028 -1.000000
22.492532 7.167683 5.473630 -1.000000
-13.473880 4.138344 23.659954 -1.000000
-2.569558 -13.659298 26.189469 -1.000000
5.034228 1.748071 7.976911 -1.000000
-3.572914 15.685967 -11.820964 -1.000000
14.417308 5.991674 17.069058 -1.000000
5.491965 1.840034 19.277152 -1.000000
-13.569088 -7.977704 -14.607034 -1.000000
-10.565157 5.566428 -5.295439 -1.000000
18.439101 -11.781709 -16.167984 -1.000000
-13.432454 1.787131 -19.409619 -1.000000
13.474711 -26.092214 6.023403 -1.000000
18.610405 9.177486 21.461102 -1.000000
0.169461 -14.663014 19.992241 -1.000000
21.903086 -13.310275 -0.346489 -1.000000
-12.645676 16.199107 12.354492 -1.000000
7.478442 -1.612400 -17.059976 -1.000000
-23.284945 -14.393917 -6.949694 -1.000000
