# r                 p(r)             
  4.71488e-01       3.99181e-06      
  1.41446e+00       3.11628e-05      
  2.35744e+00       7.66162e-05      
  3.30042e+00       1.39634e-04      
  4.24339e+00       2.21093e-04      
  5.18637e+00       3.12479e-04      
  6.12935e+00       4.09667e-04      
  7.07232e+00       5.15769e-04      
  8.01530e+00       6.24666e-04      
  8.95827e+00       7.27814e-04      
  9.90125e+00       8.32852e-04      
  1.08442e+01       9.17079e-04      
  1.17872e+01       9.83636e-04      
  1.27302e+01       1.06289e-03      
  1.36732e+01       1.08921e-03      
  1.46161e+01       1.10674e-03      
  1.55591e+01       1.10877e-03      
  1.65021e+01       1.09815e-03      
  1.74451e+01       1.06470e-03      
  1.83880e+01       1.04279e-03      
  1.93310e+01       1.03045e-03      
  2.02740e+01       9.48508e-04      
  2.12170e+01       9.16148e-04      
  2.21599e+01       8.43603e-04      
  2.31029e+01       7.85004e-04      
  2.40459e+01       7.30156e-04      
  2.49889e+01       6.41538e-04      
  2.59318e+01       5.52973e-04      
  2.68748e+01       4.82956e-04      
  2.78178e+01       3.97026e-04      
  2.87608e+01       2.93664e-04      
  2.97038e+01       2.33335e-04      
  3.06467e+01       1.33566e-04      
  3.15897e+01       5.33572e-05      
  3.25327e+01       -2.68250e-05     
  3.34757e+01       -1.00008e-04     
  3.44186e+01       -2.00123e-04     
  3.53616e+01       -3.42045e-04     
  3.63046e+01       -3.81005e-04     
  3.72476e+01       -4.57941e-04     
  3.81905e+01       -5.27452e-04     
  3.91335e+01       -6.11413e-04     
  4.00765e+01       -6.73100e-04     
  4.10195e+01       -7.33456e-04     
  4.19624e+01       -8.02621e-04     
  4.29054e+01       -8.53982e-04     
  4.38484e+01       -8.76443e-04     
  4.47914e+01       -9.06701e-04     
  4.57343e+01       -9.16228e-04     
  4.66773e+01       -8.83362e-04     
  4.76203e+01       -9.16574e-04     
  4.85633e+01       -8.51960e-04     
  4.95063e+01       -7.95808e-04     
  5.04492e+01       -7.47188e-04     
  5.13922e+01       -6.19343e-04     
  5.23352e+01       -4.88625e-04     
  5.32782e+01       -3.52451e-04     
  5.42211e+01       -1.82878e-04     
  5.51641e+01       -3.91198e-06     
  5.61071e+01       2.23142e-04      
  5.70501e+01       4.97859e-04      
  5.79930e+01       7.87292e-04      
  5.89360e+01       1.07396e-03      
  5.98790e+01       1.42912e-03      
  6.08220e+01       1.76952e-03      
  6.17649e+01       2.19353e-03      
  6.27079e+01       2.48597e-03      
  6.36509e+01       2.82485e-03      
  6.45939e+01       3.11838e-03      
  6.55368e+01       3.36595e-03      
  6.64798e+01       3.59694e-03      
  6.74228e+01       3.80002e-03      
  6.83658e+01       3.95847e-03      
  6.93088e+01       4.04512e-03      
  7.02517e+01       4.14034e-03      
  7.11947e+01       4.14457e-03      
  7.21377e+01       4.09299e-03      
  7.30807e+01       3.95091e-03      
  7.40236e+01       3.74187e-03      
  7.49666e+01       3.47458e-03      
  7.59096e+01       3.13701e-03      
  7.68526e+01       2.79243e-03      
  7.77955e+01       2.49653e-03      
  7.87385e+01       2.17735e-03      
  7.96815e+01       1.89287e-03      
  8.06245e+01       1.61086e-03      
  8.15674e+01       1.34841e-03      
  8.25104e+01       1.08359e-03      
  8.34534e+01       8.64228e-04      
  8.43964e+01       6.45556e-04      
  8.53393e+01       4.58580e-04      
  8.62823e+01       2.99838e-04      
  8.72253e+01       1.73537e-04      
  8.81683e+01       7.65896e-05      
  8.91113e+01       2.04381e-05      
  9.00542e+01       7.71751e-07      
  9.09972e+01       0.00000e+00      
  9.19402e+01       0.00000e+00      
  9.28832e+01       0.00000e+00      
  9.38261e+01       0.00000e+00      
