# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  7.23947e-02  5.54434e-03 
  2.25063e-03  5.70117e-02  3.69054e-03 
  3.50125e-03  6.15762e-02  2.95157e-03 
  4.75188e-03  6.61483e-02  2.52456e-03 
  6.00251e-03  6.44038e-02  2.23580e-03 
  7.25313e-03  6.08780e-02  2.02228e-03 
  8.50376e-03  6.34244e-02  1.85492e-03 
  9.75439e-03  6.23463e-02  1.71819e-03 
  1.10050e-02  5.81076e-02  1.60299e-03 
  1.22556e-02  6.31591e-02  1.50355e-03 
  1.35063e-02  5.73565e-02  1.41605e-03 
  1.47569e-02  5.19373e-02  1.33782e-03 
  1.60075e-02  5.48044e-02  1.26697e-03 
  1.72581e-02  5.24277e-02  1.20209e-03 
  1.85088e-02  5.05804e-02  1.14214e-03 
  1.97594e-02  4.90895e-02  1.08628e-03 
  2.10100e-02  4.67768e-02  1.03390e-03 
  2.22607e-02  4.45498e-02  9.84495e-04 
  2.35113e-02  4.16063e-02  9.37662e-04 
  2.47619e-02  3.97768e-02  8.93080e-04 
  2.60125e-02  3.81131e-02  8.50487e-04 
  2.72632e-02  3.67610e-02  8.09671e-04 
  2.85138e-02  3.48766e-02  7.70456e-04 
  2.97644e-02  3.10194e-02  7.32697e-04 
  3.10150e-02  2.92217e-02  6.96277e-04 
  3.22657e-02  2.88774e-02  6.61099e-04 
  3.35163e-02  2.48265e-02  6.27083e-04 
  3.47669e-02  2.34259e-02  5.94167e-04 
  3.60175e-02  2.24733e-02  5.62300e-04 
  3.72682e-02  2.00994e-02  5.31444e-04 
  3.85188e-02  1.78933e-02  5.01573e-04 
  3.97694e-02  1.59680e-02  4.72667e-04 
  4.10201e-02  1.46362e-02  4.44720e-04 
  4.22707e-02  1.31621e-02  4.17733e-04 
  4.35213e-02  1.10500e-02  3.91716e-04 
  4.47719e-02  1.00464e-02  3.66692e-04 
  4.60226e-02  8.04706e-03  3.42692e-04 
  4.72732e-02  7.10580e-03  3.19759e-04 
  4.85238e-02  5.96360e-03  2.97950e-04 
  4.97744e-02  4.91106e-03  2.77337e-04 
  5.10251e-02  3.98516e-03  2.58009e-04 
  5.22757e-02  3.20456e-03  2.40072e-04 
  5.35263e-02  2.62537e-03  2.23650e-04 
  5.47769e-02  2.11368e-03  2.08882e-04 
  5.60276e-02  6.22446e-04  1.95921e-04 
  5.72782e-02  7.49674e-04  1.84917e-04 
  5.85288e-02  3.21472e-04  1.76005e-04 
  5.97794e-02  1.93319e-04  1.69282e-04 
  6.10301e-02  -3.63281e-05 1.64783e-04 
  6.22807e-02  5.45325e-05  1.62466e-04 
  6.35313e-02  -5.75735e-05 1.62203e-04 
  6.47820e-02  1.89663e-04  1.63793e-04 
  6.60326e-02  5.57805e-04  1.66986e-04 
  6.72832e-02  1.01322e-03  1.71504e-04 
  6.85338e-02  9.40286e-04  1.77072e-04 
  6.97845e-02  1.58966e-03  1.83435e-04 
  7.10351e-02  2.32099e-03  1.90365e-04 
  7.22857e-02  2.53783e-03  1.97667e-04 
  7.35363e-02  3.63969e-03  2.05176e-04 
  7.47870e-02  3.70131e-03  2.12758e-04 
  7.60376e-02  4.90106e-03  2.20302e-04 
  7.72882e-02  5.32779e-03  2.27717e-04 
  7.85388e-02  6.11963e-03  2.34932e-04 
  7.97895e-02  6.95178e-03  2.41887e-04 
  8.10401e-02  7.29507e-03  2.48536e-04 
  8.22907e-02  8.20732e-03  2.54840e-04 
  8.35414e-02  9.73416e-03  2.60770e-04 
  8.47920e-02  9.23851e-03  2.66302e-04 
  8.60426e-02  1.04036e-02  2.71419e-04 
  8.72932e-02  1.14420e-02  2.76105e-04 
  8.85439e-02  1.21014e-02  2.80352e-04 
  8.97945e-02  1.25721e-02  2.84153e-04 
  9.10451e-02  1.33376e-02  2.87502e-04 
  9.22957e-02  1.41396e-02  2.90400e-04 
  9.35464e-02  1.40198e-02  2.92845e-04 
  9.47970e-02  1.46310e-02  2.94840e-04 
  9.60476e-02  1.51928e-02  2.96388e-04 
  9.72982e-02  1.53286e-02  2.97495e-04 
  9.85489e-02  1.62280e-02  2.98167e-04 
  9.97995e-02  1.61697e-02  2.98411e-04 
  1.01050e-01  1.63678e-02  2.98235e-04 
  1.02301e-01  1.65545e-02  2.97650e-04 
  1.03551e-01  1.69486e-02  2.96665e-04 
  1.04802e-01  1.70421e-02  2.95292e-04 
  1.06053e-01  1.65737e-02  2.93541e-04 
  1.07303e-01  1.72327e-02  2.91426e-04 
  1.08554e-01  1.65779e-02  2.88960e-04 
  1.09805e-01  1.64953e-02  2.86156e-04 
  1.11055e-01  1.61734e-02  2.83028e-04 
  1.12306e-01  1.59117e-02  2.79591e-04 
  1.13556e-01  1.56014e-02  2.75860e-04 
  1.14807e-01  1.56429e-02  2.71850e-04 
  1.16058e-01  1.50102e-02  2.67578e-04 
  1.17308e-01  1.40616e-02  2.63060e-04 
  1.18559e-01  1.40469e-02  2.58313e-04 
  1.19810e-01  1.35108e-02  2.53353e-04 
  1.21060e-01  1.29583e-02  2.48199e-04 
  1.22311e-01  1.25330e-02  2.42867e-04 
  1.23561e-01  1.23754e-02  2.37377e-04 
  1.24812e-01  1.13635e-02  2.31746e-04 
  1.26063e-01  1.05313e-02  2.25993e-04 
  1.27313e-01  1.02306e-02  2.20138e-04 
  1.28564e-01  9.43771e-03  2.14199e-04 
  1.29815e-01  8.83576e-03  2.08197e-04 
  1.31065e-01  8.59258e-03  2.02153e-04 
  1.32316e-01  8.01414e-03  1.96085e-04 
