# Theoretical SAS data
# q            I           
  1.00000e-03  9.99268e-01 
  2.25063e-03  9.96298e-01 
  3.50125e-03  9.91058e-01 
  4.75188e-03  9.83574e-01 
  6.00251e-03  9.73885e-01 
  7.25313e-03  9.62039e-01 
  8.50376e-03  9.48095e-01 
  9.75439e-03  9.32124e-01 
  1.10050e-02  9.14206e-01 
  1.22556e-02  8.94429e-01 
  1.35063e-02  8.72893e-01 
  1.47569e-02  8.49704e-01 
  1.60075e-02  8.24975e-01 
  1.72581e-02  7.98830e-01 
  1.85088e-02  7.71394e-01 
  1.97594e-02  7.42802e-01 
  2.10100e-02  7.13192e-01 
  2.22607e-02  6.82704e-01 
  2.35113e-02  6.51485e-01 
  2.47619e-02  6.19681e-01 
  2.60125e-02  5.87441e-01 
  2.72632e-02  5.54913e-01 
  2.85138e-02  5.22247e-01 
  2.97644e-02  4.89590e-01 
  3.10150e-02  4.57087e-01 
  3.22657e-02  4.24881e-01 
  3.35163e-02  3.93111e-01 
  3.47669e-02  3.61912e-01 
  3.60175e-02  3.31412e-01 
  3.72682e-02  3.01735e-01 
  3.85188e-02  2.72998e-01 
  3.97694e-02  2.45312e-01 
  4.10201e-02  2.18778e-01 
  4.22707e-02  1.93491e-01 
  4.35213e-02  1.69537e-01 
  4.47719e-02  1.46991e-01 
  4.60226e-02  1.25923e-01 
  4.72732e-02  1.06389e-01 
  4.85238e-02  8.84370e-02 
  4.97744e-02  7.21065e-02 
  5.10251e-02  5.74253e-02 
  5.22757e-02  4.44120e-02 
  5.35263e-02  3.30752e-02 
  5.47769e-02  2.34135e-02 
  5.60276e-02  1.54164e-02 
  5.72782e-02  9.06359e-03 
  5.85288e-02  4.32601e-03 
  5.97794e-02  1.16576e-03 
  6.10301e-02  -4.63332e-04
  6.22807e-02  -6.15328e-04
  6.35313e-02  6.48340e-04 
  6.47820e-02  3.25938e-03 
  6.60326e-02  7.14319e-03 
  6.72832e-02  1.22195e-02 
  6.85338e-02  1.84029e-02 
  6.97845e-02  2.56035e-02 
  7.10351e-02  3.37277e-02 
  7.22857e-02  4.26788e-02 
  7.35363e-02  5.23576e-02 
  7.47870e-02  6.26630e-02 
  7.60376e-02  7.34931e-02 
  7.72882e-02  8.47454e-02 
  7.85388e-02  9.63177e-02 
  7.97895e-02  1.08109e-01 
  8.10401e-02  1.20018e-01 
  8.22907e-02  1.31950e-01 
  8.35414e-02  1.43807e-01 
  8.47920e-02  1.55499e-01 
  8.60426e-02  1.66938e-01 
  8.72932e-02  1.78040e-01 
  8.85439e-02  1.88726e-01 
  8.97945e-02  1.98923e-01 
  9.10451e-02  2.08561e-01 
  9.22957e-02  2.17579e-01 
  9.35464e-02  2.25920e-01 
  9.47970e-02  2.33534e-01 
  9.60476e-02  2.40376e-01 
  9.72982e-02  2.46409e-01 
  9.85489e-02  2.51603e-01 
  9.97995e-02  2.55933e-01 
  1.01050e-01  2.59383e-01 
  1.02301e-01  2.61941e-01 
  1.03551e-01  2.63602e-01 
  1.04802e-01  2.64370e-01 
  1.06053e-01  2.64251e-01 
  1.07303e-01  2.63260e-01 
  1.08554e-01  2.61416e-01 
  1.09805e-01  2.58745e-01 
  1.11055e-01  2.55275e-01 
  1.12306e-01  2.51043e-01 
  1.13556e-01  2.46087e-01 
  1.14807e-01  2.40450e-01 
  1.16058e-01  2.34177e-01 
  1.17308e-01  2.27320e-01 
  1.18559e-01  2.19929e-01 
  1.19810e-01  2.12058e-01 
  1.21060e-01  2.03765e-01 
  1.22311e-01  1.95106e-01 
  1.23561e-01  1.86140e-01 
  1.24812e-01  1.76924e-01 
  1.26063e-01  1.67518e-01 
  1.27313e-01  1.57979e-01 
