# Theoretical SAS data
# q            I           
  1.00000e-03  9.97447e-01 
  2.25063e-03  9.87163e-01 
  3.50125e-03  9.69327e-01 
  4.75188e-03  9.44522e-01 
  6.00251e-03  9.13545e-01 
  7.25313e-03  8.77361e-01 
  8.50376e-03  8.37058e-01 
  9.75439e-03  7.93794e-01 
  1.10050e-02  7.48737e-01 
  1.22556e-02  7.03019e-01 
  1.35063e-02  6.57683e-01 
  1.47569e-02  6.13643e-01 
  1.60075e-02  5.71661e-01 
  1.72581e-02  5.32320e-01 
  1.85088e-02  4.96021e-01 
  1.97594e-02  4.62986e-01 
  2.10100e-02  4.33271e-01 
  2.22607e-02  4.06787e-01 
  2.35113e-02  3.83330e-01 
  2.47619e-02  3.62607e-01 
  2.60125e-02  3.44274e-01 
  2.72632e-02  3.27959e-01 
  2.85138e-02  3.13297e-01 
  2.97644e-02  2.99948e-01 
  3.10150e-02  2.87613e-01 
  3.22657e-02  2.76051e-01 
  3.35163e-02  2.65074e-01 
  3.47669e-02  2.54555e-01 
  3.60175e-02  2.44417e-01 
  3.72682e-02  2.34626e-01 
  3.85188e-02  2.25181e-01 
  3.97694e-02  2.16101e-01 
  4.10201e-02  2.07416e-01 
  4.22707e-02  1.99153e-01 
  4.35213e-02  1.91334e-01 
  4.47719e-02  1.83968e-01 
  4.60226e-02  1.77049e-01 
  4.72732e-02  1.70556e-01 
  4.85238e-02  1.64456e-01 
  4.97744e-02  1.58704e-01 
  5.10251e-02  1.53253e-01 
  5.22757e-02  1.48053e-01 
  5.35263e-02  1.43060e-01 
  5.47769e-02  1.38233e-01 
  5.60276e-02  1.33544e-01 
  5.72782e-02  1.28971e-01 
  5.85288e-02  1.24504e-01 
  5.97794e-02  1.20142e-01 
  6.10301e-02  1.15889e-01 
  6.22807e-02  1.11754e-01 
  6.35313e-02  1.07747e-01 
  6.47820e-02  1.03878e-01 
  6.60326e-02  1.00154e-01 
  6.72832e-02  9.65779e-02 
  6.85338e-02  9.31492e-02 
  6.97845e-02  8.98622e-02 
  7.10351e-02  8.67080e-02 
  7.22857e-02  8.36750e-02 
  7.35363e-02  8.07503e-02 
  7.47870e-02  7.79214e-02 
  7.60376e-02  7.51765e-02 
  7.72882e-02  7.25066e-02 
  7.85388e-02  6.99050e-02 
  7.97895e-02  6.73680e-02 
  8.10401e-02  6.48949e-02 
  8.22907e-02  6.24866e-02 
  8.35414e-02  6.01458e-02 
  8.47920e-02  5.78755e-02 
  8.60426e-02  5.56786e-02 
  8.72932e-02  5.35570e-02 
  8.85439e-02  5.15112e-02 
  8.97945e-02  4.95400e-02 
  9.10451e-02  4.76407e-02 
  9.22957e-02  4.58092e-02 
  9.35464e-02  4.40405e-02 
  9.47970e-02  4.23294e-02 
  9.60476e-02  4.06706e-02 
  9.72982e-02  3.90598e-02 
  9.85489e-02  3.74935e-02 
  9.97995e-02  3.59695e-02 
  1.01050e-01  3.44870e-02 
  1.02301e-01  3.30462e-02 
  1.03551e-01  3.16481e-02 
  1.04802e-01  3.02942e-02 
  1.06053e-01  2.89862e-02 
  1.07303e-01  2.77252e-02 
  1.08554e-01  2.65118e-02 
  1.09805e-01  2.53457e-02 
  1.11055e-01  2.42258e-02 
  1.12306e-01  2.31499e-02 
  1.13556e-01  2.21152e-02 
  1.14807e-01  2.11188e-02 
  1.16058e-01  2.01572e-02 
  1.17308e-01  1.92275e-02 
  1.18559e-01  1.83272e-02 
  1.19810e-01  1.74545e-02 
  1.21060e-01  1.66083e-02 
  1.22311e-01  1.57884e-02 
  1.23561e-01  1.49953e-02 
  1.24812e-01  1.42299e-02 
  1.26063e-01  1.34933e-02 
  1.27313e-01  1.27867e-02 
  1.28564e-01  1.21109e-02 
  1.29815e-01  1.14664e-02 
  1.31065e-01  1.08529e-02 
  1.32316e-01  1.02697e-02 
  1.33566e-01  9.71525e-03 
  1.34817e-01  9.18763e-03 
  1.36068e-01  8.68459e-03 
  1.37318e-01  8.20375e-03 
  1.38569e-01  7.74285e-03 
  1.39820e-01  7.29988e-03 
  1.41070e-01  6.87326e-03 
  1.42321e-01  6.46193e-03 
  1.43571e-01  6.06531e-03 
  1.44822e-01  5.68332e-03 
  1.46073e-01  5.31623e-03 
  1.47323e-01  4.96454e-03 
  1.48574e-01  4.62884e-03 
  1.49825e-01  4.30964e-03 
  1.51075e-01  4.00727e-03 
  1.52326e-01  3.72177e-03 
  1.53576e-01  3.45286e-03 
  1.54827e-01  3.19997e-03 
  1.56078e-01  2.96227e-03 
  1.57328e-01  2.73878e-03 
  1.58579e-01  2.52843e-03 
  1.59830e-01  2.33022e-03 
  1.61080e-01  2.14327e-03 
  1.62331e-01  1.96694e-03 
  1.63581e-01  1.80080e-03 
  1.64832e-01  1.64466e-03 
  1.66083e-01  1.49853e-03 
  1.67333e-01  1.36255e-03 
  1.68584e-01  1.23692e-03 
  1.69835e-01  1.12176e-03 
  1.71085e-01  1.01711e-03 
  1.72336e-01  9.22789e-04 
  1.73586e-01  8.38415e-04 
  1.74837e-01  7.63376e-04 
  1.76088e-01  6.96867e-04 
  1.77338e-01  6.37942e-04 
  1.78589e-01  5.85588e-04 
  1.79840e-01  5.38803e-04 
  1.81090e-01  4.96678e-04 
  1.82341e-01  4.58460e-04 
  1.83591e-01  4.23596e-04 
  1.84842e-01  3.91755e-04 
  1.86093e-01  3.62816e-04 
  1.87343e-01  3.36838e-04 
  1.88594e-01  3.14007e-04 
  1.89845e-01  2.94572e-04 
  1.91095e-01  2.78779e-04 
  1.92346e-01  2.66810e-04 
  1.93596e-01  2.58740e-04 
  1.94847e-01  2.54502e-04 
  1.96098e-01  2.53885e-04 
  1.97348e-01  2.56548e-04 
  1.98599e-01  2.62051e-04 
