# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  3.83532e-01  1.29554e-02 
  2.25063e-03  3.82432e-01  8.59127e-03 
  3.50125e-03  3.71535e-01  6.82583e-03 
  4.75188e-03  3.61018e-01  5.78404e-03 
  6.00251e-03  3.44123e-01  5.06164e-03 
  7.25313e-03  3.35936e-01  4.51296e-03 
  8.50376e-03  3.10849e-01  4.07155e-03 
  9.75439e-03  2.97130e-01  3.70257e-03 
  1.10050e-02  2.83474e-01  3.38603e-03 
  1.22556e-02  2.66443e-01  3.10971e-03 
  1.35063e-02  2.52978e-01  2.86575e-03 
  1.47569e-02  2.30653e-01  2.64888e-03 
  1.60075e-02  2.11181e-01  2.45540e-03 
  1.72581e-02  1.99875e-01  2.28259e-03 
  1.85088e-02  1.86270e-01  2.12828e-03 
  1.97594e-02  1.75410e-01  1.99068e-03 
  2.10100e-02  1.61072e-01  1.86815e-03 
  2.22607e-02  1.50385e-01  1.75915e-03 
  2.35113e-02  1.43404e-01  1.66218e-03 
  2.47619e-02  1.37673e-01  1.57579e-03 
  2.60125e-02  1.30064e-01  1.49855e-03 
  2.72632e-02  1.22380e-01  1.42912e-03 
  2.85138e-02  1.17479e-01  1.36625e-03 
  2.97644e-02  1.11718e-01  1.30885e-03 
  3.10150e-02  1.09150e-01  1.25594e-03 
  3.22657e-02  1.03459e-01  1.20673e-03 
  3.35163e-02  1.00689e-01  1.16060e-03 
  3.47669e-02  9.52918e-02  1.11708e-03 
  3.60175e-02  9.27938e-02  1.07581e-03 
  3.72682e-02  8.92378e-02  1.03659e-03 
  3.85188e-02  8.46554e-02  9.99277e-04 
  3.97694e-02  8.25907e-02  9.63797e-04 
  4.10201e-02  7.87487e-02  9.30113e-04 
  4.22707e-02  7.59384e-02  8.98201e-04 
  4.35213e-02  7.15695e-02  8.68035e-04 
  4.47719e-02  7.04973e-02  8.39569e-04 
  4.60226e-02  6.62494e-02  8.12733e-04 
  4.72732e-02  6.52038e-02  7.87433e-04 
  4.85238e-02  6.27107e-02  7.63549e-04 
  4.97744e-02  6.00448e-02  7.40945e-04 
  5.10251e-02  5.87183e-02  7.19477e-04 
  5.22757e-02  5.61355e-02  6.98999e-04 
  5.35263e-02  5.33652e-02  6.79378e-04 
  5.47769e-02  5.17232e-02  6.60496e-04 
  5.60276e-02  4.96328e-02  6.42257e-04 
  5.72782e-02  4.73643e-02  6.24590e-04 
  5.85288e-02  4.69310e-02  6.07447e-04 
  5.97794e-02  4.45818e-02  5.90803e-04 
  6.10301e-02  4.40386e-02  5.74648e-04 
  6.22807e-02  4.11703e-02  5.58987e-04 
  6.35313e-02  4.10378e-02  5.43828e-04 
  6.47820e-02  3.95903e-02  5.29182e-04 
  6.60326e-02  3.69684e-02  5.15055e-04 
  6.72832e-02  3.66359e-02  5.01445e-04 
  6.85338e-02  3.54857e-02  4.88341e-04 
  6.97845e-02  3.35213e-02  4.75722e-04 
  7.10351e-02  3.25071e-02  4.63560e-04 
  7.22857e-02  3.18471e-02  4.51820e-04 
  7.35363e-02  3.04101e-02  4.40462e-04 
  7.47870e-02  2.98043e-02  4.29447e-04 
  7.60376e-02  2.79778e-02  4.18741e-04 
  7.72882e-02  2.75054e-02  4.08313e-04 
  7.85388e-02  2.64558e-02  3.98140e-04 
  7.97895e-02  2.52711e-02  3.88206e-04 
  8.10401e-02  2.46668e-02  3.78504e-04 
  8.22907e-02  2.37482e-02  3.69033e-04 
  8.35414e-02  2.25505e-02  3.59795e-04 
  8.47920e-02  2.21586e-02  3.50796e-04 
  8.60426e-02  2.09794e-02  3.42040e-04 
  8.72932e-02  2.01118e-02  3.33532e-04 
  8.85439e-02  1.94749e-02  3.25271e-04 
  8.97945e-02  1.84796e-02  3.17254e-04 
  9.10451e-02  1.75190e-02  3.09472e-04 
  9.22957e-02  1.72812e-02  3.01911e-04 
  9.35464e-02  1.59747e-02  2.94558e-04 
  9.47970e-02  1.60884e-02  2.87395e-04 
  9.60476e-02  1.55111e-02  2.80405e-04 
  9.72982e-02  1.45533e-02  2.73574e-04 
  9.85489e-02  1.40251e-02  2.66890e-04 
  9.97995e-02  1.37045e-02  2.60345e-04 
  1.01050e-01  1.28644e-02  2.53935e-04 
  1.02301e-01  1.25233e-02  2.47659e-04 
  1.03551e-01  1.17683e-02  2.41521e-04 
  1.04802e-01  1.15468e-02  2.35525e-04 
  1.06053e-01  1.12944e-02  2.29677e-04 
  1.07303e-01  1.05436e-02  2.23982e-04 
  1.08554e-01  1.03435e-02  2.18443e-04 
  1.09805e-01  9.68041e-03  2.13061e-04 
  1.11055e-01  8.60273e-03  2.07832e-04 
  1.12306e-01  8.49424e-03  2.02751e-04 
  1.13556e-01  8.23168e-03  1.97811e-04 
  1.14807e-01  7.86488e-03  1.92999e-04 
  1.16058e-01  7.48992e-03  1.88306e-04 
  1.17308e-01  7.61025e-03  1.83721e-04 
  1.18559e-01  7.03797e-03  1.79235e-04 
  1.19810e-01  6.60978e-03  1.74842e-04 
  1.21060e-01  6.32114e-03  1.70537e-04 
  1.22311e-01  6.00124e-03  1.66320e-04 
  1.23561e-01  5.57022e-03  1.62195e-04 
  1.24812e-01  5.30701e-03  1.58165e-04 
  1.26063e-01  5.00271e-03  1.54237e-04 
  1.27313e-01  4.67565e-03  1.50418e-04 
  1.28564e-01  4.43945e-03  1.46713e-04 
  1.29815e-01  4.54387e-03  1.43128e-04 
  1.31065e-01  4.20614e-03  1.39664e-04 
  1.32316e-01  3.95847e-03  1.36320e-04 
  1.33566e-01  3.88493e-03  1.33093e-04 
  1.34817e-01  3.17939e-03  1.29976e-04 
  1.36068e-01  3.22440e-03  1.26961e-04 
  1.37318e-01  2.75492e-03  1.24039e-04 
  1.38569e-01  2.84071e-03  1.21201e-04 
  1.39820e-01  2.58071e-03  1.18438e-04 
  1.41070e-01  2.55596e-03  1.15743e-04 
  1.42321e-01  2.49372e-03  1.13113e-04 
  1.43571e-01  2.23607e-03  1.10546e-04 
  1.44822e-01  2.25336e-03  1.08041e-04 
  1.46073e-01  1.98442e-03  1.05603e-04 
  1.47323e-01  1.90439e-03  1.03235e-04 
  1.48574e-01  1.68043e-03  1.00941e-04 
  1.49825e-01  1.70369e-03  9.87277e-05 
  1.51075e-01  1.47371e-03  9.65980e-05 
  1.52326e-01  1.25989e-03  9.45545e-05 
  1.53576e-01  1.28448e-03  9.25981e-05 
  1.54827e-01  1.07193e-03  9.07276e-05 
  1.56078e-01  1.23717e-03  8.89405e-05 
  1.57328e-01  9.79856e-04  8.72327e-05 
  1.58579e-01  8.12883e-04  8.55997e-05 
  1.59830e-01  9.21293e-04  8.40369e-05 
  1.61080e-01  7.19968e-04  8.25406e-05 
  1.62331e-01  7.34511e-04  8.11078e-05 
  1.63581e-01  7.43570e-04  7.97372e-05 
  1.64832e-01  5.81338e-04  7.84289e-05 
  1.66083e-01  3.92173e-04  7.71840e-05 
  1.67333e-01  5.45211e-04  7.60047e-05 
  1.68584e-01  5.05258e-04  7.48933e-05 
  1.69835e-01  3.88258e-04  7.38519e-05 
  1.71085e-01  3.69777e-04  7.28818e-05 
  1.72336e-01  2.35398e-04  7.19828e-05 
  1.73586e-01  2.89287e-04  7.11531e-05 
  1.74837e-01  2.42120e-04  7.03892e-05 
  1.76088e-01  4.23227e-04  6.96863e-05 
  1.77338e-01  2.12247e-04  6.90381e-05 
  1.78589e-01  3.46138e-04  6.84381e-05 
  1.79840e-01  2.40580e-04  6.78795e-05 
  1.81090e-01  1.44603e-04  6.73560e-05 
  1.82341e-01  1.75785e-04  6.68625e-05 
  1.83591e-01  1.05013e-04  6.63953e-05 
  1.84842e-01  1.09810e-04  6.59518e-05 
  1.86093e-01  1.16611e-04  6.55314e-05 
  1.87343e-01  9.17162e-05  6.51342e-05 
  1.88594e-01  7.89834e-05  6.47615e-05 
  1.89845e-01  1.14947e-04  6.44148e-05 
  1.91095e-01  1.54821e-04  6.40958e-05 
  1.92346e-01  5.83367e-05  6.38054e-05 
  1.93596e-01  -1.02383e-04 6.35441e-05 
  1.94847e-01  1.00864e-04  6.33110e-05 
  1.96098e-01  2.87733e-04  6.31047e-05 
