# x y z sld
-19.027094 0.571249 5.888970 1.000000
-3.572849 -3.733213 -134.979495 1.000000
-17.950052 4.429339 59.487208 1.000000
0.589878 -4.077796 149.155689 1.000000
-5.494628 -10.861680 -106.439708 1.000000
5.286345 -2.296807 107.858722 1.000000
-14.272984 -10.502109 -27.041998 1.000000
-13.602127 2.811699 -141.761802 1.000000
-15.960299 -5.180185 14.641555 1.000000
-5.251495 11.172044 -140.272787 1.000000
10.414411 10.825385 96.655503 1.000000
3.814853 -12.145189 132.392304 1.000000
3.940468 14.489502 -135.621603 1.000000
-3.768341 -1.162049 -103.524779 1.000000
14.668996 -10.833303 133.242092 1.000000
11.054118 8.388302 -133.098263 1.000000
-1.806740 14.226353 38.350842 1.000000
17.984390 6.261650 72.600603 1.000000
12.040536 -12.285395 90.825309 1.000000
5.049283 -15.588295 92.320060 1.000000
-5.730613 16.889083 -132.369356 1.000000
8.702382 -4.973224 70.351569 1.000000
-1.265287 7.483323 123.763200 1.000000
-8.863777 13.426613 -25.886559 1.000000
19.428582 2.935597 46.976684 1.000000
-16.068255 5.695082 109.736528 1.000000
-4.342680 11.570213 -1.303490 1.000000
-11.647704 -3.155779 129.783210 1.000000
-0.534655 -8.387983 141.910768 1.000000
-8.881592 8.207615 -76.183975 1.000000
2.397914 -7.459686 60.053836 1.000000
8.681834 13.742906 -7.309289 1.000000
3.931152 18.702989 -93.259389 1.000000
-5.131734 9.084180 139.052305 1.000000
-13.087924 -6.501067 3.992361 1.000000
5.804987 2.124958 -92.016968 1.000000
12.368193 -10.186196 -37.869474 1.000000
-2.425539 13.738877 89.887645 1.000000
-17.687447 2.089935 -143.556062 1.000000
5.102523 -1.275748 26.777655 1.000000
7.725921 3.771036 -9.715556 1.000000
-3.957881 -9.607918 -77.773213 1.000000
-16.510928 -0.120035 -100.393260 1.000000
9.094730 2.881673 -134.009938 1.000000
2.927038 4.816147 126.430408 1.000000
8.365998 -13.563054 -120.626822 1.000000
7.539835 -10.258778 -97.736204 1.000000
-16.861303 7.625647 116.593889 1.000000
12.483209 1.312472 -94.995825 1.000000
13.912232 -4.174504 -110.049373 1.000000
4.403791 10.395913 121.924703 1.000000
4.551697 10.731926 -41.168437 1.000000
-11.254121 -7.928656 7.018186 1.000000
-2.642522 5.040778 18.440724 1.000000
-18.213909 -4.768329 139.535549 1.000000
-18.479683 1.744901 43.958503 1.000000
11.898910 -0.177936 -135.668875 1.000000
-1.470327 -3.080738 -50.058416 1.000000
-5.103955 -18.603877 -121.905299 1.000000
-9.081584 -0.729965 85.876309 1.000000
-4.714754 17.488990 145.341083 1.000000
6.850375 11.883632 -8.549951 1.000000
2.718513 17.751439 136.153945 1.000000
-17.692129 -7.656770 -76.236781 1.000000
-12.235164 6.325895 -140.007273 1.000000
-15.033066 -9.738513 -131.181215 1.000000
-12.266004 -8.031128 -5.413502 1.000000
-9.646442 -15.226190 25.090092 1.000000
4.276644 -18.786163 -39.451581 1.000000
12.091951 10.281156 -139.591935 1.000000
4.740615 13.187928 103.074200 1.000000
5.594352 7.749783 -46.154235 1.000000
-6.653776 -5.249624 -123.741350 1.000000
-1.467957 13.088928 14.416360 1.000000
-2.996368 -17.432933 91.623705 1.000000
3.227460 0.544018 1.418428 1.000000
12.281862 7.432673 104.190333 1.000000
16.205136 7.031204 -42.749983 1.000000
7.177933 14.199605 -68.202937 1.000000
-13.179308 -12.427486 11.260115 1.000000
0.980549 -16.718217 -26.935333 1.000000
-2.658320 -1.317811 71.565077 1.000000
-10.339593 4.343272 -65.125259 1.000000
-5.403836 -19.008222 135.635505 1.000000
-13.733293 -13.774615 41.896193 1.000000
2.344569 11.158702 -141.465620 1.000000
14.310177 6.887490 9.451328 1.000000
-12.672702 4.554508 45.946564 1.000000
-14.541218 -3.962341 -99.213596 1.000000
3.591134 18.080626 46.444502 1.000000
-7.227279 -17.606652 -65.541308 1.000000
17.481942 -7.552724 99.089926 1.000000
-9.339838 -3.019755 -72.681148 1.000000
-4.770722 18.467696 -12.270734 1.000000
-13.128986 -1.871768 -63.469288 1.000000
9.287259 5.667365 -136.701110 1.000000
5.836140 -4.977195 -102.281768 1.000000
15.845067 7.506645 -81.871761 1.000000
-3.434877 -0.692219 -100.339650 1.000000
-1.634566 -17.246045 132.532936 1.000000
2.067139 -6.098565 123.152393 1.000000
3.434429 2.664183 -145.975519 1.000000
2.073178 -0.657895 144.939487 1.000000
-13.009473 -15.114344 -146.783764 1.000000
2.425643 8.090045 -124.968510 1.000000
6.633169 16.820555 -93.226570 1.000000
11.139261 -11.663027 35.093369 1.000000
14.771985 -2.688266 -19.890877 1.000000
-1.639359 2.090436 68.010752 1.000000
6.842546 -18.494798 -41.931896 1.000000
6.088675 11.006840 -36.359419 1.000000
-10.062318 -2.956861 63.164772 1.000000
-4.851674 -6.401322 0.278642 1.000000
12.527851 4.893735 105.160557 1.000000
-15.383964 -10.715224 -67.979352 1.000000
-2.394351 13.066905 -57.129207 1.000000
-11.295876 -3.231620 64.136594 1.000000
-0.376644 10.381295 14.447970 1.000000
-8.818382 -5.249641 -76.567302 1.000000
10.597260 -5.260124 -58.274380 1.000000
-0.193290 9.275873 24.653611 1.000000
-16.184841 9.650840 -19.454877 1.000000
17.734857 -5.582666 -0.192237 1.000000
-5.639771 11.598575 -94.349204 1.000000
-15.569415 2.391987 2.542951 1.000000
3.836117 19.331181 -47.939527 1.000000
-5.806256 -3.996220 124.602095 1.000000
4.898507 11.222845 6.109992 1.000000
-8.537461 14.630635 -4.445111 1.000000
16.310690 2.513074 -46.219134 1.000000
-7.366858 14.925778 -121.287089 1.000000
17.101849 -9.739353 61.118545 1.000000
14.352020 11.379786 110.952607 1.000000
13.095300 -2.975185 38.214034 1.000000
-13.482602 9.211230 -117.686784 1.000000
-7.410644 -8.237730 124.994628 1.000000
1.368167 -11.788368 -17.413374 1.000000
-2.335837 16.523205 -142.943354 1.000000
11.211239 7.602922 41.101964 1.000000
5.306895 -18.641455 -10.605904 1.000000
18.416941 6.803163 -138.751376 1.000000
2.755507 -6.080674 26.894715 1.000000
15.670981 9.654062 -26.424128 1.000000
-12.131614 -5.298131 10.968679 1.000000
-12.096945 -1.009658 -62.922959 1.000000
-17.298740 -7.008007 147.968399 1.000000
-7.362318 -1.761675 9.274617 1.000000
10.393894 -12.380027 129.761334 1.000000
-2.462229 -17.243158 -105.239133 1.000000
-5.363797 -12.565506 89.622526 1.000000
-5.357800 13.784945 22.177214 1.000000
16.114912 1.196162 79.259324 1.000000
11.328036 12.006894 -36.316804 1.000000
-12.720024 9.934827 69.403243 1.000000
-13.709331 3.754467 -63.974194 1.000000
-0.196984 -18.526533 -40.297235 1.000000
3.617490 1.922769 72.004079 1.000000
-14.824939 -5.827070 -59.950245 1.000000
12.368357 -0.498568 147.315865 1.000000
-14.219848 9.014927 -22.431715 1.000000
1.726804 -0.853329 -144.640575 1.000000
-7.194272 -12.709404 13.723293 1.000000
-14.980499 11.041210 23.889957 1.000000
-9.195495 -13.296224 3.730744 1.000000
0.044139 -7.255855 -124.139359 1.000000
6.810878 -2.896004 -147.804358 1.000000
-2.748948 17.145171 45.765808 1.000000
0.925141 -14.979033 25.235644 1.000000
-0.456627 -18.187678 99.426512 1.000000
6.653188 -4.066450 34.410324 1.000000
-9.668628 -13.230728 -123.639492 1.000000
-4.883166 -18.112445 57.167576 1.000000
-1.123755 -18.736128 134.497943 1.000000
-7.350231 -0.846938 -128.978158 1.000000
-9.869551 -2.496732 -107.030026 1.000000
13.887729 9.551797 -107.001544 1.000000
8.520044 -10.391869 -20.035523 1.000000
-0.840274 -2.905969 -76.038120 1.000000
0.911468 13.863443 -26.691709 1.000000
-10.170541 16.915461 -31.439030 1.000000
18.379503 -2.010907 -65.689300 1.000000
-3.272483 4.050824 42.356523 1.000000
-15.178182 -4.578388 -79.367870 1.000000
4.485978 11.500267 -114.824093 1.000000
8.690131 5.812704 79.903219 1.000000
10.072970 -5.320279 63.205230 1.000000
-0.996954 -14.811730 -143.810290 1.000000
-1.452646 12.488785 120.572073 1.000000
-13.316669 -4.379310 72.727931 1.000000
-7.932250 6.657151 94.959770 1.000000
-18.618845 4.111891 -143.892239 1.000000
13.299573 3.473986 58.635501 1.000000
-9.254168 5.360827 102.433287 1.000000
-0.467285 15.129052 -19.693785 1.000000
-11.383988 15.710610 -27.028327 1.000000
7.911873 14.943345 -23.312207 1.000000
-2.323979 13.624527 -136.510095 1.000000
-10.008583 9.691326 88.286996 1.000000
-5.710730 -12.936289 112.430681 1.000000
14.398608 -3.084597 -60.852243 1.000000
-0.076317 -10.131091 -50.482719 1.000000
-6.602117 6.578184 -107.499482 1.000000
-1.432479 2.333214 -70.209949 1.000000
6.021858 -2.468543 82.227416 1.000000
-3.461727 6.854798 -38.357466 1.000000
17.419336 8.603948 -30.465250 1.000000
-10.124264 6.444999 86.694394 1.000000
5.891698 -0.143365 -6.894834 1.000000
3.311156 12.285834 120.795507 1.000000
-6.324038 2.014741 -58.172359 1.000000
6.957783 3.185992 76.681264 1.000000
5.424927 -16.980377 2.695882 1.000000
10.308850 11.728329 -44.765534 1.000000
7.966496 11.271393 -81.864102 1.000000
-5.339351 -9.361648 56.857606 1.000000
-16.452713 -7.894632 -121.129202 1.000000
-3.329141 1.876724 -134.744508 1.000000
-7.035114 -8.539500 80.678771 1.000000
-16.845474 9.097058 -96.711680 1.000000
10.166370 -0.496230 45.527425 1.000000
-4.428227 -5.892551 98.517252 1.000000
18.597002 -5.365202 41.262991 1.000000
1.030266 2.403731 -120.294254 1.000000
4.667088 -3.699529 135.209321 1.000000
9.517299 -1.114581 45.404932 1.000000
-0.369298 12.464725 -43.676773 1.000000
0.619551 -4.722374 -37.712302 1.000000
-11.211291 6.463439 -60.107852 1.000000
0.394000 3.931721 -97.631373 1.000000
3.136327 13.051545 58.805951 1.000000
2.895781 18.547175 -49.271553 1.000000
19.070230 -2.722368 -135.513357 1.000000
-14.268513 -4.084468 50.413951 1.000000
-6.063881 10.287645 -52.445123 1.000000
-4.103129 10.920827 -57.260972 1.000000
3.125119 15.431047 133.021359 1.000000
16.648863 -5.118150 4.890683 1.000000
14.952489 0.012940 133.937762 1.000000
0.041359 12.870465 -61.689083 1.000000
-13.473187 -1.930166 -145.109775 1.000000
12.419844 -8.703587 9.377979 1.000000
3.139271 -13.237178 -100.537500 1.000000
-6.247749 13.750112 -1.430750 1.000000
