# Theoretical SAS data
# q            I           
  1.00000e-03  9.99409e-01 
  2.25063e-03  9.97012e-01 
  3.50125e-03  9.92785e-01 
  4.75188e-03  9.86753e-01 
  6.00251e-03  9.78954e-01 
  7.25313e-03  9.69433e-01 
  8.50376e-03  9.58247e-01 
  9.75439e-03  9.45461e-01 
  1.10050e-02  9.31151e-01 
  1.22556e-02  9.15399e-01 
  1.35063e-02  8.98296e-01 
  1.47569e-02  8.79937e-01 
  1.60075e-02  8.60426e-01 
  1.72581e-02  8.39871e-01 
  1.85088e-02  8.18381e-01 
  1.97594e-02  7.96072e-01 
  2.10100e-02  7.73058e-01 
  2.22607e-02  7.49459e-01 
  2.35113e-02  7.25390e-01 
  2.47619e-02  7.00967e-01 
  2.60125e-02  6.76306e-01 
  2.72632e-02  6.51517e-01 
  2.85138e-02  6.26710e-01 
  2.97644e-02  6.01989e-01 
  3.10150e-02  5.77451e-01 
  3.22657e-02  5.53193e-01 
  3.35163e-02  5.29300e-01 
  3.47669e-02  5.05854e-01 
  3.60175e-02  4.82929e-01 
  3.72682e-02  4.60592e-01 
  3.85188e-02  4.38902e-01 
  3.97694e-02  4.17912e-01 
  4.10201e-02  3.97664e-01 
  4.22707e-02  3.78196e-01 
  4.35213e-02  3.59535e-01 
  4.47719e-02  3.41704e-01 
  4.60226e-02  3.24717e-01 
  4.72732e-02  3.08580e-01 
  4.85238e-02  2.93295e-01 
  4.97744e-02  2.78855e-01 
  5.10251e-02  2.65249e-01 
  5.22757e-02  2.52461e-01 
  5.35263e-02  2.40470e-01 
  5.47769e-02  2.29249e-01 
  5.60276e-02  2.18769e-01 
  5.72782e-02  2.08998e-01 
  5.85288e-02  1.99901e-01 
  5.97794e-02  1.91440e-01 
  6.10301e-02  1.83577e-01 
  6.22807e-02  1.76271e-01 
  6.35313e-02  1.69483e-01 
  6.47820e-02  1.63171e-01 
  6.60326e-02  1.57296e-01 
  6.72832e-02  1.51818e-01 
  6.85338e-02  1.46698e-01 
  6.97845e-02  1.41900e-01 
  7.10351e-02  1.37388e-01 
  7.22857e-02  1.33128e-01 
  7.35363e-02  1.29089e-01 
  7.47870e-02  1.25241e-01 
  7.60376e-02  1.21559e-01 
  7.72882e-02  1.18017e-01 
  7.85388e-02  1.14593e-01 
  7.97895e-02  1.11268e-01 
  8.10401e-02  1.08025e-01 
  8.22907e-02  1.04849e-01 
  8.35414e-02  1.01728e-01 
  8.47920e-02  9.86508e-02 
  8.60426e-02  9.56105e-02 
  8.72932e-02  9.26006e-02 
  8.85439e-02  8.96166e-02 
  8.97945e-02  8.66557e-02 
  9.10451e-02  8.37168e-02 
  9.22957e-02  8.07997e-02 
  9.35464e-02  7.79057e-02 
  9.47970e-02  7.50367e-02 
  9.60476e-02  7.21956e-02 
  9.72982e-02  6.93858e-02 
  9.85489e-02  6.66111e-02 
  9.97995e-02  6.38759e-02 
  1.01050e-01  6.11845e-02 
  1.02301e-01  5.85414e-02 
  1.03551e-01  5.59509e-02 
  1.04802e-01  5.34173e-02 
  1.06053e-01  5.09448e-02 
  1.07303e-01  4.85370e-02 
  1.08554e-01  4.61974e-02 
  1.09805e-01  4.39290e-02 
  1.11055e-01  4.17343e-02 
  1.12306e-01  3.96154e-02 
  1.13556e-01  3.75741e-02 
  1.14807e-01  3.56115e-02 
  1.16058e-01  3.37283e-02 
  1.17308e-01  3.19249e-02 
  1.18559e-01  3.02009e-02 
  1.19810e-01  2.85559e-02 
  1.21060e-01  2.69889e-02 
  1.22311e-01  2.54986e-02 
  1.23561e-01  2.40833e-02 
  1.24812e-01  2.27412e-02 
  1.26063e-01  2.14700e-02 
  1.27313e-01  2.02675e-02 
  1.28564e-01  1.91310e-02 
  1.29815e-01  1.80578e-02 
  1.31065e-01  1.70452e-02 
  1.32316e-01  1.60904e-02 
  1.33566e-01  1.51903e-02 
  1.34817e-01  1.43421e-02 
  1.36068e-01  1.35429e-02 
  1.37318e-01  1.27898e-02 
  1.38569e-01  1.20799e-02 
  1.39820e-01  1.14105e-02 
  1.41070e-01  1.07789e-02 
  1.42321e-01  1.01826e-02 
  1.43571e-01  9.61911e-03 
  1.44822e-01  9.08608e-03 
  1.46073e-01  8.58132e-03 
  1.47323e-01  8.10276e-03 
  1.48574e-01  7.64846e-03 
  1.49825e-01  7.21664e-03 
  1.51075e-01  6.80563e-03 
  1.52326e-01  6.41394e-03 
  1.53576e-01  6.04019e-03 
