# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  2.25087e-01  9.76923e-03 
  2.25063e-03  2.03296e-01  6.50415e-03 
  3.50125e-03  2.11702e-01  5.20372e-03 
  4.75188e-03  2.11181e-01  4.45326e-03 
  6.00251e-03  2.01592e-01  3.94669e-03 
  7.25313e-03  1.98965e-01  3.57296e-03 
  8.50376e-03  2.08437e-01  3.28081e-03 
  9.75439e-03  2.05131e-01  3.04292e-03 
  1.10050e-02  1.96442e-01  2.84319e-03 
  1.22556e-02  1.91509e-01  2.67149e-03 
  1.35063e-02  1.95125e-01  2.52108e-03 
  1.47569e-02  1.88642e-01  2.38729e-03 
  1.60075e-02  1.82677e-01  2.26677e-03 
  1.72581e-02  1.77537e-01  2.15706e-03 
  1.85088e-02  1.75193e-01  2.05629e-03 
  1.97594e-02  1.71842e-01  1.96306e-03 
  2.10100e-02  1.64398e-01  1.87624e-03 
  2.22607e-02  1.61098e-01  1.79497e-03 
  2.35113e-02  1.50711e-01  1.71854e-03 
  2.47619e-02  1.52219e-01  1.64640e-03 
  2.60125e-02  1.42538e-01  1.57809e-03 
  2.72632e-02  1.38091e-01  1.51323e-03 
  2.85138e-02  1.31979e-01  1.45151e-03 
  2.97644e-02  1.28236e-01  1.39267e-03 
  3.10150e-02  1.24401e-01  1.33651e-03 
  3.22657e-02  1.19706e-01  1.28285e-03 
  3.35163e-02  1.14976e-01  1.23152e-03 
  3.47669e-02  1.07608e-01  1.18241e-03 
  3.60175e-02  1.03471e-01  1.13541e-03 
  3.72682e-02  9.86771e-02  1.09043e-03 
  3.85188e-02  9.34329e-02  1.04738e-03 
  3.97694e-02  8.78680e-02  1.00619e-03 
  4.10201e-02  8.49280e-02  9.66809e-04 
  4.22707e-02  7.97921e-02  9.29175e-04 
  4.35213e-02  7.76549e-02  8.93238e-04 
  4.47719e-02  7.24086e-02  8.58952e-04 
  4.60226e-02  6.89024e-02  8.26273e-04 
  4.72732e-02  6.69222e-02  7.95158e-04 
  4.85238e-02  6.29347e-02  7.65566e-04 
  4.97744e-02  5.96544e-02  7.37454e-04 
  5.10251e-02  5.79798e-02  7.10780e-04 
  5.22757e-02  5.30654e-02  6.85501e-04 
  5.35263e-02  5.14753e-02  6.61570e-04 
  5.47769e-02  4.84889e-02  6.38941e-04 
  5.60276e-02  4.66197e-02  6.17564e-04 
  5.72782e-02  4.43952e-02  5.97388e-04 
  5.85288e-02  4.26070e-02  5.78359e-04 
  5.97794e-02  4.06965e-02  5.60421e-04 
  6.10301e-02  3.90983e-02  5.43517e-04 
  6.22807e-02  3.88381e-02  5.27588e-04 
  6.35313e-02  3.56740e-02  5.12573e-04 
  6.47820e-02  3.43857e-02  4.98412e-04 
  6.60326e-02  3.34440e-02  4.85044e-04 
  6.72832e-02  3.31816e-02  4.72408e-04 
  6.85338e-02  3.12011e-02  4.60445e-04 
  6.97845e-02  3.07366e-02  4.49094e-04 
  7.10351e-02  2.98487e-02  4.38301e-04 
  7.22857e-02  2.79284e-02  4.28010e-04 
  7.35363e-02  2.79292e-02  4.18169e-04 
  7.47870e-02  2.64287e-02  4.08729e-04 
  7.60376e-02  2.66080e-02  3.99646e-04 
  7.72882e-02  2.51533e-02  3.90876e-04 
  7.85388e-02  2.36437e-02  3.82380e-04 
  7.97895e-02  2.33625e-02  3.74124e-04 
  8.10401e-02  2.36578e-02  3.66076e-04 
  8.22907e-02  2.25628e-02  3.58208e-04 
  8.35414e-02  2.25511e-02  3.50496e-04 
  8.47920e-02  2.09553e-02  3.42917e-04 
  8.60426e-02  2.05568e-02  3.35456e-04 
  8.72932e-02  1.98724e-02  3.28095e-04 
  8.85439e-02  1.92464e-02  3.20825e-04 
  8.97945e-02  1.89058e-02  3.13634e-04 
  9.10451e-02  1.79717e-02  3.06516e-04 
  9.22957e-02  1.70092e-02  2.99467e-04 
  9.35464e-02  1.64337e-02  2.92482e-04 
  9.47970e-02  1.58680e-02  2.85562e-04 
  9.60476e-02  1.57515e-02  2.78706e-04 
  9.72982e-02  1.50478e-02  2.71917e-04 
  9.85489e-02  1.40811e-02  2.65196e-04 
  9.97995e-02  1.34489e-02  2.58548e-04 
  1.01050e-01  1.31423e-02  2.51978e-04 
  1.02301e-01  1.24698e-02  2.45489e-04 
  1.03551e-01  1.22490e-02  2.39089e-04 
  1.04802e-01  1.14040e-02  2.32782e-04 
  1.06053e-01  1.10044e-02  2.26576e-04 
  1.07303e-01  1.01423e-02  2.20475e-04 
  1.08554e-01  9.83102e-03  2.14486e-04 
  1.09805e-01  9.91654e-03  2.08614e-04 
  1.11055e-01  8.65800e-03  2.02866e-04 
  1.12306e-01  8.30919e-03  1.97247e-04 
  1.13556e-01  7.90526e-03  1.91761e-04 
  1.14807e-01  7.31852e-03  1.86412e-04 
  1.16058e-01  7.05740e-03  1.81206e-04 
  1.17308e-01  7.01824e-03  1.76144e-04 
  1.18559e-01  6.29610e-03  1.71230e-04 
  1.19810e-01  6.30438e-03  1.66466e-04 
  1.21060e-01  5.82001e-03  1.61853e-04 
  1.22311e-01  5.41054e-03  1.57393e-04 
  1.23561e-01  5.33066e-03  1.53085e-04 
  1.24812e-01  5.04197e-03  1.48929e-04 
  1.26063e-01  4.50208e-03  1.44924e-04 
  1.27313e-01  4.38905e-03  1.41069e-04 
  1.28564e-01  4.12731e-03  1.37362e-04 
  1.29815e-01  4.08169e-03  1.33798e-04 
  1.31065e-01  3.64390e-03  1.30377e-04 
  1.32316e-01  3.21161e-03  1.27094e-04 
  1.33566e-01  3.26479e-03  1.23944e-04 
  1.34817e-01  3.15013e-03  1.20924e-04 
  1.36068e-01  2.90911e-03  1.18030e-04 
  1.37318e-01  2.83416e-03  1.15255e-04 
  1.38569e-01  2.53846e-03  1.12595e-04 
  1.39820e-01  2.22213e-03  1.10046e-04 
  1.41070e-01  2.21553e-03  1.07601e-04 
  1.42321e-01  2.01786e-03  1.05255e-04 
  1.43571e-01  2.04758e-03  1.03003e-04 
  1.44822e-01  1.97763e-03  1.00841e-04 
  1.46073e-01  1.72512e-03  9.87619e-05 
  1.47323e-01  1.59739e-03  9.67621e-05 
  1.48574e-01  1.94123e-03  9.48365e-05 
  1.49825e-01  1.46008e-03  9.29807e-05 
  1.51075e-01  1.50063e-03  9.11905e-05 
  1.52326e-01  1.44561e-03  8.94620e-05 
  1.53576e-01  1.34200e-03  8.77916e-05 
  1.54827e-01  1.17087e-03  8.61760e-05 
  1.56078e-01  1.24368e-03  8.46122e-05 
  1.57328e-01  1.18032e-03  8.30976e-05 
  1.58579e-01  9.24404e-04  8.16299e-05 
  1.59830e-01  8.83796e-04  8.02073e-05 
  1.61080e-01  9.02555e-04  7.88281e-05 
  1.62331e-01  7.66776e-04  7.74911e-05 
  1.63581e-01  7.29320e-04  7.61954e-05 
  1.64832e-01  6.85176e-04  7.49402e-05 
  1.66083e-01  6.43280e-04  7.37252e-05 
  1.67333e-01  5.94128e-04  7.25504e-05 
  1.68584e-01  4.57142e-04  7.14159e-05 
  1.69835e-01  5.13696e-04  7.03221e-05 
  1.71085e-01  4.37743e-04  6.92694e-05 
  1.72336e-01  4.40693e-04  6.82586e-05 
  1.73586e-01  5.24453e-04  6.72904e-05 
  1.74837e-01  3.35827e-04  6.63656e-05 
  1.76088e-01  2.61988e-04  6.54851e-05 
  1.77338e-01  3.52006e-04  6.46497e-05 
  1.78589e-01  2.93338e-04  6.38602e-05 
  1.79840e-01  2.61568e-04  6.31173e-05 
  1.81090e-01  3.23924e-04  6.24215e-05 
  1.82341e-01  2.18026e-04  6.17731e-05 
  1.83591e-01  7.80197e-05  6.11723e-05 
  1.84842e-01  2.15885e-04  6.06190e-05 
  1.86093e-01  1.19381e-04  6.01127e-05 
  1.87343e-01  1.85995e-04  5.96528e-05 
  1.88594e-01  1.25253e-04  5.92385e-05 
  1.89845e-01  -1.01446e-05 5.88683e-05 
  1.91095e-01  1.43522e-04  5.85408e-05 
  1.92346e-01  9.85232e-05  5.82541e-05 
  1.93596e-01  6.65332e-05  5.80062e-05 
  1.94847e-01  9.41967e-05  5.77948e-05 
  1.96098e-01  7.11821e-05  5.76172e-05 
