# x y z sld
16.128563 -46.081713 -14.832440 1.000000
-8.236554 -75.380899 33.751973 1.000000
5.766671 -49.023798 14.850889 1.000000
13.302638 -28.423126 -39.717403 1.000000
-1.822850 -41.177180 -31.614849 1.000000
5.599930 -70.702830 -0.857837 1.000000
-10.627270 -82.646645 16.404168 1.000000
9.681951 -34.143509 -25.695762 1.000000
-5.991703 -61.818744 18.554741 1.000000
16.206262 -76.404898 38.189877 1.000000
-1.940645 -37.372834 -7.731617 1.000000
5.308288 -61.796180 14.938696 1.000000
-12.260001 -24.603598 -8.861935 1.000000
8.193898 -29.865728 -10.898261 1.000000
-10.113715 -86.905359 14.082929 1.000000
5.760959 -81.038154 30.519567 1.000000
-4.980753 -27.615859 -4.897747 1.000000
5.423309 -21.397044 -5.923522 1.000000
-2.679567 -28.828007 -17.668848 1.000000
-16.470263 -27.137411 -28.647853 1.000000
18.414100 -61.362474 4.868894 1.000000
-6.287574 -50.939648 -0.850295 1.000000
-12.334873 -88.877770 30.407994 1.000000
9.792049 -60.991996 4.661407 1.000000
18.429244 -25.248349 -33.966265 1.000000
-11.413864 -82.577041 13.207187 1.000000
-6.836408 -24.626264 -11.888729 1.000000
14.491989 -48.082718 -10.825383 1.000000
0.834445 -45.168637 4.297831 1.000000
-10.805152 -81.297450 12.939107 1.000000
14.226159 -43.732071 13.273113 1.000000
-18.013303 -44.777424 -4.672899 1.000000
-8.911695 -63.742895 33.711037 1.000000
7.366258 -23.694625 -15.105070 1.000000
12.916282 -22.609500 -15.489736 1.000000
8.919389 -11.386093 -31.945867 1.000000
-8.958844 -57.923163 26.520302 1.000000
16.183781 -31.822907 -20.566314 1.000000
-8.428218 -83.772531 16.616280 1.000000
8.479540 -29.019495 -41.864410 1.000000
-1.735333 -18.061289 -26.168838 1.000000
1.387503 -29.194826 -33.738593 1.000000
-4.765427 -77.170505 40.636843 1.000000
17.585912 -20.258412 -31.396289 1.000000
-10.625322 -53.065850 -4.172773 1.000000
10.900543 -22.853484 -25.403224 1.000000
15.518463 -64.189823 2.775760 1.000000
3.208262 -39.349060 3.826938 1.000000
-2.969556 -57.102662 0.745454 1.000000
-17.230529 -82.431974 28.509304 1.000000
14.398701 -60.010131 7.601971 1.000000
-1.847459 -41.818522 -17.487929 1.000000
10.490398 -47.436477 -21.480839 1.000000
11.536864 -57.959982 4.912698 1.000000
3.216794 -52.449429 -22.780835 1.000000
-10.256437 -81.468823 18.726165 1.000000
-11.392739 -89.720816 19.936462 1.000000
16.661145 -80.112980 31.941037 1.000000
3.127051 -54.543012 -0.218596 1.000000
13.982143 -57.314837 -8.535062 1.000000
6.023521 -27.272691 -26.337467 1.000000
2.508278 -42.080073 -13.058349 1.000000
-3.287504 -49.101161 -8.210629 1.000000
14.301018 -39.497873 6.083521 1.000000
-17.137351 -14.465480 -25.532192 1.000000
16.922128 -37.777361 -5.737180 1.000000
-2.771869 -63.846928 -13.353601 1.000000
-16.600459 -29.021612 -14.746259 1.000000
-0.818524 -70.886908 -5.439954 1.000000
-8.086138 -27.912210 -40.861223 1.000000
8.896056 -73.857276 42.671900 1.000000
-5.364607 -68.302831 26.936939 1.000000
0.546469 -15.015342 -28.280159 1.000000
-2.592423 -82.506809 14.572304 1.000000
0.624799 -50.342223 22.587233 1.000000
-1.725702 -33.301150 -35.205171 1.000000
-7.593131 -15.950245 -30.473183 1.000000
0.973879 -51.327777 15.197299 1.000000
-3.884263 -66.767626 7.466090 1.000000
-2.835449 -61.982961 25.904742 1.000000
4.259578 -54.805789 19.929546 1.000000
-5.178421 -63.606520 17.626033 1.000000
-3.875110 -55.268757 6.666354 1.000000
-16.843639 -68.347661 10.970303 1.000000
-7.864216 -18.761211 -17.609568 1.000000
-2.022639 -67.836808 -0.983758 1.000000
-19.695637 -79.667343 31.603546 1.000000
-3.706211 -85.137331 9.352995 1.000000
-11.066425 -78.049326 38.982942 1.000000
-12.813610 -48.567433 -5.677679 1.000000
3.111511 -15.256698 -29.479613 1.000000
2.176063 -62.242163 0.581760 1.000000
1.002151 -59.463339 36.195144 1.000000
-7.770023 -64.665730 38.870625 1.000000
13.171639 -48.895134 -11.075176 1.000000
15.049422 -60.225004 23.161584 1.000000
10.556893 -46.898723 8.410691 1.000000
-4.011067 -41.785078 -31.763086 1.000000
-1.539531 -47.557662 0.217729 1.000000
-14.622222 -63.663531 22.127970 1.000000
12.838085 -74.997268 44.240592 1.000000
11.278909 -76.801685 20.442152 1.000000
9.109128 -6.513087 -20.845270 1.000000
8.307901 -59.595462 18.200217 1.000000
-1.566872 -81.364359 3.598956 1.000000
-15.671852 -8.001876 -26.214483 1.000000
14.769728 -20.264446 -14.039306 1.000000
18.149439 -66.005246 13.077333 1.000000
14.333578 -84.784180 24.599354 1.000000
-15.924763 -23.173856 -24.794210 1.000000
-18.350574 -61.674267 2.240036 1.000000
-1.755851 -19.849753 -32.978762 1.000000
1.031669 -37.010568 -22.397339 1.000000
13.740225 -23.513492 -10.260234 1.000000
6.225767 -48.738012 2.100356 1.000000
4.712394 -61.271322 18.491428 1.000000
5.074714 -49.220930 23.759235 1.000000
7.664486 -76.658893 15.436760 1.000000
-2.732752 -49.032249 1.886631 1.000000
7.421825 -62.497555 20.934844 1.000000
-13.630150 -71.548317 34.463739 1.000000
13.051235 -86.655702 26.887795 1.000000
-3.595964 -42.552796 -26.619097 1.000000
3.490622 -43.038437 12.104499 1.000000
0.790240 -69.215026 13.118534 1.000000
16.062681 -44.308635 -21.344156 1.000000
-8.148641 -39.725505 -4.104242 1.000000
0.086286 -7.501700 -15.286957 1.000000
10.270919 -30.706579 4.793857 1.000000
9.609182 -36.177137 -38.190060 1.000000
3.099220 -52.151378 15.249932 1.000000
6.781691 -14.111017 -30.999777 1.000000
6.008313 -44.924758 -12.426076 1.000000
-4.320308 -20.486527 -34.359860 1.000000
-1.003611 -20.387011 -35.080540 1.000000
-6.512756 -30.356146 -13.942966 1.000000
-7.467307 -38.656354 -0.334447 1.000000
-6.230577 -55.289776 30.417205 1.000000
-11.982637 -54.339213 16.754171 1.000000
1.396100 -30.178013 -29.374601 1.000000
-18.753914 -74.297431 30.306019 1.000000
9.757013 -54.413326 12.935884 1.000000
18.155595 -31.626338 -29.840582 1.000000
6.077182 -24.508569 -15.837997 1.000000
5.696790 -63.788106 -7.142287 1.000000
-3.860231 -26.097769 -23.457726 1.000000
11.469376 -39.965454 0.998024 1.000000
-16.610187 -56.256022 18.050478 1.000000
4.232542 -31.223670 -12.551229 1.000000
-10.629463 -11.118084 -29.649258 1.000000
-9.088295 -64.159206 27.542452 1.000000
-8.550561 -67.527363 11.909635 1.000000
8.100120 -57.788713 17.439174 1.000000
8.778214 -77.951288 12.877844 1.000000
-2.036010 -66.982469 6.655728 1.000000
10.427598 -12.855756 -24.186937 1.000000
7.514728 -80.055671 19.556631 1.000000
3.153947 -78.079746 40.502083 1.000000
-1.353067 -59.018021 13.738955 1.000000
17.559291 -82.965646 26.177247 1.000000
-17.664959 -46.892724 -8.471523 1.000000
-5.406927 -26.841960 -12.987380 1.000000
-8.472188 -38.595639 -28.550493 1.000000
-14.494324 -65.392109 -2.333913 1.000000
-10.808153 -35.043767 -38.323615 1.000000
-7.782839 -24.309876 -5.881792 1.000000
-1.249099 -41.007221 -27.182349 1.000000
8.521883 -79.542050 14.457895 1.000000
8.855837 -33.323412 -8.458937 1.000000
-3.584171 -89.148016 14.790801 1.000000
-2.375561 -77.206232 28.457005 1.000000
-0.024092 -92.744286 22.918208 1.000000
3.371727 -41.333101 -29.386912 1.000000
-9.434085 -45.630510 -25.729922 1.000000
-1.364843 -79.136703 5.326273 1.000000
-4.369617 -68.294991 24.486272 1.000000
-10.283750 -59.954435 25.621745 1.000000
-14.127965 -55.129207 13.745173 1.000000
10.838051 -52.067943 -1.504335 1.000000
4.150479 -51.706244 4.474186 1.000000
-1.919525 -29.394936 -32.722665 1.000000
-0.651575 -61.398204 29.299589 1.000000
-7.908048 -29.450754 -34.501606 1.000000
-4.183901 -20.089599 -14.063710 1.000000
8.076861 -39.982631 -29.308509 1.000000
4.032538 -64.596163 36.107704 1.000000
-11.240978 -23.712192 -40.945884 1.000000
4.830687 -47.611914 -24.985910 1.000000
-1.486997 -77.181629 17.344170 1.000000
-7.231365 -43.773731 4.452765 1.000000
7.988512 -43.091835 -32.374868 1.000000
-0.893164 -25.347342 -35.005296 1.000000
-8.513814 -68.024494 18.302921 1.000000
-9.077584 -73.540727 32.934321 1.000000
-5.469526 -76.073643 13.254833 1.000000
-0.234161 -11.467497 -21.032427 1.000000
-8.715061 -27.998461 -45.008313 1.000000
-12.516426 -78.491314 34.663442 1.000000
-3.436115 -59.303424 -4.779044 1.000000
9.691376 -36.799964 -8.292916 1.000000
-1.403014 -68.009809 37.639878 1.000000
-0.510095 -70.164002 42.657973 1.000000
13.650792 -56.430596 -9.739282 1.000000
8.653372 -35.677804 -21.180435 1.000000
12.441740 -82.643571 15.185198 1.000000
17.746500 -72.898698 20.180287 1.000000
17.274130 -54.076392 6.656994 1.000000
-16.313272 -87.133322 31.619731 1.000000
-16.431574 -78.496931 40.688711 1.000000
-12.711566 -59.750234 28.676040 1.000000
1.821760 -58.773991 5.885331 1.000000
-6.289624 -66.847842 11.052224 1.000000
5.234114 -50.630261 -22.689311 1.000000
8.878988 -41.973277 -3.317462 1.000000
-12.118216 -74.836360 2.632673 1.000000
-14.729718 -87.490242 31.763599 1.000000
-6.102998 -51.429451 -17.059001 1.000000
12.233945 -14.514253 -28.312258 1.000000
-3.201199 -9.447308 -24.574344 1.000000
8.820517 -10.463013 -25.726590 1.000000
-11.795376 -39.263143 5.966590 1.000000
5.631445 -15.664339 -17.680214 1.000000
8.994347 -26.741315 -41.096595 1.000000
-18.568270 -19.409839 -39.134160 1.000000
0.591074 -52.781612 3.241896 1.000000
5.900939 -61.743884 -5.862065 1.000000
12.791682 -56.689986 13.870272 1.000000
0.844075 -30.219718 -12.606949 1.000000
5.699121 -47.819488 -19.015033 1.000000
13.924082 -51.051874 17.373290 1.000000
4.329853 -57.159410 11.290742 1.000000
14.647127 -39.022710 -4.452935 1.000000
0.210383 -62.955761 11.661298 1.000000
-14.954293 -83.345089 28.739652 1.000000
-12.965539 -39.110471 0.624748 1.000000
-13.697192 -71.164001 27.323128 1.000000
-12.412176 -74.580670 26.702870 1.000000
-5.298149 -26.418481 -3.872696 1.000000
-7.380421 -41.060823 -25.258584 1.000000
3.615447 -64.324369 7.179255 1.000000
-9.485847 -73.388062 -1.438732 1.000000
3.578062 -80.488133 29.097340 1.000000
-8.871591 -16.672457 -23.086482 1.000000
6.487805 -46.967777 6.782102 1.000000
-2.784057 -65.006683 -12.313281 1.000000
-3.522664 -52.111688 -23.425168 1.000000
-1.232858 -52.628985 -8.920768 1.000000
8.460301 -69.082420 38.734055 1.000000
0.353919 -35.563071 -36.015361 1.000000
0.554541 -71.587126 28.782363 1.000000
-6.855466 -56.387387 8.486567 1.000000
-17.426001 -59.625412 -2.073384 1.000000
10.516762 -71.396094 43.696706 1.000000
-0.855344 -76.743378 4.966837 1.000000
1.767820 -41.886658 15.831428 1.000000
-3.730465 -69.997993 20.035086 1.000000
3.870370 -66.628499 28.882300 1.000000
-15.117243 -81.586414 28.369086 1.000000
-3.302795 -45.114053 -27.374534 1.000000
-9.072171 -32.401087 -2.251562 1.000000
9.104435 -73.122165 41.668273 1.000000
-2.984888 -55.878524 31.302501 1.000000
2.679582 -34.755110 -31.891977 1.000000
14.221283 -45.381415 -4.190410 1.000000
-5.885748 -89.181466 25.147048 1.000000
-12.988623 -35.930541 -30.533013 1.000000
-4.644168 -67.374139 -6.390136 1.000000
7.958707 -58.427701 -13.726944 1.000000
-2.808448 -72.770004 0.853536 1.000000
14.006482 -42.537756 -27.513628 1.000000
18.814997 -68.807084 19.253061 1.000000
-1.705678 -28.868283 6.265552 1.000000
11.899154 -57.389567 2.867764 1.000000
10.900646 -38.662768 -32.269706 1.000000
-10.565788 -39.883165 -25.099714 1.000000
10.785126 -69.997670 26.697152 1.000000
2.253990 -49.718776 25.950718 1.000000
-15.040511 -20.909877 -37.847233 1.000000
-3.582586 -32.946723 -32.611596 1.000000
8.484102 -32.309763 -27.987383 1.000000
-5.172656 -85.235361 33.246652 1.000000
15.476530 -35.193253 -19.114776 1.000000
-13.103361 -55.528966 18.741033 1.000000
-3.247736 -39.005209 11.690919 1.000000
0.973454 -49.786356 26.480913 1.000000
12.022359 -57.584809 15.147516 1.000000
13.542890 -71.382048 21.050099 1.000000
-18.268472 -28.185000 -10.427777 1.000000
5.683549 -70.150726 16.862090 1.000000
7.530785 -27.617830 -39.918614 1.000000
-1.291214 -24.315545 -14.651585 1.000000
5.971813 -55.483153 30.727551 1.000000
12.242079 -31.238246 -10.299993 1.000000
-1.325673 -48.422847 -0.809250 1.000000
-19.292271 -72.602837 18.996926 1.000000
6.018605 -53.842845 7.871103 1.000000
12.719886 -20.026593 -17.251267 1.000000
-13.132328 -12.528924 -28.407089 1.000000
14.573490 -20.692374 -10.079212 1.000000
-8.067587 -25.263072 -18.894928 1.000000
-3.946622 -32.442163 -23.100119 1.000000
-16.253352 -35.135083 -27.278792 1.000000
-1.343857 -34.394503 -19.749277 1.000000
2.554294 -37.968417 10.225827 1.000000
6.823250 -91.001078 27.771568 1.000000
-7.762292 -43.282219 12.363293 1.000000
9.707722 -74.955326 29.050546 1.000000
3.287778 -61.867404 13.455580 1.000000
9.573478 -94.101686 23.750663 1.000000
5.199090 -14.427950 -9.888671 1.000000
-5.288670 -47.985574 -5.384959 1.000000
-8.230172 -52.258720 10.206827 1.000000
10.698322 -26.239537 -4.479655 1.000000
8.134775 -68.850729 31.838024 1.000000
3.559447 -71.630363 11.010800 1.000000
-2.428408 -59.433604 20.415825 1.000000
-14.309853 -24.714550 -27.560974 1.000000
-2.150976 -76.172529 42.605089 1.000000
-0.625551 -30.406090 -28.412064 1.000000
1.060217 -35.403833 8.860860 1.000000
10.860183 -57.090730 10.637159 1.000000
0.934305 -37.843320 -12.402950 1.000000
9.657921 -63.045176 18.927275 1.000000
4.112095 -61.245747 -7.947246 1.000000
2.039825 -65.976952 25.006246 1.000000
12.833400 -33.954722 1.018650 1.000000
8.740892 -15.942712 -19.812571 1.000000
10.149524 -72.014792 24.578200 1.000000
7.894131 -70.900878 44.875790 1.000000
4.064761 -65.426094 0.152458 1.000000
-6.755536 -60.914860 -12.166126 1.000000
-6.872563 -21.942210 -38.985393 1.000000
-2.211511 -47.097473 4.651086 1.000000
12.105707 -69.308128 21.814028 1.000000
