# r                 p(r)             
  7.62575e-01       3.29431e-05      
  2.28772e+00       2.26804e-04      
  3.81287e+00       5.80969e-04      
  5.33802e+00       1.08956e-03      
  6.86317e+00       1.71692e-03      
  8.38832e+00       2.42695e-03      
  9.91347e+00       3.23915e-03      
  1.14386e+01       4.08560e-03      
  1.29638e+01       4.95766e-03      
  1.44889e+01       5.81109e-03      
  1.60141e+01       6.67503e-03      
  1.75392e+01       7.48473e-03      
  1.90644e+01       8.29399e-03      
  2.05895e+01       9.04943e-03      
  2.21147e+01       9.69934e-03      
  2.36398e+01       1.02626e-02      
  2.51650e+01       1.07277e-02      
  2.66901e+01       1.10882e-02      
  2.82153e+01       1.13304e-02      
  2.97404e+01       1.14673e-02      
  3.12656e+01       1.14767e-02      
  3.27907e+01       1.14021e-02      
  3.43159e+01       1.11822e-02      
  3.58410e+01       1.09128e-02      
  3.73662e+01       1.06017e-02      
  3.88913e+01       1.01898e-02      
  4.04165e+01       9.85963e-03      
  4.19416e+01       9.61466e-03      
  4.34668e+01       9.37424e-03      
  4.49919e+01       9.24858e-03      
  4.65171e+01       9.07311e-03      
  4.80422e+01       8.96000e-03      
  4.95673e+01       8.79051e-03      
  5.10925e+01       8.72285e-03      
  5.26176e+01       8.62330e-03      
  5.41428e+01       8.50243e-03      
  5.56679e+01       8.43826e-03      
  5.71931e+01       8.36348e-03      
  5.87182e+01       8.29603e-03      
  6.02434e+01       8.22596e-03      
  6.17685e+01       8.14748e-03      
  6.32937e+01       8.08562e-03      
  6.48188e+01       8.03176e-03      
  6.63440e+01       7.94004e-03      
  6.78691e+01       7.89301e-03      
  6.93943e+01       7.80135e-03      
  7.09194e+01       7.72830e-03      
  7.24446e+01       7.60938e-03      
  7.39697e+01       7.51021e-03      
  7.54949e+01       7.40118e-03      
  7.70200e+01       7.21956e-03      
  7.85452e+01       7.09621e-03      
  8.00703e+01       6.93584e-03      
  8.15955e+01       6.76289e-03      
  8.31206e+01       6.57315e-03      
  8.46458e+01       6.37135e-03      
  8.61709e+01       6.15127e-03      
  8.76961e+01       5.87506e-03      
  8.92212e+01       5.62524e-03      
  9.07464e+01       5.36785e-03      
  9.22715e+01       5.04298e-03      
  9.37967e+01       4.72711e-03      
  9.53218e+01       4.40238e-03      
  9.68470e+01       4.03218e-03      
  9.83721e+01       3.69249e-03      
  9.98973e+01       3.33898e-03      
  1.01422e+02       2.95412e-03      
  1.02948e+02       2.62138e-03      
  1.04473e+02       2.29305e-03      
  1.05998e+02       2.02463e-03      
  1.07523e+02       1.79227e-03      
  1.09048e+02       1.59522e-03      
  1.10573e+02       1.41345e-03      
  1.12098e+02       1.26168e-03      
  1.13624e+02       1.10116e-03      
  1.15149e+02       9.69285e-04      
  1.16674e+02       8.42371e-04      
  1.18199e+02       7.19677e-04      
  1.19724e+02       6.06509e-04      
  1.21249e+02       5.13619e-04      
  1.22775e+02       4.13581e-04      
  1.24300e+02       3.42561e-04      
  1.25825e+02       2.67448e-04      
  1.27350e+02       2.12528e-04      
  1.28875e+02       1.61639e-04      
  1.30400e+02       1.20084e-04      
  1.31925e+02       8.80320e-05      
  1.33451e+02       5.97769e-05      
  1.34976e+02       3.94765e-05      
  1.36501e+02       2.34186e-05      
  1.38026e+02       1.30033e-05      
  1.39551e+02       5.85466e-06      
  1.41076e+02       2.54550e-06      
  1.42601e+02       9.33351e-07      
  1.44127e+02       1.90913e-07      
  1.45652e+02       4.24251e-08      
  1.47177e+02       0.00000e+00      
  1.48702e+02       0.00000e+00      
  1.50227e+02       0.00000e+00      
  1.51752e+02       0.00000e+00      
