# Theoretical SAS data
# q            I           
  1.00000e-03  9.99133e-01 
  2.25063e-03  9.95619e-01 
  3.50125e-03  9.89437e-01 
  4.75188e-03  9.80646e-01 
  6.00251e-03  9.69330e-01 
  7.25313e-03  9.55596e-01 
  8.50376e-03  9.39573e-01 
  9.75439e-03  9.21411e-01 
  1.10050e-02  9.01278e-01 
  1.22556e-02  8.79358e-01 
  1.35063e-02  8.55849e-01 
  1.47569e-02  8.30959e-01 
  1.60075e-02  8.04906e-01 
  1.72581e-02  7.77912e-01 
  1.85088e-02  7.50203e-01 
  1.97594e-02  7.22005e-01 
  2.10100e-02  6.93539e-01 
  2.22607e-02  6.65025e-01 
  2.35113e-02  6.36671e-01 
  2.47619e-02  6.08676e-01 
  2.60125e-02  5.81228e-01 
  2.72632e-02  5.54499e-01 
  2.85138e-02  5.28645e-01 
  2.97644e-02  5.03805e-01 
  3.10150e-02  4.80100e-01 
  3.22657e-02  4.57630e-01 
  3.35163e-02  4.36478e-01 
  3.47669e-02  4.16704e-01 
  3.60175e-02  3.98349e-01 
  3.72682e-02  3.81434e-01 
  3.85188e-02  3.65963e-01 
  3.97694e-02  3.51918e-01 
  4.10201e-02  3.39268e-01 
  4.22707e-02  3.27964e-01 
  4.35213e-02  3.17944e-01 
  4.47719e-02  3.09131e-01 
  4.60226e-02  3.01441e-01 
  4.72732e-02  2.94779e-01 
  4.85238e-02  2.89042e-01 
  4.97744e-02  2.84125e-01 
  5.10251e-02  2.79916e-01 
  5.22757e-02  2.76304e-01 
  5.35263e-02  2.73179e-01 
  5.47769e-02  2.70433e-01 
  5.60276e-02  2.67959e-01 
  5.72782e-02  2.65658e-01 
  5.85288e-02  2.63436e-01 
  5.97794e-02  2.61209e-01 
  6.10301e-02  2.58897e-01 
  6.22807e-02  2.56433e-01 
  6.35313e-02  2.53757e-01 
  6.47820e-02  2.50822e-01 
  6.60326e-02  2.47587e-01 
  6.72832e-02  2.44024e-01 
  6.85338e-02  2.40115e-01 
  6.97845e-02  2.35849e-01 
  7.10351e-02  2.31226e-01 
  7.22857e-02  2.26254e-01 
  7.35363e-02  2.20948e-01 
  7.47870e-02  2.15330e-01 
  7.60376e-02  2.09428e-01 
  7.72882e-02  2.03275e-01 
  7.85388e-02  1.96907e-01 
  7.97895e-02  1.90363e-01 
  8.10401e-02  1.83687e-01 
  8.22907e-02  1.76919e-01 
  8.35414e-02  1.70104e-01 
  8.47920e-02  1.63283e-01 
  8.60426e-02  1.56497e-01 
  8.72932e-02  1.49784e-01 
  8.85439e-02  1.43181e-01 
  8.97945e-02  1.36720e-01 
  9.10451e-02  1.30431e-01 
  9.22957e-02  1.24339e-01 
  9.35464e-02  1.18464e-01 
  9.47970e-02  1.12824e-01 
  9.60476e-02  1.07433e-01 
  9.72982e-02  1.02297e-01 
  9.85489e-02  9.74231e-02 
  9.97995e-02  9.28109e-02 
  1.01050e-01  8.84580e-02 
  1.02301e-01  8.43588e-02 
  1.03551e-01  8.05047e-02 
  1.04802e-01  7.68848e-02 
  1.06053e-01  7.34861e-02 
  1.07303e-01  7.02941e-02 
  1.08554e-01  6.72931e-02 
  1.09805e-01  6.44669e-02 
  1.11055e-01  6.17985e-02 
  1.12306e-01  5.92714e-02 
  1.13556e-01  5.68693e-02 
  1.14807e-01  5.45763e-02 
  1.16058e-01  5.23779e-02 
  1.17308e-01  5.02603e-02 
  1.18559e-01  4.82114e-02 
  1.19810e-01  4.62202e-02 
  1.21060e-01  4.42775e-02 
  1.22311e-01  4.23754e-02 
  1.23561e-01  4.05079e-02 
  1.24812e-01  3.86703e-02 
  1.26063e-01  3.68595e-02 
  1.27313e-01  3.50737e-02 
  1.28564e-01  3.33124e-02 
  1.29815e-01  3.15762e-02 
  1.31065e-01  2.98667e-02 
  1.32316e-01  2.81863e-02 
  1.33566e-01  2.65381e-02 
  1.34817e-01  2.49254e-02 
  1.36068e-01  2.33523e-02 
  1.37318e-01  2.18225e-02 
  1.38569e-01  2.03401e-02 
  1.39820e-01  1.89089e-02 
  1.41070e-01  1.75325e-02 
  1.42321e-01  1.62142e-02 
  1.43571e-01  1.49567e-02 
  1.44822e-01  1.37624e-02 
  1.46073e-01  1.26330e-02 
  1.47323e-01  1.15698e-02 
  1.48574e-01  1.05734e-02 
  1.49825e-01  9.64386e-03 
  1.51075e-01  8.78065e-03 
  1.52326e-01  7.98277e-03 
  1.53576e-01  7.24872e-03 
  1.54827e-01  6.57658e-03 
  1.56078e-01  5.96405e-03 
  1.57328e-01  5.40853e-03 
  1.58579e-01  4.90717e-03 
  1.59830e-01  4.45693e-03 
  1.61080e-01  4.05468e-03 
  1.62331e-01  3.69719e-03 
  1.63581e-01  3.38127e-03 
  1.64832e-01  3.10375e-03 
  1.66083e-01  2.86155e-03 
  1.67333e-01  2.65172e-03 
  1.68584e-01  2.47148e-03 
  1.69835e-01  2.31820e-03 
  1.71085e-01  2.18946e-03 
  1.72336e-01  2.08303e-03 
  1.73586e-01  1.99690e-03 
  1.74837e-01  1.92924e-03 
  1.76088e-01  1.87840e-03 
  1.77338e-01  1.84293e-03 
  1.78589e-01  1.82152e-03 
  1.79840e-01  1.81301e-03 
  1.81090e-01  1.81634e-03 
  1.82341e-01  1.83058e-03 
  1.83591e-01  1.85486e-03 
  1.84842e-01  1.88837e-03 
  1.86093e-01  1.93034e-03 
  1.87343e-01  1.98002e-03 
  1.88594e-01  2.03670e-03 
  1.89845e-01  2.09964e-03 
  1.91095e-01  2.16810e-03 
  1.92346e-01  2.24135e-03 
  1.93596e-01  2.31861e-03 
  1.94847e-01  2.39911e-03 
  1.96098e-01  2.48208e-03 
  1.97348e-01  2.56671e-03 
  1.98599e-01  2.65222e-03 
  1.99850e-01  2.73784e-03 
  2.01100e-01  2.82279e-03 
