# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.43427e-01  8.08705e-03 
  2.25063e-03  1.39523e-01  5.38116e-03 
  3.50125e-03  1.51598e-01  4.30098e-03 
  4.75188e-03  1.38685e-01  3.67549e-03 
  6.00251e-03  1.46093e-01  3.25139e-03 
  7.25313e-03  1.40767e-01  2.93687e-03 
  8.50376e-03  1.37860e-01  2.68957e-03 
  9.75439e-03  1.35258e-01  2.48693e-03 
  1.10050e-02  1.29741e-01  2.31573e-03 
  1.22556e-02  1.31415e-01  2.16764e-03 
  1.35063e-02  1.22956e-01  2.03716e-03 
  1.47569e-02  1.19094e-01  1.92049e-03 
  1.60075e-02  1.20439e-01  1.81492e-03 
  1.72581e-02  1.14395e-01  1.71848e-03 
  1.85088e-02  1.06902e-01  1.62971e-03 
  1.97594e-02  1.05542e-01  1.54749e-03 
  2.10100e-02  1.01070e-01  1.47098e-03 
  2.22607e-02  9.64965e-02  1.39951e-03 
  2.35113e-02  9.26070e-02  1.33258e-03 
  2.47619e-02  9.08815e-02  1.26977e-03 
  2.60125e-02  8.56590e-02  1.21076e-03 
  2.72632e-02  8.08505e-02  1.15531e-03 
  2.85138e-02  7.82233e-02  1.10319e-03 
  2.97644e-02  7.35556e-02  1.05425e-03 
  3.10150e-02  6.90770e-02  1.00834e-03 
  3.22657e-02  6.78995e-02  9.65352e-04 
  3.35163e-02  6.36105e-02  9.25177e-04 
  3.47669e-02  5.99672e-02  8.87723e-04 
  3.60175e-02  5.78023e-02  8.52899e-04 
  3.72682e-02  5.49818e-02  8.20617e-04 
  3.85188e-02  5.35675e-02  7.90785e-04 
  3.97694e-02  5.25085e-02  7.63304e-04 
  4.10201e-02  4.99878e-02  7.38071e-04 
  4.22707e-02  4.91566e-02  7.14971e-04 
  4.35213e-02  4.65973e-02  6.93881e-04 
  4.47719e-02  4.45606e-02  6.74670e-04 
  4.60226e-02  4.29214e-02  6.57197e-04 
  4.72732e-02  4.36083e-02  6.41316e-04 
  4.85238e-02  4.23147e-02  6.26874e-04 
  4.97744e-02  4.17970e-02  6.13719e-04 
  5.10251e-02  4.05081e-02  6.01695e-04 
  5.22757e-02  4.02653e-02  5.90651e-04 
  5.35263e-02  3.90031e-02  5.80438e-04 
  5.47769e-02  3.95145e-02  5.70915e-04 
  5.60276e-02  3.98999e-02  5.61950e-04 
  5.72782e-02  3.97119e-02  5.53418e-04 
  5.85288e-02  3.86976e-02  5.45207e-04 
  5.97794e-02  3.92763e-02  5.37216e-04 
  6.10301e-02  3.75769e-02  5.29354e-04 
  6.22807e-02  3.80320e-02  5.21543e-04 
  6.35313e-02  3.77194e-02  5.13717e-04 
  6.47820e-02  3.76962e-02  5.05819e-04 
  6.60326e-02  3.56892e-02  4.97806e-04 
  6.72832e-02  3.65543e-02  4.89643e-04 
  6.85338e-02  3.49387e-02  4.81304e-04 
  6.97845e-02  3.39530e-02  4.72772e-04 
  7.10351e-02  3.42013e-02  4.64039e-04 
  7.22857e-02  3.30832e-02  4.55103e-04 
  7.35363e-02  3.26479e-02  4.45969e-04 
  7.47870e-02  3.09063e-02  4.36647e-04 
  7.60376e-02  3.10048e-02  4.27154e-04 
  7.72882e-02  2.97521e-02  4.17508e-04 
  7.85388e-02  2.87884e-02  4.07734e-04 
  7.97895e-02  2.78509e-02  3.97857e-04 
  8.10401e-02  2.69904e-02  3.87907e-04 
  8.22907e-02  2.61581e-02  3.77914e-04 
  8.35414e-02  2.45402e-02  3.67911e-04 
  8.47920e-02  2.44488e-02  3.57929e-04 
  8.60426e-02  2.29670e-02  3.48001e-04 
  8.72932e-02  2.17154e-02  3.38160e-04 
  8.85439e-02  2.11803e-02  3.28438e-04 
  8.97945e-02  2.00283e-02  3.18864e-04 
  9.10451e-02  1.89354e-02  3.09468e-04 
  9.22957e-02  1.80474e-02  3.00276e-04 
  9.35464e-02  1.76483e-02  2.91312e-04 
  9.47970e-02  1.61824e-02  2.82598e-04 
  9.60476e-02  1.58565e-02  2.74152e-04 
  9.72982e-02  1.51890e-02  2.65987e-04 
  9.85489e-02  1.47607e-02  2.58117e-04 
  9.97995e-02  1.37870e-02  2.50547e-04 
  1.01050e-01  1.25003e-02  2.43283e-04 
  1.02301e-01  1.29340e-02  2.36323e-04 
  1.03551e-01  1.18375e-02  2.29664e-04 
  1.04802e-01  1.12468e-02  2.23299e-04 
  1.06053e-01  1.06008e-02  2.17217e-04 
  1.07303e-01  9.79597e-03  2.11406e-04 
  1.08554e-01  1.01584e-02  2.05849e-04 
  1.09805e-01  9.29344e-03  2.00529e-04 
  1.11055e-01  9.08491e-03  1.95426e-04 
  1.12306e-01  8.55072e-03  1.90519e-04 
  1.13556e-01  8.50114e-03  1.85789e-04 
  1.14807e-01  7.80308e-03  1.81214e-04 
  1.16058e-01  7.63543e-03  1.76773e-04 
  1.17308e-01  7.33148e-03  1.72446e-04 
  1.18559e-01  6.80893e-03  1.68215e-04 
  1.19810e-01  6.77125e-03  1.64063e-04 
  1.21060e-01  6.23795e-03  1.59973e-04 
  1.22311e-01  6.07338e-03  1.55933e-04 
  1.23561e-01  5.94062e-03  1.51931e-04 
  1.24812e-01  5.75571e-03  1.47956e-04 
  1.26063e-01  5.41032e-03  1.44002e-04 
  1.27313e-01  5.08986e-03  1.40063e-04 
  1.28564e-01  4.88339e-03  1.36136e-04 
  1.29815e-01  4.44065e-03  1.32218e-04 
  1.31065e-01  4.34230e-03  1.28312e-04 
  1.32316e-01  4.05737e-03  1.24417e-04 
  1.33566e-01  3.78373e-03  1.20538e-04 
  1.34817e-01  3.65907e-03  1.16680e-04 
  1.36068e-01  3.30836e-03  1.12848e-04 
