# x y z sld
1.666850 -18.380450 -42.529686 1.000000
-4.554158 17.518643 -53.710533 1.000000
-11.084028 -10.002930 -42.184457 1.000000
-18.941220 15.159594 -46.726507 1.000000
-1.350902 5.429753 -43.914469 1.000000
9.178562 -12.793152 -60.389732 1.000000
1.526390 -0.149752 -64.863896 1.000000
-17.802783 0.389782 -59.819046 1.000000
-16.692342 -13.485828 -61.209907 1.000000
-13.110652 -7.128699 -67.590969 1.000000
-6.262172 -9.162638 -44.413579 1.000000
14.746392 9.643517 -37.293662 1.000000
-14.016688 8.982416 -38.579050 1.000000
7.525135 -9.534744 -37.715517 1.000000
13.203823 -5.829604 -29.889718 1.000000
0.912041 6.658655 -31.081137 1.000000
5.361697 13.565699 -33.534649 1.000000
1.745160 12.138548 -33.957824 1.000000
-13.288342 4.931948 -52.711256 1.000000
-9.334235 15.408160 -66.684727 1.000000
19.437978 -12.884409 -58.557796 1.000000
-9.432922 -9.381022 -65.346693 1.000000
-0.049275 8.638778 -61.698562 1.000000
-9.184165 -0.270504 -44.196754 1.000000
12.212811 3.249034 -42.225100 1.000000
-2.265847 -13.694403 -43.061333 1.000000
-2.796144 -5.289984 -60.125442 1.000000
-1.192990 -10.394090 -68.147460 1.000000
-10.509294 -0.474411 -70.347602 1.000000
-2.663479 -3.501937 -40.151728 1.000000
-13.801391 20.128021 -50.340201 1.000000
-12.691050 -6.215292 -38.356103 1.000000
0.290222 7.107958 -49.284612 1.000000
2.737220 -6.001661 -58.276518 1.000000
-13.602231 1.965241 -34.917773 1.000000
-6.768452 -10.163335 -62.650856 1.000000
-13.054329 -8.807609 -64.826849 1.000000
-14.545518 3.422720 -52.247850 1.000000
-4.739793 -2.310469 -39.087279 1.000000
12.101772 3.217475 -43.220652 1.000000
10.111459 2.478946 -71.145626 1.000000
13.944141 13.752633 -50.861594 1.000000
2.393683 -9.182650 -59.340921 1.000000
12.727369 -9.795214 -34.183934 1.000000
5.004288 -3.264618 -50.900296 1.000000
-14.392657 9.358782 -58.867060 1.000000
-4.738865 -11.734812 -34.099506 1.000000
7.677888 -2.410710 -28.189553 1.000000
-7.103976 17.512167 -34.822398 1.000000
-6.579234 -4.480530 -46.612456 1.000000
5.838472 -22.934402 -52.491462 1.000000
5.418790 2.199253 -47.262131 1.000000
1.435055 -24.392687 -48.593712 1.000000
-5.705702 8.636589 -62.954139 1.000000
-4.156048 1.873923 -43.637859 1.000000
1.597687 -6.725666 -34.442214 1.000000
-0.096952 23.779176 -57.428374 1.000000
-3.627402 -23.239111 -42.508732 1.000000
-12.945332 4.098531 -68.151612 1.000000
-1.257566 9.728909 -30.754589 1.000000
13.673496 -7.634083 -60.439577 1.000000
-4.047742 14.725192 -63.254308 1.000000
-4.369911 -3.651387 -56.750026 1.000000
-2.518282 -23.439657 -51.067180 1.000000
22.467064 -10.846572 -50.996206 1.000000
