# r                 p(r)             
  7.82896e-01       5.24246e-05      
  2.34869e+00       3.53732e-04      
  3.91448e+00       8.93072e-04      
  5.48027e+00       1.65694e-03      
  7.04606e+00       2.58013e-03      
  8.61185e+00       3.58580e-03      
  1.01776e+01       4.68237e-03      
  1.17434e+01       5.82628e-03      
  1.33092e+01       7.00293e-03      
  1.48750e+01       8.10742e-03      
  1.64408e+01       9.13317e-03      
  1.80066e+01       1.00980e-02      
  1.95724e+01       1.09109e-02      
  2.11382e+01       1.16176e-02      
  2.27040e+01       1.22354e-02      
  2.42698e+01       1.26944e-02      
  2.58356e+01       1.30588e-02      
  2.74014e+01       1.32212e-02      
  2.89671e+01       1.31421e-02      
  3.05329e+01       1.28358e-02      
  3.20987e+01       1.24599e-02      
  3.36645e+01       1.18547e-02      
  3.52303e+01       1.11071e-02      
  3.67961e+01       1.02254e-02      
  3.83619e+01       9.33222e-03      
  3.99277e+01       8.36203e-03      
  4.14935e+01       7.31762e-03      
  4.30593e+01       6.25763e-03      
  4.46251e+01       5.20587e-03      
  4.61909e+01       4.28821e-03      
  4.77567e+01       3.61636e-03      
  4.93224e+01       3.23459e-03      
  5.08882e+01       3.15956e-03      
  5.24540e+01       3.13197e-03      
  5.40198e+01       3.10734e-03      
  5.55856e+01       3.09531e-03      
  5.71514e+01       3.06987e-03      
  5.87172e+01       3.06600e-03      
  6.02830e+01       3.06785e-03      
  6.18488e+01       3.05626e-03      
  6.34146e+01       3.08025e-03      
  6.49804e+01       3.09134e-03      
  6.65462e+01       3.13005e-03      
  6.81119e+01       3.16916e-03      
  6.96777e+01       3.28756e-03      
  7.12435e+01       3.36629e-03      
  7.28093e+01       3.47856e-03      
  7.43751e+01       3.65773e-03      
  7.59409e+01       3.78707e-03      
  7.75067e+01       3.99472e-03      
  7.90725e+01       4.22601e-03      
  8.06383e+01       4.45603e-03      
  8.22041e+01       4.70198e-03      
  8.37699e+01       4.94857e-03      
  8.53357e+01       5.23529e-03      
  8.69014e+01       5.53316e-03      
  8.84672e+01       5.79050e-03      
  9.00330e+01       6.09928e-03      
  9.15988e+01       6.32872e-03      
  9.31646e+01       6.60604e-03      
  9.47304e+01       6.83993e-03      
  9.62962e+01       7.06348e-03      
  9.78620e+01       7.25107e-03      
  9.94278e+01       7.37375e-03      
  1.00994e+02       7.46168e-03      
  1.02559e+02       7.50376e-03      
  1.04125e+02       7.50053e-03      
  1.05691e+02       7.41162e-03      
  1.07257e+02       7.28487e-03      
  1.08823e+02       7.10984e-03      
  1.10388e+02       6.84037e-03      
  1.11954e+02       6.54260e-03      
  1.13520e+02       6.26410e-03      
  1.15086e+02       5.87089e-03      
  1.16651e+02       5.47996e-03      
  1.18217e+02       5.09169e-03      
  1.19783e+02       4.66701e-03      
  1.21349e+02       4.23113e-03      
  1.22915e+02       3.77838e-03      
  1.24480e+02       3.36899e-03      
  1.26046e+02       2.95485e-03      
  1.27612e+02       2.56170e-03      
  1.29178e+02       2.19887e-03      
  1.30744e+02       1.84541e-03      
  1.32309e+02       1.50185e-03      
  1.33875e+02       1.21577e-03      
  1.35441e+02       9.42464e-04      
  1.37007e+02       7.10293e-04      
  1.38573e+02       5.21517e-04      
  1.40138e+02       3.53900e-04      
  1.41704e+02       2.35372e-04      
  1.43270e+02       1.49794e-04      
  1.44836e+02       7.24713e-05      
  1.46402e+02       2.91772e-05      
  1.47967e+02       6.43516e-06      
  1.49533e+02       1.34768e-07      
  1.51099e+02       0.00000e+00      
  1.52665e+02       0.00000e+00      
  1.54230e+02       0.00000e+00      
  1.55796e+02       0.00000e+00      
