# Theoretical SAS data
# q            I           
  1.00000e-03  9.99218e-01 
  2.25063e-03  9.96048e-01 
  3.50125e-03  9.90470e-01 
  4.75188e-03  9.82535e-01 
  6.00251e-03  9.72315e-01 
  7.25313e-03  9.59903e-01 
  8.50376e-03  9.45411e-01 
  9.75439e-03  9.28965e-01 
  1.10050e-02  9.10710e-01 
  1.22556e-02  8.90799e-01 
  1.35063e-02  8.69400e-01 
  1.47569e-02  8.46685e-01 
  1.60075e-02  8.22834e-01 
  1.72581e-02  7.98029e-01 
  1.85088e-02  7.72451e-01 
  1.97594e-02  7.46282e-01 
  2.10100e-02  7.19697e-01 
  2.22607e-02  6.92867e-01 
  2.35113e-02  6.65953e-01 
  2.47619e-02  6.39108e-01 
  2.60125e-02  6.12472e-01 
  2.72632e-02  5.86173e-01 
  2.85138e-02  5.60328e-01 
  2.97644e-02  5.35037e-01 
  3.10150e-02  5.10389e-01 
  3.22657e-02  4.86457e-01 
  3.35163e-02  4.63301e-01 
  3.47669e-02  4.40966e-01 
  3.60175e-02  4.19487e-01 
  3.72682e-02  3.98884e-01 
  3.85188e-02  3.79168e-01 
  3.97694e-02  3.60339e-01 
  4.10201e-02  3.42388e-01 
  4.22707e-02  3.25299e-01 
  4.35213e-02  3.09049e-01 
  4.47719e-02  2.93609e-01 
  4.60226e-02  2.78948e-01 
  4.72732e-02  2.65029e-01 
  4.85238e-02  2.51817e-01 
  4.97744e-02  2.39271e-01 
  5.10251e-02  2.27353e-01 
  5.22757e-02  2.16026e-01 
  5.35263e-02  2.05252e-01 
  5.47769e-02  1.94996e-01 
  5.60276e-02  1.85224e-01 
  5.72782e-02  1.75906e-01 
  5.85288e-02  1.67013e-01 
  5.97794e-02  1.58518e-01 
  6.10301e-02  1.50398e-01 
  6.22807e-02  1.42632e-01 
  6.35313e-02  1.35201e-01 
  6.47820e-02  1.28089e-01 
  6.60326e-02  1.21280e-01 
  6.72832e-02  1.14762e-01 
  6.85338e-02  1.08524e-01 
  6.97845e-02  1.02554e-01 
  7.10351e-02  9.68446e-02 
  7.22857e-02  9.13861e-02 
  7.35363e-02  8.61712e-02 
  7.47870e-02  8.11922e-02 
  7.60376e-02  7.64421e-02 
  7.72882e-02  7.19139e-02 
  7.85388e-02  6.76008e-02 
  7.97895e-02  6.34959e-02 
  8.10401e-02  5.95924e-02 
  8.22907e-02  5.58833e-02 
  8.35414e-02  5.23617e-02 
  8.47920e-02  4.90208e-02 
  8.60426e-02  4.58536e-02 
  8.72932e-02  4.28532e-02 
  8.85439e-02  4.00128e-02 
  8.97945e-02  3.73258e-02 
  9.10451e-02  3.47855e-02 
  9.22957e-02  3.23856e-02 
  9.35464e-02  3.01200e-02 
  9.47970e-02  2.79828e-02 
  9.60476e-02  2.59682e-02 
  9.72982e-02  2.40708e-02 
  9.85489e-02  2.22856e-02 
  9.97995e-02  2.06074e-02 
  1.01050e-01  1.90317e-02 
  1.02301e-01  1.75540e-02 
  1.03551e-01  1.61700e-02 
  1.04802e-01  1.48756e-02 
  1.06053e-01  1.36668e-02 
  1.07303e-01  1.25400e-02 
  1.08554e-01  1.14915e-02 
  1.09805e-01  1.05177e-02 
  1.11055e-01  9.61513e-03 
  1.12306e-01  8.78049e-03 
  1.13556e-01  8.01046e-03 
  1.14807e-01  7.30182e-03 
  1.16058e-01  6.65140e-03 
  1.17308e-01  6.05610e-03 
  1.18559e-01  5.51289e-03 
  1.19810e-01  5.01879e-03 
  1.21060e-01  4.57091e-03 
  1.22311e-01  4.16643e-03 
  1.23561e-01  3.80260e-03 
  1.24812e-01  3.47678e-03 
  1.26063e-01  3.18640e-03 
  1.27313e-01  2.92900e-03 
  1.28564e-01  2.70219e-03 
  1.29815e-01  2.50371e-03 
  1.31065e-01  2.33139e-03 
  1.32316e-01  2.18315e-03 
  1.33566e-01  2.05702e-03 
  1.34817e-01  1.95112e-03 
  1.36068e-01  1.86366e-03 
  1.37318e-01  1.79295e-03 
  1.38569e-01  1.73737e-03 
  1.39820e-01  1.69540e-03 
  1.41070e-01  1.66559e-03 
  1.42321e-01  1.64657e-03 
  1.43571e-01  1.63704e-03 
  1.44822e-01  1.63577e-03 
  1.46073e-01  1.64161e-03 
  1.47323e-01  1.65346e-03 
  1.48574e-01  1.67032e-03 
  1.49825e-01  1.69122e-03 
  1.51075e-01  1.71528e-03 
  1.52326e-01  1.74167e-03 
  1.53576e-01  1.76965e-03 
  1.54827e-01  1.79850e-03 
  1.56078e-01  1.82762e-03 
  1.57328e-01  1.85642e-03 
  1.58579e-01  1.88442e-03 
  1.59830e-01  1.91116e-03 
  1.61080e-01  1.93626e-03 
  1.62331e-01  1.95938e-03 
  1.63581e-01  1.98025e-03 
  1.64832e-01  1.99863e-03 
  1.66083e-01  2.01432e-03 
  1.67333e-01  2.02719e-03 
  1.68584e-01  2.03711e-03 
  1.69835e-01  2.04401e-03 
  1.71085e-01  2.04783e-03 
  1.72336e-01  2.04854e-03 
  1.73586e-01  2.04614e-03 
  1.74837e-01  2.04065e-03 
  1.76088e-01  2.03209e-03 
  1.77338e-01  2.02052e-03 
  1.78589e-01  2.00598e-03 
  1.79840e-01  1.98856e-03 
  1.81090e-01  1.96833e-03 
  1.82341e-01  1.94539e-03 
  1.83591e-01  1.91984e-03 
  1.84842e-01  1.89179e-03 
  1.86093e-01  1.86135e-03 
  1.87343e-01  1.82867e-03 
  1.88594e-01  1.79386e-03 
  1.89845e-01  1.75709e-03 
  1.91095e-01  1.71851e-03 
  1.92346e-01  1.67826e-03 
  1.93596e-01  1.63653e-03 
  1.94847e-01  1.59347e-03 
  1.96098e-01  1.54927e-03 
  1.97348e-01  1.50410e-03 
  1.98599e-01  1.45813e-03 
  1.99850e-01  1.41156e-03 
  2.01100e-01  1.36455e-03 
  2.02351e-01  1.31728e-03 
  2.03602e-01  1.26991e-03 
  2.04852e-01  1.22262e-03 
  2.06103e-01  1.17556e-03 
  2.07353e-01  1.12888e-03 
  2.08604e-01  1.08271e-03 
  2.09855e-01  1.03720e-03 
  2.11105e-01  9.92474e-04 
  2.12356e-01  9.48636e-04 
  2.13607e-01  9.05795e-04 
  2.14857e-01  8.64046e-04 
  2.16108e-01  8.23475e-04 
  2.17358e-01  7.84159e-04 
  2.18609e-01  7.46166e-04 
  2.19860e-01  7.09555e-04 
  2.21110e-01  6.74378e-04 
  2.22361e-01  6.40679e-04 
  2.23612e-01  6.08492e-04 
  2.24862e-01  5.77847e-04 
  2.26113e-01  5.48765e-04 
  2.27363e-01  5.21260e-04 
  2.28614e-01  4.95340e-04 
  2.29865e-01  4.71004e-04 
  2.31115e-01  4.48247e-04 
