# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  3.65249e-01  1.29565e-02 
  2.25063e-03  3.63499e-01  8.62281e-03 
  3.50125e-03  3.53826e-01  6.89403e-03 
  4.75188e-03  3.60258e-01  5.89400e-03 
  6.00251e-03  3.61190e-01  5.21690e-03 
  7.25313e-03  3.58220e-01  4.71557e-03 
  8.50376e-03  3.60048e-01  4.32213e-03 
  9.75439e-03  3.53722e-01  4.00041e-03 
  1.10050e-02  3.41969e-01  3.72917e-03 
  1.22556e-02  3.29641e-01  3.49506e-03 
  1.35063e-02  3.23830e-01  3.28921e-03 
  1.47569e-02  3.18290e-01  3.10550e-03 
  1.60075e-02  3.08193e-01  2.93957e-03 
  1.72581e-02  3.00695e-01  2.78821e-03 
  1.85088e-02  2.88652e-01  2.64902e-03 
  1.97594e-02  2.83364e-01  2.52017e-03 
  2.10100e-02  2.71097e-01  2.40026e-03 
  2.22607e-02  2.62377e-01  2.28815e-03 
  2.35113e-02  2.52092e-01  2.18297e-03 
  2.47619e-02  2.36768e-01  2.08400e-03 
  2.60125e-02  2.32840e-01  1.99065e-03 
  2.72632e-02  2.19356e-01  1.90245e-03 
  2.85138e-02  2.11880e-01  1.81899e-03 
  2.97644e-02  2.04313e-01  1.73993e-03 
  3.10150e-02  1.91892e-01  1.66497e-03 
  3.22657e-02  1.83812e-01  1.59387e-03 
  3.35163e-02  1.75957e-01  1.52640e-03 
  3.47669e-02  1.64982e-01  1.46235e-03 
  3.60175e-02  1.56536e-01  1.40153e-03 
  3.72682e-02  1.48702e-01  1.34379e-03 
  3.85188e-02  1.42667e-01  1.28895e-03 
  3.97694e-02  1.34418e-01  1.23686e-03 
  4.10201e-02  1.28475e-01  1.18738e-03 
  4.22707e-02  1.24275e-01  1.14036e-03 
  4.35213e-02  1.17386e-01  1.09567e-03 
  4.47719e-02  1.11094e-01  1.05318e-03 
  4.60226e-02  1.04092e-01  1.01276e-03 
  4.72732e-02  9.99395e-02  9.74281e-04 
  4.85238e-02  9.46089e-02  9.37625e-04 
  4.97744e-02  8.99472e-02  9.02677e-04 
  5.10251e-02  8.54979e-02  8.69325e-04 
  5.22757e-02  8.32349e-02  8.37464e-04 
  5.35263e-02  7.69374e-02  8.06993e-04 
  5.47769e-02  7.32332e-02  7.77818e-04 
  5.60276e-02  7.08655e-02  7.49852e-04 
  5.72782e-02  6.74628e-02  7.23012e-04 
