# x y z sld
4.252944 -0.801167 5.519150 1.000000
19.752857 20.247330 30.332360 1.000000
-6.647822 13.097124 -27.997231 1.000000
1.143190 -19.454429 -47.824892 1.000000
5.063252 -5.543076 45.569799 1.000000
-20.788541 -0.414675 37.219337 1.000000
6.124578 -26.881520 -33.544999 1.000000
-18.111207 10.835562 70.334813 1.000000
-12.119956 -14.428239 4.332514 1.000000
-18.134548 14.982469 30.467937 1.000000
7.504017 3.838203 9.913567 1.000000
23.269566 15.959240 -11.961247 1.000000
16.986001 -0.797665 38.583616 1.000000
9.578479 19.157364 14.242710 1.000000
-24.035848 -14.637649 12.262470 1.000000
-10.338019 15.425574 -38.620982 1.000000
-11.175707 7.844743 -83.563839 1.000000
-10.963490 17.091010 -17.494219 1.000000
3.589835 19.026623 72.439730 1.000000
-7.526335 -24.444007 -5.978133 1.000000
5.812500 7.183699 -85.869416 1.000000
2.585535 -12.933576 39.477762 1.000000
-0.176673 21.904936 62.032932 1.000000
-0.018525 8.311227 93.240538 1.000000
-23.951098 8.459426 -15.660144 1.000000
-14.482863 -4.285151 2.870742 1.000000
1.963185 23.213732 29.348397 1.000000
-8.642660 7.562055 -16.915868 1.000000
-8.203832 17.504852 -18.067584 1.000000
4.243746 -9.246812 35.329284 1.000000
-19.960778 -13.805511 -45.425175 1.000000
15.647970 4.978485 -16.451710 1.000000
-5.089187 -12.293034 -67.028900 1.000000
10.345840 -4.269491 -28.685136 1.000000
-22.500667 -3.971102 -43.866796 1.000000
-6.309154 -0.276966 -77.962417 1.000000
8.311388 -23.391858 -23.451708 1.000000
10.651383 15.096600 -14.869987 1.000000
-24.415296 0.996605 -1.501387 1.000000
-13.418062 -16.337117 -8.164075 1.000000
-11.459416 -13.552707 8.723935 1.000000
-6.902411 -16.395965 -78.218342 1.000000
5.129689 -21.031129 25.384285 1.000000
-9.872900 4.540754 56.588808 1.000000
4.695730 -0.090552 -31.259285 1.000000
0.503463 -26.121390 28.198361 1.000000
18.629865 -19.896615 3.963240 1.000000
-1.626443 2.411044 -83.997983 1.000000
-10.539139 11.738528 1.676468 1.000000
-10.512369 -7.390514 69.177431 1.000000
-6.487403 0.935657 0.067259 1.000000
-3.277643 4.092036 -48.823006 1.000000
-12.313258 -5.715200 -32.064934 1.000000
-4.167369 6.602225 -11.701742 1.000000
-12.171063 12.884031 -40.120536 1.000000
-18.826144 10.251081 65.745419 1.000000
22.895931 -3.339179 -16.760638 1.000000
16.631902 -10.553995 -36.221989 1.000000
2.890546 -14.930745 9.386947 1.000000
0.228862 -15.980670 39.676157 1.000000
-22.404906 -1.642931 -35.455434 1.000000
21.452910 -13.627973 -27.813494 1.000000
19.466648 14.758959 7.462400 1.000000
2.669559 -3.467636 6.156312 1.000000
-6.901885 20.654948 56.057598 1.000000
-1.859151 -3.887134 -18.432239 1.000000
7.416635 5.697115 -68.772364 1.000000
21.032417 1.401680 -45.567829 1.000000
18.049165 -8.643316 7.651183 1.000000
-5.247591 16.427693 -54.108759 1.000000
-5.323975 5.779829 -60.952036 1.000000
-8.577463 -10.113759 86.650442 1.000000
-6.482299 23.172394 11.435411 1.000000
0.808932 3.501267 -9.632734 1.000000
2.226630 7.350907 -86.980438 1.000000
-18.058834 -3.524008 1.108590 1.000000
17.779105 -22.081857 13.100264 1.000000
-16.912641 -11.411176 -5.163294 1.000000
8.033554 -25.848020 -21.657496 1.000000
2.616989 -28.262900 10.318466 1.000000
-15.971120 0.337937 -9.184704 1.000000
-7.740623 16.327373 48.556793 1.000000
21.480478 -11.761532 29.785311 1.000000
-3.471633 19.827435 -9.135015 1.000000
15.041899 17.615724 4.520696 1.000000
17.290124 -20.901699 -3.378335 1.000000
-9.753308 -7.916814 -15.781733 1.000000
-3.913152 -15.882913 33.094577 1.000000
4.965098 6.453006 51.315594 1.000000
0.810339 -2.205744 40.701550 1.000000
-1.197369 9.543027 -55.773387 1.000000
-21.437501 -13.335754 14.730829 1.000000
5.467131 18.655811 52.043994 1.000000
-17.349106 6.132976 51.709270 1.000000
2.189430 14.309035 -49.268725 1.000000
17.293279 -11.746060 15.757861 1.000000
18.824296 -1.828253 -7.320196 1.000000
-10.282615 -16.264860 -52.424642 1.000000
-20.921882 -19.719637 -26.278684 1.000000
16.767832 -10.605445 -31.250979 1.000000
17.146837 -17.720711 0.763626 1.000000
-16.695070 15.442698 -40.609516 1.000000
10.234732 -2.553861 17.328799 1.000000
-4.821548 -23.374488 56.822449 1.000000
-0.943864 -8.014845 -57.866894 1.000000
-24.811314 1.794879 0.713733 1.000000
-12.272288 20.118960 -56.133844 1.000000
-17.829861 21.189088 -35.787381 1.000000
0.840138 19.686825 -8.488804 1.000000
6.047828 -0.843918 -32.318096 1.000000
20.305598 4.593569 45.240354 1.000000
26.106551 -1.825634 37.458017 1.000000
6.834741 1.140256 -5.990852 1.000000
13.285515 18.559936 -19.860952 1.000000
-11.516954 -5.235895 -33.298987 1.000000
-18.861349 19.459617 -14.210580 1.000000
-3.084754 -14.100987 18.932446 1.000000
