# r                 p(r)             
  1.04278e+00       4.93513e-05      
  3.12833e+00       3.25083e-04      
  5.21388e+00       8.54154e-04      
  7.29943e+00       1.58015e-03      
  9.38498e+00       2.48548e-03      
  1.14705e+01       3.50354e-03      
  1.35561e+01       4.64579e-03      
  1.56416e+01       5.82133e-03      
  1.77272e+01       7.04540e-03      
  1.98127e+01       8.26889e-03      
  2.18983e+01       9.45742e-03      
  2.39838e+01       1.05941e-02      
  2.60694e+01       1.16239e-02      
  2.81549e+01       1.26481e-02      
  3.02405e+01       1.34615e-02      
  3.23260e+01       1.41970e-02      
  3.44116e+01       1.47698e-02      
  3.64971e+01       1.52265e-02      
  3.85827e+01       1.54432e-02      
  4.06683e+01       1.55538e-02      
  4.27538e+01       1.54620e-02      
  4.48394e+01       1.52477e-02      
  4.69249e+01       1.48410e-02      
  4.90105e+01       1.43668e-02      
  5.10960e+01       1.37718e-02      
  5.31816e+01       1.31420e-02      
  5.52671e+01       1.24881e-02      
  5.73527e+01       1.18223e-02      
  5.94382e+01       1.12253e-02      
  6.15238e+01       1.06984e-02      
  6.36093e+01       1.02512e-02      
  6.56949e+01       9.83708e-03      
  6.77804e+01       9.44600e-03      
  6.98660e+01       9.09876e-03      
  7.19515e+01       8.75958e-03      
  7.40371e+01       8.43066e-03      
  7.61226e+01       8.08602e-03      
  7.82082e+01       7.79367e-03      
  8.02937e+01       7.47396e-03      
  8.23793e+01       7.18147e-03      
  8.44648e+01       6.87778e-03      
  8.65504e+01       6.57560e-03      
  8.86359e+01       6.31446e-03      
  9.07215e+01       6.05382e-03      
  9.28070e+01       5.75670e-03      
  9.48926e+01       5.52069e-03      
  9.69781e+01       5.24708e-03      
  9.90637e+01       5.01361e-03      
  1.01149e+02       4.73934e-03      
  1.03235e+02       4.51164e-03      
  1.05320e+02       4.28329e-03      
  1.07406e+02       4.05538e-03      
  1.09491e+02       3.81638e-03      
  1.11577e+02       3.61694e-03      
  1.13663e+02       3.40905e-03      
  1.15748e+02       3.19769e-03      
  1.17834e+02       3.01459e-03      
  1.19919e+02       2.82064e-03      
  1.22005e+02       2.63584e-03      
  1.24090e+02       2.46332e-03      
  1.26176e+02       2.29414e-03      
  1.28261e+02       2.13256e-03      
  1.30347e+02       1.97107e-03      
  1.32432e+02       1.82660e-03      
  1.34518e+02       1.67998e-03      
  1.36604e+02       1.53438e-03      
  1.38689e+02       1.40813e-03      
  1.40775e+02       1.28328e-03      
  1.42860e+02       1.15421e-03      
  1.44946e+02       1.04441e-03      
  1.47031e+02       9.37127e-04      
  1.49117e+02       8.36650e-04      
  1.51202e+02       7.44674e-04      
  1.53288e+02       6.63041e-04      
  1.55374e+02       5.74260e-04      
  1.57459e+02       5.06452e-04      
  1.59545e+02       4.35853e-04      
  1.61630e+02       3.73789e-04      
  1.63716e+02       3.25599e-04      
  1.65801e+02       2.69214e-04      
  1.67887e+02       2.25687e-04      
  1.69972e+02       1.89678e-04      
  1.72058e+02       1.52604e-04      
  1.74144e+02       1.22919e-04      
  1.76229e+02       9.84930e-05      
  1.78315e+02       7.42125e-05      
  1.80400e+02       5.85634e-05      
  1.82486e+02       4.13170e-05      
  1.84571e+02       3.03626e-05      
  1.86657e+02       1.98277e-05      
  1.88742e+02       1.25193e-05      
  1.90828e+02       7.77618e-06      
  1.92913e+02       3.19437e-06      
  1.94999e+02       1.29065e-06      
  1.97085e+02       3.54930e-07      
  1.99170e+02       4.83995e-08      
  2.01256e+02       0.00000e+00      
  2.03341e+02       0.00000e+00      
  2.05427e+02       0.00000e+00      
  2.07512e+02       0.00000e+00      
