# Theoretical SAS data
# q            I           
  1.00000e-03  6.72883e-01 
  2.25063e-03  6.72574e-01 
  3.50125e-03  6.72020e-01 
  4.75188e-03  6.71207e-01 
  6.00251e-03  6.70116e-01 
  7.25313e-03  6.68725e-01 
  8.50376e-03  6.67003e-01 
  9.75439e-03  6.64914e-01 
  1.10050e-02  6.62419e-01 
  1.22556e-02  6.59472e-01 
  1.35063e-02  6.56023e-01 
  1.47569e-02  6.52017e-01 
  1.60075e-02  6.47395e-01 
  1.72581e-02  6.42098e-01 
  1.85088e-02  6.36061e-01 
  1.97594e-02  6.29221e-01 
  2.10100e-02  6.21515e-01 
  2.22607e-02  6.12882e-01 
  2.35113e-02  6.03268e-01 
  2.47619e-02  5.92621e-01 
  2.60125e-02  5.80903e-01 
  2.72632e-02  5.68083e-01 
  2.85138e-02  5.54146e-01 
  2.97644e-02  5.39091e-01 
  3.10150e-02  5.22937e-01 
  3.22657e-02  5.05720e-01 
  3.35163e-02  4.87498e-01 
  3.47669e-02  4.68346e-01 
  3.60175e-02  4.48363e-01 
  3.72682e-02  4.27663e-01 
  3.85188e-02  4.06377e-01 
  3.97694e-02  3.84650e-01 
  4.10201e-02  3.62634e-01 
  4.22707e-02  3.40489e-01 
  4.35213e-02  3.18375e-01 
  4.47719e-02  2.96450e-01 
  4.60226e-02  2.74865e-01 
  4.72732e-02  2.53760e-01 
  4.85238e-02  2.33262e-01 
  4.97744e-02  2.13483e-01 
  5.10251e-02  1.94519e-01 
  5.22757e-02  1.76446e-01 
  5.35263e-02  1.59325e-01 
  5.47769e-02  1.43198e-01 
  5.60276e-02  1.28092e-01 
  5.72782e-02  1.14018e-01 
  5.85288e-02  1.00977e-01 
  5.97794e-02  8.89538e-02 
  6.10301e-02  7.79274e-02 
  6.22807e-02  6.78672e-02 
  6.35313e-02  5.87366e-02 
  6.47820e-02  5.04942e-02 
  6.60326e-02  4.30950e-02 
  6.72832e-02  3.64917e-02 
  6.85338e-02  3.06357e-02 
  6.97845e-02  2.54778e-02 
  7.10351e-02  2.09689e-02 
  7.22857e-02  1.70607e-02 
  7.35363e-02  1.37056e-02 
  7.47870e-02  1.08577e-02 
  7.60376e-02  8.47230e-03 
  7.72882e-02  6.50662e-03 
  7.85388e-02  4.91960e-03 
  7.97895e-02  3.67202e-03 
  8.10401e-02  2.72659e-03 
  8.22907e-02  2.04789e-03 
  8.35414e-02  1.60239e-03 
  8.47920e-02  1.35828e-03 
  8.60426e-02  1.28541e-03 
  8.72932e-02  1.35533e-03 
  8.85439e-02  1.54147e-03 
  8.97945e-02  1.81932e-03 
  9.10451e-02  2.16636e-03 
  9.22957e-02  2.56205e-03 
  9.35464e-02  2.98778e-03 
  9.47970e-02  3.42689e-03 
  9.60476e-02  3.86461e-03 
  9.72982e-02  4.28812e-03 
  9.85489e-02  4.68649e-03 
  9.97995e-02  5.05064e-03 
  1.01050e-01  5.37332e-03 
  1.02301e-01  5.64896e-03 
  1.03551e-01  5.87365e-03 
  1.04802e-01  6.04500e-03 
  1.06053e-01  6.16198e-03 
  1.07303e-01  6.22485e-03 
  1.08554e-01  6.23493e-03 
  1.09805e-01  6.19452e-03 
  1.11055e-01  6.10672e-03 
  1.12306e-01  5.97526e-03 
  1.13556e-01  5.80437e-03 
  1.14807e-01  5.59868e-03 
  1.16058e-01  5.36301e-03 
  1.17308e-01  5.10234e-03 
  1.18559e-01  4.82165e-03 
  1.19810e-01  4.52583e-03 
  1.21060e-01  4.21966e-03 
  1.22311e-01  3.90766e-03 
  1.23561e-01  3.59411e-03 
  1.24812e-01  3.28296e-03 
  1.26063e-01  2.97784e-03 
  1.27313e-01  2.68199e-03 
  1.28564e-01  2.39826e-03 
  1.29815e-01  2.12916e-03 
  1.31065e-01  1.87674e-03 
  1.32316e-01  1.64272e-03 
  1.33566e-01  1.42840e-03 
  1.34817e-01  1.23473e-03 
  1.36068e-01  1.06229e-03 
  1.37318e-01  9.11339e-04 
  1.38569e-01  7.81793e-04 
  1.39820e-01  6.73284e-04 
  1.41070e-01  5.85167e-04 
  1.42321e-01  5.16550e-04 
  1.43571e-01  4.66327e-04 
  1.44822e-01  4.33206e-04 
  1.46073e-01  4.15745e-04 
  1.47323e-01  4.12383e-04 
  1.48574e-01  4.21474e-04 
  1.49825e-01  4.41318e-04 
  1.51075e-01  4.70192e-04 
  1.52326e-01  5.06373e-04 
  1.53576e-01  5.48171e-04 
  1.54827e-01  5.93949e-04 
  1.56078e-01  6.42148e-04 
  1.57328e-01  6.91303e-04 
  1.58579e-01  7.40066e-04 
  1.59830e-01  7.87214e-04 
  1.61080e-01  8.31664e-04 
  1.62331e-01  8.72479e-04 
  1.63581e-01  9.08872e-04 
  1.64832e-01  9.40206e-04 
  1.66083e-01  9.65995e-04 
  1.67333e-01  9.85897e-04 
  1.68584e-01  9.99709e-04 
  1.69835e-01  1.00736e-03 
  1.71085e-01  1.00888e-03 
  1.72336e-01  1.00445e-03 
  1.73586e-01  9.94295e-04 
  1.74837e-01  9.78763e-04 
  1.76088e-01  9.58254e-04 
  1.77338e-01  9.33230e-04 
  1.78589e-01  9.04201e-04 
  1.79840e-01  8.71706e-04 
  1.81090e-01  8.36310e-04 
  1.82341e-01  7.98587e-04 
  1.83591e-01  7.59112e-04 
  1.84842e-01  7.18452e-04 
  1.86093e-01  6.77157e-04 
  1.87343e-01  6.35752e-04 
  1.88594e-01  5.94732e-04 
  1.89845e-01  5.54555e-04 
  1.91095e-01  5.15636e-04 
  1.92346e-01  4.78345e-04 
  1.93596e-01  4.43003e-04 
  1.94847e-01  4.09879e-04 
  1.96098e-01  3.79194e-04 
  1.97348e-01  3.51111e-04 
  1.98599e-01  3.25747e-04 
  1.99850e-01  3.03165e-04 
  2.01100e-01  2.83382e-04 
  2.02351e-01  2.66370e-04 
  2.03602e-01  2.52059e-04 
  2.04852e-01  2.40343e-04 
  2.06103e-01  2.31080e-04 
  2.07353e-01  2.24104e-04 
  2.08604e-01  2.19221e-04 
  2.09855e-01  2.16222e-04 
  2.11105e-01  2.14882e-04 
  2.12356e-01  2.14968e-04 
  2.13607e-01  2.16243e-04 
  2.14857e-01  2.18468e-04 
  2.16108e-01  2.21411e-04 
  2.17358e-01  2.24847e-04 
  2.18609e-01  2.28562e-04 
  2.19860e-01  2.32356e-04 
  2.21110e-01  2.36047e-04 
  2.22361e-01  2.39469e-04 
  2.23612e-01  2.42478e-04 
  2.24862e-01  2.44950e-04 
  2.26113e-01  2.46783e-04 
  2.27363e-01  2.47896e-04 
  2.28614e-01  2.48230e-04 
  2.29865e-01  2.47746e-04 
  2.31115e-01  2.46425e-04 
  2.32366e-01  2.44266e-04 
  2.33617e-01  2.41287e-04 
  2.34867e-01  2.37520e-04 
  2.36118e-01  2.33011e-04 
  2.37368e-01  2.27819e-04 
  2.38619e-01  2.22013e-04 
  2.39870e-01  2.15671e-04 
  2.41120e-01  2.08877e-04 
  2.42371e-01  2.01719e-04 
  2.43622e-01  1.94290e-04 
  2.44872e-01  1.86682e-04 
  2.46123e-01  1.78988e-04 
  2.47373e-01  1.71297e-04 
  2.48624e-01  1.63698e-04 
  2.49875e-01  1.56272e-04 
  2.51125e-01  1.49095e-04 
  2.52376e-01  1.42237e-04 
  2.53627e-01  1.35758e-04 
  2.54877e-01  1.29712e-04 
  2.56128e-01  1.24145e-04 
  2.57378e-01  1.19090e-04 
  2.58629e-01  1.14573e-04 
  2.59880e-01  1.10613e-04 
  2.61130e-01  1.07217e-04 
  2.62381e-01  1.04385e-04 
  2.63632e-01  1.02107e-04 
  2.64882e-01  1.00367e-04 
  2.66133e-01  9.91420e-05 
  2.67383e-01  9.84023e-05 
  2.68634e-01  9.81128e-05 
