# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  4.29189e-01  1.37196e-02 
  2.25063e-03  4.22672e-01  9.14303e-03 
  3.50125e-03  4.22203e-01  7.32742e-03 
  4.75188e-03  4.19044e-01  6.28590e-03 
  6.00251e-03  4.21601e-01  5.58833e-03 
  7.25313e-03  4.23651e-01  5.07849e-03 
  8.50376e-03  4.15234e-01  4.68418e-03 
  9.75439e-03  4.18395e-01  4.36676e-03 
  1.10050e-02  4.20974e-01  4.10345e-03 
  1.22556e-02  4.14810e-01  3.87980e-03 
  1.35063e-02  4.07633e-01  3.68615e-03 
  1.47569e-02  4.08763e-01  3.51573e-03 
  1.60075e-02  4.06342e-01  3.36364e-03 
  1.72581e-02  4.01500e-01  3.22622e-03 
  1.85088e-02  4.03651e-01  3.10067e-03 
  1.97594e-02  4.02068e-01  2.98479e-03 
  2.10100e-02  3.90683e-01  2.87685e-03 
  2.22607e-02  3.84999e-01  2.77543e-03 
  2.35113e-02  3.78238e-01  2.67938e-03 
  2.47619e-02  3.72158e-01  2.58775e-03 
  2.60125e-02  3.68164e-01  2.49974e-03 
  2.72632e-02  3.54969e-01  2.41470e-03 
  2.85138e-02  3.48017e-01  2.33207e-03 
  2.97644e-02  3.36667e-01  2.25140e-03 
  3.10150e-02  3.27244e-01  2.17232e-03 
  3.22657e-02  3.21120e-01  2.09454e-03 
  3.35163e-02  3.07576e-01  2.01782e-03 
  3.47669e-02  2.92608e-01  1.94199e-03 
  3.60175e-02  2.79911e-01  1.86694e-03 
  3.72682e-02  2.68285e-01  1.79260e-03 
  3.85188e-02  2.56819e-01  1.71894e-03 
  3.97694e-02  2.37548e-01  1.64600e-03 
  4.10201e-02  2.25291e-01  1.57380e-03 
  4.22707e-02  2.15443e-01  1.50243e-03 
  4.35213e-02  1.97930e-01  1.43197e-03 
  4.47719e-02  1.84910e-01  1.36255e-03 
  4.60226e-02  1.74426e-01  1.29427e-03 
  4.72732e-02  1.58936e-01  1.22725e-03 
  4.85238e-02  1.46081e-01  1.16163e-03 
  4.97744e-02  1.32956e-01  1.09751e-03 
  5.10251e-02  1.22797e-01  1.03500e-03 
  5.22757e-02  1.10206e-01  9.74202e-04 
  5.35263e-02  1.00134e-01  9.15195e-04 
  5.47769e-02  8.94679e-02  8.58052e-04 
  5.60276e-02  8.17534e-02  8.02831e-04 
  5.72782e-02  7.21904e-02  7.49574e-04 
  5.85288e-02  6.34167e-02  6.98311e-04 
  5.97794e-02  5.58456e-02  6.49061e-04 
  6.10301e-02  4.92485e-02  6.01831e-04 
  6.22807e-02  4.35632e-02  5.56620e-04 
  6.35313e-02  3.69033e-02  5.13418e-04 
  6.47820e-02  3.13394e-02  4.72212e-04 
  6.60326e-02  2.74351e-02  4.32982e-04 
  6.72832e-02  2.29254e-02  3.95709e-04 
  6.85338e-02  1.92690e-02  3.60375e-04 
  6.97845e-02  1.62960e-02  3.26963e-04 
  7.10351e-02  1.30716e-02  2.95466e-04 
  7.22857e-02  1.09879e-02  2.65882e-04 
  7.35363e-02  8.51608e-03  2.38226e-04 
  7.47870e-02  6.86309e-03  2.12532e-04 
  7.60376e-02  5.22754e-03  1.88859e-04 
  7.72882e-02  4.24190e-03  1.67299e-04 
  7.85388e-02  3.04171e-03  1.47991e-04 
  7.97895e-02  2.25618e-03  1.31119e-04 
  8.10401e-02  1.81018e-03  1.16916e-04 
  8.22907e-02  1.33915e-03  1.05635e-04 
  8.35414e-02  1.08711e-03  9.74824e-05 
  8.47920e-02  9.99163e-04  9.25139e-05 
  8.60426e-02  8.89261e-04  9.05425e-05 
  8.72932e-02  9.34772e-04  9.11270e-05 
  8.85439e-02  8.10130e-04  9.36688e-05 
  8.97945e-02  1.19890e-03  9.75480e-05 
  9.10451e-02  1.45621e-03  1.02221e-04 
  9.22957e-02  1.41919e-03  1.07260e-04 
  9.35464e-02  1.93413e-03  1.12346e-04 
  9.47970e-02  2.36480e-03  1.17254e-04 
  9.60476e-02  2.69126e-03  1.21827e-04 
  9.72982e-02  2.66612e-03  1.25962e-04 
  9.85489e-02  2.81909e-03  1.29591e-04 
  9.97995e-02  3.06688e-03  1.32673e-04 
  1.01050e-01  3.49933e-03  1.35189e-04 
  1.02301e-01  3.30533e-03  1.37131e-04 
  1.03551e-01  3.74379e-03  1.38505e-04 
  1.04802e-01  3.54581e-03  1.39324e-04 
  1.06053e-01  3.92153e-03  1.39608e-04 
  1.07303e-01  3.91297e-03  1.39380e-04 
  1.08554e-01  3.67246e-03  1.38668e-04 
  1.09805e-01  3.58571e-03  1.37503e-04 
  1.11055e-01  3.80266e-03  1.35917e-04 
  1.12306e-01  3.67830e-03  1.33943e-04 
  1.13556e-01  3.57848e-03  1.31617e-04 
