# x y z sld
-20.858374 24.470098 -23.828978 1.000000
22.781231 14.707967 14.198042 1.000000
18.756881 -44.385324 -23.248186 1.000000
-40.193017 -28.485013 -16.895885 1.000000
-29.234684 -33.124525 16.397899 1.000000
-23.472986 -11.880013 -21.105876 1.000000
-18.122671 -47.889662 10.189266 1.000000
0.428069 35.358056 20.088516 1.000000
-12.338301 -9.818129 41.665499 1.000000
-42.525310 -12.575029 4.781853 1.000000
-15.779730 11.010810 18.747348 1.000000
12.529983 56.974742 -3.417194 1.000000
22.805744 -19.874060 0.492102 1.000000
-37.584573 15.019872 28.501167 1.000000
8.177267 18.373346 -45.116841 1.000000
-19.472471 35.632489 10.999525 1.000000
-25.528093 -44.489963 -15.658956 1.000000
-11.906993 -42.800802 -25.174572 1.000000
7.168255 -6.544578 -13.699674 1.000000
-30.844444 18.768200 16.073369 1.000000
-44.287563 20.612493 1.418758 1.000000
16.200385 22.455870 -0.956671 1.000000
-17.815556 35.208014 0.678845 1.000000
43.232815 -7.921070 -2.914675 1.000000
18.932888 9.645429 -14.595068 1.000000
-1.961811 -24.845181 -12.857038 1.000000
-9.390408 16.165582 12.321995 1.000000
31.650676 34.867778 16.314807 1.000000
23.037731 5.665601 -1.149886 1.000000
11.103162 5.115550 31.542382 1.000000
15.614983 -4.179549 -10.201568 1.000000
36.913738 7.988891 14.437895 1.000000
15.170853 24.766423 38.416240 1.000000
-15.936043 20.475803 -17.482069 1.000000
-1.760880 23.985552 4.350618 1.000000
-23.875184 41.562407 -14.895723 1.000000
24.023953 8.193268 29.923152 1.000000
38.771467 -1.539951 25.437367 1.000000
-3.311783 48.427617 27.549275 1.000000
-18.086189 -41.920323 -29.693282 1.000000
-19.868019 -48.808338 13.619636 1.000000
15.745895 39.718953 -20.724959 1.000000
-24.716861 -9.404782 27.534417 1.000000
-30.944318 18.672032 20.110445 1.000000
9.713209 17.232678 30.165292 1.000000
20.828677 29.902937 3.797744 1.000000
8.851031 24.941238 -11.035199 1.000000
-27.213229 32.762505 -15.996420 1.000000
10.885125 -11.248187 -13.973360 1.000000
2.956010 53.809586 11.856829 1.000000
37.388358 -20.587143 20.492686 1.000000
-28.823377 27.039240 32.639468 1.000000
43.061862 8.590157 10.650014 1.000000
-11.073346 26.886100 -13.464908 1.000000
-4.181021 -5.129801 36.422892 1.000000
-32.563079 0.413638 -5.739296 1.000000
4.761819 15.116690 0.068652 1.000000
6.439817 7.507203 9.128683 1.000000
-17.061116 42.742891 17.796390 1.000000
19.690060 31.880911 37.458131 1.000000
-12.799949 -50.231789 -2.791228 1.000000
-6.624788 5.934947 -31.007917 1.000000
-2.954710 -0.318426 -0.376585 1.000000
9.896254 -49.102555 20.194014 1.000000
-2.983400 7.925487 14.093529 1.000000
-30.321209 7.840634 -38.032532 1.000000
-5.659245 -16.446351 8.838190 1.000000
22.014053 44.527867 -15.774038 1.000000
-33.875456 28.132196 13.393161 1.000000
24.623451 21.367104 1.000297 1.000000
-23.874179 -29.435972 15.887165 1.000000
-4.916402 57.844269 10.397076 1.000000
-35.448949 0.421478 -21.391626 1.000000
19.255881 -34.460079 -19.723646 1.000000
22.191898 35.941517 -14.341509 1.000000
-28.012960 -47.457245 -1.341583 1.000000
-26.927660 -9.737080 -14.720846 1.000000
2.929013 -26.597736 -39.593501 1.000000
1.830361 -48.637306 -10.478349 1.000000
12.355110 18.980269 -11.142387 1.000000
0.415110 -4.633788 -12.011295 1.000000
-4.039821 7.826269 -1.861542 1.000000
13.990511 -15.146963 40.655555 1.000000
-23.583958 0.479616 -4.141982 1.000000
-8.948352 22.748112 -11.891665 1.000000
34.587428 26.869182 10.770976 1.000000
40.854458 1.483268 3.689225 1.000000
19.277924 26.801756 2.498501 1.000000
-36.145414 28.441653 -23.164636 1.000000
-0.900742 -13.814937 -26.466125 1.000000
2.811410 34.902691 -20.397608 1.000000
-24.314653 43.242820 -1.472329 1.000000
-9.628666 -12.027198 -31.008557 1.000000
33.112739 -2.430717 25.842685 1.000000
5.719265 -41.469583 -26.128308 1.000000
17.709840 -39.502940 18.863716 1.000000
19.107726 -3.028484 -18.858341 1.000000
36.295191 -11.261582 6.128602 1.000000
35.494880 -4.843416 14.531412 1.000000
5.046818 51.556188 -1.037550 1.000000
-11.795316 16.419054 26.212979 1.000000
16.095611 -25.205130 -1.049565 1.000000
-12.156662 29.757093 -6.802456 1.000000
-3.726813 8.813162 -28.496896 1.000000
-2.070113 11.288970 10.072814 1.000000
2.683831 -23.663215 21.642575 1.000000
-20.708946 31.121004 -29.963233 1.000000
44.407224 5.498590 22.094000 1.000000
15.252384 44.054124 11.168369 1.000000
28.830880 19.219142 24.766281 1.000000
-9.867333 32.093466 -21.027474 1.000000
36.178464 -10.741064 -28.874172 1.000000
-4.137127 7.757143 44.706421 1.000000
18.169022 -13.116751 -18.182572 1.000000
-37.609590 -13.069605 -25.309108 1.000000
-11.412473 31.661964 -3.293992 1.000000
-17.273694 32.986244 35.999897 1.000000
10.424070 0.983794 -19.693255 1.000000
-31.256335 -11.015185 36.053826 1.000000
36.389974 -6.536261 21.364516 1.000000
-3.900967 -31.607944 6.463024 1.000000
-9.185534 -27.653280 -16.442544 1.000000
-14.170181 0.098141 24.841413 1.000000
-15.245067 36.810895 20.480319 1.000000
-6.887779 43.114239 12.375152 1.000000
4.949871 -19.988308 -4.626995 1.000000
-4.894233 -31.699264 14.552902 1.000000
-33.435468 -15.684658 -14.938382 1.000000
6.129939 -50.613520 22.833275 1.000000
9.583640 2.161668 35.648255 1.000000
-23.509680 -39.530056 -8.703395 1.000000
8.834679 -46.135741 -2.748142 1.000000
-19.067295 27.780825 34.578932 1.000000
-29.480774 -7.300996 21.251695 1.000000
12.401692 -2.901777 -16.225784 1.000000
-34.459145 -18.482358 7.418431 1.000000
-49.577966 6.912602 -1.827258 1.000000
-25.724913 -44.232380 -2.609035 1.000000
-5.970361 -44.902021 32.381747 1.000000
26.346382 -34.946538 24.883499 1.000000
-23.659646 -25.781831 -8.203572 1.000000
2.543974 -5.810639 -1.944035 1.000000
4.330027 23.760885 19.945672 1.000000
24.237666 17.841558 21.155780 1.000000
5.118033 -25.827142 18.576939 1.000000
14.470646 -12.023900 -26.254365 1.000000
45.542868 22.896973 7.127311 1.000000
-7.017451 -25.141427 -12.700542 1.000000
-1.333782 -18.711675 -27.125195 1.000000
2.817899 36.586791 22.505151 1.000000
9.368291 -48.489931 -11.003165 1.000000
-24.229805 -43.912797 -9.749875 1.000000
-3.040919 23.386451 12.869038 1.000000
-1.197702 -35.423283 -16.577550 1.000000
23.813489 35.928491 3.887080 1.000000
22.819424 3.194304 -13.890285 1.000000
18.276769 41.080940 5.597241 1.000000
1.131140 -27.570322 -20.772784 1.000000
-24.339690 32.603613 -31.634229 1.000000
-5.649452 31.986578 -11.449040 1.000000
21.091355 -21.229117 26.903037 1.000000
16.075021 -36.175708 -26.105350 1.000000
-1.440820 -11.368322 -32.358372 1.000000
25.947182 20.661627 6.157642 1.000000
14.428015 18.501414 30.558211 1.000000
-2.071893 25.983982 -40.025946 1.000000
31.514014 5.742452 -11.860144 1.000000
-30.865707 15.927420 27.886608 1.000000
-2.168875 26.109430 -26.221971 1.000000
-16.901555 7.914385 17.691614 1.000000
-13.238562 -29.349027 -33.343661 1.000000
31.166302 34.077966 14.241341 1.000000
30.679587 -36.984632 3.917972 1.000000
24.605775 -41.293966 -12.352018 1.000000
-21.378565 2.789249 -12.174960 1.000000
-11.553260 34.114854 1.931007 1.000000
21.124236 -18.330755 40.761996 1.000000
32.224688 -13.595202 -29.322829 1.000000
10.041078 -0.943502 23.629608 1.000000
1.679380 28.074301 -36.886129 1.000000
-23.565952 12.621074 -5.100583 1.000000
-8.355127 49.288203 -14.418950 1.000000
7.086151 -29.485884 42.325495 1.000000
-15.132973 -15.735324 7.052857 1.000000
11.983180 25.169433 -12.402121 1.000000
20.696637 -3.449691 -26.686428 1.000000
21.848804 -20.225165 1.633327 1.000000
11.170353 -40.162379 30.531183 1.000000
15.383364 -47.711484 -10.554572 1.000000
6.424950 -11.749749 43.648833 1.000000
-21.925275 26.617858 7.526874 1.000000
-36.374872 -0.435822 17.698832 1.000000
-3.892996 -2.098500 -36.902437 1.000000
25.974330 24.546701 -17.587012 1.000000
4.117517 -34.986533 -27.965906 1.000000
-46.505028 -12.780387 -2.860286 1.000000
-7.603322 -38.080710 9.448422 1.000000
-17.052251 14.057665 -7.853288 1.000000
36.441134 -4.576238 -7.186752 1.000000
0.637318 25.840809 -31.924964 1.000000
7.624446 -32.613976 21.531682 1.000000
-22.726105 34.641115 10.310242 1.000000
26.227141 -11.884784 -25.902632 1.000000
14.790571 10.787821 -2.628950 1.000000
-1.228291 -27.781550 41.716924 1.000000
20.506430 38.505623 -1.769719 1.000000
-20.444328 -7.947021 -18.516791 1.000000
3.801444 -17.719196 -8.461305 1.000000
-6.751289 35.240794 -9.517778 1.000000
-9.952159 50.007538 0.385294 1.000000
13.684436 2.429850 -33.399731 1.000000
38.470434 -22.721903 8.190016 1.000000
24.470408 0.294244 -36.171281 1.000000
32.186282 21.819081 9.895445 1.000000
-1.290188 27.943635 -35.318395 1.000000
-33.748481 4.433944 -4.489412 1.000000
21.010872 8.858424 -1.071651 1.000000
6.608672 -43.134316 -10.040783 1.000000
