# r                 p(r)             
  6.23931e-01       6.52149e-06      
  1.87179e+00       4.37735e-05      
  3.11966e+00       1.18787e-04      
  4.36752e+00       2.25405e-04      
  5.61538e+00       3.63263e-04      
  6.86324e+00       5.29370e-04      
  8.11111e+00       7.23520e-04      
  9.35897e+00       9.45346e-04      
  1.06068e+01       1.20417e-03      
  1.18547e+01       1.46169e-03      
  1.31026e+01       1.74566e-03      
  1.43504e+01       2.05271e-03      
  1.55983e+01       2.37411e-03      
  1.68461e+01       2.71124e-03      
  1.80940e+01       3.05195e-03      
  1.93419e+01       3.41063e-03      
  2.05897e+01       3.76942e-03      
  2.18376e+01       4.12863e-03      
  2.30855e+01       4.52792e-03      
  2.43333e+01       4.90036e-03      
  2.55812e+01       5.29618e-03      
  2.68290e+01       5.65472e-03      
  2.80769e+01       6.02980e-03      
  2.93248e+01       6.42300e-03      
  3.05726e+01       6.78512e-03      
  3.18205e+01       7.14541e-03      
  3.30684e+01       7.48686e-03      
  3.43162e+01       7.83678e-03      
  3.55641e+01       8.16260e-03      
  3.68119e+01       8.50497e-03      
  3.80598e+01       8.78071e-03      
  3.93077e+01       9.08277e-03      
  4.05555e+01       9.34644e-03      
  4.18034e+01       9.59606e-03      
  4.30513e+01       9.84168e-03      
  4.42991e+01       1.00639e-02      
  4.55470e+01       1.02399e-02      
  4.67948e+01       1.04163e-02      
  4.80427e+01       1.05656e-02      
  4.92906e+01       1.06964e-02      
  5.05384e+01       1.08088e-02      
  5.17863e+01       1.08735e-02      
  5.30342e+01       1.09119e-02      
  5.42820e+01       1.09492e-02      
  5.55299e+01       1.09656e-02      
  5.67777e+01       1.09109e-02      
  5.80256e+01       1.08410e-02      
  5.92735e+01       1.08066e-02      
  6.05213e+01       1.07422e-02      
  6.17692e+01       1.06026e-02      
  6.30171e+01       1.04688e-02      
  6.42649e+01       1.03143e-02      
  6.55128e+01       1.01082e-02      
  6.67606e+01       9.91036e-03      
  6.80085e+01       9.70711e-03      
  6.92564e+01       9.42324e-03      
  7.05042e+01       9.16222e-03      
  7.17521e+01       8.88028e-03      
  7.30000e+01       8.55281e-03      
  7.42478e+01       8.22212e-03      
  7.54957e+01       7.89099e-03      
  7.67435e+01       7.53902e-03      
  7.79914e+01       7.17934e-03      
  7.92393e+01       6.79070e-03      
  8.04871e+01       6.41540e-03      
  8.17350e+01       5.99949e-03      
  8.29828e+01       5.61201e-03      
  8.42307e+01       5.22604e-03      
  8.54786e+01       4.81108e-03      
  8.67264e+01       4.41593e-03      
  8.79743e+01       4.04275e-03      
  8.92222e+01       3.65161e-03      
  9.04700e+01       3.27174e-03      
  9.17179e+01       2.89847e-03      
  9.29658e+01       2.56311e-03      
  9.42136e+01       2.22680e-03      
  9.54615e+01       1.92680e-03      
  9.67093e+01       1.63845e-03      
  9.79572e+01       1.37279e-03      
  9.92051e+01       1.13321e-03      
  1.00453e+02       9.17622e-04      
  1.01701e+02       7.41335e-04      
  1.02949e+02       5.96287e-04      
  1.04197e+02       4.63503e-04      
  1.05444e+02       3.61752e-04      
  1.06692e+02       2.66920e-04      
  1.07940e+02       1.96774e-04      
  1.09188e+02       1.40928e-04      
  1.10436e+02       9.79496e-05      
  1.11684e+02       6.32585e-05      
  1.12932e+02       3.83655e-05      
  1.14179e+02       2.08847e-05      
  1.15427e+02       9.44821e-06      
  1.16675e+02       3.65840e-06      
  1.17923e+02       8.74834e-07      
  1.19171e+02       6.36243e-08      
  1.20419e+02       0.00000e+00      
  1.21667e+02       0.00000e+00      
  1.22914e+02       0.00000e+00      
  1.24162e+02       0.00000e+00      
