# Theoretical SAS data
# q            I           
  1.00000e-03  9.03191e+00 
  2.25063e-03  6.73657e+00 
  3.50125e-03  4.79803e+00 
  4.75188e-03  3.54348e+00 
  6.00251e-03  2.76287e+00 
  7.25313e-03  2.26332e+00 
  8.50376e-03  1.92892e+00 
  9.75439e-03  1.69439e+00 
  1.10050e-02  1.52247e+00 
  1.22556e-02  1.39122e+00 
  1.35063e-02  1.28721e+00 
  1.47569e-02  1.20194e+00 
  1.60075e-02  1.12987e+00 
  1.72581e-02  1.06727e+00 
  1.85088e-02  1.01161e+00 
  1.97594e-02  9.61096e-01 
  2.10100e-02  9.14473e-01 
  2.22607e-02  8.70834e-01 
  2.35113e-02  8.29528e-01 
  2.47619e-02  7.90082e-01 
  2.60125e-02  7.52155e-01 
  2.72632e-02  7.15502e-01 
  2.85138e-02  6.79949e-01 
  2.97644e-02  6.45378e-01 
  3.10150e-02  6.11709e-01 
  3.22657e-02  5.78894e-01 
  3.35163e-02  5.46907e-01 
  3.47669e-02  5.15740e-01 
  3.60175e-02  4.85396e-01 
  3.72682e-02  4.55888e-01 
  3.85188e-02  4.27236e-01 
  3.97694e-02  3.99461e-01 
  4.10201e-02  3.72589e-01 
  4.22707e-02  3.46645e-01 
  4.35213e-02  3.21652e-01 
  4.47719e-02  2.97634e-01 
  4.60226e-02  2.74610e-01 
  4.72732e-02  2.52598e-01 
  4.85238e-02  2.31612e-01 
  4.97744e-02  2.11661e-01 
  5.10251e-02  1.92751e-01 
  5.22757e-02  1.74884e-01 
  5.35263e-02  1.58057e-01 
  5.47769e-02  1.42264e-01 
  5.60276e-02  1.27494e-01 
  5.72782e-02  1.13731e-01 
  5.85288e-02  1.00957e-01 
  5.97794e-02  8.91490e-02 
  6.10301e-02  7.82815e-02 
  6.22807e-02  6.83253e-02 
  6.35313e-02  5.92484e-02 
  6.47820e-02  5.10164e-02 
  6.60326e-02  4.35926e-02 
  6.72832e-02  3.69384e-02 
  6.85338e-02  3.10138e-02 
  6.97845e-02  2.57772e-02 
  7.10351e-02  2.11865e-02 
  7.22857e-02  1.71989e-02 
  7.35363e-02  1.37714e-02 
  7.47870e-02  1.08608e-02 
  7.60376e-02  8.42463e-03 
  7.72882e-02  6.42082e-03 
  7.85388e-02  4.80823e-03 
  7.97895e-02  3.54680e-03 
  8.10401e-02  2.59776e-03 
  8.22907e-02  1.92378e-03 
  8.35414e-02  1.48917e-03 
  8.47920e-02  1.26009e-03 
  8.60426e-02  1.20481e-03 
  8.72932e-02  1.29381e-03 
  8.85439e-02  1.49977e-03 
  8.97945e-02  1.79743e-03 
  9.10451e-02  2.16365e-03 
  9.22957e-02  2.57742e-03 
  9.35464e-02  3.01989e-03 
  9.47970e-02  3.47436e-03 
  9.60476e-02  3.92624e-03 
  9.72982e-02  4.36300e-03 
  9.85489e-02  4.77405e-03 
  9.97995e-02  5.15070e-03 
  1.01050e-01  5.48601e-03 
  1.02301e-01  5.77471e-03 
  1.03551e-01  6.01305e-03 
  1.04802e-01  6.19872e-03 
  1.06053e-01  6.33066e-03 
  1.07303e-01  6.40898e-03 
  1.08554e-01  6.43479e-03 
  1.09805e-01  6.41009e-03 
  1.11055e-01  6.33765e-03 
  1.12306e-01  6.22086e-03 
  1.13556e-01  6.06360e-03 
  1.14807e-01  5.87016e-03 
  1.16058e-01  5.64511e-03 
  1.17308e-01  5.39318e-03 
  1.18559e-01  5.11919e-03 
  1.19810e-01  4.82796e-03 
  1.21060e-01  4.52421e-03 
  1.22311e-01  4.21252e-03 
  1.23561e-01  3.89723e-03 
  1.24812e-01  3.58244e-03 
  1.26063e-01  3.27192e-03 
  1.27313e-01  2.96910e-03 
  1.28564e-01  2.67703e-03 
  1.29815e-01  2.39837e-03 
  1.31065e-01  2.13541e-03 
  1.32316e-01  1.88999e-03 
  1.33566e-01  1.66358e-03 
  1.34817e-01  1.45725e-03 
  1.36068e-01  1.27169e-03 
  1.37318e-01  1.10724e-03 
  1.38569e-01  9.63897e-04 
  1.39820e-01  8.41359e-04 
  1.41070e-01  7.39039e-04 
  1.42321e-01  6.56106e-04 
  1.43571e-01  5.91515e-04 
  1.44822e-01  5.44039e-04 
  1.46073e-01  5.12304e-04 
  1.47323e-01  4.94823e-04 
  1.48574e-01  4.90023e-04 
  1.49825e-01  4.96280e-04 
  1.51075e-01  5.11947e-04 
  1.52326e-01  5.35378e-04 
  1.53576e-01  5.64957e-04 
  1.54827e-01  5.99118e-04 
  1.56078e-01  6.36366e-04 
  1.57328e-01  6.75297e-04 
  1.58579e-01  7.14608e-04 
  1.59830e-01  7.53113e-04 
  1.61080e-01  7.89753e-04 
  1.62331e-01  8.23599e-04 
  1.63581e-01  8.53860e-04 
  1.64832e-01  8.79881e-04 
  1.66083e-01  9.01145e-04 
  1.67333e-01  9.17270e-04 
  1.68584e-01  9.28002e-04 
  1.69835e-01  9.33212e-04 
  1.71085e-01  9.32885e-04 
  1.72336e-01  9.27113e-04 
  1.73586e-01  9.16083e-04 
  1.74837e-01  9.00069e-04 
  1.76088e-01  8.79416e-04 
  1.77338e-01  8.54533e-04 
  1.78589e-01  8.25880e-04 
  1.79840e-01  7.93955e-04 
  1.81090e-01  7.59281e-04 
  1.82341e-01  7.22401e-04 
  1.83591e-01  6.83861e-04 
  1.84842e-01  6.44204e-04 
  1.86093e-01  6.03959e-04 
  1.87343e-01  5.63636e-04 
  1.88594e-01  5.23715e-04 
  1.89845e-01  4.84643e-04 
  1.91095e-01  4.46827e-04 
  1.92346e-01  4.10633e-04 
  1.93596e-01  3.76376e-04 
  1.94847e-01  3.44328e-04 
  1.96098e-01  3.14707e-04 
  1.97348e-01  2.87685e-04 
  1.98599e-01  2.63382e-04 
  1.99850e-01  2.41872e-04 
  2.01100e-01  2.23181e-04 
  2.02351e-01  2.07296e-04 
  2.03602e-01  1.94160e-04 
  2.04852e-01  1.83682e-04 
