# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  5.75337e+00  5.02212e-02 
  2.25063e-03  4.18132e+00  2.89117e-02 
  3.50125e-03  2.98775e+00  1.95632e-02 
  4.75188e-03  2.24674e+00  1.44318e-02 
  6.00251e-03  1.74291e+00  1.13389e-02 
  7.25313e-03  1.42405e+00  9.33653e-03 
  8.50376e-03  1.21379e+00  7.96058e-03 
  9.75439e-03  1.05722e+00  6.96653e-03 
  1.10050e-02  9.48426e-01  6.21734e-03 
  1.22556e-02  8.78481e-01  5.63210e-03 
  1.35063e-02  8.10129e-01  5.16072e-03 
  1.47569e-02  7.55183e-01  4.77101e-03 
  1.60075e-02  7.05679e-01  4.44151e-03 
  1.72581e-02  6.74831e-01  4.15749e-03 
  1.85088e-02  6.30740e-01  3.90859e-03 
  1.97594e-02  6.08098e-01  3.68733e-03 
  2.10100e-02  5.77084e-01  3.48819e-03 
  2.22607e-02  5.46282e-01  3.30704e-03 
  2.35113e-02  5.24044e-01  3.14073e-03 
  2.47619e-02  4.94428e-01  2.98684e-03 
  2.60125e-02  4.69395e-01  2.84345e-03 
  2.72632e-02  4.45571e-01  2.70904e-03 
  2.85138e-02  4.29184e-01  2.58242e-03 
  2.97644e-02  4.04279e-01  2.46259e-03 
  3.10150e-02  3.87899e-01  2.34877e-03 
  3.22657e-02  3.63867e-01  2.24029e-03 
  3.35163e-02  3.45567e-01  2.13662e-03 
  3.47669e-02  3.22820e-01  2.03731e-03 
  3.60175e-02  3.01569e-01  1.94198e-03 
  3.72682e-02  2.82534e-01  1.85031e-03 
  3.85188e-02  2.68827e-01  1.76204e-03 
  3.97694e-02  2.49108e-01  1.67695e-03 
  4.10201e-02  2.34793e-01  1.59484e-03 
  4.22707e-02  2.18654e-01  1.51555e-03 
  4.35213e-02  2.02698e-01  1.43893e-03 
  4.47719e-02  1.88364e-01  1.36488e-03 
  4.60226e-02  1.72476e-01  1.29329e-03 
  4.72732e-02  1.58472e-01  1.22407e-03 
  4.85238e-02  1.45480e-01  1.15713e-03 
  4.97744e-02  1.33723e-01  1.09243e-03 
  5.10251e-02  1.20004e-01  1.02989e-03 
  5.22757e-02  1.08412e-01  9.69465e-04 
  5.35263e-02  1.00152e-01  9.11113e-04 
  5.47769e-02  8.67670e-02  8.54794e-04 
  5.60276e-02  8.02699e-02  8.00470e-04 
  5.72782e-02  7.16903e-02  7.48112e-04 
  5.85288e-02  6.30810e-02  6.97691e-04 
  5.97794e-02  5.70816e-02  6.49182e-04 
  6.10301e-02  4.84975e-02  6.02562e-04 
  6.22807e-02  4.25293e-02  5.57812e-04 
  6.35313e-02  3.75340e-02  5.14914e-04 
  6.47820e-02  3.24869e-02  4.73854e-04 
  6.60326e-02  2.79755e-02  4.34619e-04 
  6.72832e-02  2.30709e-02  3.97201e-04 
  6.85338e-02  1.98648e-02  3.61595e-04 
  6.97845e-02  1.59000e-02  3.27805e-04 
  7.10351e-02  1.38048e-02  2.95837e-04 
  7.22857e-02  1.05282e-02  2.65711e-04 
  7.35363e-02  8.80137e-03  2.37460e-04 
  7.47870e-02  7.06140e-03  2.11134e-04 
  7.60376e-02  5.69188e-03  1.86811e-04 
  7.72882e-02  3.93470e-03  1.64605e-04 
  7.85388e-02  3.03846e-03  1.44673e-04 
  7.97895e-02  2.20715e-03  1.27232e-04 
  8.10401e-02  1.63310e-03  1.12553e-04 
  8.22907e-02  1.28456e-03  1.00940e-04 
  8.35414e-02  1.08661e-03  9.26485e-05 
  8.47920e-02  7.96807e-04  8.77655e-05 
  8.60426e-02  7.34454e-04  8.60896e-05 
  8.72932e-02  8.84454e-04  8.71202e-05 
  8.85439e-02  1.05968e-03  9.01787e-05 
  8.97945e-02  1.03337e-03  9.45755e-05 
  9.10451e-02  1.33564e-03  9.97236e-05 
  9.22957e-02  1.65932e-03  1.05175e-04 
  9.35464e-02  1.72479e-03  1.10610e-04 
  9.47970e-02  2.16651e-03  1.15809e-04 
  9.60476e-02  2.56935e-03  1.20627e-04 
  9.72982e-02  2.75451e-03  1.24969e-04 
  9.85489e-02  2.92960e-03  1.28777e-04 
  9.97995e-02  3.20193e-03  1.32021e-04 
  1.01050e-01  3.46489e-03  1.34686e-04 
  1.02301e-01  3.59949e-03  1.36772e-04 
  1.03551e-01  3.76517e-03  1.38287e-04 
  1.04802e-01  3.82647e-03  1.39247e-04 
  1.06053e-01  3.97216e-03  1.39673e-04 
  1.07303e-01  4.16395e-03  1.39588e-04 
  1.08554e-01  4.21390e-03  1.39021e-04 
  1.09805e-01  4.14744e-03  1.38000e-04 
  1.11055e-01  4.10811e-03  1.36555e-04 
  1.12306e-01  3.86548e-03  1.34719e-04 
  1.13556e-01  3.70469e-03  1.32524e-04 
  1.14807e-01  3.55692e-03  1.30004e-04 
  1.16058e-01  3.52694e-03  1.27190e-04 
  1.17308e-01  3.25328e-03  1.24118e-04 
  1.18559e-01  3.16711e-03  1.20820e-04 
  1.19810e-01  3.08192e-03  1.17330e-04 
  1.21060e-01  2.77465e-03  1.13682e-04 
  1.22311e-01  2.39256e-03  1.09909e-04 
  1.23561e-01  2.34001e-03  1.06043e-04 
  1.24812e-01  2.23232e-03  1.02119e-04 
  1.26063e-01  2.05551e-03  9.81685e-05 
  1.27313e-01  1.87141e-03  9.42245e-05 
  1.28564e-01  1.67092e-03  9.03192e-05 
  1.29815e-01  1.47903e-03  8.64848e-05 
  1.31065e-01  1.26716e-03  8.27528e-05 
  1.32316e-01  1.20472e-03  7.91544e-05 
  1.33566e-01  1.15684e-03  7.57195e-05 
  1.34817e-01  9.25035e-04  7.24771e-05 
  1.36068e-01  8.29670e-04  6.94541e-05 
  1.37318e-01  8.01709e-04  6.66750e-05 
