# Structure factor, S(q), used in: I(q) = P(q)*S(q)
# Default: S(q) = 1.0
# q                 S(q)             
  1.00000e-03      9.03709e+00      
  2.25063e-03      6.75617e+00      
  3.50125e-03      4.83189e+00      
  4.75188e-03      3.58969e+00      
  6.00251e-03      2.82062e+00      
  7.25313e-03      2.33277e+00      
  8.50376e-03      2.01081e+00      
  9.75439e-03      1.78974e+00      
  1.10050e-02      1.63246e+00      
  1.22556e-02      1.51708e+00      
  1.35063e-02      1.43016e+00      
  1.47569e-02      1.36318e+00      
  1.60075e-02      1.31055e+00      
  1.72581e-02      1.26847e+00      
  1.85088e-02      1.23433e+00      
  1.97594e-02      1.20626e+00      
  2.10100e-02      1.18292e+00      
  2.22607e-02      1.16330e+00      
  2.35113e-02      1.14665e+00      
  2.47619e-02      1.13242e+00      
  2.60125e-02      1.12014e+00      
  2.72632e-02      1.10949e+00      
  2.85138e-02      1.10019e+00      
  2.97644e-02      1.09202e+00      
  3.10150e-02      1.08480e+00      
  3.22657e-02      1.07839e+00      
  3.35163e-02      1.07267e+00      
  3.47669e-02      1.06756e+00      
  3.60175e-02      1.06296e+00      
  3.72682e-02      1.05881e+00      
  3.85188e-02      1.05505e+00      
  3.97694e-02      1.05163e+00      
  4.10201e-02      1.04852e+00      
  4.22707e-02      1.04567e+00      
  4.35213e-02      1.04306e+00      
  4.47719e-02      1.04067e+00      
  4.60226e-02      1.03846e+00      
  4.72732e-02      1.03642e+00      
  4.85238e-02      1.03453e+00      
  4.97744e-02      1.03277e+00      
  5.10251e-02      1.03114e+00      
  5.22757e-02      1.02962e+00      
  5.35263e-02      1.02819e+00      
  5.47769e-02      1.02686e+00      
  5.60276e-02      1.02561e+00      
  5.72782e-02      1.02443e+00      
  5.85288e-02      1.02331e+00      
  5.97794e-02      1.02226e+00      
  6.10301e-02      1.02125e+00      
  6.22807e-02      1.02030e+00      
  6.35313e-02      1.01938e+00      
  6.47820e-02      1.01850e+00      
  6.60326e-02      1.01765e+00      
  6.72832e-02      1.01681e+00      
