# x y z sld
-7.652691 4.253104 46.668041 1.000000
-2.541898 -12.541019 2.070552 1.000000
-9.484338 -4.633386 -42.754490 1.000000
19.488594 6.528250 -2.973649 1.000000
-31.099611 -6.821935 -36.531244 1.000000
-16.601402 -23.313718 41.384898 1.000000
23.100410 40.755742 22.950649 1.000000
24.057459 18.805286 -7.954529 1.000000
-9.456171 -46.635512 8.741240 1.000000
-27.615146 18.398812 -2.564995 1.000000
-26.823782 40.657756 -7.782258 1.000000
19.679734 -8.859723 27.379912 1.000000
-43.710253 -18.741259 -5.522389 1.000000
-22.128865 -44.683487 19.466775 1.000000
-16.324018 -23.385159 -19.075127 1.000000
-31.080239 -25.850699 6.314515 1.000000
-9.285355 16.543629 12.386716 1.000000
-42.700617 -24.448082 9.741222 1.000000
-16.955821 -35.765318 28.711721 1.000000
-35.705586 -26.698585 0.272947 1.000000
-24.317557 7.174863 -40.842187 1.000000
1.576553 15.895345 37.136229 1.000000
12.505711 18.395202 36.593537 1.000000
14.552767 -18.898531 13.138267 1.000000
8.165346 -46.690606 -15.955187 1.000000
31.505979 8.792392 -36.427658 1.000000
12.277126 0.877561 5.303069 1.000000
-17.362578 -52.201301 -7.568865 1.000000
-13.065219 10.503377 44.586355 1.000000
-23.012430 41.015606 26.863968 1.000000
-25.382227 32.877317 7.505579 1.000000
-10.268105 45.750051 15.447853 1.000000
38.263500 23.055379 22.123233 1.000000
-18.143485 28.907607 3.264428 1.000000
-17.880240 44.298327 -17.510500 1.000000
4.460770 -36.819287 12.826907 1.000000
-30.149281 8.029473 28.871899 1.000000
-25.005382 -41.633609 6.484015 1.000000
39.540038 -22.536330 23.436476 1.000000
-24.062069 -37.256901 5.772013 1.000000
-30.270106 -15.305919 -4.256396 1.000000
11.113404 17.511497 27.953422 1.000000
32.115460 -3.906460 21.769112 1.000000
29.246945 11.155348 -39.117387 1.000000
39.894709 -5.894972 11.700666 1.000000
-42.395988 10.637706 8.572537 1.000000
-14.798749 -20.313957 -22.122271 1.000000
23.809145 -21.450431 -22.445929 1.000000
33.662054 35.155284 0.813107 1.000000
-5.303476 -34.118990 -38.707526 1.000000
17.184979 15.114947 27.728698 1.000000
5.986033 30.533864 -41.852305 1.000000
-9.477633 47.956805 -21.120748 1.000000
13.320422 24.022649 35.618524 1.000000
-11.059355 39.032249 -33.637754 1.000000
-12.280762 -39.731232 21.687679 1.000000
-43.859488 -14.707414 6.558795 1.000000
11.617861 -22.164520 23.836680 1.000000
-24.011938 13.882638 20.678092 1.000000
-27.535031 -39.105983 21.343564 1.000000
-20.796712 47.291066 15.810439 1.000000
-4.059713 42.728314 0.737736 1.000000
-17.756971 -10.271172 43.007250 1.000000
24.317810 24.714009 -7.376426 1.000000
-12.978746 -35.147881 -28.030607 1.000000
33.135915 -16.142095 -34.561116 1.000000
-13.555297 26.209784 -7.657458 1.000000
31.392916 12.405523 -18.187582 1.000000
-31.383595 -42.326679 3.981275 1.000000
-12.134804 -6.656272 -7.277027 1.000000
-20.319990 -43.545922 22.573291 1.000000
40.150720 -29.641590 4.931866 1.000000
34.478830 -24.746774 -17.208835 1.000000
-37.437314 10.894111 -5.493994 1.000000
-2.907368 27.898795 36.808043 1.000000
0.681619 19.133382 1.661627 1.000000
19.200757 -8.479340 21.717383 1.000000
-13.896185 -7.334428 -46.837011 1.000000
0.622945 20.916687 12.859175 1.000000
1.663301 29.420253 -35.322613 1.000000
-20.625500 19.333356 39.049893 1.000000
-38.398736 -35.881355 4.056880 1.000000
-18.307043 47.242557 0.977470 1.000000
28.685636 -31.066130 25.946179 1.000000
-8.898334 -31.477405 12.358345 1.000000
-12.182720 -21.497377 39.759154 1.000000
-33.858462 23.586468 8.756760 1.000000
-7.843539 6.562446 -38.633388 1.000000
-22.185900 -36.329009 -25.806485 1.000000
-39.949683 -28.155214 -4.296001 1.000000
-10.569053 12.340181 -46.663083 1.000000
1.688174 -0.619200 -37.940343 1.000000
-13.654499 3.847913 38.524750 1.000000
-17.351936 -51.601675 2.622398 1.000000
-2.919214 -48.175377 28.297646 1.000000
-20.941830 -1.889862 9.438459 1.000000
3.391254 23.111755 43.071103 1.000000
23.611123 -25.503918 10.789885 1.000000
1.394934 -1.937293 23.882355 1.000000
8.798248 -28.709142 -23.567591 1.000000
25.288248 -19.214891 37.159532 1.000000
6.503792 6.067189 -27.729112 1.000000
47.429815 8.609661 2.564360 1.000000
23.425933 -20.199758 10.810333 1.000000
19.578175 -22.794550 -8.568110 1.000000
13.542615 -13.917033 -39.338762 1.000000
5.801821 44.755403 22.444165 1.000000
-18.227518 -24.049446 -4.573463 1.000000
31.813433 19.018919 18.506775 1.000000
23.727964 -7.966548 -23.148480 1.000000
-18.430942 28.296179 -16.941546 1.000000
-16.449657 -7.300866 28.655643 1.000000
13.814552 -10.237716 -29.770856 1.000000
-17.677246 -0.033050 2.075315 1.000000
-20.625876 8.529394 -22.845306 1.000000
-28.372260 -32.107941 3.338180 1.000000
14.663519 -37.145842 -14.963324 1.000000
-1.602220 -31.572471 -15.972066 1.000000
-22.430329 33.435524 23.576028 1.000000
-28.135678 1.980022 -28.609695 1.000000
4.586603 6.437266 29.570418 1.000000
-2.483599 -34.827742 22.813510 1.000000
6.483887 -27.765410 4.469460 1.000000
-24.518601 31.753846 -4.120967 1.000000
16.957193 7.636441 -6.218982 1.000000
35.783110 22.172852 16.689959 1.000000
-32.841148 -9.176098 -13.578983 1.000000
13.675003 14.266292 27.881182 1.000000
31.225200 26.552800 -11.581832 1.000000
-38.652823 3.526057 1.885728 1.000000
-25.347160 0.658514 -12.460976 1.000000
-17.779835 3.586353 14.878678 1.000000
5.961001 19.367125 -16.180868 1.000000
24.350322 14.021141 -1.229152 1.000000
-14.847663 -3.492136 5.668787 1.000000
-14.911788 -22.622215 25.758608 1.000000
-8.845991 58.794003 2.682266 1.000000
38.305095 -22.090825 -17.097830 1.000000
-9.266783 31.968905 -0.037657 1.000000
21.970564 -21.429546 -13.303369 1.000000
-43.382567 -11.296951 -0.830848 1.000000
-7.803046 6.054080 -5.307286 1.000000
6.512671 -11.388467 19.201240 1.000000
-25.776985 -29.243273 -19.734757 1.000000
-19.256486 -3.100094 35.282007 1.000000
40.713397 -32.223329 -10.054299 1.000000
-12.719895 -39.519053 -18.070217 1.000000
-19.377922 47.144128 16.676711 1.000000
17.131291 -18.414084 36.483860 1.000000
5.400786 24.157776 29.498855 1.000000
-41.828384 -14.311953 10.628778 1.000000
2.494277 48.151461 22.033080 1.000000
-23.236879 -2.999651 -12.819569 1.000000
-12.909334 -28.311554 -3.256178 1.000000
-19.655408 5.169252 -10.095376 1.000000
14.839847 1.769781 29.558909 1.000000
2.687810 18.514370 -0.090665 1.000000
-31.027743 -19.083614 -7.144499 1.000000
19.646195 -12.910724 -30.861819 1.000000
11.347040 15.708706 25.311200 1.000000
-4.312646 2.109070 24.982169 1.000000
-24.890241 18.345862 30.873230 1.000000
-17.497408 -51.238464 12.309493 1.000000
40.236535 28.817533 -14.096872 1.000000
12.214447 45.563348 -24.042138 1.000000
-19.013830 -27.950525 13.909470 1.000000
25.593433 -4.676141 -14.135927 1.000000
25.294892 21.841395 -37.450918 1.000000
-16.530933 31.581053 -23.360784 1.000000
-17.946109 -25.749321 -23.452112 1.000000
-4.519004 24.733700 -2.570109 1.000000
-33.447627 -37.728240 -6.350827 1.000000
-8.217525 43.211035 -6.607436 1.000000
23.872941 -11.283325 -38.985764 1.000000
-40.479796 17.017073 -12.089310 1.000000
-10.333202 33.377593 20.085746 1.000000
-23.501947 16.164486 -36.085453 1.000000
-32.192408 3.673691 -5.765101 1.000000
2.200523 -3.982333 29.920038 1.000000
5.685259 42.984102 7.661602 1.000000
20.758151 18.848995 -2.298926 1.000000
-20.836707 26.900820 -10.608987 1.000000
