# r                 p(r)             
  6.24997e-01       6.47305e-06      
  1.87499e+00       4.40859e-05      
  3.12498e+00       1.18212e-04      
  4.37498e+00       2.23964e-04      
  5.62497e+00       3.60810e-04      
  6.87496e+00       5.32141e-04      
  8.12496e+00       7.28376e-04      
  9.37495e+00       9.55624e-04      
  1.06249e+01       1.19863e-03      
  1.18749e+01       1.47061e-03      
  1.31249e+01       1.75872e-03      
  1.43749e+01       2.06880e-03      
  1.56249e+01       2.38354e-03      
  1.68749e+01       2.71805e-03      
  1.81249e+01       3.06595e-03      
  1.93749e+01       3.42987e-03      
  2.06249e+01       3.78364e-03      
  2.18749e+01       4.14678e-03      
  2.31249e+01       4.53464e-03      
  2.43749e+01       4.92126e-03      
  2.56249e+01       5.29224e-03      
  2.68749e+01       5.67572e-03      
  2.81248e+01       6.04153e-03      
  2.93748e+01       6.42463e-03      
  3.06248e+01       6.79383e-03      
  3.18748e+01       7.15411e-03      
  3.31248e+01       7.49015e-03      
  3.43748e+01       7.85711e-03      
  3.56248e+01       8.15581e-03      
  3.68748e+01       8.46419e-03      
  3.81248e+01       8.77644e-03      
  3.93748e+01       9.07569e-03      
  4.06248e+01       9.33307e-03      
  4.18748e+01       9.58943e-03      
  4.31248e+01       9.83175e-03      
  4.43748e+01       1.00522e-02      
  4.56247e+01       1.02399e-02      
  4.68747e+01       1.04096e-02      
  4.81247e+01       1.05941e-02      
  4.93747e+01       1.07148e-02      
  5.06247e+01       1.08000e-02      
  5.18747e+01       1.08839e-02      
  5.31247e+01       1.09340e-02      
  5.43747e+01       1.09780e-02      
  5.56247e+01       1.09928e-02      
  5.68747e+01       1.09881e-02      
  5.81247e+01       1.09236e-02      
  5.93747e+01       1.08480e-02      
  6.06247e+01       1.07557e-02      
  6.18747e+01       1.06503e-02      
  6.31246e+01       1.04968e-02      
  6.43746e+01       1.03216e-02      
  6.56246e+01       1.01527e-02      
  6.68746e+01       9.96121e-03      
  6.81246e+01       9.71311e-03      
  6.93746e+01       9.43817e-03      
  7.06246e+01       9.16572e-03      
  7.18746e+01       8.86158e-03      
  7.31246e+01       8.55199e-03      
  7.43746e+01       8.20566e-03      
  7.56246e+01       7.88003e-03      
  7.68746e+01       7.52629e-03      
  7.81246e+01       7.16248e-03      
  7.93746e+01       6.73124e-03      
  8.06246e+01       6.37789e-03      
  8.18745e+01       5.98827e-03      
  8.31245e+01       5.58975e-03      
  8.43745e+01       5.18847e-03      
  8.56245e+01       4.78233e-03      
  8.68745e+01       4.38234e-03      
  8.81245e+01       3.99188e-03      
  8.93745e+01       3.59850e-03      
  9.06245e+01       3.22613e-03      
  9.18745e+01       2.87325e-03      
  9.31245e+01       2.51814e-03      
  9.43745e+01       2.18326e-03      
  9.56245e+01       1.87681e-03      
  9.68745e+01       1.59022e-03      
  9.81245e+01       1.33636e-03      
  9.93745e+01       1.10342e-03      
  1.00624e+02       9.07626e-04      
  1.01874e+02       7.43663e-04      
  1.03124e+02       5.98490e-04      
  1.04374e+02       4.71559e-04      
  1.05624e+02       3.69530e-04      
  1.06874e+02       2.82065e-04      
  1.08124e+02       2.09023e-04      
  1.09374e+02       1.51190e-04      
  1.10624e+02       1.02972e-04      
  1.11874e+02       6.93339e-05      
  1.13124e+02       4.14935e-05      
  1.14374e+02       2.46824e-05      
  1.15624e+02       1.19406e-05      
  1.16874e+02       5.67178e-06      
  1.18124e+02       1.57113e-06      
  1.19374e+02       9.42678e-08      
  1.20624e+02       0.00000e+00      
  1.21874e+02       0.00000e+00      
  1.23124e+02       0.00000e+00      
  1.24374e+02       0.00000e+00      
