# x y z sld
-9.572012 -30.740239 27.349103 1.000000
30.898766 2.994985 -7.325967 1.000000
-22.488147 12.055577 -37.366646 1.000000
-29.357557 15.795612 20.009887 1.000000
-17.606798 17.066072 -28.561074 1.000000
1.202146 -8.701143 43.430265 1.000000
-24.214952 -7.810752 -8.926784 1.000000
31.560598 -19.360516 -0.516566 1.000000
-9.098214 -37.020293 1.745076 1.000000
-6.675428 32.746279 6.281007 1.000000
17.310281 23.822685 -27.864055 1.000000
-19.253022 -14.050145 -8.732411 1.000000
2.075783 -11.634969 -13.481869 1.000000
1.272128 24.549173 -16.963653 1.000000
-23.942441 -4.097666 -5.749687 1.000000
-3.444393 -3.235022 -32.840163 1.000000
-23.114440 28.248080 5.127958 1.000000
-13.472060 -1.585670 42.365030 1.000000
-36.982157 11.681189 -11.236905 1.000000
16.075138 -21.379489 41.186147 1.000000
0.228953 -29.161778 -40.388461 1.000000
-28.525661 26.979786 2.624168 1.000000
-14.586222 29.446274 32.399199 1.000000
-13.984354 -17.082670 28.476390 1.000000
20.718690 -4.715466 -17.536246 1.000000
1.075164 28.587889 -29.363553 1.000000
12.472759 16.623307 -23.620109 1.000000
12.190474 11.622487 37.413201 1.000000
11.699253 -8.894699 32.611993 1.000000
34.577429 -6.035595 20.280330 1.000000
9.043284 10.615534 -47.174438 1.000000
16.041423 -2.459345 -13.543004 1.000000
-37.701293 8.785263 -0.966622 1.000000
-15.540515 35.916052 -6.843566 1.000000
-9.342169 3.566765 18.438611 1.000000
-21.179691 18.692125 38.306716 1.000000
0.399019 21.198366 -26.036275 1.000000
15.810701 -12.195167 -34.245239 1.000000
-12.126962 -0.981401 15.964810 1.000000
-18.117936 15.524088 -3.591340 1.000000
-4.840016 33.200374 -7.286234 1.000000
-36.489589 8.318693 -0.788898 1.000000
18.298529 23.525891 34.037697 1.000000
-33.314544 9.833898 2.994846 1.000000
31.291375 -5.522989 -17.889700 1.000000
-29.169704 -14.957620 24.492613 1.000000
-20.347170 6.358837 10.070687 1.000000
-33.239240 -4.350106 22.723372 1.000000
8.466622 34.200491 16.685700 1.000000
11.994101 -13.551885 15.216069 1.000000
12.946272 18.695046 26.396159 1.000000
18.555313 8.634572 -47.554762 1.000000
12.519689 18.136907 -6.377968 1.000000
-12.019362 -23.111056 -30.496257 1.000000
11.782996 16.020591 51.102237 1.000000
0.061440 9.111316 12.503761 1.000000
11.528414 -5.896490 -49.123983 1.000000
20.422360 -1.105207 -35.118552 1.000000
-24.508887 9.174238 18.296086 1.000000
11.930853 16.614063 34.316750 1.000000
4.684150 8.611042 14.065838 1.000000
5.122949 29.136499 -3.100364 1.000000
-24.442771 -26.818118 20.439629 1.000000
22.181355 2.138819 -26.886625 1.000000
9.171588 -33.186147 29.265941 1.000000
18.170392 -4.170428 -18.927124 1.000000
27.463049 -22.446590 -9.684432 1.000000
-20.183304 -7.315259 30.048771 1.000000
-2.665199 22.439117 46.056908 1.000000
7.764003 5.593847 57.555627 1.000000
24.117598 -6.323776 17.309741 1.000000
26.939280 25.230483 -6.578193 1.000000
-20.176733 -16.996180 13.030699 1.000000
17.752688 -10.359689 44.191904 1.000000
-32.000321 2.074954 30.362378 1.000000
-9.644015 1.357383 -28.226684 1.000000
-27.331779 13.962075 -2.020640 1.000000
8.688414 22.970666 -16.397606 1.000000
-2.246096 -5.246652 23.487147 1.000000
6.836244 -18.408171 18.557695 1.000000
23.432862 -23.838693 11.693394 1.000000
26.382928 -17.236418 33.753950 1.000000
-10.626665 -8.350575 -41.463701 1.000000
-2.163448 17.172737 22.100435 1.000000
-18.378477 24.022104 -3.319015 1.000000
-11.195713 22.285821 8.361231 1.000000
36.699115 2.474914 23.347593 1.000000
-27.353823 -21.720035 0.664535 1.000000
34.129305 12.360754 -12.224629 1.000000
10.739722 -4.155449 -28.599020 1.000000
-17.398074 -0.782801 -0.284631 1.000000
3.628616 -20.533438 7.367487 1.000000
-8.440264 -16.730305 -49.476085 1.000000
