# Theoretical SAS data
# q            I           
  1.00000e-03  9.99543e-01 
  2.25063e-03  9.97689e-01 
  3.50125e-03  9.94416e-01 
  4.75188e-03  9.89737e-01 
  6.00251e-03  9.83669e-01 
  7.25313e-03  9.76238e-01 
  8.50376e-03  9.67470e-01 
  9.75439e-03  9.57402e-01 
  1.10050e-02  9.46070e-01 
  1.22556e-02  9.33519e-01 
  1.35063e-02  9.19795e-01 
  1.47569e-02  9.04952e-01 
  1.60075e-02  8.89044e-01 
  1.72581e-02  8.72131e-01 
  1.85088e-02  8.54274e-01 
  1.97594e-02  8.35538e-01 
  2.10100e-02  8.15991e-01 
  2.22607e-02  7.95702e-01 
  2.35113e-02  7.74742e-01 
  2.47619e-02  7.53183e-01 
  2.60125e-02  7.31098e-01 
  2.72632e-02  7.08561e-01 
  2.85138e-02  6.85646e-01 
  2.97644e-02  6.62425e-01 
  3.10150e-02  6.38972e-01 
  3.22657e-02  6.15359e-01 
  3.35163e-02  5.91656e-01 
  3.47669e-02  5.67932e-01 
  3.60175e-02  5.44253e-01 
  3.72682e-02  5.20685e-01 
  3.85188e-02  4.97290e-01 
  3.97694e-02  4.74127e-01 
  4.10201e-02  4.51252e-01 
  4.22707e-02  4.28719e-01 
  4.35213e-02  4.06579e-01 
  4.47719e-02  3.84877e-01 
  4.60226e-02  3.63656e-01 
  4.72732e-02  3.42956e-01 
  4.85238e-02  3.22812e-01 
  4.97744e-02  3.03257e-01 
  5.10251e-02  2.84317e-01 
  5.22757e-02  2.66018e-01 
  5.35263e-02  2.48380e-01 
  5.47769e-02  2.31418e-01 
  5.60276e-02  2.15148e-01 
  5.72782e-02  1.99577e-01 
  5.85288e-02  1.84712e-01 
  5.97794e-02  1.70557e-01 
  6.10301e-02  1.57110e-01 
  6.22807e-02  1.44369e-01 
  6.35313e-02  1.32327e-01 
  6.47820e-02  1.20976e-01 
  6.60326e-02  1.10305e-01 
  6.72832e-02  1.00299e-01 
  6.85338e-02  9.09447e-02 
  6.97845e-02  8.22234e-02 
  7.10351e-02  7.41164e-02 
  7.22857e-02  6.66034e-02 
  7.35363e-02  5.96627e-02 
  7.47870e-02  5.32716e-02 
  7.60376e-02  4.74065e-02 
  7.72882e-02  4.20431e-02 
  7.85388e-02  3.71567e-02 
  7.97895e-02  3.27223e-02 
  8.10401e-02  2.87147e-02 
  8.22907e-02  2.51086e-02 
  8.35414e-02  2.18791e-02 
  8.47920e-02  1.90013e-02 
  8.60426e-02  1.64509e-02 
  8.72932e-02  1.42040e-02 
  8.85439e-02  1.22374e-02 
  8.97945e-02  1.05286e-02 
  9.10451e-02  9.05572e-03 
  9.22957e-02  7.79790e-03 
  9.35464e-02  6.73511e-03 
  9.47970e-02  5.84827e-03 
  9.60476e-02  5.11928e-03 
  9.72982e-02  4.53104e-03 
  9.85489e-02  4.06746e-03 
  9.97995e-02  3.71348e-03 
  1.01050e-01  3.45505e-03 
  1.02301e-01  3.27915e-03 
  1.03551e-01  3.17375e-03 
  1.04802e-01  3.12778e-03 
  1.06053e-01  3.13114e-03 
  1.07303e-01  3.17464e-03 
  1.08554e-01  3.24996e-03 
  1.09805e-01  3.34965e-03 
  1.11055e-01  3.46703e-03 
  1.12306e-01  3.59622e-03 
  1.13556e-01  3.73201e-03 
  1.14807e-01  3.86989e-03 
  1.16058e-01  4.00597e-03 
  1.17308e-01  4.13694e-03 
  1.18559e-01  4.26001e-03 
  1.19810e-01  4.37289e-03 
  1.21060e-01  4.47375e-03 
  1.22311e-01  4.56112e-03 
  1.23561e-01  4.63395e-03 
  1.24812e-01  4.69148e-03 
  1.26063e-01  4.73325e-03 
  1.27313e-01  4.75906e-03 
