# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  3.95171e-01  1.33796e-02 
  2.25063e-03  3.97399e-01  8.91027e-03 
  3.50125e-03  4.00988e-01  7.13212e-03 
  4.75188e-03  3.98892e-01  6.10767e-03 
  6.00251e-03  3.97244e-01  5.41764e-03 
  7.25313e-03  3.91216e-01  4.90988e-03 
  8.50376e-03  3.88150e-01  4.51413e-03 
  9.75439e-03  3.93236e-01  4.19288e-03 
  1.10050e-02  3.80332e-01  3.92408e-03 
  1.22556e-02  3.73182e-01  3.69379e-03 
  1.35063e-02  3.65875e-01  3.49273e-03 
  1.47569e-02  3.63726e-01  3.31445e-03 
  1.60075e-02  3.56836e-01  3.15432e-03 
  1.72581e-02  3.51207e-01  3.00892e-03 
  1.85088e-02  3.42902e-01  2.87566e-03 
  1.97594e-02  3.39664e-01  2.75257e-03 
  2.10100e-02  3.23187e-01  2.63806e-03 
  2.22607e-02  3.19083e-01  2.53092e-03 
  2.35113e-02  3.09107e-01  2.43013e-03 
  2.47619e-02  3.06137e-01  2.33488e-03 
  2.60125e-02  2.94347e-01  2.24452e-03 
  2.72632e-02  2.86678e-01  2.15849e-03 
  2.85138e-02  2.74216e-01  2.07632e-03 
  2.97644e-02  2.70223e-01  1.99764e-03 
  3.10150e-02  2.58900e-01  1.92212e-03 
  3.22657e-02  2.49024e-01  1.84948e-03 
  3.35163e-02  2.36394e-01  1.77948e-03 
  3.47669e-02  2.26658e-01  1.71193e-03 
  3.60175e-02  2.18459e-01  1.64666e-03 
  3.72682e-02  2.09909e-01  1.58351e-03 
  3.85188e-02  2.01337e-01  1.52235e-03 
  3.97694e-02  1.88497e-01  1.46308e-03 
  4.10201e-02  1.79799e-01  1.40559e-03 
  4.22707e-02  1.71118e-01  1.34981e-03 
  4.35213e-02  1.63351e-01  1.29566e-03 
  4.47719e-02  1.55863e-01  1.24307e-03 
  4.60226e-02  1.47299e-01  1.19199e-03 
  4.72732e-02  1.38955e-01  1.14237e-03 
  4.85238e-02  1.27640e-01  1.09417e-03 
  4.97744e-02  1.20861e-01  1.04734e-03 
  5.10251e-02  1.14768e-01  1.00185e-03 
  5.22757e-02  1.07572e-01  9.57679e-04 
  5.35263e-02  9.96164e-02  9.14788e-04 
  5.47769e-02  9.30342e-02  8.73157e-04 
  5.60276e-02  8.62307e-02  8.32762e-04 
  5.72782e-02  8.03464e-02  7.93585e-04 
  5.85288e-02  7.36536e-02  7.55605e-04 
  5.97794e-02  6.93881e-02  7.18806e-04 
  6.10301e-02  6.34716e-02  6.83173e-04 
  6.22807e-02  5.78283e-02  6.48690e-04 
  6.35313e-02  5.26232e-02  6.15343e-04 
  6.47820e-02  4.83924e-02  5.83119e-04 
  6.60326e-02  4.47025e-02  5.52006e-04 
  6.72832e-02  4.10773e-02  5.21992e-04 
  6.85338e-02  3.68445e-02  4.93065e-04 
  6.97845e-02  3.33248e-02  4.65215e-04 
  7.10351e-02  2.94304e-02  4.38431e-04 
  7.22857e-02  2.62309e-02  4.12704e-04 
  7.35363e-02  2.32809e-02  3.88024e-04 
  7.47870e-02  2.14370e-02  3.64383e-04 
  7.60376e-02  1.83586e-02  3.41772e-04 
  7.72882e-02  1.64828e-02  3.20185e-04 
  7.85388e-02  1.50684e-02  2.99614e-04 
  7.97895e-02  1.28110e-02  2.80055e-04 
  8.10401e-02  1.15215e-02  2.61504e-04 
  8.22907e-02  1.01055e-02  2.43956e-04 
  8.35414e-02  9.01627e-03  2.27412e-04 
  8.47920e-02  7.54268e-03  2.11870e-04 
  8.60426e-02  6.83897e-03  1.97332e-04 
  8.72932e-02  5.40416e-03  1.83801e-04 
  8.85439e-02  4.73931e-03  1.71281e-04 
  8.97945e-02  3.93957e-03  1.59775e-04 
  9.10451e-02  3.82535e-03  1.49287e-04 
  9.22957e-02  3.46801e-03  1.39820e-04 
  9.35464e-02  2.96983e-03  1.31370e-04 
  9.47970e-02  2.40872e-03  1.23930e-04 
  9.60476e-02  1.98134e-03  1.17484e-04 
  9.72982e-02  1.66598e-03  1.12004e-04 
  9.85489e-02  1.65839e-03  1.07448e-04 
  9.97995e-02  1.38041e-03  1.03763e-04 
  1.01050e-01  1.46121e-03  1.00878e-04 
  1.02301e-01  1.35084e-03  9.87157e-05 
  1.03551e-01  1.31507e-03  9.71865e-05 
  1.04802e-01  1.15924e-03  9.61984e-05 
  1.06053e-01  1.25176e-03  9.56591e-05 
  1.07303e-01  1.11404e-03  9.54801e-05 
  1.08554e-01  1.25781e-03  9.55793e-05 
  1.09805e-01  1.38077e-03  9.58832e-05 
  1.11055e-01  1.26888e-03  9.63271e-05 
  1.12306e-01  1.32550e-03  9.68562e-05 
  1.13556e-01  1.41766e-03  9.74242e-05 
  1.14807e-01  1.54151e-03  9.79933e-05 
  1.16058e-01  1.75753e-03  9.85329e-05 
  1.17308e-01  1.76057e-03  9.90188e-05 
  1.18559e-01  1.85039e-03  9.94323e-05 
  1.19810e-01  1.83512e-03  9.97594e-05 
  1.21060e-01  1.90438e-03  9.99899e-05 
  1.22311e-01  1.76734e-03  1.00117e-04 
  1.23561e-01  1.91301e-03  1.00136e-04 
  1.24812e-01  2.08330e-03  1.00046e-04 
  1.26063e-01  1.72454e-03  9.98452e-05 
  1.27313e-01  1.99575e-03  9.95357e-05 
  1.28564e-01  1.93539e-03  9.91196e-05 
  1.29815e-01  1.82294e-03  9.86001e-05 
  1.31065e-01  1.91478e-03  9.79811e-05 
  1.32316e-01  1.93480e-03  9.72672e-05 
  1.33566e-01  1.80509e-03  9.64634e-05 
  1.34817e-01  1.82463e-03  9.55749e-05 
  1.36068e-01  1.80852e-03  9.46072e-05 
  1.37318e-01  1.79622e-03  9.35660e-05 
  1.38569e-01  1.69754e-03  9.24571e-05 
  1.39820e-01  1.89069e-03  9.12863e-05 
  1.41070e-01  1.51885e-03  9.00595e-05 
  1.42321e-01  1.65460e-03  8.87826e-05 
  1.43571e-01  1.72904e-03  8.74614e-05 
  1.44822e-01  1.59107e-03  8.61019e-05 
  1.46073e-01  1.34318e-03  8.47096e-05 
  1.47323e-01  1.25239e-03  8.32905e-05 
  1.48574e-01  1.43671e-03  8.18501e-05 
  1.49825e-01  1.37103e-03  8.03942e-05 
  1.51075e-01  1.20140e-03  7.89281e-05 
  1.52326e-01  1.23856e-03  7.74574e-05 
  1.53576e-01  1.21899e-03  7.59874e-05 
  1.54827e-01  1.02869e-03  7.45236e-05 
  1.56078e-01  9.19933e-04  7.30710e-05 
  1.57328e-01  8.49620e-04  7.16350e-05 
  1.58579e-01  7.64173e-04  7.02203e-05 
  1.59830e-01  8.70782e-04  6.88320e-05 
  1.61080e-01  8.32419e-04  6.74748e-05 
  1.62331e-01  5.33462e-04  6.61532e-05 
  1.63581e-01  6.91081e-04  6.48716e-05 
  1.64832e-01  6.10973e-04  6.36341e-05 
  1.66083e-01  5.22857e-04  6.24445e-05 
  1.67333e-01  5.10243e-04  6.13064e-05 
  1.68584e-01  5.33016e-04  6.02229e-05 
  1.69835e-01  4.40894e-04  5.91968e-05 
  1.71085e-01  4.62284e-04  5.82306e-05 
  1.72336e-01  3.46470e-04  5.73260e-05 
  1.73586e-01  2.98422e-04  5.64845e-05 
  1.74837e-01  3.06658e-04  5.57068e-05 
  1.76088e-01  3.98452e-04  5.49934e-05 
  1.77338e-01  2.39811e-04  5.43439e-05 
  1.78589e-01  2.35860e-04  5.37575e-05 
  1.79840e-01  1.90397e-04  5.32327e-05 
  1.81090e-01  1.47525e-04  5.27678e-05 
  1.82341e-01  2.25059e-04  5.23602e-05 
  1.83591e-01  1.30425e-04  5.20071e-05 
  1.84842e-01  1.94456e-04  5.17052e-05 
  1.86093e-01  2.13205e-04  5.14508e-05 
  1.87343e-01  1.35857e-04  5.12402e-05 
  1.88594e-01  1.94629e-04  5.10690e-05 
  1.89845e-01  1.96305e-04  5.09332e-05 
  1.91095e-01  2.19854e-04  5.08283e-05 
  1.92346e-01  1.47908e-04  5.07500e-05 
  1.93596e-01  1.36879e-04  5.06939e-05 
  1.94847e-01  1.82401e-04  5.06558e-05 
  1.96098e-01  1.72701e-04  5.06316e-05 
  1.97348e-01  1.56658e-04  5.06173e-05 
  1.98599e-01  1.72416e-04  5.06093e-05 
  1.99850e-01  2.11908e-04  5.06041e-05 
  2.01100e-01  3.04590e-04  5.05985e-05 
  2.02351e-01  3.08332e-04  5.05894e-05 
  2.03602e-01  3.17334e-04  5.05743e-05 
  2.04852e-01  2.88043e-04  5.05508e-05 
  2.06103e-01  3.12916e-04  5.05167e-05 
  2.07353e-01  2.24116e-04  5.04704e-05 
  2.08604e-01  3.01408e-04  5.04103e-05 
  2.09855e-01  2.92648e-04  5.03352e-05 
  2.11105e-01  2.75707e-04  5.02442e-05 
  2.12356e-01  3.67171e-04  5.01365e-05 
  2.13607e-01  1.89721e-04  5.00118e-05 
  2.14857e-01  2.54436e-04  4.98698e-05 
  2.16108e-01  2.97349e-04  4.97106e-05 
  2.17358e-01  2.89623e-04  4.95343e-05 
  2.18609e-01  3.52982e-04  4.93415e-05 
  2.19860e-01  3.50154e-04  4.91326e-05 
  2.21110e-01  2.68341e-04  4.89086e-05 
  2.22361e-01  2.46148e-04  4.86702e-05 
  2.23612e-01  3.01653e-04  4.84185e-05 
  2.24862e-01  2.27067e-04  4.81546e-05 
  2.26113e-01  2.04709e-04  4.78799e-05 
  2.27363e-01  3.01870e-04  4.75955e-05 
  2.28614e-01  2.92964e-04  4.73030e-05 
  2.29865e-01  2.37960e-04  4.70037e-05 
  2.31115e-01  1.75151e-04  4.66990e-05 
  2.32366e-01  1.65416e-04  4.63905e-05 
  2.33617e-01  1.82499e-04  4.60796e-05 
  2.34867e-01  1.75449e-04  4.57678e-05 
  2.36118e-01  1.44237e-04  4.54565e-05 
  2.37368e-01  2.16496e-04  4.51471e-05 
  2.38619e-01  1.53653e-04  4.48409e-05 
  2.39870e-01  1.44907e-04  4.45393e-05 
  2.41120e-01  7.68392e-05  4.42433e-05 
  2.42371e-01  1.29075e-04  4.39540e-05 
  2.43622e-01  9.52630e-05  4.36726e-05 
  2.44872e-01  9.16489e-05  4.33998e-05 
  2.46123e-01  2.67422e-06  4.31365e-05 
  2.47373e-01  8.01945e-05  4.28833e-05 
  2.48624e-01  6.16616e-05  4.26408e-05 
  2.49875e-01  6.90522e-05  4.24095e-05 
  2.51125e-01  1.00543e-04  4.21897e-05 
  2.52376e-01  4.10480e-05  4.19815e-05 
  2.53627e-01  2.51290e-05  4.17852e-05 
  2.54877e-01  1.21887e-04  4.16007e-05 
  2.56128e-01  1.60021e-04  4.14278e-05 
  2.57378e-01  5.31696e-05  4.12664e-05 
  2.58629e-01  8.94507e-05  4.11162e-05 
  2.59880e-01  4.16833e-05  4.09767e-05 
  2.61130e-01  1.72536e-05  4.08476e-05 
  2.62381e-01  1.02223e-06  4.07284e-05 
  2.63632e-01  3.52269e-05  4.06183e-05 
  2.64882e-01  1.07754e-04  4.05169e-05 
  2.66133e-01  6.84559e-05  4.04235e-05 
  2.67383e-01  7.45726e-05  4.03373e-05 
  2.68634e-01  7.65541e-05  4.02578e-05 
  2.69885e-01  7.86546e-05  4.01840e-05 
  2.71135e-01  2.83316e-05  4.01154e-05 
  2.72386e-01  1.04295e-04  4.00513e-05 
  2.73637e-01  5.42086e-05  3.99908e-05 
  2.74887e-01  2.05807e-05  3.99334e-05 
  2.76138e-01  1.03178e-04  3.98783e-05 
  2.77388e-01  1.02360e-04  3.98249e-05 
  2.78639e-01  5.13143e-05  3.97725e-05 
  2.79890e-01  3.91032e-05  3.97206e-05 
  2.81140e-01  1.39270e-04  3.96687e-05 
  2.82391e-01  8.91423e-05  3.96162e-05 
  2.83642e-01  6.07211e-05  3.95626e-05 
  2.84892e-01  5.69381e-05  3.95075e-05 
  2.86143e-01  6.04776e-05  3.94506e-05 
  2.87393e-01  3.84247e-05  3.93914e-05 
  2.88644e-01  3.75199e-05  3.93297e-05 
  2.89895e-01  7.43503e-05  3.92652e-05 
  2.91145e-01  1.15198e-04  3.91977e-05 
  2.92396e-01  7.24825e-05  3.91270e-05 
  2.93647e-01  1.14869e-04  3.90529e-05 
  2.94897e-01  8.38182e-05  3.89755e-05 
  2.96148e-01  5.80525e-05  3.88945e-05 
  2.97398e-01  5.44776e-05  3.88101e-05 
  2.98649e-01  7.03209e-05  3.87223e-05 
  2.99900e-01  6.13450e-05  3.86310e-05 
  3.01150e-01  7.59892e-05  3.85364e-05 
  3.02401e-01  1.07269e-04  3.84386e-05 
  3.03652e-01  4.29825e-05  3.83378e-05 
  3.04902e-01  5.56500e-05  3.82342e-05 
  3.06153e-01  5.28744e-05  3.81279e-05 
  3.07404e-01  1.23154e-04  3.80192e-05 
  3.08654e-01  1.23542e-04  3.79084e-05 
  3.09905e-01  3.74577e-05  3.77957e-05 
  3.11155e-01  1.28247e-04  3.76815e-05 
  3.12406e-01  5.89539e-05  3.75660e-05 
  3.13657e-01  5.00940e-05  3.74496e-05 
  3.14907e-01  7.82487e-05  3.73325e-05 
  3.16158e-01  -1.94038e-05 3.72152e-05 
  3.17409e-01  2.11956e-05  3.70979e-05 
  3.18659e-01  7.05015e-05  3.69810e-05 
  3.19910e-01  1.12018e-05  3.68648e-05 
  3.21160e-01  7.71681e-05  3.67497e-05 
  3.22411e-01  8.90129e-05  3.66359e-05 
  3.23662e-01  3.63436e-05  3.65238e-05 
  3.24912e-01  8.09305e-05  3.64136e-05 
  3.26163e-01  7.86903e-05  3.63056e-05 
  3.27414e-01  9.43120e-05  3.62001e-05 
  3.28664e-01  3.35484e-05  3.60972e-05 
  3.29915e-01  6.41442e-05  3.59972e-05 
  3.31165e-01  7.93613e-06  3.59001e-05 
  3.32416e-01  1.78263e-05  3.58063e-05 
  3.33667e-01  2.90804e-05  3.57157e-05 
  3.34917e-01  -6.58430e-06 3.56285e-05 
  3.36168e-01  1.63831e-05  3.55447e-05 
  3.37419e-01  5.64619e-06  3.54643e-05 
  3.38669e-01  4.62254e-05  3.53873e-05 
  3.39920e-01  6.31205e-05  3.53136e-05 
  3.41170e-01  2.01980e-05  3.52432e-05 
  3.42421e-01  -2.37978e-06 3.51760e-05 
  3.43672e-01  -3.89845e-06 3.51119e-05 
  3.44922e-01  1.53972e-05  3.50506e-05 
  3.46173e-01  7.48994e-05  3.49921e-05 
  3.47424e-01  4.88123e-05  3.49361e-05 
  3.48674e-01  -1.88477e-05 3.48825e-05 
  3.49925e-01  5.34142e-05  3.48309e-05 
  3.51175e-01  3.83955e-05  3.47812e-05 
  3.52426e-01  3.12322e-05  3.47331e-05 
  3.53677e-01  2.55443e-06  3.46864e-05 
  3.54927e-01  7.87175e-05  3.46409e-05 
  3.56178e-01  1.84933e-06  3.45962e-05 
  3.57429e-01  9.97487e-05  3.45522e-05 
  3.58679e-01  -9.84023e-06 3.45085e-05 
  3.59930e-01  5.19229e-05  3.44651e-05 
  3.61180e-01  -2.18305e-05 3.44216e-05 
  3.62431e-01  -2.26464e-06 3.43779e-05 
  3.63682e-01  6.12534e-05  3.43337e-05 
  3.64932e-01  5.18018e-05  3.42890e-05 
  3.66183e-01  1.00513e-04  3.42436e-05 
  3.67434e-01  2.95892e-05  3.41972e-05 
  3.68684e-01  1.04738e-04  3.41499e-05 
  3.69935e-01  9.56712e-05  3.41016e-05 
  3.71185e-01  5.40135e-05  3.40521e-05 
  3.72436e-01  3.35062e-05  3.40014e-05 
  3.73687e-01  2.91215e-05  3.39496e-05 
  3.74937e-01  5.93243e-05  3.38965e-05 
  3.76188e-01  3.27664e-05  3.38423e-05 
  3.77439e-01  2.90073e-05  3.37870e-05 
  3.78689e-01  6.45782e-05  3.37305e-05 
  3.79940e-01  8.89958e-05  3.36731e-05 
  3.81190e-01  1.53245e-05  3.36147e-05 
  3.82441e-01  5.50803e-05  3.35554e-05 
  3.83692e-01  8.30834e-05  3.34955e-05 
  3.84942e-01  5.50716e-05  3.34349e-05 
  3.86193e-01  2.73167e-05  3.33738e-05 
  3.87444e-01  5.57295e-05  3.33123e-05 
  3.88694e-01  1.20347e-04  3.32506e-05 
  3.89945e-01  2.51172e-05  3.31887e-05 
  3.91195e-01  -2.42354e-05 3.31269e-05 
  3.92446e-01  6.09827e-05  3.30652e-05 
  3.93697e-01  4.40325e-05  3.30038e-05 
  3.94947e-01  5.06737e-05  3.29427e-05 
  3.96198e-01  5.74122e-05  3.28820e-05 
  3.97449e-01  2.64846e-05  3.28220e-05 
  3.98699e-01  2.75794e-05  3.27626e-05 
  3.99950e-01  6.76856e-05  3.27039e-05 
  4.01201e-01  6.28145e-05  3.26460e-05 
  4.02451e-01  3.27870e-05  3.25889e-05 
  4.03702e-01  1.97273e-05  3.25327e-05 
  4.04952e-01  1.35538e-05  3.24774e-05 
  4.06203e-01  4.16330e-05  3.24230e-05 
  4.07454e-01  3.45687e-05  3.23695e-05 
  4.08704e-01  1.11289e-04  3.23169e-05 
  4.09955e-01  3.08970e-05  3.22652e-05 
  4.11206e-01  8.31315e-05  3.22143e-05 
  4.12456e-01  -1.23794e-05 3.21642e-05 
  4.13707e-01  6.24919e-05  3.21148e-05 
  4.14957e-01  3.68225e-05  3.20661e-05 
  4.16208e-01  -6.52166e-07 3.20181e-05 
  4.17459e-01  -9.49525e-06 3.19706e-05 
  4.18709e-01  2.55524e-05  3.19235e-05 
  4.19960e-01  1.00965e-04  3.18769e-05 
  4.21211e-01  5.65000e-05  3.18305e-05 
  4.22461e-01  -9.60658e-07 3.17844e-05 
  4.23712e-01  -3.33188e-05 3.17385e-05 
  4.24962e-01  4.22707e-05  3.16926e-05 
  4.26213e-01  6.57273e-05  3.16468e-05 
  4.27464e-01  9.50252e-05  3.16008e-05 
  4.28714e-01  1.53828e-05  3.15548e-05 
  4.29965e-01  2.35793e-05  3.15085e-05 
  4.31216e-01  4.05048e-05  3.14620e-05 
  4.32466e-01  3.09345e-05  3.14152e-05 
  4.33717e-01  2.10140e-05  3.13681e-05 
  4.34967e-01  7.63693e-05  3.13206e-05 
  4.36218e-01  1.83707e-05  3.12727e-05 
  4.37469e-01  1.12533e-05  3.12243e-05 
  4.38719e-01  1.81428e-05  3.11755e-05 
  4.39970e-01  6.47737e-06  3.11263e-05 
  4.41221e-01  1.15082e-04  3.10766e-05 
  4.42471e-01  5.90217e-05  3.10265e-05 
  4.43722e-01  1.10706e-05  3.09759e-05 
  4.44972e-01  7.80323e-05  3.09250e-05 
  4.46223e-01  -1.39163e-05 3.08736e-05 
  4.47474e-01  1.95437e-05  3.08218e-05 
  4.48724e-01  6.39599e-05  3.07697e-05 
  4.49975e-01  1.05072e-04  3.07173e-05 
  4.51226e-01  -4.20673e-06 3.06646e-05 
  4.52476e-01  8.78781e-05  3.06117e-05 
  4.53727e-01  4.07666e-05  3.05585e-05 
  4.54977e-01  1.54671e-05  3.05052e-05 
  4.56228e-01  3.57534e-05  3.04518e-05 
  4.57479e-01  -2.16496e-06 3.03983e-05 
  4.58729e-01  -2.35274e-05 3.03447e-05 
  4.59980e-01  -2.32657e-05 3.02911e-05 
  4.61231e-01  -4.08318e-05 3.02376e-05 
  4.62481e-01  1.06050e-05  3.01841e-05 
  4.63732e-01  4.50619e-06  3.01308e-05 
  4.64982e-01  1.10165e-05  3.00776e-05 
  4.66233e-01  3.13449e-05  3.00245e-05 
  4.67484e-01  6.62622e-05  2.99717e-05 
  4.68734e-01  -5.67920e-05 2.99192e-05 
  4.69985e-01  2.79093e-05  2.98669e-05 
  4.71236e-01  3.56071e-05  2.98149e-05 
  4.72486e-01  1.74410e-05  2.97633e-05 
  4.73737e-01  -2.06548e-05 2.97120e-05 
  4.74987e-01  5.91731e-05  2.96611e-05 
  4.76238e-01  4.41476e-05  2.96106e-05 
  4.77489e-01  1.29087e-05  2.95605e-05 
  4.78739e-01  -5.06844e-05 2.95109e-05 
  4.79990e-01  6.69297e-06  2.94618e-05 
  4.81241e-01  1.47674e-05  2.94131e-05 
  4.82491e-01  2.99055e-05  2.93650e-05 
  4.83742e-01  -1.83559e-05 2.93174e-05 
  4.84992e-01  4.33283e-06  2.92703e-05 
  4.86243e-01  4.16118e-06  2.92238e-05 
  4.87494e-01  3.25204e-05  2.91778e-05 
  4.88744e-01  -2.01161e-05 2.91325e-05 
  4.89995e-01  -4.39888e-05 2.90878e-05 
  4.91246e-01  -2.32178e-05 2.90436e-05 
  4.92496e-01  -2.45758e-05 2.90001e-05 
  4.93747e-01  3.52966e-05  2.89573e-05 
  4.94997e-01  2.84364e-05  2.89151e-05 
  4.96248e-01  1.57196e-05  2.88735e-05 
  4.97499e-01  6.92486e-06  2.88326e-05 
  4.98749e-01  -5.13314e-05 2.87924e-05 
  5.00000e-01  9.88454e-06  2.87529e-05 
