# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  5.41790e+00  4.90564e-02 
  2.25063e-03  5.38569e+00  3.25924e-02 
  3.50125e-03  5.34196e+00  2.59825e-02 
  4.75188e-03  5.21787e+00  2.21267e-02 
  6.00251e-03  5.12849e+00  1.94932e-02 
  7.25313e-03  5.02542e+00  1.75295e-02 
  8.50376e-03  4.91589e+00  1.59824e-02 
  9.75439e-03  4.75448e+00  1.47181e-02 
  1.10050e-02  4.59698e+00  1.36587e-02 
  1.22556e-02  4.46573e+00  1.27547e-02 
  1.35063e-02  4.34715e+00  1.19729e-02 
  1.47569e-02  4.22631e+00  1.12894e-02 
  1.60075e-02  4.11967e+00  1.06862e-02 
  1.72581e-02  4.00923e+00  1.01488e-02 
  1.85088e-02  3.88227e+00  9.66566e-03 
  1.97594e-02  3.78594e+00  9.22698e-03 
  2.10100e-02  3.66902e+00  8.82464e-03 
  2.22607e-02  3.57293e+00  8.45190e-03 
  2.35113e-02  3.45937e+00  8.10333e-03 
  2.47619e-02  3.35026e+00  7.77455e-03 
  2.60125e-02  3.25849e+00  7.46221e-03 
  2.72632e-02  3.14174e+00  7.16375e-03 
  2.85138e-02  3.01825e+00  6.87739e-03 
  2.97644e-02  2.90230e+00  6.60181e-03 
  3.10150e-02  2.79673e+00  6.33611e-03 
  3.22657e-02  2.68686e+00  6.07966e-03 
  3.35163e-02  2.55559e+00  5.83199e-03 
  3.47669e-02  2.44042e+00  5.59265e-03 
  3.60175e-02  2.32529e+00  5.36127e-03 
  3.72682e-02  2.21608e+00  5.13741e-03 
  3.85188e-02  2.08640e+00  4.92066e-03 
  3.97694e-02  1.97327e+00  4.71054e-03 
  4.10201e-02  1.87669e+00  4.50664e-03 
  4.22707e-02  1.76140e+00  4.30856e-03 
  4.35213e-02  1.65788e+00  4.11596e-03 
  4.47719e-02  1.55163e+00  3.92854e-03 
  4.60226e-02  1.45818e+00  3.74611e-03 
  4.72732e-02  1.34682e+00  3.56853e-03 
  4.85238e-02  1.25244e+00  3.39569e-03 
  4.97744e-02  1.16526e+00  3.22755e-03 
  5.10251e-02  1.06894e+00  3.06408e-03 
  5.22757e-02  9.83655e-01  2.90523e-03 
  5.35263e-02  9.07851e-01  2.75099e-03 
  5.47769e-02  8.29368e-01  2.60127e-03 
  5.60276e-02  7.53527e-01  2.45602e-03 
  5.72782e-02  6.83045e-01  2.31514e-03 
  5.85288e-02  6.20743e-01  2.17855e-03 
  5.97794e-02  5.57996e-01  2.04614e-03 
  6.10301e-02  4.98989e-01  1.91784e-03 
  6.22807e-02  4.45458e-01  1.79361e-03 
  6.35313e-02  3.95131e-01  1.67339e-03 
  6.47820e-02  3.48479e-01  1.55717e-03 
  6.60326e-02  3.04322e-01  1.44494e-03 
  6.72832e-02  2.66136e-01  1.33672e-03 
  6.85338e-02  2.29873e-01  1.23252e-03 
  6.97845e-02  1.95399e-01  1.13234e-03 
  7.10351e-02  1.66788e-01  1.03619e-03 
  7.22857e-02  1.38373e-01  9.44046e-04 
  7.35363e-02  1.17431e-01  8.55904e-04 
  7.47870e-02  9.50736e-02  7.71738e-04 
  7.60376e-02  7.76435e-02  6.91530e-04 
  7.72882e-02  6.13414e-02  6.15285e-04 
  7.85388e-02  4.68683e-02  5.43035e-04 
  7.97895e-02  3.61970e-02  4.74870e-04 
  8.10401e-02  2.70648e-02  4.10961e-04 
  8.22907e-02  1.85716e-02  3.51609e-04 
  8.35414e-02  1.19108e-02  2.97315e-04 
  8.47920e-02  7.53823e-03  2.48906e-04 
  8.60426e-02  3.90436e-03  2.07714e-04 
  8.72932e-02  1.60702e-03  1.75749e-04 
  8.85439e-02  3.40748e-04  1.55490e-04 
  8.97945e-02  -1.72881e-04 1.48613e-04 
  9.10451e-02  4.93539e-04  1.54162e-04 
  9.22957e-02  1.49511e-03  1.68678e-04 
  9.35464e-02  2.63277e-03  1.88310e-04 
  9.47970e-02  4.89653e-03  2.10209e-04 
  9.60476e-02  7.10529e-03  2.32608e-04 
  9.72982e-02  1.01560e-02  2.54476e-04 
  9.85489e-02  1.26222e-02  2.75223e-04 
  9.97995e-02  1.46388e-02  2.94512e-04 
  1.01050e-01  1.76624e-02  3.12147e-04 
  1.02301e-01  2.05306e-02  3.28019e-04 
  1.03551e-01  2.31206e-02  3.42077e-04 
  1.04802e-01  2.49970e-02  3.54296e-04 
  1.06053e-01  2.81319e-02  3.64683e-04 
  1.07303e-01  2.93272e-02  3.73266e-04 
  1.08554e-01  3.06507e-02  3.80080e-04 
  1.09805e-01  3.14771e-02  3.85183e-04 
  1.11055e-01  3.32116e-02  3.88641e-04 
  1.12306e-01  3.39910e-02  3.90526e-04 
  1.13556e-01  3.40953e-02  3.90921e-04 
  1.14807e-01  3.51523e-02  3.89905e-04 
  1.16058e-01  3.43126e-02  3.87564e-04 
  1.17308e-01  3.42189e-02  3.83981e-04 
