# Theoretical SAS data
# q            I           
  1.00000e-03  9.99475e-01 
  2.25063e-03  9.97343e-01 
  3.50125e-03  9.93580e-01 
  4.75188e-03  9.88203e-01 
  6.00251e-03  9.81236e-01 
  7.25313e-03  9.72710e-01 
  8.50376e-03  9.62662e-01 
  9.75439e-03  9.51136e-01 
  1.10050e-02  9.38182e-01 
  1.22556e-02  9.23857e-01 
  1.35063e-02  9.08221e-01 
  1.47569e-02  8.91340e-01 
  1.60075e-02  8.73287e-01 
  1.72581e-02  8.54135e-01 
  1.85088e-02  8.33963e-01 
  1.97594e-02  8.12855e-01 
  2.10100e-02  7.90892e-01 
  2.22607e-02  7.68164e-01 
  2.35113e-02  7.44757e-01 
  2.47619e-02  7.20759e-01 
  2.60125e-02  6.96262e-01 
  2.72632e-02  6.71354e-01 
  2.85138e-02  6.46125e-01 
  2.97644e-02  6.20662e-01 
  3.10150e-02  5.95052e-01 
  3.22657e-02  5.69378e-01 
  3.35163e-02  5.43726e-01 
  3.47669e-02  5.18173e-01 
  3.60175e-02  4.92797e-01 
  3.72682e-02  4.67670e-01 
  3.85188e-02  4.42863e-01 
  3.97694e-02  4.18440e-01 
  4.10201e-02  3.94465e-01 
  4.22707e-02  3.70994e-01 
  4.35213e-02  3.48080e-01 
  4.47719e-02  3.25771e-01 
  4.60226e-02  3.04111e-01 
  4.72732e-02  2.83141e-01 
  4.85238e-02  2.62892e-01 
  4.97744e-02  2.43396e-01 
  5.10251e-02  2.24677e-01 
  5.22757e-02  2.06755e-01 
  5.35263e-02  1.89648e-01 
  5.47769e-02  1.73366e-01 
  5.60276e-02  1.57917e-01 
  5.72782e-02  1.43303e-01 
  5.85288e-02  1.29525e-01 
  5.97794e-02  1.16577e-01 
  6.10301e-02  1.04452e-01 
  6.22807e-02  9.31397e-02 
  6.35313e-02  8.26242e-02 
  6.47820e-02  7.28889e-02 
  6.60326e-02  6.39139e-02 
  6.72832e-02  5.56772e-02 
  6.85338e-02  4.81543e-02 
  6.97845e-02  4.13187e-02 
  7.10351e-02  3.51428e-02 
  7.22857e-02  2.95968e-02 
  7.35363e-02  2.46502e-02 
  7.47870e-02  2.02715e-02 
  7.60376e-02  1.64282e-02 
  7.72882e-02  1.30874e-02 
  7.85388e-02  1.02161e-02 
  7.97895e-02  7.78081e-03 
  8.10401e-02  5.74832e-03 
  8.22907e-02  4.08570e-03 
  8.35414e-02  2.76042e-03 
  8.47920e-02  1.74061e-03 
  8.60426e-02  9.95116e-04 
  8.72932e-02  4.93752e-04 
  8.85439e-02  2.07345e-04 
  8.97945e-02  1.07894e-04 
  9.10451e-02  1.68668e-04 
  9.22957e-02  3.64295e-04 
  9.35464e-02  6.70851e-04 
  9.47970e-02  1.06592e-03 
  9.60476e-02  1.52864e-03 
  9.72982e-02  2.03974e-03 
  9.85489e-02  2.58163e-03 
  9.97995e-02  3.13829e-03 
  1.01050e-01  3.69539e-03 
  1.02301e-01  4.24023e-03 
  1.03551e-01  4.76167e-03 
  1.04802e-01  5.25022e-03 
  1.06053e-01  5.69785e-03 
  1.07303e-01  6.09806e-03 
  1.08554e-01  6.44573e-03 
  1.09805e-01  6.73708e-03 
  1.11055e-01  6.96963e-03 
  1.12306e-01  7.14201e-03 
  1.13556e-01  7.25401e-03 
  1.14807e-01  7.30636e-03 
  1.16058e-01  7.30071e-03 
  1.17308e-01  7.23949e-03 
  1.18559e-01  7.12584e-03 
  1.19810e-01  6.96346e-03 
  1.21060e-01  6.75659e-03 
  1.22311e-01  6.50981e-03 
  1.23561e-01  6.22803e-03 
  1.24812e-01  5.91636e-03 
  1.26063e-01  5.58000e-03 
  1.27313e-01  5.22422e-03 
  1.28564e-01  4.85423e-03 
  1.29815e-01  4.47513e-03 
  1.31065e-01  4.09182e-03 
  1.32316e-01  3.70898e-03 
  1.33566e-01  3.33101e-03 
  1.34817e-01  2.96196e-03 
  1.36068e-01  2.60553e-03 
  1.37318e-01  2.26503e-03 
  1.38569e-01  1.94334e-03 
  1.39820e-01  1.64292e-03 
  1.41070e-01  1.36581e-03 
  1.42321e-01  1.11358e-03 
  1.43571e-01  8.87403e-04 
  1.44822e-01  6.88030e-04 
  1.46073e-01  5.15800e-04 
  1.47323e-01  3.70674e-04 
  1.48574e-01  2.52260e-04 
  1.49825e-01  1.59833e-04 
  1.51075e-01  9.23736e-05 
  1.52326e-01  4.85951e-05 
  1.53576e-01  2.69803e-05 
  1.54827e-01  2.58165e-05 
  1.56078e-01  4.32308e-05 
  1.57328e-01  7.72259e-05 
  1.58579e-01  1.25715e-04 
  1.59830e-01  1.86555e-04 
  1.61080e-01  2.57581e-04 
  1.62331e-01  3.36637e-04 
  1.63581e-01  4.21601e-04 
  1.64832e-01  5.10416e-04 
  1.66083e-01  6.01112e-04 
  1.67333e-01  6.91828e-04 
  1.68584e-01  7.80828e-04 
  1.69835e-01  8.66521e-04 
  1.71085e-01  9.47470e-04 
  1.72336e-01  1.02240e-03 
  1.73586e-01  1.09022e-03 
  1.74837e-01  1.15000e-03 
  1.76088e-01  1.20099e-03 
  1.77338e-01  1.24263e-03 
  1.78589e-01  1.27452e-03 
  1.79840e-01  1.29645e-03 
  1.81090e-01  1.30836e-03 
  1.82341e-01  1.31032e-03 
  1.83591e-01  1.30260e-03 
  1.84842e-01  1.28553e-03 
  1.86093e-01  1.25962e-03 
  1.87343e-01  1.22546e-03 
  1.88594e-01  1.18373e-03 
  1.89845e-01  1.13520e-03 
  1.91095e-01  1.08067e-03 
  1.92346e-01  1.02104e-03 
  1.93596e-01  9.57198e-04 
  1.94847e-01  8.90073e-04 
  1.96098e-01  8.20593e-04 
  1.97348e-01  7.49677e-04 
  1.98599e-01  6.78229e-04 
  1.99850e-01  6.07115e-04 
  2.01100e-01  5.37163e-04 
  2.02351e-01  4.69149e-04 
  2.03602e-01  4.03789e-04 
  2.04852e-01  3.41732e-04 
  2.06103e-01  2.83555e-04 
  2.07353e-01  2.29753e-04 
  2.08604e-01  1.80748e-04 
  2.09855e-01  1.36872e-04 
  2.11105e-01  9.83768e-05 
  2.12356e-01  6.54283e-05 
  2.13607e-01  3.81101e-05 
  2.14857e-01  1.64258e-05 
  2.16108e-01  3.01640e-07 
  2.17358e-01  -1.04089e-05
  2.18609e-01  -1.59200e-05
  2.19860e-01  -1.65079e-05
  2.21110e-01  -1.25043e-05
  2.22361e-01  -4.28936e-06
  2.23612e-01  7.71531e-06 
  2.24862e-01  2.30547e-05 
  2.26113e-01  4.12477e-05 
  2.27363e-01  6.17958e-05 
  2.28614e-01  8.41900e-05 
  2.29865e-01  1.07919e-04 
  2.31115e-01  1.32477e-04 
  2.32366e-01  1.57370e-04 
  2.33617e-01  1.82122e-04 
  2.34867e-01  2.06284e-04 
  2.36118e-01  2.29435e-04 
  2.37368e-01  2.51191e-04 
  2.38619e-01  2.71208e-04 
  2.39870e-01  2.89182e-04 
  2.41120e-01  3.04858e-04 
  2.42371e-01  3.18026e-04 
  2.43622e-01  3.28528e-04 
  2.44872e-01  3.36250e-04 
  2.46123e-01  3.41132e-04 
  2.47373e-01  3.43158e-04 
  2.48624e-01  3.42358e-04 
  2.49875e-01  3.38808e-04 
  2.51125e-01  3.32622e-04 
  2.52376e-01  3.23950e-04 
  2.53627e-01  3.12978e-04 
  2.54877e-01  2.99921e-04 
  2.56128e-01  2.85013e-04 
  2.57378e-01  2.68515e-04 
  2.58629e-01  2.50698e-04 
  2.59880e-01  2.31844e-04 
  2.61130e-01  2.12241e-04 
  2.62381e-01  1.92178e-04 
  2.63632e-01  1.71938e-04 
  2.64882e-01  1.51797e-04 
  2.66133e-01  1.32019e-04 
  2.67383e-01  1.12853e-04 
  2.68634e-01  9.45273e-05 
  2.69885e-01  7.72504e-05 
  2.71135e-01  6.12056e-05 
  2.72386e-01  4.65508e-05 
  2.73637e-01  3.34168e-05 
  2.74887e-01  2.19063e-05 
  2.76138e-01  1.20934e-05 
  2.77388e-01  4.02382e-06 
  2.78639e-01  -2.28439e-06
  2.79890e-01  -6.84053e-06
  2.81140e-01  -9.67958e-06
  2.82391e-01  -1.08607e-05
  2.83642e-01  -1.04652e-05
  2.84892e-01  -8.59482e-06
  2.86143e-01  -5.36866e-06
  2.87393e-01  -9.21149e-07
  2.88644e-01  4.60077e-06 
  2.89895e-01  1.10404e-05 
  2.91145e-01  1.82342e-05 
  2.92396e-01  2.60140e-05 
  2.93647e-01  3.42107e-05 
  2.94897e-01  4.26556e-05 
  2.96148e-01  5.11843e-05 
  2.97398e-01  5.96377e-05 
  2.98649e-01  6.78653e-05 
  2.99900e-01  7.57261e-05 
  3.01150e-01  8.30911e-05 
  3.02401e-01  8.98445e-05 
  3.03652e-01  9.58847e-05 
  3.04902e-01  1.01125e-04 
  3.06153e-01  1.05497e-04 
  3.07404e-01  1.08945e-04 
  3.08654e-01  1.11434e-04 
  3.09905e-01  1.12943e-04 
  3.11155e-01  1.13466e-04 
  3.12406e-01  1.13018e-04 
  3.13657e-01  1.11622e-04 
