# Theoretical SAS data
# q            I           
  1.00000e-03  9.99141e-01 
  2.25063e-03  9.95656e-01 
  3.50125e-03  9.89526e-01 
  4.75188e-03  9.80808e-01 
  6.00251e-03  9.69585e-01 
  7.25313e-03  9.55962e-01 
  8.50376e-03  9.40069e-01 
  9.75439e-03  9.22051e-01 
  1.10050e-02  9.02075e-01 
  1.22556e-02  8.80322e-01 
  1.35063e-02  8.56987e-01 
  1.47569e-02  8.32278e-01 
  1.60075e-02  8.06407e-01 
  1.72581e-02  7.79595e-01 
  1.85088e-02  7.52066e-01 
  1.97594e-02  7.24041e-01 
  2.10100e-02  6.95741e-01 
  2.22607e-02  6.67381e-01 
  2.35113e-02  6.39168e-01 
  2.47619e-02  6.11300e-01 
  2.60125e-02  5.83962e-01 
  2.72632e-02  5.57324e-01 
  2.85138e-02  5.31542e-01 
  2.97644e-02  5.06754e-01 
  3.10150e-02  4.83080e-01 
  3.22657e-02  4.60620e-01 
  3.35163e-02  4.39455e-01 
  3.47669e-02  4.19648e-01 
  3.60175e-02  4.01239e-01 
  3.72682e-02  3.84251e-01 
  3.85188e-02  3.68688e-01 
  3.97694e-02  3.54534e-01 
  4.10201e-02  3.41759e-01 
  4.22707e-02  3.30315e-01 
  4.35213e-02  3.20142e-01 
  4.47719e-02  3.11167e-01 
  4.60226e-02  3.03306e-01 
  4.72732e-02  2.96465e-01 
  4.85238e-02  2.90546e-01 
  4.97744e-02  2.85443e-01 
  5.10251e-02  2.81048e-01 
  5.22757e-02  2.77252e-01 
  5.35263e-02  2.73945e-01 
  5.47769e-02  2.71021e-01 
  5.60276e-02  2.68377e-01 
  5.72782e-02  2.65913e-01 
  5.85288e-02  2.63538e-01 
  5.97794e-02  2.61166e-01 
  6.10301e-02  2.58722e-01 
  6.22807e-02  2.56137e-01 
  6.35313e-02  2.53353e-01 
  6.47820e-02  2.50322e-01 
  6.60326e-02  2.47005e-01 
  6.72832e-02  2.43374e-01 
  6.85338e-02  2.39410e-01 
  6.97845e-02  2.35102e-01 
  7.10351e-02  2.30451e-01 
  7.22857e-02  2.25464e-01 
  7.35363e-02  2.20155e-01 
  7.47870e-02  2.14546e-01 
  7.60376e-02  2.08664e-01 
  7.72882e-02  2.02543e-01 
  7.85388e-02  1.96216e-01 
  7.97895e-02  1.89725e-01 
  8.10401e-02  1.83108e-01 
  8.22907e-02  1.76409e-01 
  8.35414e-02  1.69670e-01 
  8.47920e-02  1.62932e-01 
  8.60426e-02  1.56234e-01 
  8.72932e-02  1.49616e-01 
  8.85439e-02  1.43111e-01 
  8.97945e-02  1.36753e-01 
  9.10451e-02  1.30569e-01 
  9.22957e-02  1.24585e-01 
  9.35464e-02  1.18820e-01 
  9.47970e-02  1.13291e-01 
  9.60476e-02  1.08010e-01 
  9.72982e-02  1.02985e-01 
  9.85489e-02  9.82200e-02 
  9.97995e-02  9.37155e-02 
  1.01050e-01  8.94683e-02 
  1.02301e-01  8.54719e-02 
  1.03551e-01  8.17172e-02 
  1.04802e-01  7.81927e-02 
  1.06053e-01  7.48850e-02 
  1.07303e-01  7.17790e-02 
  1.08554e-01  6.88587e-02 
  1.09805e-01  6.61073e-02 
  1.11055e-01  6.35077e-02 
  1.12306e-01  6.10429e-02 
  1.13556e-01  5.86963e-02 
  1.14807e-01  5.64520e-02 
  1.16058e-01  5.42951e-02 
  1.17308e-01  5.22120e-02 
  1.18559e-01  5.01903e-02 
  1.19810e-01  4.82192e-02 
  1.21060e-01  4.62896e-02 
  1.22311e-01  4.43937e-02 
  1.23561e-01  4.25258e-02 
  1.24812e-01  4.06815e-02 
  1.26063e-01  3.88578e-02 
  1.27313e-01  3.70536e-02 
  1.28564e-01  3.52685e-02 
  1.29815e-01  3.35038e-02 
  1.31065e-01  3.17614e-02 
  1.32316e-01  3.00443e-02 
  1.33566e-01  2.83559e-02 
  1.34817e-01  2.67004e-02 
  1.36068e-01  2.50820e-02 
  1.37318e-01  2.35051e-02 
  1.38569e-01  2.19743e-02 
  1.39820e-01  2.04937e-02 
  1.41070e-01  1.90675e-02 
  1.42321e-01  1.76991e-02 
  1.43571e-01  1.63919e-02 
  1.44822e-01  1.51483e-02 
  1.46073e-01  1.39705e-02 
  1.47323e-01  1.28598e-02 
  1.48574e-01  1.18170e-02 
  1.49825e-01  1.08423e-02 
  1.51075e-01  9.93520e-03 
  1.52326e-01  9.09479e-03 
  1.53576e-01  8.31954e-03 
  1.54827e-01  7.60745e-03 
  1.56078e-01  6.95617e-03 
  1.57328e-01  6.36297e-03 
  1.58579e-01  5.82490e-03 
  1.59830e-01  5.33880e-03 
  1.61080e-01  4.90136e-03 
  1.62331e-01  4.50926e-03 
  1.63581e-01  4.15915e-03 
  1.64832e-01  3.84772e-03 
  1.66083e-01  3.57181e-03 
  1.67333e-01  3.32836e-03 
  1.68584e-01  3.11450e-03 
  1.69835e-01  2.92758e-03 
  1.71085e-01  2.76513e-03 
  1.72336e-01  2.62493e-03 
  1.73586e-01  2.50499e-03 
  1.74837e-01  2.40351e-03 
  1.76088e-01  2.31895e-03 
  1.77338e-01  2.24991e-03 
  1.78589e-01  2.19521e-03 
  1.79840e-01  2.15381e-03 
  1.81090e-01  2.12478e-03 
  1.82341e-01  2.10734e-03 
  1.83591e-01  2.10075e-03 
  1.84842e-01  2.10435e-03 
  1.86093e-01  2.11751e-03 
  1.87343e-01  2.13962e-03 
  1.88594e-01  2.17006e-03 
  1.89845e-01  2.20821e-03 
  1.91095e-01  2.25342e-03 
  1.92346e-01  2.30500e-03 
  1.93596e-01  2.36225e-03 
  1.94847e-01  2.42439e-03 
  1.96098e-01  2.49065e-03 
  1.97348e-01  2.56022e-03 
  1.98599e-01  2.63226e-03 
  1.99850e-01  2.70593e-03 
  2.01100e-01  2.78037e-03 
  2.02351e-01  2.85476e-03 
  2.03602e-01  2.92829e-03 
  2.04852e-01  3.00017e-03 
  2.06103e-01  3.06969e-03 
  2.07353e-01  3.13615e-03 
  2.08604e-01  3.19896e-03 
  2.09855e-01  3.25757e-03 
  2.11105e-01  3.31153e-03 
  2.12356e-01  3.36046e-03 
  2.13607e-01  3.40405e-03 
  2.14857e-01  3.44209e-03 
  2.16108e-01  3.47446e-03 
  2.17358e-01  3.50108e-03 
  2.18609e-01  3.52197e-03 
  2.19860e-01  3.53721e-03 
  2.21110e-01  3.54692e-03 
