# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  1.38452e-01  8.11402e-03 
  2.25063e-03  1.49029e-01  5.39918e-03 
  3.50125e-03  1.47795e-01  4.31550e-03 
  4.75188e-03  1.42850e-01  3.68803e-03 
  6.00251e-03  1.41430e-01  3.26264e-03 
  7.25313e-03  1.41536e-01  2.94720e-03 
  8.50376e-03  1.32167e-01  2.69922e-03 
  9.75439e-03  1.36176e-01  2.49605e-03 
  1.10050e-02  1.33088e-01  2.32444e-03 
  1.22556e-02  1.25220e-01  2.17602e-03 
  1.35063e-02  1.27302e-01  2.04526e-03 
  1.47569e-02  1.24041e-01  1.92836e-03 
  1.60075e-02  1.23564e-01  1.82260e-03 
  1.72581e-02  1.15196e-01  1.72600e-03 
  1.85088e-02  1.09448e-01  1.63709e-03 
  1.97594e-02  1.05491e-01  1.55475e-03 
  2.10100e-02  1.02890e-01  1.47813e-03 
  2.22607e-02  9.73185e-02  1.40656e-03 
  2.35113e-02  9.53301e-02  1.33953e-03 
  2.47619e-02  9.12854e-02  1.27663e-03 
  2.60125e-02  8.63738e-02  1.21753e-03 
  2.72632e-02  8.34445e-02  1.16197e-03 
  2.85138e-02  7.91386e-02  1.10976e-03 
  2.97644e-02  7.44068e-02  1.06071e-03 
  3.10150e-02  7.15083e-02  1.01468e-03 
  3.22657e-02  6.61788e-02  9.71567e-04 
  3.35163e-02  6.56584e-02  9.31254e-04 
  3.47669e-02  6.23199e-02  8.93648e-04 
  3.60175e-02  5.86307e-02  8.58661e-04 
  3.72682e-02  5.78442e-02  8.26201e-04 
  3.85188e-02  5.34784e-02  7.96178e-04 
  3.97694e-02  5.16029e-02  7.68494e-04 
  4.10201e-02  5.16549e-02  7.43045e-04 
  4.22707e-02  4.82975e-02  7.19718e-04 
  4.35213e-02  4.83143e-02  6.98393e-04 
  4.47719e-02  4.65101e-02  6.78939e-04 
  4.60226e-02  4.44536e-02  6.61218e-04 
