# x y z sld
7.274675 6.883423 -41.635269 1.000000
1.677169 6.173849 -66.024889 1.000000
-1.607738 -4.958341 -61.922503 1.000000
-7.863495 -0.837814 -35.586951 1.000000
4.548627 3.583314 -30.082951 1.000000
9.921643 13.610333 -52.415715 1.000000
3.129132 -18.371115 -66.560357 1.000000
4.871534 22.906282 -53.819099 1.000000
20.122059 -10.969090 -52.599966 1.000000
-12.894960 8.889936 -56.010065 1.000000
-1.071687 3.867982 -47.982033 1.000000
-10.451931 8.303544 -57.485295 1.000000
0.133262 -4.371084 -39.638110 1.000000
-7.700301 19.093937 -58.046706 1.000000
-10.655322 9.448451 -69.418724 1.000000
5.695969 18.454283 -52.400841 1.000000
11.054363 10.905330 -59.391892 1.000000
-4.481008 -1.088682 -29.843243 1.000000
5.610671 -2.842413 -72.817468 1.000000
1.142734 -0.824632 -57.547349 1.000000
-2.998658 5.636229 -56.784330 1.000000
-18.765489 -5.594992 -64.369767 1.000000
19.024066 -4.273464 -64.929095 1.000000
-14.012975 -6.154298 -55.779230 1.000000
-1.328044 13.433736 -56.728037 1.000000
-5.135366 -12.637432 -53.227615 1.000000
2.912270 1.719826 -38.081686 1.000000
9.366645 -19.106925 -60.642145 1.000000
-3.723398 -5.808681 -53.472338 1.000000
6.878718 8.849908 -36.946053 1.000000
-0.038350 -23.888225 -50.105016 1.000000
12.833646 8.868200 -51.466455 1.000000
3.104443 4.076152 -28.931636 1.000000
3.094802 1.173612 -42.449192 1.000000
-1.156499 -1.914083 -58.144448 1.000000
16.845351 -16.543474 -47.761239 1.000000
11.608473 8.243007 -34.269066 1.000000
-12.574947 5.212283 -51.698507 1.000000
6.183184 -2.848198 -40.790753 1.000000
0.017917 14.447852 -49.564605 1.000000
0.818665 4.150623 -56.054065 1.000000
3.334979 1.620223 -49.363037 1.000000
-7.556371 -2.092643 -72.916538 1.000000
14.569685 -15.045388 -50.683885 1.000000
-21.049717 9.541628 -55.465519 1.000000
-13.033986 3.458385 -68.250442 1.000000
10.648103 -11.325359 -32.711368 1.000000
-20.342313 7.703609 -60.303648 1.000000
-11.212031 3.648371 -66.706632 1.000000
-3.870117 2.538900 -68.250994 1.000000
7.333108 -1.543684 -63.601641 1.000000
-14.226175 13.323404 -64.730007 1.000000
1.607459 -9.769071 -33.048436 1.000000
-3.361587 -13.085666 -43.149944 1.000000
-10.128288 -0.921617 -58.714347 1.000000
14.260786 5.351276 -58.164481 1.000000
21.419795 4.197699 -54.742654 1.000000
9.856826 -9.320965 -41.669098 1.000000
6.064996 -9.893219 -56.121271 1.000000
2.897645 -11.251278 -71.546585 1.000000
9.740750 5.350596 -45.877383 1.000000
-3.402439 -22.748278 -40.687760 1.000000
2.375836 -8.766632 -34.633289 1.000000
12.354613 6.969897 -59.550016 1.000000
-8.599010 20.072591 -48.496384 1.000000
-7.773275 10.516954 -56.530793 1.000000
8.583098 -0.711318 -41.690002 1.000000
-18.548208 14.614683 -43.702674 1.000000
3.200215 -13.811893 -60.595504 1.000000
10.988981 -13.141941 -61.119557 1.000000
-5.506632 -20.765357 -39.680999 1.000000
-5.902553 3.634121 -60.895704 1.000000
15.853607 10.019372 -46.075713 1.000000
-15.179132 -2.911281 -60.466632 1.000000
-1.680730 20.989455 -41.458316 1.000000
17.294440 3.823389 -33.766934 1.000000
18.098261 9.639889 -57.992981 1.000000
3.447384 5.661760 -61.900591 1.000000
-10.881904 3.120331 -71.186844 1.000000
-6.829650 -11.508307 -65.392145 1.000000
-2.405181 -9.130415 -35.129951 1.000000
-5.513807 -11.008773 -71.692196 1.000000
-18.853304 -3.914148 -65.336933 1.000000
15.255464 -17.246410 -58.846669 1.000000
-9.375322 2.200360 -54.700468 1.000000
3.929922 -16.289515 -41.692576 1.000000
-6.848434 14.519076 -36.687557 1.000000
9.661413 -13.597347 -65.080454 1.000000
-10.319164 -10.116997 -51.634942 1.000000
-16.207159 7.803216 -37.721546 1.000000
15.175719 9.028830 -42.092194 1.000000
4.397428 2.726885 -64.905950 1.000000
10.633703 -7.341402 -30.510535 1.000000
9.997871 -12.889730 -41.116810 1.000000
-2.739485 -22.831926 -54.288055 1.000000
4.337611 15.748230 -67.994997 1.000000
15.794893 -5.531455 -59.193987 1.000000
-0.245702 -20.879998 -62.134039 1.000000
8.080579 17.436682 -61.964125 1.000000
19.529315 -6.319527 -59.109058 1.000000
8.819360 -6.690209 -56.300750 1.000000
5.199798 -10.042990 -34.771992 1.000000
17.316031 11.870491 -38.985222 1.000000
-16.879387 7.913630 -35.102643 1.000000
-7.438470 2.570387 -61.834240 1.000000
-1.336003 -15.765861 -46.948939 1.000000
10.138946 -13.110865 -55.053828 1.000000
18.328971 0.158887 -39.512781 1.000000
-4.169502 -16.335913 -64.827501 1.000000
-8.681721 10.751767 -68.682582 1.000000
16.885956 0.602341 -43.378911 1.000000
0.592226 -0.061145 -45.917265 1.000000
19.103633 2.966222 -39.805716 1.000000
-2.982755 -21.897260 -54.935230 1.000000
-20.082056 -4.360964 -45.170724 1.000000
-15.808434 0.645625 -56.873651 1.000000
-19.698275 -14.150538 -46.390644 1.000000
19.192847 -6.522538 -41.783370 1.000000
0.284511 4.162950 -59.343975 1.000000
18.291002 8.790518 -37.184520 1.000000
9.926718 2.918526 -37.910337 1.000000
-3.838739 -18.419214 -45.150819 1.000000
5.643959 9.616866 -54.966609 1.000000
1.096117 -13.408829 -32.136352 1.000000
3.718887 -8.100656 -50.118438 1.000000
-13.394928 15.373640 -61.078886 1.000000
-5.004858 -10.887117 -39.221670 1.000000
-6.268864 -9.934468 -52.723920 1.000000
-8.705446 -16.912913 -37.921641 1.000000
0.203239 11.553411 -53.055872 1.000000
11.762396 -12.214650 -61.723354 1.000000
10.429726 11.305610 -63.646094 1.000000
-9.838661 1.607079 -59.064237 1.000000
-14.643280 -15.845562 -50.379067 1.000000
-8.896211 -15.702308 -39.330996 1.000000
15.924148 -7.001301 -62.597934 1.000000
8.419889 -13.834130 -67.195663 1.000000
2.717259 7.978730 -52.346524 1.000000
-5.767483 8.178339 -32.102539 1.000000
4.462865 8.350321 -69.184945 1.000000
9.958746 -8.564479 -31.405534 1.000000
-2.716873 -5.338979 -27.052359 1.000000
6.500043 -5.922729 -50.787414 1.000000
-2.515900 -23.920246 -49.161733 1.000000
9.791632 6.160916 -45.287801 1.000000
16.374700 16.095724 -57.206811 1.000000
-1.382395 -8.392615 -65.830025 1.000000
-11.531046 13.391908 -57.280050 1.000000
5.409132 -4.450074 -50.835904 1.000000
11.272542 -6.457383 -63.607739 1.000000
0.353818 -23.179328 -51.548603 1.000000
-7.458192 4.319944 -42.317044 1.000000
13.250375 16.210349 -53.214521 1.000000
-0.254364 -5.379583 -73.762065 1.000000
10.283888 6.190923 -70.702195 1.000000
0.117103 11.109406 -70.493230 1.000000
-10.325088 -0.369339 -66.367250 1.000000
-4.199280 -4.241957 -51.010471 1.000000
0.872720 18.649075 -64.719396 1.000000
-1.881585 4.915925 -28.846367 1.000000
-3.483644 -1.881124 -46.057949 1.000000
3.439344 -5.113564 -38.959309 1.000000
3.157527 -21.873569 -51.923790 1.000000
-14.949154 -6.728672 -40.093464 1.000000
6.577798 2.168219 -55.009679 1.000000
9.044371 -9.293034 -39.104197 1.000000
-18.494326 4.075634 -66.050002 1.000000
20.186651 1.342706 -44.295104 1.000000
3.452593 -8.882376 -50.487635 1.000000
-9.167527 7.245702 -68.048095 1.000000
-14.995176 -16.835318 -51.908931 1.000000
-20.598608 -3.605526 -58.897080 1.000000
-6.792848 -2.117424 -39.085379 1.000000
9.697465 -5.417928 -63.410883 1.000000
-7.594190 7.562563 -66.100466 1.000000
6.196221 -15.151882 -60.956618 1.000000
-7.140776 -15.531097 -55.846349 1.000000
-9.632653 -2.054156 -45.071817 1.000000
12.376111 19.995451 -48.782114 1.000000
-3.174474 15.325206 -52.884529 1.000000
-4.199897 -2.018812 -39.398985 1.000000
-8.678449 -11.369494 -70.280101 1.000000
-5.595429 -17.461970 -49.095713 1.000000
2.383051 -17.706432 -57.808284 1.000000
-13.592977 -0.289991 -65.857479 1.000000
-9.070376 13.950793 -52.713423 1.000000
6.619063 -14.255240 -49.559514 1.000000
11.253515 6.490725 -56.236133 1.000000
-6.809870 8.160676 -41.914224 1.000000
-10.061000 9.923671 -30.567272 1.000000
9.244288 -0.211125 -68.870270 1.000000
-20.200702 -5.334368 -42.807343 1.000000
-14.423592 -14.960709 -44.105619 1.000000
-2.636848 0.470835 -46.996333 1.000000
13.574094 1.549191 -57.099427 1.000000
0.373023 11.113032 -37.371013 1.000000
-7.367078 -10.853034 -39.372933 1.000000
-18.552675 2.159547 -59.974807 1.000000
7.876357 17.514146 -56.872255 1.000000
-19.669037 3.466870 -51.475586 1.000000
-14.493867 10.563919 -44.107303 1.000000
9.864882 -8.619838 -43.385225 1.000000
1.145603 -5.217592 -26.234436 1.000000
2.624172 9.805205 -46.074813 1.000000
-5.581822 0.012008 -33.471396 1.000000
10.636785 -15.967845 -50.384155 1.000000
12.909685 -17.822756 -46.335881 1.000000
16.057301 2.340645 -68.858103 1.000000
-4.767238 19.575665 -57.104440 1.000000
5.644904 12.836297 -55.557111 1.000000
-18.422222 2.159385 -59.683549 1.000000
-7.447413 -6.437984 -69.789463 1.000000
-10.059674 -8.821106 -67.894223 1.000000
1.150389 9.068324 -51.000272 1.000000
9.023627 -0.566274 -42.331658 1.000000
-4.659917 -9.593232 -35.940507 1.000000
14.344056 7.242378 -39.424756 1.000000
5.034907 11.044108 -47.939575 1.000000
8.165431 -5.794396 -67.157487 1.000000
18.727219 7.426713 -44.834067 1.000000
8.909933 16.537430 -65.529053 1.000000
-0.426553 2.523793 -40.611512 1.000000
-9.599296 3.684215 -37.717065 1.000000
16.099176 -8.841051 -57.252880 1.000000
-12.909031 16.580093 -49.945617 1.000000
-10.237811 8.941407 -57.298471 1.000000
7.289847 15.693344 -41.116155 1.000000
-9.138663 13.135935 -67.625551 1.000000
-2.167196 -8.334839 -29.048513 1.000000
-12.789791 2.407446 -41.173863 1.000000
-2.721832 16.406293 -52.076225 1.000000
-12.919329 -1.099940 -71.184512 1.000000
-3.010090 -15.092883 -62.993831 1.000000
7.836895 3.654872 -42.185629 1.000000
-3.063970 10.972467 -38.921008 1.000000
4.938163 -0.542925 -44.565603 1.000000
12.853465 -0.262217 -28.973883 1.000000
-13.794636 8.503071 -33.023136 1.000000
-16.369458 17.081728 -53.894236 1.000000
-4.519373 16.855539 -37.418054 1.000000
-22.774030 0.680581 -56.928098 1.000000
7.208395 5.027442 -54.846862 1.000000
1.804457 4.036681 -38.059674 1.000000
19.422342 9.870159 -57.082892 1.000000
-4.296520 7.964303 -34.455887 1.000000
15.771432 12.068915 -44.712191 1.000000
8.226366 12.949375 -46.031597 1.000000
8.392826 -3.474079 -49.190804 1.000000
-5.605247 19.411809 -59.252981 1.000000
