# r                 p(r)             
  7.83538e-01       5.44120e-05      
  2.35061e+00       3.51949e-04      
  3.91769e+00       9.14327e-04      
  5.48477e+00       1.68073e-03      
  7.05184e+00       2.61386e-03      
  8.61892e+00       3.65931e-03      
  1.01860e+01       4.79230e-03      
  1.17531e+01       5.94906e-03      
  1.33201e+01       7.07188e-03      
  1.48872e+01       8.19193e-03      
  1.64543e+01       9.23238e-03      
  1.80214e+01       1.01897e-02      
  1.95884e+01       1.10286e-02      
  2.11555e+01       1.17434e-02      
  2.27226e+01       1.23287e-02      
  2.42897e+01       1.27628e-02      
  2.58568e+01       1.29960e-02      
  2.74238e+01       1.30648e-02      
  2.89909e+01       1.29938e-02      
  3.05580e+01       1.27059e-02      
  3.21251e+01       1.22731e-02      
  3.36921e+01       1.17440e-02      
  3.52592e+01       1.10187e-02      
  3.68263e+01       1.01550e-02      
  3.83934e+01       9.21214e-03      
  3.99604e+01       8.17916e-03      
  4.15275e+01       7.13212e-03      
  4.30946e+01       6.12182e-03      
  4.46617e+01       5.16979e-03      
  4.62287e+01       4.38798e-03      
  4.77958e+01       3.80639e-03      
  4.93629e+01       3.44848e-03      
  5.09300e+01       3.39264e-03      
  5.24970e+01       3.36873e-03      
  5.40641e+01       3.35476e-03      
  5.56312e+01       3.32709e-03      
  5.71983e+01       3.30269e-03      
  5.87653e+01       3.28986e-03      
  6.03324e+01       3.28542e-03      
  6.18995e+01       3.26899e-03      
  6.34666e+01       3.27914e-03      
  6.50336e+01       3.26618e-03      
  6.66007e+01       3.30105e-03      
  6.81678e+01       3.34730e-03      
  6.97349e+01       3.41174e-03      
  7.13019e+01       3.48617e-03      
  7.28690e+01       3.59350e-03      
  7.44361e+01       3.71765e-03      
  7.60032e+01       3.85626e-03      
  7.75703e+01       4.03284e-03      
  7.91373e+01       4.21715e-03      
  8.07044e+01       4.40428e-03      
  8.22715e+01       4.64394e-03      
  8.38386e+01       4.89899e-03      
  8.54056e+01       5.13390e-03      
  8.69727e+01       5.41439e-03      
  8.85398e+01       5.69204e-03      
  9.01069e+01       5.97557e-03      
  9.16739e+01       6.25516e-03      
  9.32410e+01       6.49142e-03      
  9.48081e+01       6.73659e-03      
  9.63752e+01       6.95051e-03      
  9.79422e+01       7.13117e-03      
  9.95093e+01       7.25616e-03      
  1.01076e+02       7.35699e-03      
  1.02643e+02       7.38849e-03      
  1.04211e+02       7.40966e-03      
  1.05778e+02       7.32841e-03      
  1.07345e+02       7.18583e-03      
  1.08912e+02       6.99818e-03      
  1.10479e+02       6.76734e-03      
  1.12046e+02       6.47955e-03      
  1.13613e+02       6.16584e-03      
  1.15180e+02       5.80487e-03      
  1.16747e+02       5.44716e-03      
  1.18314e+02       5.02235e-03      
  1.19881e+02       4.64328e-03      
  1.21448e+02       4.20842e-03      
  1.23015e+02       3.78582e-03      
  1.24583e+02       3.34760e-03      
  1.26150e+02       2.91009e-03      
  1.27717e+02       2.50490e-03      
  1.29284e+02       2.11392e-03      
  1.30851e+02       1.74816e-03      
  1.32418e+02       1.42928e-03      
  1.33985e+02       1.13772e-03      
  1.35552e+02       8.80931e-04      
  1.37119e+02       6.63509e-04      
  1.38686e+02       4.72529e-04      
  1.40253e+02       3.16380e-04      
  1.41820e+02       1.87654e-04      
  1.43387e+02       9.98657e-05      
  1.44955e+02       4.78350e-05      
  1.46522e+02       1.63671e-05      
  1.48089e+02       4.27132e-06      
  1.49656e+02       2.07896e-07      
  1.51223e+02       0.00000e+00      
  1.52790e+02       0.00000e+00      
  1.54357e+02       0.00000e+00      
  1.55924e+02       0.00000e+00      
