# x y z sld
17.349905 -21.652465 -27.545056 1.000000
29.353075 11.456637 -71.071300 1.000000
-10.087801 -8.352835 43.088651 1.000000
29.251154 -18.509320 34.354152 1.000000
-22.344746 24.971647 -68.885509 1.000000
-13.303893 6.845014 -70.437733 1.000000
10.455719 -46.858703 115.484309 1.000000
9.479358 -34.712692 93.689039 1.000000
3.177173 30.310890 -61.722295 1.000000
18.219064 41.881332 -125.535043 1.000000
-19.222633 3.766652 122.870712 1.000000
-5.455953 -0.326128 99.559080 1.000000
-26.088368 2.039283 -114.325849 1.000000
3.339843 7.554643 118.821669 1.000000
23.877337 -4.791390 -0.480693 1.000000
-3.316894 -12.058476 -59.965166 1.000000
-29.011570 -15.145425 -12.902840 1.000000
10.311857 43.360631 -5.042903 1.000000
21.383212 9.040747 115.679391 1.000000
0.052913 -38.657603 31.231599 1.000000
-39.775460 -5.236664 69.081658 1.000000
9.926606 -11.398211 -43.936210 1.000000
-13.585885 -19.781164 42.135388 1.000000
-27.193385 -11.707242 -17.463937 1.000000
-4.543523 6.937896 -90.311053 1.000000
29.604353 -26.552089 -72.426743 1.000000
30.121612 5.947417 -147.288286 1.000000
-16.888710 17.476971 99.746512 1.000000
-15.767087 29.186263 -104.672004 1.000000
-27.374767 -15.001835 44.664448 1.000000
12.057562 5.621211 31.498323 1.000000
-16.605233 21.966899 -124.206896 1.000000
-3.109443 -26.962448 11.272561 1.000000
-17.916123 24.786653 140.718571 1.000000
3.550688 -18.857162 -137.531124 1.000000
15.996345 10.726929 86.273289 1.000000
-30.549498 27.679822 -61.590348 1.000000
17.729787 -38.230746 -15.850660 1.000000
13.721184 13.337166 46.937803 1.000000
-30.641398 -22.438539 -147.790326 1.000000
17.494059 41.637438 -64.303367 1.000000
-26.955313 28.871212 -95.016172 1.000000
46.603947 -2.267996 45.963655 1.000000
12.709186 1.525441 92.930751 1.000000
-45.922437 -9.605389 10.362043 1.000000
-4.639815 -21.107506 -21.768758 1.000000
-42.719459 -8.812282 12.189315 1.000000
36.575921 -14.434632 79.543379 1.000000
37.550512 -27.576801 -102.179961 1.000000
35.642706 -26.675031 125.409577 1.000000
-1.527919 13.673801 1.583962 1.000000
1.839896 -46.866709 70.905202 1.000000
-39.137648 -28.564086 44.482741 1.000000
28.660725 32.345318 12.547853 1.000000
-27.931927 21.645558 131.958524 1.000000
-17.942939 39.867581 17.159132 1.000000
-5.261958 -42.274091 113.531247 1.000000
-1.183214 -11.721450 101.299685 1.000000
9.044178 -10.304168 34.414244 1.000000
6.285530 -25.006365 88.743446 1.000000
13.004888 43.427093 -123.091474 1.000000
