# x y z sld
-2.127789 2.185665 39.094992 1.000000
5.565146 -22.087767 -25.624750 1.000000
20.768470 12.322058 -20.845971 1.000000
-26.563756 -27.935923 0.891765 1.000000
-5.879623 11.658467 -3.262806 1.000000
-14.249462 18.911611 24.052012 1.000000
-24.247720 11.045758 -4.337767 1.000000
0.880518 1.794602 15.662949 1.000000
-11.463803 -6.962452 -15.732038 1.000000
4.981326 -27.217486 -0.926173 1.000000
27.058592 2.632732 19.857881 1.000000
11.549668 -12.556156 -26.291951 1.000000
-29.661976 -7.672221 -20.890650 1.000000
-18.446351 4.859357 19.990513 1.000000
-5.323048 13.555934 32.364850 1.000000
-9.143609 -1.421092 24.817603 1.000000
-30.491725 8.294063 -22.651228 1.000000
27.598677 9.275807 -23.996538 1.000000
-4.803680 15.680128 24.279722 1.000000
-14.437395 2.955155 -31.071777 1.000000
5.350812 -20.589389 28.200965 1.000000
4.033944 -29.047730 -5.521932 1.000000
-26.364196 9.912914 7.399911 1.000000
-31.027399 15.603018 -3.156384 1.000000
-9.937539 -5.025160 -21.734154 1.000000
17.741189 -24.427709 -24.226018 1.000000
3.255960 -30.591024 24.274619 1.000000
-7.875715 -7.121517 38.527849 1.000000
19.427283 23.477951 14.177989 1.000000
5.563238 -22.233268 -27.621877 1.000000
-27.919589 3.039907 18.535788 1.000000
-31.152903 6.608502 21.624583 1.000000
2.850825 -11.386271 38.218355 1.000000
14.135991 11.290638 28.284964 1.000000
22.466675 5.635741 -32.203790 1.000000
-22.566204 26.523518 16.735091 1.000000
28.861715 9.661980 19.640573 1.000000
18.419154 -5.330235 -12.622087 1.000000
-2.056043 27.079957 6.215492 1.000000
-9.816904 -5.130851 25.191152 1.000000
32.530106 -7.863273 14.122583 1.000000
6.579073 -13.577721 -22.782203 1.000000
-4.750199 11.578709 -6.408158 1.000000
-31.711181 -22.720054 4.656791 1.000000
-16.615287 27.227506 3.107479 1.000000
7.092684 -9.415655 -19.744548 1.000000
19.014299 28.245005 15.972891 1.000000
17.088896 -12.382505 17.600308 1.000000
-11.980723 -5.239067 24.337689 1.000000
21.518547 -16.261317 -28.305921 1.000000
-1.670284 -12.006296 -18.022118 1.000000
-12.612035 -18.828958 -4.815575 1.000000
22.919468 1.077430 8.154462 1.000000
9.315284 15.053734 -34.063394 1.000000
-14.537217 -31.742069 2.668553 1.000000
-4.724446 16.564814 7.099159 1.000000
35.762799 -7.337683 -6.789176 1.000000
8.911493 -21.810787 -25.531335 1.000000
38.656956 -5.841028 -3.094255 1.000000
24.274658 4.182587 19.222943 1.000000
1.439893 11.540607 11.236551 1.000000
39.686969 3.129133 3.393725 1.000000
22.759498 -0.443238 25.279744 1.000000
-2.202166 -14.552894 25.785208 1.000000
24.183022 -20.080280 23.415550 1.000000
-22.024583 -15.773677 11.872049 1.000000
29.149290 -14.545833 13.371880 1.000000
-24.479784 -18.380944 -11.779639 1.000000
-10.724510 -6.502953 -27.856845 1.000000
-13.811020 -15.299878 -29.964833 1.000000
9.609017 20.862555 14.772488 1.000000
13.225616 14.314278 9.737705 1.000000
-5.287827 35.151655 2.224136 1.000000
-12.616235 2.303597 -28.557009 1.000000
-25.368051 3.838295 -5.310117 1.000000
-1.337838 22.611577 4.570937 1.000000
-33.315856 -12.864425 -5.570628 1.000000
26.773046 -17.977135 15.829431 1.000000
17.665816 -13.108195 9.363003 1.000000
9.234441 7.064836 17.632479 1.000000
-32.463781 -4.731147 -13.705967 1.000000
16.644510 31.746602 -10.947419 1.000000
9.341510 -16.923691 -23.260711 1.000000
-16.900091 34.871693 0.853207 1.000000
3.343729 -7.620703 -12.184997 1.000000
-16.617175 25.804147 14.501209 1.000000
-12.921114 9.419735 1.408670 1.000000
10.275027 8.894277 -34.217010 1.000000
0.812598 -6.166258 -30.200943 1.000000
5.013130 -5.641736 -20.945421 1.000000
3.703563 -10.048522 18.765281 1.000000
5.402752 16.903411 19.384615 1.000000
-25.823894 6.359291 20.001327 1.000000
-7.862480 28.821691 19.684030 1.000000
5.367793 -12.411093 4.534368 1.000000
-4.739046 1.534522 -33.457593 1.000000
13.103452 -19.655067 0.582948 1.000000
-23.366178 -25.947724 -14.278294 1.000000
-7.310297 -37.708647 -3.976594 1.000000
10.999701 -22.380544 30.108057 1.000000
-32.115600 -12.085840 10.536754 1.000000
18.324410 -11.321415 -3.436674 1.000000
-27.171846 0.048780 -5.145913 1.000000
9.802097 -10.573614 23.785118 1.000000
29.050408 -17.140649 20.090027 1.000000
-29.095612 4.111163 -6.499345 1.000000
21.479717 20.884957 14.179807 1.000000
7.440810 32.851255 11.689071 1.000000
17.502044 -13.370928 22.573192 1.000000
-17.943533 -13.747657 18.156857 1.000000
7.728601 -17.853219 -14.488772 1.000000
6.050970 2.902192 39.130765 1.000000
-29.841509 -6.161182 20.840680 1.000000
20.973270 33.096581 -0.973873 1.000000
26.240809 22.290411 3.836338 1.000000
-4.149972 11.030993 35.869130 1.000000
-7.903428 -9.718510 -8.238829 1.000000
13.037625 9.373738 10.873695 1.000000
-1.652067 15.558705 -25.963108 1.000000
-17.032136 2.817988 -3.362131 1.000000
-9.441793 -1.501143 -38.451543 1.000000
4.520525 19.296250 24.293373 1.000000
31.302749 -19.338576 7.447631 1.000000
17.818288 -4.020410 31.746135 1.000000
-13.121151 34.105240 -2.368655 1.000000
-6.166334 24.404399 12.358854 1.000000
-4.186062 4.848757 -3.077906 1.000000
-7.320905 -34.444299 1.596731 1.000000
-30.781210 15.717403 -9.260602 1.000000
-11.554596 14.001641 -5.888252 1.000000
10.269339 10.186968 32.848884 1.000000
5.421210 23.360930 -0.397573 1.000000
10.498740 6.616766 18.545608 1.000000
12.372630 31.489452 -13.906182 1.000000
9.097573 30.100712 -21.739871 1.000000
29.229419 -9.680041 -9.566086 1.000000
12.802490 10.540354 -30.152053 1.000000
-2.003117 -23.133332 30.571411 1.000000
13.983869 3.411848 -26.005774 1.000000
5.901667 -3.062718 29.766277 1.000000
2.804370 -7.107013 -29.177353 1.000000
-3.491573 -21.787875 15.950077 1.000000
37.544988 11.364897 -5.725387 1.000000
30.702483 -3.045891 -19.974136 1.000000
-8.375564 23.257237 -16.770269 1.000000
-9.702363 -22.297981 -6.060573 1.000000
9.575373 -24.006509 3.849707 1.000000
-24.413953 -6.989916 3.531889 1.000000
-2.575904 -21.451460 7.410708 1.000000
3.064353 -4.520777 -12.808032 1.000000
1.010571 -24.823161 -29.675119 1.000000
13.908677 -4.910542 19.740519 1.000000
11.243021 4.258749 -33.064764 1.000000
15.047158 12.594903 26.928862 1.000000
14.809008 -0.332770 -29.145766 1.000000
26.522476 11.850800 -7.118452 1.000000
-20.243489 -3.191089 -2.725671 1.000000
-2.088630 -14.391447 2.563367 1.000000
-9.211560 22.111756 -12.805337 1.000000
5.325162 1.144175 -13.760473 1.000000
5.455773 -18.491181 -32.199625 1.000000
11.958879 7.126506 33.383889 1.000000
-20.967949 -17.467557 27.849806 1.000000
20.669990 22.710718 11.172741 1.000000
-31.443433 -12.841522 17.815661 1.000000
-20.084071 -6.003378 29.523495 1.000000
1.304977 -8.098946 30.617601 1.000000
-8.605162 15.647304 21.951218 1.000000
12.542714 36.727574 -0.363752 1.000000
28.433332 8.878736 0.913828 1.000000
-4.969769 -27.429629 -17.436654 1.000000
-22.587580 -12.444510 -26.326504 1.000000
13.848369 -27.876022 -17.003358 1.000000
-33.087307 -1.972672 -9.662534 1.000000
33.146705 13.135791 -13.778173 1.000000
31.381132 4.029552 -20.113317 1.000000
25.164830 24.182608 -7.007698 1.000000
-14.940259 -34.610100 3.039640 1.000000
-17.112223 -9.719207 -25.618278 1.000000
14.154391 -26.360684 -22.209574 1.000000
-14.940706 33.730988 7.909707 1.000000
-16.209595 21.196556 -16.679348 1.000000
-12.200744 -3.922110 -10.015580 1.000000
6.491590 38.011785 3.870498 1.000000
21.004965 0.179858 9.702100 1.000000
-4.162223 16.495004 -31.140203 1.000000
-2.473195 33.403366 20.680709 1.000000
-23.496563 22.502980 0.785581 1.000000
-11.846651 -6.516247 29.135974 1.000000
-0.834222 9.861180 12.801673 1.000000
2.106815 6.783307 -28.368842 1.000000
21.229212 -8.260433 0.606227 1.000000
-10.412295 15.842397 29.747507 1.000000
35.515617 12.968527 -3.823236 1.000000
22.227130 4.487559 -9.087771 1.000000
10.105897 7.867657 -1.436244 1.000000
7.050377 10.732926 -2.121963 1.000000
26.647286 5.408162 -4.863367 1.000000
4.532175 -15.579451 9.200132 1.000000
20.974829 22.566807 -0.027028 1.000000
2.936200 -18.051814 -30.037181 1.000000
20.517204 -4.313606 20.185409 1.000000
35.030638 15.604077 -7.019020 1.000000
-9.334854 13.689550 3.742509 1.000000
5.473387 -18.472188 13.184661 1.000000
-4.156271 30.280049 -4.260066 1.000000
18.052207 -31.516677 16.010210 1.000000
-15.801741 1.421586 16.494874 1.000000
7.007899 29.961351 -1.397606 1.000000
-4.228895 -2.743211 -8.109013 1.000000
12.938119 11.689894 19.515778 1.000000
0.819663 6.221729 10.228888 1.000000
-18.690147 25.282061 -2.562708 1.000000
24.283819 -2.330651 -5.937832 1.000000
22.028458 -20.272306 15.865765 1.000000
18.645243 27.304897 9.708547 1.000000
-5.781282 4.282957 -25.329663 1.000000
1.606551 -38.785965 -7.289543 1.000000
-30.854529 5.712810 -12.657796 1.000000
20.371585 -4.253039 -3.933850 1.000000
-3.575750 -3.781383 23.625665 1.000000
-23.169800 16.793993 -7.622355 1.000000
-23.599426 -10.886299 26.110589 1.000000
-30.147415 15.816735 8.687305 1.000000
7.029322 -34.439664 -0.152631 1.000000
-5.184482 0.283119 28.655454 1.000000
10.975436 8.622762 -21.562810 1.000000
-13.655227 -8.819928 29.171311 1.000000
