# r                 p(r)             
  1.45440e+00       1.22816e-04      
  4.36320e+00       8.11398e-04      
  7.27200e+00       2.00247e-03      
  1.01808e+01       3.58754e-03      
  1.30896e+01       5.39581e-03      
  1.59984e+01       7.35245e-03      
  1.89072e+01       9.17038e-03      
  2.18160e+01       1.10619e-02      
  2.47248e+01       1.25266e-02      
  2.76336e+01       1.37348e-02      
  3.05424e+01       1.46999e-02      
  3.34512e+01       1.50999e-02      
  3.63600e+01       1.50924e-02      
  3.92688e+01       1.50581e-02      
  4.21776e+01       1.52320e-02      
  4.50864e+01       1.55677e-02      
  4.79952e+01       1.65478e-02      
  5.09040e+01       1.72566e-02      
  5.38128e+01       1.81157e-02      
  5.67216e+01       1.93077e-02      
  5.96304e+01       2.00680e-02      
  6.25392e+01       2.11110e-02      
  6.54480e+01       2.22519e-02      
  6.83568e+01       2.31082e-02      
  7.12656e+01       2.38663e-02      
  7.41744e+01       2.44654e-02      
  7.70832e+01       2.45963e-02      
  7.99920e+01       2.46692e-02      
  8.29008e+01       2.41802e-02      
  8.58096e+01       2.34221e-02      
  8.87184e+01       2.26646e-02      
  9.16272e+01       2.15380e-02      
  9.45360e+01       2.06864e-02      
  9.74448e+01       1.95215e-02      
  1.00354e+02       1.84025e-02      
  1.03262e+02       1.73336e-02      
  1.06171e+02       1.63576e-02      
  1.09080e+02       1.54602e-02      
  1.11989e+02       1.49078e-02      
  1.14898e+02       1.42925e-02      
  1.17806e+02       1.40129e-02      
  1.20715e+02       1.38489e-02      
  1.23624e+02       1.34696e-02      
  1.26533e+02       1.34683e-02      
  1.29442e+02       1.34172e-02      
  1.32350e+02       1.30849e-02      
  1.35259e+02       1.29356e-02      
  1.38168e+02       1.29026e-02      
  1.41077e+02       1.26841e-02      
  1.43986e+02       1.23948e-02      
  1.46894e+02       1.21373e-02      
  1.49803e+02       1.17283e-02      
  1.52712e+02       1.13041e-02      
  1.55621e+02       1.09805e-02      
  1.58530e+02       1.05086e-02      
  1.61438e+02       9.87798e-03      
  1.64347e+02       9.46527e-03      
  1.67256e+02       9.03853e-03      
  1.70165e+02       8.60587e-03      
  1.73074e+02       8.10182e-03      
  1.75982e+02       7.80133e-03      
  1.78891e+02       7.37334e-03      
  1.81800e+02       7.02453e-03      
  1.84709e+02       6.67104e-03      
  1.87618e+02       6.38832e-03      
  1.90526e+02       6.15733e-03      
  1.93435e+02       5.90516e-03      
  1.96344e+02       5.58471e-03      
  1.99253e+02       5.51769e-03      
  2.02162e+02       5.23746e-03      
  2.05070e+02       5.11059e-03      
  2.07979e+02       4.91546e-03      
  2.10888e+02       4.75180e-03      
  2.13797e+02       4.68572e-03      
  2.16706e+02       4.48061e-03      
  2.19614e+02       4.32413e-03      
  2.22523e+02       4.12307e-03      
  2.25432e+02       3.88679e-03      
  2.28341e+02       3.64334e-03      
  2.31250e+02       3.39864e-03      
  2.34158e+02       3.14709e-03      
  2.37067e+02       2.81231e-03      
  2.39976e+02       2.50901e-03      
  2.42885e+02       2.16612e-03      
  2.45794e+02       1.85721e-03      
  2.48702e+02       1.52616e-03      
  2.51611e+02       1.21320e-03      
  2.54520e+02       9.33902e-04      
  2.57429e+02       6.90452e-04      
  2.60338e+02       4.65704e-04      
  2.63246e+02       3.22626e-04      
  2.66155e+02       1.84224e-04      
  2.69064e+02       1.09724e-04      
  2.71973e+02       4.58223e-05      
  2.74882e+02       2.49373e-05      
  2.77790e+02       1.24687e-06      
  2.80699e+02       0.00000e+00      
  2.83608e+02       0.00000e+00      
  2.86517e+02       0.00000e+00      
  2.89426e+02       0.00000e+00      
