# r                 p(r)             
  1.18033e-01       7.42006e-08      
  3.54100e-01       6.62505e-07      
  5.90167e-01       1.66421e-06      
  8.26234e-01       3.58813e-06      
  1.06230e+00       6.20635e-06      
  1.29837e+00       8.99417e-06      
  1.53443e+00       1.19569e-05      
  1.77050e+00       1.61174e-05      
  2.00657e+00       2.03045e-05      
  2.24263e+00       2.49844e-05      
  2.47870e+00       2.99876e-05      
  2.71477e+00       3.60933e-05      
  2.95083e+00       4.13933e-05      
  3.18690e+00       4.80502e-05      
  3.42297e+00       5.49244e-05      
  3.65904e+00       6.25299e-05      
  3.89510e+00       7.02362e-05      
  4.13117e+00       7.66227e-05      
  4.36724e+00       8.43820e-05      
  4.60330e+00       9.29840e-05      
  4.83937e+00       1.02572e-04      
  5.07544e+00       1.11184e-04      
  5.31150e+00       1.18901e-04      
  5.54757e+00       1.30376e-04      
  5.78364e+00       1.39354e-04      
  6.01970e+00       1.47675e-04      
  6.25577e+00       1.58874e-04      
  6.49184e+00       1.69872e-04      
  6.72790e+00       1.78161e-04      
  6.96397e+00       1.89752e-04      
  7.20004e+00       2.01603e-04      
  7.43610e+00       2.11599e-04      
  7.67217e+00       2.21802e-04      
  7.90824e+00       2.34670e-04      
  8.14430e+00       2.46267e-04      
  8.38037e+00       2.55345e-04      
  8.61644e+00       2.65373e-04      
  8.85250e+00       2.75035e-04      
  9.08857e+00       2.89732e-04      
  9.32464e+00       2.97953e-04      
  9.56071e+00       3.09819e-04      
  9.79677e+00       3.19699e-04      
  1.00328e+01       3.31852e-04      
  1.02689e+01       3.42849e-04      
  1.05050e+01       3.53751e-04      
  1.07410e+01       3.62194e-04      
  1.09771e+01       3.74374e-04      
  1.12132e+01       3.83098e-04      
  1.14492e+01       3.94413e-04      
  1.16853e+01       4.02825e-04      
  1.19214e+01       4.14119e-04      
  1.21574e+01       4.23813e-04      
  1.23935e+01       4.30030e-04      
  1.26296e+01       4.39782e-04      
  1.28656e+01       4.47779e-04      
  1.31017e+01       4.56827e-04      
  1.33378e+01       4.69700e-04      
  1.35738e+01       4.77322e-04      
  1.38099e+01       4.85383e-04      
  1.40460e+01       4.90116e-04      
  1.42820e+01       4.95708e-04      
  1.45181e+01       5.06562e-04      
  1.47542e+01       5.11968e-04      
  1.49902e+01       5.17258e-04      
  1.52263e+01       5.21689e-04      
  1.54624e+01       5.30545e-04      
  1.56984e+01       5.32623e-04      
  1.59345e+01       5.40011e-04      
  1.61706e+01       5.46599e-04      
  1.64066e+01       5.47993e-04      
  1.66427e+01       5.55386e-04      
  1.68788e+01       5.61243e-04      
  1.71148e+01       5.62123e-04      
  1.73509e+01       5.63988e-04      
  1.75870e+01       5.67174e-04      
  1.78230e+01       5.74896e-04      
  1.80591e+01       5.78108e-04      
  1.82952e+01       5.79623e-04      
  1.85312e+01       5.78267e-04      
  1.87673e+01       5.84976e-04      
  1.90034e+01       5.89206e-04      
  1.92394e+01       5.88003e-04      
  1.94755e+01       5.90245e-04      
  1.97116e+01       5.89778e-04      
  1.99476e+01       6.02334e-04      
  2.01837e+01       6.00076e-04      
  2.04198e+01       6.00405e-04      
  2.06558e+01       5.96181e-04      
  2.08919e+01       6.06086e-04      
  2.11280e+01       6.01083e-04      
  2.13640e+01       6.03108e-04      
  2.16001e+01       6.02191e-04      
  2.18362e+01       6.01460e-04      
  2.20722e+01       6.01454e-04      
  2.23083e+01       5.97559e-04      
  2.25444e+01       5.99610e-04      
  2.27804e+01       6.02096e-04      
  2.30165e+01       6.00924e-04      
  2.32526e+01       5.97209e-04      
  2.34886e+01       5.92158e-04      
  2.37247e+01       5.91517e-04      
  2.39608e+01       5.90229e-04      
  2.41968e+01       5.88220e-04      
  2.44329e+01       5.81531e-04      
  2.46690e+01       5.84531e-04      
  2.49050e+01       5.80954e-04      
  2.51411e+01       5.77996e-04      
  2.53772e+01       5.65637e-04      
  2.56132e+01       5.69384e-04      
  2.58493e+01       5.63532e-04      
  2.60854e+01       5.61089e-04      
  2.63214e+01       5.60109e-04      
  2.65575e+01       5.51835e-04      
  2.67936e+01       5.47760e-04      
  2.70296e+01       5.33306e-04      
  2.72657e+01       5.22415e-04      
  2.75018e+01       5.23809e-04      
  2.77378e+01       5.21636e-04      
  2.79739e+01       5.18132e-04      
  2.82100e+01       4.99375e-04      
  2.84460e+01       4.98607e-04      
  2.86821e+01       4.89030e-04      
  2.89182e+01       4.83295e-04      
  2.91542e+01       4.80873e-04      
  2.93903e+01       4.69732e-04      
  2.96264e+01       4.59243e-04      
  2.98624e+01       4.48214e-04      
  3.00985e+01       4.41817e-04      
  3.03346e+01       4.28466e-04      
  3.05706e+01       4.24136e-04      
  3.08067e+01       4.13255e-04      
  3.10428e+01       4.05952e-04      
