# r                 p(r)             
  1.17920e-01       -1.22689e-07     
  3.53759e-01       4.14075e-07      
  5.89598e-01       1.68697e-06      
  8.25438e-01       1.79432e-06      
  1.06128e+00       3.32793e-06      
  1.29712e+00       3.45062e-06      
  1.53296e+00       4.67751e-06      
  1.76880e+00       8.22015e-06      
  2.00463e+00       9.89178e-06      
  2.24047e+00       9.93779e-06      
  2.47631e+00       1.37718e-05      
  2.71215e+00       1.37872e-05      
  2.94799e+00       1.79126e-05      
  3.18383e+00       2.02130e-05      
  3.41967e+00       2.26974e-05      
  3.65551e+00       2.66695e-05      
  3.89135e+00       2.96293e-05      
  4.12719e+00       3.48743e-05      
  4.36303e+00       3.70213e-05      
  4.59887e+00       4.18829e-05      
  4.83471e+00       4.38766e-05      
  5.07055e+00       4.92902e-05      
  5.30639e+00       5.23421e-05      
  5.54223e+00       5.41364e-05      
  5.77806e+00       4.96890e-05      
  6.01390e+00       6.16665e-05      
  6.24974e+00       6.77242e-05      
  6.48558e+00       7.46408e-05      
  6.72142e+00       6.49177e-05      
  6.95726e+00       8.48393e-05      
  7.19310e+00       8.64649e-05      
  7.42894e+00       8.52534e-05      
  7.66478e+00       8.74311e-05      
  7.90062e+00       1.01632e-04      
  8.13646e+00       1.01172e-04      
  8.37230e+00       1.07337e-04      
  8.60814e+00       1.10205e-04      
  8.84398e+00       1.17950e-04      
  9.07982e+00       1.22367e-04      
  9.31566e+00       1.19714e-04      
  9.55149e+00       1.22980e-04      
  9.78733e+00       1.32903e-04      
  1.00232e+01       1.29575e-04      
  1.02590e+01       1.41859e-04      
  1.04949e+01       1.32213e-04      
  1.07307e+01       1.40111e-04      
  1.09665e+01       1.51551e-04      
  1.12024e+01       1.47901e-04      
  1.14382e+01       1.42396e-04      
  1.16740e+01       1.59802e-04      
  1.19099e+01       1.56275e-04      
  1.21457e+01       1.63682e-04      
  1.23816e+01       1.67010e-04      
  1.26174e+01       1.61244e-04      
  1.28532e+01       1.62915e-04      
  1.30891e+01       1.74893e-04      
  1.33249e+01       1.73191e-04      
  1.35608e+01       1.72286e-04      
  1.37966e+01       1.70952e-04      
  1.40324e+01       1.88465e-04      
  1.42683e+01       1.78972e-04      
  1.45041e+01       1.74908e-04      
  1.47400e+01       1.70154e-04      
  1.49758e+01       1.77991e-04      
  1.52116e+01       1.77423e-04      
  1.54475e+01       1.75276e-04      
  1.56833e+01       1.73313e-04      
  1.59192e+01       1.84585e-04      
  1.61550e+01       1.77730e-04      
  1.63908e+01       1.69955e-04      
  1.66267e+01       1.80291e-04      
  1.68625e+01       1.78635e-04      
  1.70984e+01       1.76565e-04      
  1.73342e+01       1.77761e-04      
  1.75700e+01       1.87944e-04      
  1.78059e+01       1.73068e-04      
  1.80417e+01       1.74908e-04      
  1.82776e+01       1.51505e-04      
  1.85134e+01       1.76028e-04      
  1.87492e+01       1.55232e-04      
  1.89851e+01       1.64970e-04      
  1.92209e+01       1.64050e-04      
  1.94567e+01       1.74847e-04      
  1.96926e+01       1.60216e-04      
  1.99284e+01       1.46153e-04      
  2.01643e+01       1.60416e-04      
  2.04001e+01       1.68881e-04      
  2.06359e+01       1.44941e-04      
  2.08718e+01       1.36829e-04      
  2.11076e+01       1.42702e-04      
  2.13435e+01       1.40678e-04      
  2.15793e+01       1.42074e-04      
  2.18151e+01       1.29805e-04      
  2.20510e+01       1.35341e-04      
  2.22868e+01       1.31047e-04      
  2.25227e+01       1.15281e-04      
  2.27585e+01       1.28731e-04      
  2.29943e+01       1.31614e-04      
  2.32302e+01       1.26385e-04      
  2.34660e+01       1.09822e-04      
  2.37019e+01       1.22413e-04      
  2.39377e+01       1.10466e-04      
  2.41735e+01       1.23379e-04      
  2.44094e+01       1.16631e-04      
  2.46452e+01       1.00022e-04      
  2.48811e+01       9.38263e-05      
  2.51169e+01       9.71849e-05      
  2.53527e+01       6.86904e-05      
  2.55886e+01       7.51469e-05      
  2.58244e+01       7.41500e-05      
  2.60603e+01       8.77992e-05      
  2.62961e+01       8.56521e-05      
  2.65319e+01       8.26616e-05      
  2.67678e+01       7.94870e-05      
  2.70036e+01       5.14680e-05      
  2.72394e+01       6.92118e-05      
  2.74753e+01       5.02257e-05      
  2.77111e+01       6.89358e-05      
  2.79470e+01       6.66047e-05      
  2.81828e+01       5.23728e-05      
  2.84186e+01       4.81247e-05      
  2.86545e+01       4.10547e-05      
  2.88903e+01       3.64539e-05      
  2.91262e+01       3.03195e-05      
  2.93620e+01       3.59325e-05      
  2.95978e+01       2.70682e-05      
  2.98337e+01       3.51810e-05      
  3.00695e+01       1.61949e-05      
  3.03054e+01       7.40734e-06      
  3.05412e+01       8.22015e-06      
  3.07770e+01       5.49032e-06      
  3.10129e+01       2.17773e-06      
  3.12487e+01       -1.48760e-06     
  3.14846e+01       -1.71304e-05     
